time (ms),latency (ms),consume (ms)
0,10,0
5,9,5
9,13,4
13,16,4
14,16,1
15,17,1
15,16,0
16,14,1
17,15,1
17,14,0
18,15,1
19,15,1
20,16,1
23,18,3
23,17,0
24,17,1
25,18,1
25,18,0
26,18,1
26,18,0
27,18,1
27,17,0
28,18,1
29,18,1
30,19,1
37,26,7
52,40,15
53,41,1
56,44,3
56,18,0
57,19,1
58,19,1
59,19,1
60,15,1
60,15,0
61,16,1
62,16,1
62,16,0
63,17,1
63,16,0
64,17,1
65,17,1
65,17,0
67,19,2
67,19,0
68,19,1
69,17,1
69,16,0
72,1,3
73,1,1
75,1,2
76,1,1
77,1,1
77,0,0
78,0,1
80,1,2
86,1,6
87,1,1
88,0,1
90,1,2
91,1,1
92,1,1
93,1,1
95,1,2
96,1,1
97,1,1
97,0,0
98,0,1
99,0,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
106,0,0
107,0,1
108,0,1
110,2,2
111,1,1
114,1,3
115,1,1
118,3,3
119,0,1
120,1,1
121,1,1
122,1,1
122,0,0
125,2,3
129,0,4
130,0,1
131,1,1
132,1,1
133,1,1
134,1,1
135,0,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
140,0,0
141,0,1
142,0,1
143,1,1
144,1,1
144,0,0
145,0,1
146,0,1
147,1,1
149,2,2
153,1,4
154,1,1
154,0,0
156,1,2
156,0,0
160,0,4
161,0,1
162,0,1
163,1,1
164,1,1
165,1,1
165,0,0
166,0,1
167,0,1
168,1,1
169,0,1
172,0,3
173,1,1
174,1,1
175,1,1
176,1,1
176,0,0
179,0,3
180,0,1
181,1,1
182,1,1
183,1,1
183,0,0
184,0,1
185,0,1
186,1,1
187,1,1
189,0,2
190,1,1
191,1,1
192,1,1
192,0,0
194,0,2
195,0,1
196,1,1
197,1,1
198,1,1
198,0,0
199,0,1
201,0,2
202,0,1
203,1,1
204,1,1
205,1,1
205,0,0
206,0,1
207,0,1
208,1,1
209,0,1
210,1,1
211,1,1
212,1,1
213,0,1
214,0,1
215,1,1
216,1,1
217,0,1
218,1,1
219,1,1
219,0,0
220,0,1
221,0,1
223,0,2
224,0,1
225,1,1
226,1,1
227,1,1
227,0,0
228,0,1
230,1,2
232,1,2
238,1,6
239,0,1
240,0,1
245,0,5
246,0,1
247,1,1
248,1,1
248,0,0
249,0,1
250,0,1
251,1,1
252,1,1
253,1,1
253,0,0
254,0,1
255,1,1
256,1,1
257,1,1
257,0,0
258,0,1
259,1,1
261,1,2
261,0,0
262,0,1
263,1,1
264,1,1
264,0,0
269,0,5
271,1,2
271,0,0
272,0,1
273,0,1
274,1,1
275,1,1
279,3,4
280,1,1
281,1,1
281,0,0
282,0,1
283,1,1
284,1,1
284,0,0
285,0,1
286,0,1
287,1,1
288,1,1
288,0,0
289,0,1
291,2,2
292,1,1
292,0,0
293,0,1
294,0,1
295,1,1
296,1,1
298,1,2
301,2,3
305,1,4
306,0,1
307,1,1
308,1,1
309,1,1
310,0,1
312,0,2
314,1,2
314,0,0
315,0,1
317,0,2
318,1,1
319,1,1
320,1,1
320,0,0
321,0,1
325,0,4
326,0,1
327,1,1
328,1,1
329,0,1
330,1,1
331,1,1
331,0,0
332,0,1
333,1,1
346,9,13
347,10,1
347,9,0
348,10,1
348,10,0
349,10,1
349,10,0
350,11,1
350,11,0
351,11,1
351,11,0
352,12,1
352,12,0
353,12,1
353,12,0
354,13,1
354,12,0
355,13,1
355,13,0
356,14,1
356,13,0
357,14,1
357,14,0
358,14,1
358,14,0
359,15,1
359,14,0
360,15,1
360,15,0
362,17,2
363,17,1
363,17,0
365,0,2
366,0,1
367,1,1
368,1,1
368,0,0
369,0,1
370,1,1
371,1,1
373,0,2
374,1,1
375,1,1
375,0,0
376,0,1
377,0,1
378,1,1
381,3,3
381,0,0
382,0,1
383,0,1
384,1,1
385,1,1
385,0,0
392,4,7
393,0,1
394,0,1
397,3,3
398,0,1
399,1,1
400,1,1
400,0,0
401,0,1
402,1,1
403,1,1
403,0,0
404,0,1
405,1,1
406,1,1
407,1,1
407,0,0
408,0,1
409,0,1
410,1,1
414,1,4
415,1,1
415,0,0
416,0,1
417,1,1
418,1,1
418,0,0
419,0,1
420,1,1
421,1,1
422,1,1
422,0,0
423,1,1
424,1,1
424,0,0
425,0,1
426,1,1
427,1,1
427,0,0
428,0,1
429,1,1
430,1,1
430,0,0
433,0,3
434,1,1
436,2,2
436,0,0
437,0,1
438,1,1
439,1,1
439,0,0
440,0,1
441,1,1
445,3,4
446,1,1
447,0,1
448,1,1
452,4,4
454,1,2
455,2,1
455,2,0
456,2,1
456,2,0
461,1,5
462,1,1
463,1,1
463,0,0
464,0,1
469,1,5
469,0,0
470,0,1
471,1,1
472,1,1
472,0,0
473,0,1
474,1,1
475,1,1
475,0,0
476,0,1
477,1,1
477,0,0
478,0,1
479,1,1
480,1,1
480,0,0
481,0,1
482,1,1
483,1,1
483,0,0
484,0,1
485,1,1
485,0,0
486,0,1
487,1,1
488,1,1
488,0,0
489,0,1
490,1,1
490,0,0
497,1,7
497,0,0
499,0,2
500,1,1
501,1,1
501,0,0
509,7,8
510,1,1
511,1,1
511,0,0
512,0,1
513,1,1
513,0,0
514,0,1
515,1,1
516,1,1
516,0,0
517,0,1
518,1,1
518,0,0
519,0,1
520,1,1
520,0,0
521,0,1
522,1,1
523,1,1
523,0,0
524,1,1
525,1,1
527,2,2
528,0,1
529,1,1
530,1,1
530,0,0
531,0,1
532,1,1
532,0,0
537,0,5
538,1,1
539,1,1
539,0,0
540,1,1
541,1,1
541,0,0
542,0,1
543,1,1
543,0,0
544,0,1
545,1,1
545,0,0
546,0,1
549,0,3
550,1,1
551,1,1
551,0,0
552,0,1
553,1,1
553,0,0
554,0,1
555,1,1
555,0,0
556,0,1
557,1,1
558,1,1
558,0,0
559,1,1
560,1,1
560,0,0
561,1,1
562,1,1
562,0,0
563,0,1
564,1,1
564,0,0
565,0,1
569,4,4
570,1,1
571,2,1
573,3,2
578,7,5
578,5,0
579,4,1
580,2,1
581,2,1
581,1,0
585,4,4
585,3,0
603,6,18
604,0,1
605,0,1
606,1,1
607,1,1
609,0,2
610,1,1
611,1,1
611,0,0
612,1,1
613,0,1
614,1,1
614,0,0
617,2,3
617,0,0
618,0,1
619,1,1
619,0,0
620,0,1
621,1,1
622,1,1
622,0,0
623,0,1
624,1,1
624,0,0
625,0,1
628,0,3
629,1,1
630,1,1
630,0,0
631,1,1
632,1,1
632,0,0
633,0,1
635,0,2
636,0,1
637,1,1
637,0,0
638,0,1
639,1,1
639,0,0
640,0,1
645,0,5
646,1,1
647,1,1
647,0,0
648,0,1
649,1,1
649,0,0
650,0,1
651,1,1
651,0,0
652,0,1
653,0,1
657,0,4
658,1,1
658,0,0
661,0,3
662,1,1
662,0,0
663,0,1
664,1,1
665,1,1
665,0,0
666,0,1
667,1,1
667,0,0
668,1,1
669,1,1
669,0,0
670,0,1
678,8,8
678,8,0
679,8,1
679,8,0
680,9,1
680,9,0
681,4,1
681,4,0
685,1,4
685,0,0
688,1,3
689,1,1
689,0,0
690,0,1
691,1,1
691,0,0
692,0,1
693,1,1
693,0,0
707,10,14
715,14,8
717,12,2
718,10,1
719,11,1
721,13,2
721,13,0
722,13,1
722,13,0
723,14,1
724,14,1
725,15,1
726,16,1
727,17,1
728,17,1
729,18,1
730,19,1
730,19,0
732,21,2
734,22,2
735,23,1
736,24,1
737,25,1
737,24,0
739,26,2
739,26,0
745,32,6
746,32,1
747,33,1
748,34,1
748,34,0
749,34,1
753,35,4
754,36,1
754,33,0
755,33,1
756,33,1
756,32,0
761,36,5
762,37,1
762,35,0
763,36,1
764,35,1
764,35,0
765,35,1
766,34,1
766,32,0
767,32,1
768,33,1
769,33,1
769,32,0
770,31,1
771,26,1
771,25,0
772,25,1
773,26,1
773,25,0
774,25,1
774,24,0
775,22,1
776,23,1
776,22,0
777,22,1
778,22,1
779,22,1
779,18,0
780,18,1
781,18,1
782,19,1
782,18,0
785,20,3
789,23,4
793,27,4
793,26,0
794,26,1
795,27,1
796,27,1
796,26,0
797,27,1
798,27,1
798,26,0
799,27,1
800,27,1
800,26,0
801,26,1
802,26,1
802,26,0
803,26,1
804,26,1
804,26,0
805,26,1
806,26,1
806,25,0
807,26,1
808,26,1
809,24,1
810,21,1
810,17,0
811,17,1
812,17,1
813,18,1
814,18,1
814,17,0
815,18,1
816,18,1
816,17,0
817,18,1
821,21,4
821,20,0
822,21,1
825,23,3
828,25,3
830,27,2
830,26,0
831,26,1
832,27,1
832,26,0
833,26,1
833,26,0
834,25,1
835,25,1
835,24,0
836,23,1
837,24,1
838,24,1
838,23,0
839,24,1
840,24,1
840,23,0
841,24,1
842,21,1
843,21,1
843,20,0
844,19,1
845,16,1
846,17,1
846,16,0
847,16,1
848,17,1
848,16,0
849,16,1
850,16,1
850,15,0
853,18,3
854,18,1
854,17,0
857,20,3
857,19,0
858,19,1
859,20,1
860,20,1
860,19,0
861,20,1
861,19,0
862,19,1
863,19,1
863,18,0
864,19,1
865,19,1
866,19,1
867,20,1
867,19,0
868,19,1
869,20,1
869,19,0
873,20,4
877,24,4
878,24,1
879,24,1
880,23,1
880,22,0
881,22,1
881,22,0
882,22,1
883,22,1
883,21,0
884,22,1
885,22,1
886,22,1
886,21,0
887,22,1
888,22,1
888,22,0
889,22,1
890,22,1
890,22,0
891,22,1
892,22,1
892,19,0
893,16,1
894,16,1
894,15,0
895,16,1
896,16,1
896,15,0
897,15,1
898,15,1
899,16,1
899,15,0
900,15,1
901,16,1
905,19,4
906,19,1
906,19,0
907,19,1
908,19,1
909,20,1
909,19,0
910,19,1
911,20,1
911,19,0
912,19,1
913,20,1
913,19,0
914,19,1
917,22,3
918,22,1
918,21,0
919,22,1
920,22,1
920,21,0
921,21,1
922,22,1
922,21,0
923,18,1
924,18,1
924,17,0
925,17,1
926,18,1
926,17,0
927,17,1
928,18,1
928,17,0
929,17,1
930,18,1
930,17,0
931,17,1
932,15,1
933,16,1
933,15,0
934,15,1
937,17,3
938,17,1
938,17,0
939,17,1
940,17,1
940,17,0
941,17,1
942,17,1
942,17,0
949,23,7
949,22,0
950,23,1
951,23,1
952,23,1
952,22,0
953,23,1
954,23,1
955,23,1
955,23,0
956,23,1
957,23,1
957,20,0
958,21,1
959,21,1
959,20,0
961,22,2
961,21,0
965,24,4
966,24,1
967,25,1
967,19,0
968,18,1
969,18,1
969,18,0
970,19,1
971,19,1
971,18,0
972,18,1
973,19,1
973,18,0
974,18,1
975,19,1
975,18,0
976,18,1
977,19,1
979,20,2
979,19,0
980,15,1
981,15,1
982,15,1
982,14,0
983,15,1
984,15,1
985,15,1
985,15,0
986,15,1
987,15,1
989,17,2
989,16,0
990,16,1
993,18,3
994,19,1
994,18,0
995,18,1
997,20,2
998,19,1
999,19,1
999,19,0
1000,19,1
1001,19,1
1001,19,0
1002,19,1
1003,19,1
1005,21,2
1006,21,1
1006,20,0
1007,21,1
1008,21,1
1008,19,0
1009,19,1
1010,19,1
1010,17,0
1013,20,3
1014,20,1
1014,19,0
1015,19,1
1016,18,1
1016,17,0
1017,17,1
1021,21,4
1022,21,1
1022,20,0
1023,20,1
1024,19,1
1024,19,0
1025,19,1
1026,19,1
1026,19,0
1027,19,1
1028,19,1
1029,19,1
1030,20,1
1030,19,0
1033,20,3
1034,21,1
1034,20,0
1035,20,1
1036,21,1
1036,20,0
1037,20,1
1038,21,1
1039,18,1
1039,17,0
1040,17,1
1041,18,1
1041,17,0
1042,17,1
1043,18,1
1043,17,0
1044,17,1
1045,18,1
1045,17,0
1046,17,1
1047,18,1
1047,17,0
1049,16,2
1049,16,0
1050,16,1
1053,18,3
1054,18,1
1055,19,1
1055,18,0
1056,18,1
1061,23,5
1062,23,1
1062,22,0
1063,23,1
1064,23,1
1064,22,0
1065,23,1
1066,23,1
1066,22,0
1068,24,2
1069,24,1
1069,23,0
1070,23,1
1071,23,1
1071,22,0
1072,22,1
1073,23,1
1076,23,3
1080,26,4
1081,27,1
1082,27,1
1083,27,1
1083,27,0
1084,23,1
1089,27,5
1090,27,1
1091,28,1
1092,28,1
1092,27,0
1093,27,1
1097,31,4
1098,30,1
1098,30,0
1099,30,1
1100,30,1
1100,30,0
1101,30,1
1102,30,1
1102,29,0
1103,30,1
1104,24,1
1104,23,0
1105,23,1
1106,24,1
1107,24,1
1107,23,0
1108,24,1
1113,23,5
1117,26,4
1118,26,1
1119,26,1
1119,26,0
1120,23,1
1121,23,1
1122,23,1
