time (ms),latency (ms),consume (ms)
0,13,0
3,12,3
3,10,0
3,8,0
3,7,0
5,7,2
5,5,0
6,4,1
8,4,2
8,1,0
10,1,2
12,2,2
13,1,1
15,2,2
17,2,2
18,2,1
19,1,1
21,2,2
23,2,2
25,2,2
26,1,1
28,1,2
30,2,2
31,1,1
33,1,2
35,1,2
36,1,1
38,1,2
40,1,2
42,1,2
44,1,2
46,1,2
48,1,2
51,2,3
53,2,2
55,2,2
57,2,2
59,2,2
61,2,2
63,2,2
64,1,1
66,2,2
67,1,1
69,2,2
70,1,1
73,2,3
75,2,2
76,1,1
78,2,2
79,1,1
81,1,2
83,2,2
84,1,1
86,1,2
87,1,1
89,1,2
91,2,2
93,2,2
94,1,1
96,2,2
97,1,1
100,2,3
101,1,1
103,2,2
104,1,1
106,2,2
107,1,1
109,2,2
110,1,1
112,2,2
113,1,1
115,2,2
116,1,1
118,2,2
119,1,1
121,2,2
122,1,1
124,2,2
125,1,1
126,1,1
132,5,6
132,3,0
132,2,0
134,2,2
136,2,2
136,1,0
138,1,2
139,1,1
141,1,2
142,1,1
144,1,2
153,7,9
153,6,0
157,8,4
157,6,0
157,4,0
159,4,2
159,2,0
160,2,1
162,2,2
163,1,1
165,1,2
166,1,1
168,1,2
171,2,3
173,2,2
175,2,2
176,1,1
178,2,2
179,1,1
181,1,2
183,1,2
185,1,2
187,1,2
189,1,2
191,1,2
194,2,3
196,2,2
198,1,2
200,1,2
202,1,2
204,1,2
206,1,2
209,2,3
211,2,2
213,2,2
214,1,1
216,1,2
218,2,2
220,2,2
221,2,1
223,2,2
224,2,1
225,1,1
227,2,2
228,1,1
229,1,1
231,1,2
233,1,2
236,2,3
237,1,1
240,2,3
241,1,1
244,2,3
246,2,2
248,2,2
250,2,2
251,1,1
253,1,2
254,1,1
256,1,2
257,1,1
259,2,2
260,1,1
262,2,2
263,1,1
265,2,2
267,2,2
268,1,1
270,2,2
271,1,1
273,2,2
274,1,1
276,2,2
277,1,1
279,1,2
281,2,2
282,1,1
283,1,1
285,2,2
286,1,1
288,2,2
289,1,1
291,1,2
293,2,2
294,1,1
296,2,2
297,1,1
299,1,2
300,1,1
302,2,2
304,2,2
305,1,1
307,1,2
309,2,2
310,1,1
312,2,2
314,2,2
316,2,2
317,1,1
319,2,2
321,2,2
323,2,2
325,2,2
326,1,1
328,2,2
329,1,1
330,1,1
332,2,2
333,1,1
334,1,1
336,2,2
337,1,1
339,1,2
340,1,1
342,1,2
344,2,2
345,1,1
347,2,2
348,1,1
349,1,1
351,2,2
352,1,1
354,2,2
355,1,1
356,1,1
358,2,2
375,17,17
375,16,0
375,15,0
375,13,0
375,11,0
375,10,0
375,8,0
376,8,1
376,6,0
376,5,0
376,3,0
376,2,0
377,1,1
378,1,1
380,1,2
381,1,1
383,1,2
384,1,1
386,2,2
387,1,1
389,1,2
390,1,1
392,1,2
393,1,1
395,1,2
397,2,2
398,1,1
400,1,2
402,2,2
403,1,1
405,2,2
406,1,1
408,2,2
409,1,1
411,1,2
413,2,2
414,1,1
416,1,2
418,1,2
420,1,2
422,1,2
423,1,1
425,1,2
426,1,1
428,1,2
430,1,2
431,1,1
433,1,2
435,2,2
436,1,1
438,2,2
439,1,1
440,1,1
442,1,2
443,1,1
445,1,2
446,1,1
448,2,2
449,1,1
451,2,2
452,1,1
454,2,2
455,1,1
456,1,1
458,1,2
459,1,1
460,1,1
462,1,2
463,1,1
465,1,2
466,1,1
468,1,2
469,1,1
471,1,2
472,1,1
473,1,1
475,1,2
476,1,1
478,1,2
479,1,1
481,2,2
482,1,1
484,2,2
485,1,1
487,2,2
488,1,1
489,1,1
491,1,2
492,1,1
494,2,2
495,1,1
496,1,1
498,1,2
499,1,1
501,1,2
502,1,1
504,2,2
505,1,1
507,2,2
508,1,1
510,2,2
511,2,1
512,1,1
514,2,2
515,1,1
516,1,1
518,2,2
519,1,1
521,2,2
522,2,1
523,1,1
525,2,2
527,3,2
527,1,0
529,2,2
530,1,1
531,1,1
533,2,2
534,1,1
535,1,1
537,2,2
538,1,1
539,1,1
541,2,2
542,1,1
543,1,1
545,2,2
546,1,1
548,2,2
549,1,1
550,1,1
552,2,2
553,1,1
554,1,1
556,2,2
557,1,1
558,1,1
560,2,2
561,1,1
562,1,1
564,2,2
565,1,1
567,2,2
568,2,1
569,1,1
571,2,2
572,1,1
573,1,1
575,2,2
576,1,1
577,1,1
579,2,2
580,1,1
581,1,1
583,2,2
584,1,1
586,2,2
588,2,2
589,1,1
590,1,1
592,2,2
593,1,1
595,1,2
597,2,2
597,1,0
599,1,2
613,2,14
614,2,1
615,1,1
617,2,2
618,1,1
619,1,1
621,2,2
622,1,1
624,2,2
625,1,1
626,1,1
628,2,2
629,1,1
630,1,1
632,1,2
633,1,1
635,2,2
636,1,1
637,1,1
638,1,1
640,2,2
641,1,1
643,2,2
644,2,1
645,1,1
646,1,1
648,2,2
649,1,1
650,1,1
652,2,2
653,1,1
654,1,1
656,1,2
657,1,1
659,2,2
660,1,1
661,1,1
663,2,2
664,1,1
665,1,1
668,3,3
668,1,0
669,1,1
670,1,1
672,1,2
673,1,1
674,1,1
676,2,2
677,1,1
678,1,1
680,2,2
681,1,1
682,1,1
684,2,2
685,1,1
686,1,1
688,1,2
689,1,1
691,2,2
692,1,1
693,1,1
695,1,2
696,1,1
698,2,2
699,1,1
700,1,1
702,1,2
703,1,1
705,2,2
706,1,1
707,1,1
709,1,2
710,1,1
711,1,1
713,1,2
714,1,1
716,1,2
719,2,3
720,1,1
721,1,1
723,1,2
724,1,1
726,2,2
727,1,1
729,2,2
730,1,1
732,2,2
733,1,1
735,2,2
736,1,1
737,1,1
739,1,2
741,2,2
742,1,1
743,1,1
745,1,2
746,1,1
748,1,2
749,1,1
751,2,2
752,1,1
754,2,2
755,1,1
757,2,2
758,1,1
759,1,1
761,2,2
762,1,1
763,1,1
766,2,3
767,1,1
768,1,1
770,1,2
771,1,1
773,2,2
774,1,1
775,1,1
777,1,2
778,1,1
780,1,2
781,1,1
783,1,2
784,1,1
786,1,2
787,1,1
789,1,2
790,1,1
792,2,2
794,2,2
795,1,1
797,2,2
798,1,1
800,2,2
801,1,1
803,2,2
804,1,1
805,1,1
807,1,2
808,1,1
810,2,2
811,1,1
812,1,1
814,1,2
815,1,1
817,1,2
818,1,1
819,1,1
821,1,2
822,1,1
824,1,2
825,1,1
827,1,2
828,1,1
830,1,2
831,1,1
833,2,2
834,1,1
836,2,2
837,1,1
839,2,2
840,1,1
841,1,1
844,2,3
844,1,0
846,1,2
847,1,1
849,1,2
851,2,2
852,1,1
853,1,1
854,1,1
856,1,2
857,1,1
859,2,2
860,1,1
861,1,1
863,1,2
864,1,1
866,2,2
867,1,1
868,1,1
870,2,2
871,1,1
872,1,1
874,1,2
875,1,1
876,1,1
878,1,2
879,1,1
880,1,1
882,1,2
883,1,1
884,1,1
886,1,2
887,1,1
888,1,1
890,1,2
891,1,1
893,2,2
894,1,1
895,1,1
897,2,2
898,1,1
899,1,1
900,1,1
902,1,2
903,1,1
905,2,2
906,2,1
907,1,1
908,1,1
910,2,2
911,1,1
912,1,1
914,2,2
915,1,1
916,1,1
918,2,2
919,1,1
920,1,1
921,1,1
923,1,2
924,1,1
926,2,2
927,1,1
928,1,1
929,1,1
931,1,2
932,1,1
934,2,2
935,1,1
936,1,1
937,1,1
939,1,2
