time (ms),latency (ms),consume (ms)
0,10,0
4,2,4
13,1,9
24,1,11
34,1,10
44,1,10
54,0,10
65,1,11
76,2,11
86,1,10
96,0,10
107,1,11
117,1,10
127,0,10
137,0,10
148,1,11
158,1,10
168,0,10
179,1,11
189,1,10
199,0,10
210,1,11
220,1,10
230,0,10
241,1,11
251,1,10
261,1,10
272,1,11
282,0,10
293,1,11
304,1,11
314,0,10
325,1,11
336,1,11
346,0,10
357,1,11
368,1,11
378,1,10
389,1,11
400,1,11
410,1,10
421,1,11
431,0,10
446,5,15
452,0,6
463,1,11
473,1,10
483,0,10
494,1,11
504,0,10
515,1,11
525,0,10
536,1,11
546,1,10
557,1,11
567,1,10
578,1,11
590,2,12
600,1,10
612,2,12
622,1,10
633,1,11
643,0,10
654,1,11
664,1,10
674,0,10
685,1,11
695,1,10
705,0,10
716,1,11
726,1,10
737,1,11
748,1,11
758,1,10
768,0,10
779,1,11
789,1,10
800,1,11
810,1,10
822,2,12
833,1,11
843,1,10
854,1,11
866,2,12
876,1,10
886,0,10
897,1,11
907,1,10
918,1,11
929,2,11
939,1,10
950,2,11
960,1,10
971,2,11
981,1,10
992,2,11
1003,2,11
1013,1,10
1024,2,11
1035,2,11
1045,2,10
1056,2,11
1067,2,11
1077,2,10
1088,2,11
1098,1,10
1109,2,11
1119,1,10
1130,2,11
1140,1,10
1151,2,11
1162,2,11
1172,1,10
1183,2,11
1194,2,11
1204,1,10
1215,2,11
1225,1,10
1236,2,11
1247,1,11
1259,2,12
1270,2,11
1281,1,11
1292,1,11
1304,2,12
1315,2,11
1326,1,11
1337,2,11
1348,2,11
1359,2,11
1369,2,10
1379,1,10
1390,1,11
1400,1,10
1411,1,11
1422,2,11
1432,1,10
1446,5,14
1453,1,7
1463,1,10
1474,1,11
1484,1,10
1495,1,11
1506,2,11
1516,1,10
1527,2,11
1537,1,10
1547,1,10
1558,1,11
1569,2,11
1579,1,10
1589,1,10
1600,2,11
1610,1,10
1621,2,11
1631,1,10
1642,2,11
1652,1,10
1663,2,11
1673,1,10
1684,1,11
1695,2,11
1705,1,10
1715,1,10
1726,1,11
1736,1,10
1747,2,11
1757,1,10
1768,2,11
1778,1,10
1789,2,11
1799,1,10
1810,2,11
1820,2,10
1830,1,10
1841,2,11
1851,1,10
1862,2,11
1872,1,10
1883,2,11
1893,1,10
1904,2,11
1914,1,10
1924,1,10
1935,1,11
1945,1,10
1956,1,11
1966,1,10
1977,1,11
1987,1,10
