time (ms),latency (ms),consume (ms)
0,10,0
6,3,6
16,2,10
27,3,11
37,2,10
48,2,11
59,3,11
69,2,10
79,2,10
90,2,11
100,2,10
111,2,11
121,2,10
132,2,11
142,2,10
153,2,11
163,2,10
174,2,11
187,4,13
197,3,10
207,2,10
217,2,10
228,2,11
238,2,10
252,5,14
259,2,7
270,2,11
280,1,10
291,2,11
301,1,10
312,2,11
323,2,11
333,1,10
344,2,11
354,1,10
365,2,11
376,2,11
386,1,10
397,2,11
407,1,10
418,2,11
429,1,11
441,3,12
451,2,10
461,1,10
472,2,11
482,1,10
493,2,11
504,2,11
514,1,10
525,2,11
535,1,10
546,2,11
556,1,10
567,2,11
577,1,10
588,2,11
598,1,10
609,2,11
619,1,10
630,2,11
640,1,10
651,2,11
661,1,10
672,2,11
682,1,10
693,1,11
704,1,11
715,2,11
725,1,10
736,1,11
747,2,11
758,2,11
768,1,10
779,2,11
789,1,10
800,2,11
811,2,11
821,2,10
831,1,10
842,2,11
852,1,10
863,2,11
874,1,11
885,2,11
895,1,10
906,2,11
916,1,10
927,2,11
937,1,10
948,2,11
958,1,10
969,1,11
980,2,11
990,1,10
1001,1,11
1012,2,11
1022,1,10
1033,1,11
1044,2,11
1055,2,11
1065,1,10
1076,2,11
1086,1,10
1097,2,11
1107,1,10
1117,1,10
1128,1,11
1138,1,10
1149,1,11
1159,1,10
1170,2,11
1181,2,11
1191,2,10
1202,2,11
1212,1,10
1222,1,10
1233,1,11
1243,1,10
1254,1,11
1265,2,11
1275,1,10
1286,1,11
1297,2,11
1307,1,10
1318,2,11
1329,2,11
1340,2,11
1350,2,10
1360,1,10
1371,2,11
1381,1,10
1391,1,10
1402,2,11
1412,1,10
1423,2,11
1433,1,10
1444,2,11
1454,1,10
1464,1,10
1475,1,11
1485,1,10
1496,1,11
1506,1,10
1517,1,11
1527,1,10
1538,1,11
1549,2,11
1560,1,11
1570,1,10
1581,1,11
1591,1,10
1602,2,11
1613,2,11
1623,1,10
1634,2,11
1644,1,10
1654,1,10
1666,2,12
1677,1,11
1687,1,10
1698,1,11
1709,2,11
1719,1,10
1730,2,11
1741,1,11
1752,1,11
1763,1,11
1774,1,11
1785,1,11
1796,1,11
1807,1,11
1818,1,11
1830,2,12
1841,2,11
1855,5,14
1863,2,8
1873,1,10
1883,1,10
1894,1,11
1904,1,10
1915,2,11
1925,1,10
1936,2,11
1946,1,10
1956,1,10
1968,2,12
1979,2,11
1990,1,11
2000,1,10
2013,4,13
2022,2,9
2032,1,10
2043,2,11
2053,2,10
2063,1,10
2074,2,11
2084,1,10
2094,1,10
2105,2,11
2115,1,10
2126,2,11
2136,1,10
2146,1,10
2157,2,11
2167,1,10
2178,2,11
2188,1,10
2198,1,10
2209,2,11
2219,1,10
2230,2,11
2240,1,10
2250,1,10
2261,1,11
2272,1,11
2282,1,10
2305,13,23
2305,3,0
2314,1,9
2324,1,10
2335,1,11
2345,1,10
2356,1,11
2366,1,10
2377,1,11
2387,1,10
2398,2,11
2408,1,10
2418,1,10
2429,1,11
2440,1,11
2450,1,10
2461,1,11
2472,2,11
2482,1,10
2493,1,11
2503,1,10
2514,1,11
2524,1,10
2535,2,11
2545,1,10
2556,2,11
2566,1,10
2577,2,11
2587,1,10
2597,1,10
2608,1,11
2618,1,10
2629,2,11
2639,1,10
2650,2,11
2661,2,11
2671,2,10
2681,1,10
2692,1,11
2703,1,11
2713,1,10
2724,2,11
2734,1,10
2745,2,11
2755,1,10
2765,1,10
2776,1,11
2787,1,11
2797,1,10
2808,1,11
2819,2,11
2829,1,10
2840,2,11
2850,1,10
2860,1,10
2871,2,11
2881,1,10
2892,2,11
2902,1,10
2912,1,10
2923,2,11
2933,1,10
2945,3,12
2954,1,9
2964,1,10
2975,1,11
2985,1,10
2996,2,11
3006,1,10
3017,2,11
3027,1,10
3037,1,10
3048,2,11
3058,1,10
3068,1,10
3079,1,11
3089,1,10
3100,2,11
3110,1,10
3123,4,13
3131,1,8
3141,1,10
3152,2,11
3162,1,10
3172,1,10
3183,1,11
3193,1,10
3203,1,10
3214,1,11
3224,1,10
3235,1,11
3245,1,10
3256,2,11
3266,1,10
3276,1,10
3287,1,11
3297,1,10
3307,1,10
3318,1,11
3329,2,11
3339,1,10
3349,1,10
3360,1,11
3371,2,11
3381,1,10
3391,1,10
3402,2,11
3412,1,10
3422,1,10
3433,2,11
3443,1,10
3453,1,10
3464,1,11
3474,1,10
3485,1,11
3495,1,10
3506,1,11
3516,1,10
