time (ms),latency (ms),consume (ms)
0,12,0
5,3,5
15,2,10
26,3,11
36,2,10
46,1,10
57,2,11
68,2,11
78,2,10
94,7,16
100,2,6
110,2,10
121,2,11
131,1,10
142,2,11
153,2,11
163,2,10
174,2,11
184,2,10
195,2,11
205,1,10
216,2,11
226,1,10
238,3,12
248,2,10
260,3,12
270,3,10
280,2,10
292,3,12
302,2,10
313,2,11
324,2,11
334,1,10
345,2,11
356,2,11
367,2,11
381,5,14
389,2,8
399,1,10
410,2,11
421,2,11
432,2,11
442,1,10
453,2,11
463,1,10
474,2,11
484,1,10
495,2,11
506,1,11
518,2,12
528,1,10
539,2,11
549,1,10
560,2,11
570,1,10
581,2,11
591,1,10
602,1,11
612,1,10
623,1,11
634,2,11
645,2,11
657,3,12
666,1,9
678,2,12
689,1,11
699,1,10
710,1,11
721,2,11
731,1,10
742,2,11
752,1,10
763,1,11
774,1,11
786,2,12
796,2,10
806,1,10
817,1,11
828,2,11
839,2,11
849,1,10
860,2,11
870,1,10
881,1,11
892,2,11
902,1,10
912,1,10
923,1,11
933,1,10
944,2,11
954,1,10
965,2,11
975,1,10
986,2,11
996,1,10
1007,2,11
1017,1,10
1028,2,11
1038,1,10
1049,2,11
1059,1,10
1070,2,11
1080,1,10
1090,1,10
1101,1,11
1111,1,10
1122,1,11
1132,1,10
1143,2,11
1153,1,10
1164,2,11
1174,1,10
1185,2,11
1195,1,10
1206,1,11
1217,2,11
1228,1,11
1240,2,12
1251,1,11
1262,2,11
1273,2,11
1283,1,10
1294,2,11
1305,2,11
1315,1,10
1326,2,11
1339,4,13
1347,2,8
1358,2,11
1368,1,10
1378,1,10
1389,2,11
1399,1,10
1410,2,11
1420,1,10
1431,2,11
1441,1,10
1452,2,11
1462,1,10
1473,2,11
1483,1,10
1494,2,11
1504,1,10
1515,2,11
1525,2,10
1535,1,10
1546,2,11
1556,1,10
1567,2,11
1577,1,10
1588,2,11
1598,1,10
1609,2,11
1619,1,10
1629,1,10
1640,1,11
1651,1,11
1662,2,11
1672,1,10
1683,2,11
1693,1,10
1704,2,11
1714,2,10
1725,2,11
1735,1,10
1745,1,10
1756,2,11
1766,1,10
1777,1,11
1788,1,11
1798,1,10
1808,1,10
1818,0,10
1829,1,11
1839,1,10
1849,1,10
1859,0,10
1870,1,11
1880,1,10
1890,1,10
1900,0,10
1911,1,11
1921,1,10
1931,1,10
1942,1,11
1952,1,10
1963,2,11
1974,1,11
1984,1,10
1994,0,10
2005,1,11
2015,1,10
2026,1,11
2036,1,10
2046,0,10
2056,0,10
2067,1,11
2077,1,10
2087,0,10
2098,1,11
2108,1,10
2118,1,10
2128,0,10
2139,1,11
2150,2,11
2160,1,10
2171,1,11
2181,1,10
2192,1,11
2202,1,10
2213,2,11
2223,1,10
2234,2,11
2244,1,10
2254,1,10
2265,1,11
2275,1,10
2303,18,28
2304,9,1
2308,2,4
2319,1,11
2331,2,12
2342,2,11
2353,2,11
2364,2,11
2375,1,11
2386,2,11
2397,2,11
2407,2,10
2417,1,10
2427,1,10
2438,1,11
2448,1,10
2459,2,11
2469,1,10
2480,2,11
2490,1,10
2501,2,11
2511,1,10
2521,1,10
2532,1,11
2542,1,10
2553,2,11
2564,2,11
2574,1,10
2585,2,11
2595,1,10
2606,2,11
2616,1,10
2627,2,11
2638,2,11
2648,2,10
2659,2,11
2670,2,11
2680,2,10
2691,2,11
2702,2,11
2712,1,10
2723,2,11
2733,1,10
2743,1,10
2754,2,11
2768,5,14
2775,1,7
2786,2,11
2796,1,10
2806,1,10
2817,1,11
2827,1,10
2838,1,11
2848,1,10
2859,1,11
2870,2,11
2880,1,10
2890,1,10
2901,1,11
2912,2,11
2922,1,10
2932,1,10
2943,1,11
2954,1,11
2965,1,11
2976,1,11
2988,2,12
2999,1,11
3010,1,11
3021,1,11
3032,1,11
3043,1,11
3054,1,11
3065,1,11
3076,1,11
3087,1,11
3098,1,11
3109,1,11
3120,1,11
3132,2,12
3142,1,10
3154,2,12
3165,2,11
3176,1,11
3186,1,10
3197,1,11
3208,1,11
3218,1,10
3229,1,11
3239,1,10
3250,2,11
3260,1,10
3270,1,10
3281,1,11
3291,1,10
3302,1,11
3312,1,10
3323,2,11
3333,1,10
3344,2,11
3354,1,10
3364,1,10
3375,1,11
3385,1,10
3397,1,12
3407,1,10
3418,2,11
3428,1,10
3438,1,10
3449,2,11
3459,1,10
3472,3,13
3483,2,11
3493,1,10
3504,2,11
3515,1,11
3526,1,11
3537,1,11
3548,1,11
3559,1,11
3570,2,11
3580,1,10
3591,2,11
3601,1,10
3611,1,10
3622,2,11
3632,1,10
3642,1,10
3653,1,11
3663,1,10
3674,1,11
3684,1,10
3695,2,11
3705,1,10
3715,1,10
3726,1,11
3736,1,10
3746,1,10
3757,1,11
3767,1,10
3778,2,11
3788,1,10
3799,2,11
3809,1,10
3819,1,10
3830,2,11
3840,1,10
3850,1,10
3861,1,11
3872,2,11
3882,1,10
3893,1,11
3904,1,11
3915,1,11
3926,1,11
3937,1,11
3947,1,10
3958,2,11
3968,1,10
3978,1,10
3989,2,11
4001,2,12
4012,2,11
4024,2,12
4034,1,10
4044,1,10
4068,2,24
4079,2,11
4089,1,10
4099,1,10
4110,1,11
4121,2,11
4131,1,10
4141,1,10
4152,1,11
4162,1,10
4173,2,11
4183,1,10
4193,1,10
4204,1,11
4215,1,11
4225,1,10
4236,1,11
4246,1,10
4257,2,11
4267,1,10
4277,1,10
4288,1,11
4298,1,10
4309,2,11
4319,1,10
4329,1,10
4340,1,11
4350,1,10
4361,2,11
4371,1,10
4382,2,11
4392,1,10
4402,1,10
4413,2,11
4423,1,10
4433,1,10
4444,2,11
4454,1,10
4464,1,10
4475,1,11
4485,1,10
4496,2,11
4506,1,10
4516,1,10
4527,2,11
4537,1,10
4548,2,11
4558,1,10
4568,1,10
4579,2,11
4589,1,10
4599,1,10
4610,1,11
4620,1,10
4630,1,10
4641,1,11
4651,1,10
4662,1,11
4672,1,10
4682,1,10
4693,1,11
4703,1,10
4714,2,11
4724,1,10
4735,2,11
4745,1,10
4755,1,10
4766,2,11
4776,1,10
4787,2,11
4797,1,10
4807,1,10
4818,2,11
4828,1,10
4839,2,11
4849,1,10
4859,1,10
4869,1,10
4880,1,11
4890,1,10
4901,2,11
4911,1,10
4921,1,10
4932,2,11
4943,1,11
4953,1,10
4964,2,11
4974,1,10
4984,1,10
4995,2,11
5005,1,10
5015,1,10
5026,1,11
5036,1,10
5046,1,10
5057,1,11
5067,1,10
5078,2,11
5088,1,10
5098,1,10
5109,1,11
