time (ms),latency (ms),consume (ms)
0,12,0
8,12,8
10,5,2
14,3,4
18,1,4
24,2,6
29,1,5
35,2,6
42,3,7
46,1,4
52,2,6
57,1,5
63,2,6
68,1,5
74,1,6
80,1,6
87,2,7
93,2,6
98,1,5
104,1,6
110,2,6
115,1,5
121,1,6
127,2,6
132,1,5
139,2,7
144,1,5
150,2,6
155,1,5
161,1,6
167,2,6
174,2,7
179,1,5
185,2,6
191,2,6
196,1,5
202,1,6
208,2,6
213,1,5
219,1,6
225,2,6
231,2,6
236,1,5
242,2,6
247,1,5
253,2,6
259,2,6
264,1,5
270,2,6
276,2,6
282,2,6
287,1,5
293,2,6
298,1,5
304,2,6
310,2,6
315,1,5
321,2,6
327,2,6
332,1,5
338,1,6
344,2,6
349,1,5
355,1,6
361,2,6
366,1,5
372,2,6
378,2,6
383,1,5
389,2,6
394,1,5
400,2,6
405,1,5
411,1,6
416,1,5
422,1,6
428,2,6
434,2,6
439,2,5
445,2,6
450,1,5
456,1,6
462,2,6
467,1,5
473,1,6
479,2,6
484,1,5
490,2,6
495,1,5
501,1,6
506,1,5
512,1,6
518,2,6
523,1,5
529,2,6
535,2,6
540,1,5
546,1,6
551,1,5
557,1,6
563,2,6
568,1,5
574,1,6
580,2,6
585,1,5
591,2,6
596,1,5
602,2,6
607,1,5
613,2,6
618,1,5
624,1,6
630,2,6
635,1,5
641,1,6
647,2,6
652,1,5
658,2,6
663,1,5
670,2,7
677,3,7
681,2,4
686,1,5
692,1,6
698,2,6
704,2,6
710,2,6
715,1,5
721,2,6
726,1,5
732,2,6
737,1,5
744,3,7
748,1,4
754,2,6
759,1,5
765,1,6
770,1,5
776,1,6
781,1,5
787,1,6
793,2,6
798,1,5
804,1,6
810,1,6
816,2,6
821,1,5
827,2,6
832,1,5
838,1,6
843,1,5
849,1,6
854,1,5
860,1,6
865,1,5
871,1,6
877,2,6
882,1,5
887,1,5
893,1,6
898,1,5
904,1,6
909,1,5
915,1,6
920,1,5
926,1,6
931,1,5
937,2,6
943,2,6
948,1,5
954,2,6
959,1,5
965,2,6
970,1,5
976,1,6
982,2,6
987,1,5
993,2,6
998,1,5
1004,1,6
1009,1,5
1015,1,6
1020,1,5
1026,1,6
1031,1,5
1037,1,6
1042,1,5
1048,1,6
1053,1,5
1059,1,6
1064,1,5
1070,1,6
1076,2,6
1082,2,6
1087,2,5
1092,1,5
1098,2,6
1103,1,5
1108,1,5
1114,1,6
1119,1,5
1125,2,6
1130,1,5
1136,2,6
1141,1,5
1146,1,5
1152,1,6
1157,1,5
1163,1,6
1168,1,5
1174,2,6
1179,1,5
1184,1,5
1190,1,6
1195,1,5
1201,1,6
1206,1,5
1223,13,17
1224,8,1
1225,4,1
1228,1,3
1233,1,5
1239,1,6
1245,2,6
1251,1,6
1258,2,7
1263,1,5
1269,1,6
1275,2,6
1280,1,5
1286,1,6
1292,2,6
1297,1,5
1303,1,6
1309,1,6
1315,2,6
1320,1,5
1326,1,6
1332,1,6
1338,1,6
1344,1,6
1351,2,7
1356,1,5
1362,2,6
1367,1,5
1373,2,6
1378,1,5
1384,2,6
1389,1,5
1394,1,5
1400,1,6
1405,1,5
1411,1,6
1416,1,5
1422,1,6
1429,2,7
1435,2,6
1441,2,6
1446,1,5
1451,1,5
1457,2,6
1462,1,5
1467,1,5
1473,1,6
1478,1,5
1484,2,6
1489,1,5
1494,1,5
1500,1,6
1505,1,5
1511,2,6
1516,1,5
1521,1,5
1527,1,6
1532,1,5
1538,2,6
1544,1,6
1549,1,5
1554,1,5
1560,1,6
1565,1,5
1571,1,6
1576,1,5
1581,1,5
1587,1,6
1592,1,5
1598,2,6
1603,1,5
1608,1,5
1614,1,6
1619,1,5
1625,2,6
1630,1,5
1635,1,5
1641,2,6
1647,1,6
1652,1,5
1658,2,6
1663,1,5
1668,1,5
1674,1,6
1679,1,5
1685,2,6
1690,1,5
1695,1,5
1701,2,6
1706,1,5
1711,1,5
1717,2,6
1723,2,6
1728,1,5
1734,2,6
1739,1,5
1744,1,5
1750,2,6
1755,1,5
1760,1,5
1766,1,6
1772,2,6
1777,1,5
1783,2,6
1788,1,5
1794,2,6
1799,1,5
1804,1,5
1814,2,10
1820,3,6
1824,1,4
1830,2,6
1835,1,5
1840,1,5
1846,1,6
1852,1,6
1857,1,5
1863,2,6
1868,1,5
1873,1,5
1879,1,6
1889,6,10
1891,3,2
1895,1,4
1900,1,5
1906,1,6
1911,1,5
1917,2,6
1922,1,5
1928,2,6
1933,1,5
1938,1,5
1944,1,6
1949,1,5
1955,2,6
1960,1,5
1966,2,6
1971,1,5
1976,1,5
1982,2,6
1987,1,5
1993,2,6
1998,1,5
2003,1,5
2009,1,6
2014,1,5
2020,2,6
2025,1,5
2031,2,6
2036,1,5
2041,1,5
2047,2,6
2052,1,5
2058,2,6
2064,1,6
2069,1,5
2075,2,6
2080,1,5
2085,1,5
2091,1,6
2096,1,5
2102,2,6
2108,2,6
2113,1,5
2119,1,6
2125,2,6
2143,2,18
2148,1,5
2154,2,6
2159,1,5
2165,1,6
2170,1,5
2176,1,6
2181,1,5
2187,1,6
2192,1,5
2198,1,6
2203,1,5
2209,1,6
2214,1,5
2220,1,6
2225,1,5
2231,1,6
2236,1,5
2242,1,6
2247,1,5
2253,1,6
2258,1,5
2264,1,6
2269,1,5
2275,1,6
2281,2,6
2286,1,5
2292,2,6
2297,1,5
2303,2,6
2308,1,5
2314,2,6
2319,1,5
2325,2,6
2330,1,5
2336,2,6
2341,1,5
2347,1,6
2352,1,5
2358,1,6
2363,1,5
2369,1,6
2374,1,5
2380,1,6
2385,1,5
2391,1,6
2396,1,5
2402,2,6
2407,1,5
2412,1,5
2418,2,6
2423,1,5
2428,1,5
2434,1,6
2439,1,5
2444,1,5
2450,1,6
2455,1,5
2461,2,6
2466,1,5
2471,1,5
2477,2,6
2482,1,5
2487,1,5
2493,2,6
2498,1,5
2504,2,6
2509,1,5
2514,1,5
2520,2,6
2525,1,5
2530,1,5
2536,1,6
2541,1,5
2547,2,6
2552,1,5
2557,1,5
2563,2,6
2568,1,5
2573,1,5
2579,2,6
2584,1,5
2589,1,5
2595,1,6
2600,1,5
2606,1,6
2612,2,6
2617,1,5
2622,1,5
2628,1,6
2633,1,5
2639,2,6
2644,1,5
2649,1,5
2655,2,6
2660,1,5
2665,1,5
2671,2,6
2676,1,5
2681,1,5
2687,2,6
2692,1,5
2697,1,5
2703,1,6
2708,1,5
2714,2,6
2719,1,5
2724,1,5
2731,3,7
2735,1,4
2740,1,5
2746,2,6
2751,1,5
2756,1,5
2762,2,6
2767,1,5
2773,2,6
2778,2,5
2783,1,5
2788,1,5
2794,2,6
2799,1,5
2805,2,6
2812,3,7
2815,1,3
2821,1,6
2826,1,5
2832,1,6
2838,2,6
2843,1,5
2849,2,6
2854,1,5
2860,2,6
2865,1,5
2870,1,5
2876,1,6
2881,1,5
2887,1,6
2892,1,5
2898,1,6
2903,1,5
2909,2,6
2914,1,5
2919,1,5
2925,1,6
2930,1,5
2935,1,5
2941,1,6
2946,1,5
2951,1,5
2957,1,6
2962,1,5
2967,1,5
2973,1,6
2978,1,5
2983,1,5
2989,1,6
2994,1,5
3000,2,6
3005,1,5
3010,1,5
3016,1,6
3021,1,5
3026,1,5
3032,1,6
3037,1,5
3043,1,6
3048,1,5
3054,2,6
3059,1,5
3064,1,5
3070,2,6
3075,1,5
3080,1,5
3085,1,5
3091,1,6
3097,1,6
3103,0,6
3109,1,6
3114,1,5
3120,1,6
3125,1,5
3130,1,5
3136,1,6
3141,1,5
3147,2,6
3152,1,5
3157,1,5
3163,1,6
3168,1,5
3173,1,5
3179,1,6
3184,1,5
3190,2,6
3195,1,5
3200,1,5
3206,2,6
3211,1,5
3216,1,5
3221,1,5
3227,2,6
3232,1,5
3237,1,5
3243,2,6
3248,1,5
3253,1,5
3259,2,6
3264,1,5
3269,1,5
3274,1,5
3280,1,6
3285,1,5
3291,2,6
3296,1,5
3301,1,5
3307,2,6
3312,1,5
3317,1,5
3323,2,6
3328,1,5
3333,1,5
3339,1,6
3344,1,5
3349,1,5
3355,1,6
3360,1,5
3365,1,5
3371,1,6
3376,1,5
3381,1,5
3387,1,6
3392,1,5
3397,1,5
3403,1,6
3408,1,5
3413,1,5
3419,1,6
3424,1,5
3430,2,6
3435,1,5
3441,2,6
3446,2,5
3451,1,5
3456,1,5
3462,1,6
3467,1,5
3473,2,6
3478,1,5
3483,1,5
3490,3,7
3494,1,4
3499,1,5
3505,2,6
3510,1,5
3515,1,5
3521,1,6
3526,1,5
3532,2,6
3537,1,5
3542,1,5
3548,2,6
3553,1,5
3559,1,6
3564,1,5
3570,1,6
3575,1,5
3581,1,6
3586,1,5
3592,1,6
3597,1,5
3603,1,6
3608,1,5
3614,1,6
3619,1,5
3625,1,6
3630,1,5
3636,1,6
3641,1,5
3647,1,6
3652,1,5
3658,1,6
3663,1,5
3669,1,6
3674,1,5
3680,1,6
3686,2,6
3693,3,7
3696,1,3
3702,1,6
3707,1,5
3713,1,6
3719,1,6
3725,1,6
3731,1,6
3737,1,6
3744,2,7
3750,1,6
3756,1,6
3762,1,6
3768,1,6
3774,1,6
3780,1,6
3785,1,5
3790,1,5
3796,1,6
3801,1,5
3806,1,5
3812,1,6
3818,1,6
3825,2,7
3830,1,5
3835,1,5
3841,2,6
3846,1,5
3851,1,5
3856,1,5
3862,1,6
3867,1,5
3873,2,6
3878,1,5
3883,1,5
3889,1,6
3894,1,5
3900,2,6
3905,1,5
3911,2,6
3916,1,5
3921,1,5
3927,2,6
3932,1,5
3937,1,5
3943,2,6
3948,1,5
3953,1,5
3959,2,6
3964,1,5
3969,1,5
3975,2,6
3980,1,5
3985,1,5
3991,2,6
3996,1,5
4001,1,5
4007,2,6
4012,1,5
4017,1,5
4023,2,6
4028,1,5
4033,1,5
4039,2,6
4044,1,5
4049,1,5
4055,2,6
4060,1,5
4065,1,5
4071,2,6
4076,1,5
4081,1,5
4087,2,6
4092,1,5
4097,1,5
4102,1,5
4108,1,6
4113,1,5
4119,2,6
4124,1,5
4129,1,5
4135,2,6
4140,1,5
4145,1,5
4151,2,6
4156,1,5
4161,1,5
4167,2,6
4172,1,5
4177,1,5
4183,2,6
4188,1,5
4194,2,6
4199,1,5
4204,1,5
4210,2,6
4215,1,5
4220,1,5
4226,1,6
4231,1,5
4237,2,6
4242,2,5
4247,1,5
4252,1,5
4258,2,6
4263,1,5
4268,1,5
4274,1,6
4279,1,5
4285,2,6
4290,1,5
4295,1,5
4301,2,6
4306,1,5
4311,1,5
4317,2,6
4322,2,5
4327,1,5
4333,2,6
4338,2,5
4343,1,5
4348,1,5
4354,2,6
4359,1,5
4364,1,5
4370,2,6
4375,1,5
4380,1,5
4386,2,6
4391,1,5
4396,1,5
4402,2,6
4407,1,5
4412,1,5
4418,2,6
4423,1,5
4428,1,5
4434,2,6
4439,1,5
4444,1,5
4449,1,5
4455,1,6
4460,1,5
4466,1,6
4471,1,5
4476,1,5
4482,1,6
4487,1,5
4492,1,5
4498,1,6
4503,1,5
4508,1,5
4514,1,6
4519,1,5
4525,2,6
4530,1,5
4535,1,5
4541,2,6
4546,1,5
4551,1,5
4557,2,6
4562,1,5
4567,1,5
4573,2,6
4578,1,5
4583,1,5
4589,2,6
4594,1,5
4599,1,5
4605,2,6
4610,1,5
4615,1,5
4621,2,6
4626,1,5
4631,1,5
4637,2,6
4642,1,5
4647,1,5
4653,2,6
4658,1,5
4663,1,5
4669,1,6
4674,1,5
4679,1,5
4685,1,6
4690,1,5
4696,2,6
4702,2,6
4706,1,4
4712,2,6
4717,1,5
4722,1,5
4728,2,6
4733,1,5
4738,1,5
4744,2,6
4749,1,5
4754,1,5
4760,2,6
4765,1,5
4770,1,5
4776,2,6
4781,1,5
4787,2,6
4792,1,5
4797,1,5
4803,2,6
4808,1,5
4813,1,5
4820,3,7
4824,1,4
4829,1,5
4835,2,6
4841,2,6
4846,1,5
4851,1,5
4857,2,6
4862,1,5
4867,1,5
4872,1,5
4879,2,7
4883,1,4
4889,1,6
4894,1,5
4900,2,6
4905,1,5
4910,1,5
4916,2,6
4921,1,5
4926,1,5
4932,1,6
4937,1,5
4942,1,5
4948,1,6
4953,1,5
4959,2,6
4964,1,5
4969,1,5
4975,1,6
4981,1,6
4988,2,7
4993,1,5
4998,1,5
5004,2,6
5009,1,5
5014,1,5
5020,1,6
5026,2,6
5031,2,5
5036,1,5
5041,1,5
5047,1,6
5052,1,5
5058,2,6
5063,1,5
5069,2,6
5074,2,5
5079,1,5
5085,2,6
5090,2,5
5095,1,5
5101,2,6
5106,1,5
5111,1,5
5117,2,6
5122,1,5
5127,1,5
5133,2,6
5138,1,5
5143,1,5
5149,1,6
5154,1,5
5160,1,6
5165,1,5
5174,5,9
5179,1,5
5185,1,6
5190,1,5
5196,1,6
5201,1,5
5207,1,6
5212,1,5
5217,1,5
5223,1,6
5228,1,5
5233,1,5
5239,1,6
5244,1,5
5249,1,5
5255,2,6
5260,1,5
5265,1,5
5271,2,6
5276,1,5
5281,1,5
5287,2,6
5292,1,5
5297,1,5
5303,2,6
5308,1,5
5313,1,5
5319,2,6
5324,1,5
5329,1,5
