time (ms),latency (ms),consume (ms)
0,18,0
22,30,22
25,24,3
28,21,3
30,18,2
50,32,20
52,24,2
56,23,4
59,20,3
84,40,25
86,33,2
90,22,4
94,21,4
114,35,20
118,27,4
120,21,2
122,17,2
140,30,18
142,25,2
144,21,2
146,18,2
168,34,22
170,23,2
172,18,2
174,15,2
196,32,22
198,23,2
200,19,2
202,15,2
224,32,22
227,24,3
228,20,1
230,16,2
252,32,22
254,23,2
256,19,2
261,18,5
281,33,20
283,23,2
285,19,2
287,16,2
309,32,22
312,26,3
315,21,3
317,17,2
347,42,30
349,36,2
363,31,14
365,27,2
372,29,7
375,23,3
377,19,2
378,15,1
395,27,17
397,23,2
399,20,2
400,15,1
417,27,17
421,25,4
428,26,7
432,25,4
442,30,10
444,26,2
446,22,2
447,16,1
464,27,17
466,22,2
467,18,1
469,15,2
486,26,17
489,24,3
490,19,1
492,16,2
509,27,17
513,25,4
514,20,1
515,15,1
534,29,19
538,27,4
539,21,1
541,18,2
558,28,17
561,24,3
562,19,1
564,16,2
581,27,17
583,23,2
585,19,2
586,15,1
602,25,16
606,24,4
607,19,1
614,21,7
625,26,11
628,24,3
629,19,1
631,16,2
647,26,16
649,22,2
651,19,2
652,14,1
670,27,18
672,23,2
674,20,2
675,15,1
695,29,20
697,26,2
698,21,1
700,18,2
722,31,22
724,23,2
725,18,1
727,14,2
749,31,22
752,24,3
753,18,1
755,15,2
774,29,19
778,23,4
780,20,2
781,15,1
805,34,24
823,47,18
832,43,9
839,44,7
840,38,1
844,35,4
856,42,12
858,38,2
866,40,8
869,32,3
873,27,4
878,22,5
888,26,10
891,23,3
892,19,1
894,15,2
910,25,16
913,23,3
914,18,1
916,15,2
932,25,16
935,23,3
936,18,1
938,15,2
954,26,16
956,22,2
958,19,2
960,16,2
977,27,17
980,23,3
981,18,1
983,15,2
1000,26,17
1002,23,2
1004,19,2
1005,14,1
1023,27,18
1026,23,3
1027,18,1
1029,15,2
1045,26,16
1047,22,2
1049,19,2
1050,14,1
1068,27,18
1071,23,3
1072,18,1
1074,15,2
1090,25,16
1093,23,3
1094,19,1
1096,16,2
1112,25,16
1115,23,3
1117,19,2
1118,15,1
1153,44,35
1157,41,4
1161,40,4
1164,37,3
1166,34,2
1168,31,2
1170,28,2
1172,25,2
1181,28,9
1183,24,2
1185,20,2
1186,15,1
1203,27,17
1206,24,3
1207,19,1
1209,15,2
1225,26,16
1227,22,2
1228,18,1
1240,25,12
1247,26,7
1250,24,3
1251,19,1
1254,17,3
1270,27,16
1272,23,2
1274,20,2
1275,14,1
1291,25,16
1293,22,2
1295,18,2
1297,15,2
1315,28,18
1317,23,2
1318,18,1
1320,14,2
1336,25,16
1339,22,3
1340,18,1
1342,15,2
1357,25,15
1360,22,3
1361,17,1
1363,14,2
1380,26,17
1382,23,2
1383,18,1
1385,15,2
1402,26,17
1404,23,2
1406,19,2
1407,14,1
1425,27,18
1427,23,2
1429,20,2
1430,15,1
1447,26,17
1448,22,1
1450,18,2
1452,14,2
1469,26,17
1472,23,3
1473,19,1
1475,15,2
1491,25,16
1494,23,3
1495,18,1
1496,14,1
1514,26,18
1516,23,2
1518,19,2
1520,16,2
1537,27,17
1539,23,2
1540,19,1
1542,15,2
1558,25,16
1560,22,2
1563,19,3
1564,15,1
1579,25,15
1582,22,3
1583,18,1
1585,14,2
1601,25,16
1604,23,3
1605,19,1
1607,16,2
1624,27,17
1626,23,2
1627,18,1
1629,15,2
1646,26,17
1649,23,3
1650,19,1
1651,14,1
1668,25,17
1671,23,3
1682,28,11
1684,25,2
1691,26,7
1693,23,2
1695,19,2
1696,15,1
1713,26,17
1716,23,3
1717,19,1
1718,14,1
1736,26,18
1738,23,2
1739,18,1
1741,15,2
1758,26,17
1760,23,2
1762,19,2
1764,15,2
1780,26,16
1782,22,2
1784,19,2
1786,16,2
1802,27,16
1804,23,2
1806,19,2
1807,14,1
1826,28,19
1828,23,2
1830,19,2
1831,14,1
1848,26,17
1850,22,2
1851,18,1
1853,14,2
1870,26,17
1873,24,3
1874,19,1
1876,15,2
1893,27,17
1895,23,2
1897,20,2
1898,15,1
1914,25,16
1916,22,2
1918,18,2
