time (ms),latency (ms),consume (ms)
0,13,0
4,3,4
15,3,11
26,3,11
36,2,10
46,1,10
57,1,11
68,2,11
79,2,11
90,1,11
102,2,12
113,2,11
124,2,11
134,1,10
146,2,12
156,1,10
167,1,11
180,2,13
191,2,11
201,1,10
212,2,11
222,1,10
233,2,11
243,1,10
254,2,11
264,1,10
275,2,11
285,1,10
296,2,11
306,1,10
317,2,11
328,2,11
338,1,10
349,2,11
360,2,11
370,2,10
381,2,11
391,1,10
402,2,11
412,1,10
423,2,11
434,2,11
445,2,11
455,1,10
466,2,11
476,1,10
488,2,12
498,2,10
508,1,10
519,1,11
530,2,11
540,1,10
551,2,11
561,1,10
572,1,11
583,2,11
593,1,10
604,1,11
615,2,11
625,1,10
636,1,11
647,2,11
658,2,11
668,1,10
679,2,11
690,2,11
700,1,10
710,1,10
722,2,12
733,1,11
745,1,12
756,1,11
768,2,12
779,2,11
790,2,11
801,1,11
812,2,11
822,1,10
833,2,11
843,1,10
854,2,11
864,1,10
875,2,11
886,2,11
896,1,10
907,2,11
917,1,10
927,1,10
938,2,11
948,1,10
959,2,11
970,2,11
980,2,10
990,1,10
1001,2,11
1012,2,11
1022,1,10
1033,2,11
1043,1,10
1054,2,11
1064,1,10
1074,1,10
1085,2,11
1095,1,10
1106,1,11
1117,2,11
1127,1,10
1138,2,11
1148,1,10
1158,1,10
1169,1,11
1180,2,11
1190,2,10
1200,1,10
1211,1,11
1221,1,10
1232,1,11
1242,1,10
1253,2,11
1264,2,11
1274,1,10
1285,2,11
1296,2,11
1306,1,10
1317,1,11
1328,2,11
1339,2,11
1349,1,10
1360,2,11
1370,1,10
1381,2,11
1391,1,10
1401,1,10
1412,1,11
1422,1,10
1433,2,11
1443,1,10
1454,2,11
1464,1,10
1474,1,10
1485,1,11
1495,1,10
1506,2,11
1516,1,10
1527,2,11
1537,1,10
1548,2,11
1558,1,10
1569,1,11
1579,1,10
1590,2,11
1600,1,10
1611,2,11
1621,1,10
1632,2,11
1642,1,10
1655,4,13
1663,1,8
1674,2,11
1684,1,10
1694,1,10
1705,1,11
1715,1,10
1726,2,11
1736,1,10
1746,1,10
1757,1,11
1768,2,11
1778,1,10
1789,2,11
1799,1,10
1809,1,10
1820,2,11
1830,1,10
1841,2,11
1851,1,10
1862,1,11
1873,2,11
1883,1,10
1894,1,11
1905,2,11
1915,1,10
1926,1,11
1936,1,10
1947,2,11
1957,1,10
1969,3,12
1980,1,11
1991,2,11
2005,5,14
2012,2,7
2023,2,11
2033,1,10
2044,2,11
2054,1,10
2065,2,11
2075,1,10
2085,1,10
2096,1,11
2107,2,11
2117,1,10
2127,1,10
2138,2,11
2148,1,10
2159,2,11
2169,1,10
2179,1,10
2190,1,11
2200,1,10
2211,2,11
2221,1,10
2231,1,10
2242,2,11
2252,1,10
2262,1,10
2273,1,11
2283,1,10
2306,14,23
2306,3,0
2314,1,8
2325,1,11
2336,2,11
2346,2,10
2357,2,11
2367,1,10
2378,2,11
2388,2,10
2398,1,10
2409,1,11
2420,2,11
2430,1,10
2441,2,11
2451,1,10
2462,2,11
2472,1,10
2482,1,10
2493,1,11
2504,1,11
2515,1,11
2525,1,10
2536,1,11
2546,1,10
2558,3,12
2568,1,10
2580,2,12
2590,1,10
2601,2,11
2611,1,10
2622,2,11
2632,1,10
2642,1,10
2653,1,11
2665,3,12
2677,4,12
2686,2,9
2698,3,12
2708,2,10
2719,2,11
2729,2,10
2739,1,10
2750,1,11
2761,1,11
2772,1,11
2783,1,11
2794,1,11
2806,2,12
2816,1,10
2827,2,11
2837,1,10
2847,1,10
2858,2,11
2868,1,10
2878,1,10
2889,1,11
2900,2,11
2911,2,11
2921,1,10
2931,1,10
2942,1,11
2953,1,11
2963,1,10
2974,2,11
2985,2,11
