time (ms),latency (ms),consume (ms)
0,12,0
12,6,12
25,3,13
38,3,13
51,3,13
69,7,18
82,1,13
96,2,14
109,2,13
121,1,12
134,2,13
147,2,13
160,1,13
176,4,16
192,1,16
205,2,13
218,2,13
231,2,13
246,4,15
260,2,14
273,2,13
285,1,12
297,1,12
310,2,13
324,2,14
337,1,13
351,2,14
364,1,13
378,2,14
392,2,14
404,1,12
420,2,16
432,1,12
445,1,13
458,2,13
470,1,12
482,1,12
495,2,13
508,2,13
520,1,12
533,2,13
545,2,12
557,1,12
570,2,13
582,2,12
596,3,14
612,3,16
624,2,12
636,1,12
653,3,17
662,2,9
672,1,10
683,2,11
693,1,10
705,3,12
714,1,9
726,3,12
736,2,10
746,2,10
759,2,13
769,2,10
779,1,10
792,1,13
805,1,13
818,1,13
831,1,13
844,2,13
856,2,12
868,1,12
880,1,12
893,2,13
905,2,12
918,2,13
931,3,13
944,2,13
956,2,12
968,2,12
981,2,13
994,1,13
1008,3,14
1021,2,13
1033,2,12
1048,3,15
1063,4,15
1076,2,13
1090,2,14
1101,1,11
1114,2,13
1127,1,13
1140,2,13
1152,2,12
1164,1,12
1176,1,12
1188,1,12
1200,1,12
1213,2,13
1226,2,13
1238,1,12
1250,2,12
1262,1,12
1275,2,13
1287,1,12
1300,2,13
1312,2,12
1324,1,12
1336,1,12
1348,1,12
1360,1,12
1372,1,12
1384,1,12
1396,1,12
1410,4,14
1427,1,17
1440,2,13
1453,2,13
1466,1,13
1479,2,13
1492,2,13
1507,4,15
1520,2,13
1536,2,16
1549,2,13
1562,2,13
1575,2,13
1588,2,13
1603,2,15
1615,1,12
1628,1,13
1641,2,13
1653,2,12
1665,2,12
1677,1,12
1689,1,12
1701,1,12
1713,1,12
1725,1,12
1738,1,13
1750,1,12
1763,2,13
1776,2,13
1789,1,13
1810,4,21
1818,1,8
1831,3,13
1843,1,12
1856,2,13
1869,3,13
1881,1,12
1893,1,12
1905,1,12
1918,2,13
1931,2,13
1942,1,11
1954,1,12
1967,2,13
1980,3,13
1992,2,12
2004,2,12
2019,1,15
2031,1,12
2044,2,13
2056,2,12
2068,2,12
2080,2,12
2092,1,12
2104,1,12
2116,1,12
2128,1,12
2142,3,14
2154,1,12
2166,1,12
2179,2,13
2192,1,13
2204,2,12
2215,1,11
2227,1,12
2239,1,12
2252,2,13
2264,1,12
2278,2,14
2291,2,13
2304,3,13
2316,1,12
2328,1,12
2341,1,13
2356,2,15
2369,2,13
2382,2,13
2395,1,13
2408,2,13
2422,3,14
2452,2,30
2468,2,16
2481,2,13
2493,2,12
2505,2,12
2516,1,11
2528,1,12
2540,1,12
2552,2,12
2564,1,12
2576,1,12
2588,1,12
2599,1,11
2611,1,12
2623,1,12
2635,1,12
2647,1,12
2659,1,12
2673,1,14
2685,1,12
2697,1,12
2709,2,12
2720,1,11
2732,1,12
2744,1,12
2756,1,12
2779,12,23
2788,6,9
2799,2,11
2809,1,10
2820,1,11
2837,7,17
2847,2,10
2858,1,11
2869,1,11
2881,1,12
2893,2,12
2904,1,11
2916,2,12
2927,1,11
2938,1,11
2950,1,12
2961,1,11
2972,1,11
2985,2,13
2998,2,13
3010,1,12
3023,2,13
3034,1,11
3046,1,12
3058,1,12
3072,3,14
3086,4,14
3100,1,14
3114,2,14
3126,1,12
3139,1,13
3155,2,16
3168,3,13
3182,3,14
3208,2,26
3222,4,14
3235,2,13
3248,2,13
3260,1,12
3273,2,13
3285,1,12
3297,1,12
3309,1,12
3321,1,12
3334,2,13
3346,1,12
3359,2,13
3372,2,13
3383,1,11
3395,1,12
3407,1,12
3419,1,12
3431,1,12
3443,1,12
3455,1,12
3467,1,12
3480,2,13
3492,1,12
3504,1,12
3516,2,12
3528,2,12
3542,3,14
3555,2,13
3568,2,13
3581,2,13
3594,2,13
3607,2,13
3620,2,13
3633,2,13
3646,2,13
3659,2,13
3673,2,14
3686,2,13
3699,2,13
3713,2,14
3726,2,13
3740,3,14
3753,2,13
3766,2,13
3800,5,34
3817,2,17
3832,3,15
3846,3,14
3866,8,20
3882,3,16
3898,2,16
3914,4,16
3933,3,19
3959,3,26
3975,3,16
3997,4,22
4008,3,11
4019,3,11
4030,3,11
4050,9,20
4068,3,18
4081,2,13
4094,2,13
4109,4,15
4123,3,14
4136,2,13
4151,3,15
4174,3,23
4190,4,16
4204,2,14
4217,2,13
4231,3,14
4248,6,17
4262,2,14
4276,2,14
4289,3,13
4306,6,17
4319,2,13
4332,2,13
4345,2,13
4358,2,13
4371,2,13
4384,1,13
4397,2,13
4411,2,14
4424,2,13
4437,2,13
4450,2,13
4462,1,12
4474,1,12
4486,1,12
4498,1,12
4509,1,11
4521,1,12
4533,2,12
4545,1,12
4557,1,12
4569,1,12
4581,1,12
4593,2,12
4605,2,12
4617,2,12
4629,2,12
4640,1,11
4652,1,12
4664,1,12
4676,1,12
4687,1,11
4699,1,12
4710,0,11
4722,1,12
4734,2,12
4747,3,13
4759,1,12
4770,1,11
4782,1,12
4794,1,12
4806,1,12
4819,3,13
4831,1,12
4843,2,12
4855,1,12
4868,1,13
4880,2,12
