time (ms),latency (ms),consume (ms)
0,7,0
39,38,39
40,37,1
40,36,0
40,34,0
40,33,0
41,32,1
41,31,0
41,30,0
41,28,0
41,27,0
43,27,2
45,28,2
45,26,0
45,24,0
45,22,0
46,21,1
46,20,0
50,22,4
52,23,2
55,24,3
55,22,0
57,23,2
57,15,0
57,13,0
57,10,0
57,8,0
59,8,2
59,5,0
61,5,2
61,3,0
61,1,0
67,5,6
67,4,0
67,3,0
69,3,2
69,1,0
75,5,6
75,4,0
75,3,0
75,2,0
77,2,2
79,2,2
80,1,1
81,1,1
83,2,2
84,1,1
85,1,1
86,1,1
88,2,2
89,1,1
90,1,1
92,2,2
95,3,3
96,1,1
97,1,1
98,1,1
100,1,2
101,1,1
102,1,1
104,2,2
107,3,3
112,3,5
113,1,1
115,1,2
117,2,2
119,2,2
120,1,1
121,1,1
122,1,1
123,1,1
125,2,2
126,1,1
127,1,1
128,1,1
129,1,1
133,2,4
134,1,1
135,1,1
138,1,3
139,1,1
142,3,3
144,1,2
145,1,1
146,1,1
148,1,2
149,1,1
152,3,3
153,1,1
156,3,3
158,1,2
159,1,1
160,1,1
161,1,1
162,1,1
164,1,2
165,1,1
166,1,1
167,1,1
168,1,1
170,1,2
171,1,1
172,1,1
173,1,1
174,1,1
176,1,2
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
184,1,3
185,1,1
186,1,1
187,1,1
189,1,2
190,1,1
191,1,1
192,1,1
193,1,1
196,1,3
197,1,1
198,1,1
199,1,1
204,4,5
209,2,5
210,1,1
214,2,4
216,1,2
224,8,8
228,3,4
236,7,8
237,1,1
239,2,2
240,1,1
241,1,1
242,1,1
243,1,1
244,1,1
246,1,2
247,1,1
248,1,1
249,1,1
250,1,1
251,1,1
253,1,2
254,1,1
255,1,1
256,1,1
257,1,1
259,2,2
260,1,1
262,2,2
266,3,4
266,2,0
267,2,1
269,2,2
269,1,0
270,1,1
273,3,3
276,4,3
276,2,0
276,1,0
278,2,2
280,2,2
283,2,3
283,1,0
287,3,4
287,2,0
287,1,0
289,2,2
289,1,0
290,1,1
293,1,3
294,1,1
295,1,1
296,1,1
298,1,2
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
305,1,2
306,1,1
307,1,1
308,1,1
309,1,1
311,1,2
312,1,1
313,1,1
314,1,1
315,1,1
317,1,2
320,1,3
321,1,1
322,1,1
323,1,1
324,1,1
326,1,2
327,1,1
328,1,1
329,1,1
330,1,1
331,1,1
332,1,1
334,1,2
335,1,1
336,1,1
337,1,1
338,1,1
339,1,1
340,1,1
342,1,2
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
366,19,19
373,21,7
373,20,0
373,18,0
373,17,0
373,14,0
373,13,0
375,13,2
375,11,0
375,9,0
375,8,0
377,9,2
377,8,0
377,7,0
379,8,2
379,7,0
379,5,0
379,3,0
379,1,0
381,1,2
384,2,3
384,1,0
386,2,2
388,2,2
391,2,3
391,1,0
394,2,3
394,1,0
397,2,3
397,1,0
400,2,3
400,1,0
403,2,3
403,1,0
407,3,4
407,2,0
407,1,0
410,2,3
410,1,0
412,2,2
412,1,0
413,1,1
414,1,1
416,1,2
417,1,1
418,1,1
419,1,1
420,1,1
421,1,1
422,1,1
424,1,2
425,1,1
426,1,1
427,1,1
428,1,1
429,1,1
430,1,1
432,1,2
433,1,1
434,1,1
435,1,1
436,1,1
437,0,1
439,1,2
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
448,1,3
449,1,1
450,1,1
451,1,1
452,1,1
453,0,1
455,1,2
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
464,1,3
465,1,1
466,1,1
467,1,1
468,1,1
469,1,1
472,1,3
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
479,1,2
480,1,1
481,1,1
482,1,1
483,1,1
484,1,1
485,1,1
488,1,3
489,1,1
491,2,2
