time (ms),latency (ms),consume (ms)
0,12,0
4,11,4
7,12,3
10,13,3
13,15,3
15,15,2
17,15,2
18,14,1
20,15,2
23,16,3
25,16,2
26,16,1
28,16,2
29,15,1
31,16,2
32,15,1
34,16,2
36,16,2
37,16,1
39,15,2
40,13,1
42,13,2
44,13,2
45,13,1
47,13,2
49,14,2
50,13,1
52,13,2
54,14,2
55,13,1
57,14,2
58,13,1
60,14,2
61,13,1
63,13,2
65,13,2
66,13,1
68,13,2
69,12,1
71,12,2
73,13,2
74,12,1
76,12,2
77,12,1
79,12,2
81,12,2
82,12,1
84,12,2
85,11,1
87,11,2
88,11,1
90,11,2
91,10,1
93,11,2
94,10,1
96,10,2
97,10,1
99,10,2
100,9,1
102,9,2
103,9,1
105,9,2
106,8,1
108,8,2
110,9,2
111,8,1
113,9,2
114,8,1
115,8,1
117,8,2
118,8,1
120,8,2
122,8,2
123,8,1
125,8,2
126,8,1
128,8,2
130,9,2
131,8,1
133,9,2
134,8,1
136,8,2
138,8,2
139,8,1
141,8,2
142,7,1
144,7,2
145,7,1
147,7,2
148,7,1
150,7,2
151,6,1
154,8,3
156,8,2
157,8,1
159,8,2
161,9,2
162,8,1
164,8,2
165,8,1
166,7,1
168,7,2
169,6,1
170,6,1
172,6,2
173,6,1
174,5,1
176,6,2
177,6,1
178,5,1
179,5,1
180,4,1
181,3,1
183,1,2
185,1,2
188,2,3
190,1,2
193,2,3
195,2,2
197,3,2
199,3,2
201,4,2
203,4,2
204,3,1
205,3,1
207,2,2
209,2,2
211,2,2
213,2,2
214,1,1
216,1,2
218,2,2
219,1,1
221,2,2
222,1,1
224,1,2
226,1,2
228,2,2
230,2,2
231,1,1
233,1,2
235,1,2
237,2,2
238,1,1
240,1,2
242,1,2
244,1,2
246,2,2
248,2,2
249,1,1
251,1,2
252,1,1
255,2,3
256,1,1
258,1,2
260,2,2
262,2,2
263,1,1
265,1,2
267,2,2
269,2,2
270,1,1
272,1,2
274,2,2
275,1,1
277,2,2
278,1,1
279,1,1
281,1,2
282,1,1
284,2,2
285,1,1
286,1,1
288,1,2
289,1,1
291,1,2
292,1,1
294,1,2
295,1,1
297,1,2
298,1,1
300,1,2
302,2,2
303,1,1
304,1,1
306,1,2
308,1,2
310,2,2
312,2,2
313,1,1
315,2,2
317,2,2
319,2,2
321,3,2
322,2,1
323,2,1
325,2,2
326,2,1
327,1,1
328,1,1
330,1,2
332,2,2
333,1,1
335,2,2
336,1,1
338,2,2
339,1,1
341,1,2
342,1,1
344,2,2
345,1,1
347,2,2
348,1,1
350,2,2
351,1,1
353,2,2
354,1,1
372,18,18
373,17,1
375,18,2
376,17,1
377,17,1
379,18,2
380,17,1
381,16,1
383,16,2
384,15,1
386,15,2
388,16,2
389,15,1
390,15,1
391,14,1
393,15,2
395,16,2
396,15,1
397,15,1
399,16,2
400,15,1
402,15,2
403,14,1
405,15,2
406,14,1
408,15,2
409,15,1
411,15,2
412,15,1
414,15,2
415,15,1
417,15,2
419,16,2
420,15,1
422,16,2
423,15,1
425,16,2
427,16,2
429,16,2
430,15,1
432,16,2
434,16,2
435,15,1
436,15,1
438,15,2
439,15,1
441,15,2
442,15,1
444,15,2
445,15,1
447,15,2
448,15,1
450,15,2
451,15,1
453,15,2
455,16,2
456,15,1
457,15,1
459,15,2
460,15,1
461,14,1
463,15,2
464,14,1
466,15,2
467,15,1
468,14,1
469,14,1
471,14,2
473,15,2
474,15,1
475,14,1
477,15,2
478,14,1
480,15,2
481,14,1
482,14,1
484,14,2
485,13,1
486,13,1
488,13,2
489,12,1
490,12,1
492,12,2
494,12,2
495,12,1
496,11,1
498,12,2
500,12,2
501,12,1
502,11,1
504,12,2
505,11,1
506,11,1
508,12,2
509,11,1
511,11,2
512,11,1
514,11,2
516,11,2
517,10,1
518,10,1
520,10,2
521,9,1
523,9,2
525,9,2
526,8,1
528,9,2
529,8,1
531,8,2
533,9,2
534,8,1
536,8,2
537,8,1
539,8,2
540,7,1
541,7,1
543,7,2
544,6,1
545,5,1
546,5,1
547,4,1
549,5,2
550,4,1
552,5,2
553,4,1
554,4,1
555,3,1
557,4,2
558,3,1
560,3,2
561,3,1
562,2,1
564,3,2
565,2,1
566,2,1
567,1,1
569,2,2
570,2,1
571,1,1
573,2,2
574,1,1
576,2,2
577,2,1
578,1,1
580,1,2
582,1,2
584,1,2
586,1,2
588,1,2
590,1,2
592,1,2
594,1,2
596,1,2
598,2,2
600,1,2
602,1,2
604,1,2
606,1,2
608,1,2
610,2,2
611,1,1
613,2,2
614,2,1
616,2,2
617,2,1
619,2,2
622,3,3
624,4,2
626,2,2
627,2,1
629,2,2
630,2,1
631,2,1
633,2,2
634,2,1
636,2,2
637,2,1
639,3,2
640,2,1
641,2,1
643,2,2
644,2,1
645,2,1
647,2,2
648,2,1
649,2,1
651,2,2
652,2,1
653,2,1
655,2,2
656,2,1
658,3,2
659,2,1
660,2,1
661,2,1
662,1,1
664,2,2
665,1,1
667,2,2
668,1,1
669,1,1
671,2,2
672,1,1
674,2,2
675,1,1
676,1,1
678,2,2
680,1,2
682,1,2
684,2,2
685,1,1
687,2,2
689,3,2
690,2,1
691,2,1
693,3,2
695,3,2
696,3,1
698,3,2
700,4,2
701,3,1
702,3,1
704,3,2
706,4,2
707,3,1
709,4,2
710,3,1
712,4,2
713,3,1
715,3,2
716,3,1
718,3,2
719,3,1
721,4,2
722,3,1
724,3,2
725,3,1
727,3,2
728,3,1
730,3,2
731,3,1
732,2,1
734,3,2
736,4,2
737,3,1
739,3,2
740,3,1
742,3,2
743,3,1
745,3,2
746,3,1
748,3,2
750,4,2
751,3,1
752,2,1
754,3,2
755,3,1
757,3,2
758,3,1
760,3,2
761,3,1
762,2,1
764,3,2
765,3,1
767,3,2
768,3,1
770,3,2
771,3,1
772,3,1
774,3,2
775,3,1
777,3,2
778,3,1
780,4,2
782,4,2
784,5,2
785,4,1
786,4,1
788,4,2
789,4,1
790,4,1
792,4,2
793,4,1
794,4,1
796,4,2
797,4,1
798,4,1
800,4,2
801,4,1
803,5,2
804,4,1
806,5,2
807,4,1
809,5,2
819,2,10
821,2,2
822,2,1
824,2,2
825,2,1
826,2,1
827,1,1
828,1,1
830,1,2
831,1,1
833,2,2
835,2,2
