time (ms),latency (ms),consume (ms)
0,9,0
7,3,7
13,3,6
20,2,7
27,2,7
34,1,7
41,1,7
48,1,7
56,3,8
63,2,7
70,2,7
77,2,7
83,1,6
93,4,10
101,2,8
107,1,6
114,2,7
121,1,7
129,3,8
137,2,8
143,1,6
149,1,6
156,1,7
163,2,7
169,1,6
183,1,14
191,2,8
198,1,7
206,1,8
215,2,9
222,2,7
233,2,11
240,2,7
247,2,7
253,1,6
259,1,6
266,1,7
274,2,8
280,1,6
287,1,7
294,2,7
300,1,6
307,1,7
313,1,6
320,1,7
327,2,7
333,0,6
343,4,10
349,1,6
356,1,7
362,1,6
369,1,7
375,1,6
381,1,6
388,1,7
395,1,7
401,1,6
407,1,6
414,1,7
420,1,6
427,1,7
433,0,6
440,1,7
447,1,7
454,1,7
462,1,8
469,1,7
475,1,6
481,1,6
487,1,6
493,1,6
501,1,8
507,0,6
513,1,6
520,1,7
526,1,6
532,0,6
539,1,7
545,1,6
552,2,7
558,0,6
565,1,7
572,1,7
581,3,9
588,1,7
595,0,7
601,0,6
607,0,6
613,0,6
619,0,6
625,0,6
631,1,6
641,1,10
647,1,6
653,0,6
659,1,6
665,1,6
671,1,6
677,1,6
683,1,6
689,1,6
695,1,6
701,1,6
708,2,7
714,1,6
720,0,6
727,1,7
733,1,6
739,1,6
745,1,6
751,0,6
760,3,9
766,1,6
772,0,6
781,1,9
787,1,6
794,0,7
801,1,7
807,1,6
814,1,7
821,1,7
828,1,7
834,1,6
841,1,7
848,1,7
855,1,7
864,1,9
871,1,7
877,1,6
883,1,6
889,1,6
895,1,6
900,0,5
906,0,6
912,1,6
918,1,6
924,1,6
930,1,6
936,1,6
942,1,6
948,1,6
954,1,6
959,0,5
966,1,7
972,1,6
979,2,7
986,2,7
992,1,6
998,1,6
1004,1,6
1010,1,6
1017,1,7
1023,1,6
1028,0,5
1034,0,6
1040,0,6
1047,1,7
1053,1,6
1061,1,8
1067,1,6
1073,1,6
1079,1,6
1085,1,6
1091,1,6
1097,1,6
1103,1,6
1108,0,5
1114,0,6
1121,1,7
1129,1,8
1135,1,6
1140,0,5
1146,0,6
1152,1,6
1158,1,6
1166,1,8
1172,1,6
1178,1,6
1184,1,6
1190,1,6
1196,0,6
1203,1,7
1209,1,6
1215,1,6
1221,0,6
1228,1,7
1235,2,7
1242,1,7
1249,1,7
1255,1,6
1263,2,8
1275,1,12
1285,1,10
1291,1,6
1298,1,7
1304,1,6
1310,1,6
1316,1,6
1322,1,6
1327,0,5
1334,1,7
1340,1,6
1346,1,6
1352,1,6
1358,1,6
1364,1,6
1370,1,6
1375,0,5
1381,1,6
1387,1,6
1393,1,6
1399,1,6
1405,1,6
1411,0,6
1417,0,6
1423,1,6
1429,1,6
1441,7,12
1445,1,4
1451,1,6
1457,1,6
1463,1,6
1471,3,8
1477,1,6
1483,1,6
1488,0,5
1494,1,6
1500,1,6
1506,1,6
1512,1,6
1518,1,6
1524,1,6
1530,1,6
1535,0,5
1541,1,6
1548,2,7
1555,2,7
1561,1,6
1567,1,6
1573,1,6
1579,0,6
1586,2,7
1593,2,7
1600,2,7
1607,1,7
1614,2,7
1620,1,6
1629,3,9
1635,1,6
1646,2,11
1653,2,7
1660,2,7
1667,2,7
1672,0,5
1678,0,6
1685,1,7
1691,1,6
1697,1,6
1703,1,6
1709,1,6
1715,1,6
1721,1,6
1727,1,6
1733,1,6
1738,0,5
1745,1,7
1751,1,6
1757,1,6
1764,2,7
1770,1,6
1776,1,6
1782,1,6
1788,1,6
1795,2,7
1801,1,6
1808,1,7
1814,1,6
1819,0,5
1825,0,6
1831,0,6
1837,1,6
1843,0,6
1850,1,7
1856,1,6
1862,1,6
