time (ms),latency (ms),consume (ms)
0,18,0
1,11,1
1,10,0
1,9,0
1,8,0
1,8,0
10,14,9
10,9,0
10,8,0
10,7,0
10,6,0
10,6,0
11,6,1
11,5,0
17,8,6
17,6,0
17,6,0
17,5,0
17,4,0
19,4,2
19,4,0
19,3,0
25,9,6
25,7,0
25,6,0
29,9,4
29,9,0
30,9,1
31,9,1
31,8,0
31,8,0
32,8,1
32,3,0
32,0,0
34,1,2
34,0,0
35,0,1
36,1,1
38,1,2
39,1,1
39,0,0
41,1,2
41,0,0
42,1,1
43,1,1
46,3,3
46,0,0
49,2,3
52,0,3
54,1,2
55,1,1
55,0,0
56,1,1
56,0,0
57,0,1
58,1,1
59,1,1
60,1,1
61,0,1
62,1,1
63,1,1
64,0,1
65,0,1
69,1,4
69,0,0
70,1,1
71,1,1
71,0,0
72,1,1
72,0,0
73,0,1
74,1,1
75,1,1
76,0,1
77,0,1
78,1,1
78,0,0
80,0,2
81,1,1
83,2,2
84,1,1
85,1,1
86,1,1
90,2,4
91,1,1
91,0,0
92,1,1
93,1,1
93,0,0
94,1,1
96,0,2
97,1,1
98,1,1
100,0,2
102,1,2
103,1,1
104,1,1
106,1,2
107,1,1
108,1,1
109,1,1
112,1,3
113,1,1
113,0,0
114,1,1
115,0,1
116,1,1
117,1,1
118,1,1
119,1,1
119,0,0
120,0,1
124,1,4
125,1,1
125,0,0
126,0,1
127,1,1
127,0,0
132,1,5
133,1,1
133,0,0
134,1,1
134,0,0
135,0,1
136,0,1
137,1,1
137,0,0
140,1,3
141,1,1
141,0,0
142,0,1
143,1,1
143,0,0
144,1,1
144,0,0
145,1,1
148,1,3
149,1,1
149,0,0
150,0,1
151,1,1
152,1,1
155,1,3
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
163,1,2
164,0,1
165,1,1
169,1,4
169,0,0
170,0,1
171,1,1
172,1,1
173,1,1
174,1,1
174,0,0
175,0,1
176,1,1
176,0,0
177,1,1
177,0,0
178,0,1
179,1,1
179,0,0
180,1,1
181,0,1
184,1,3
185,1,1
185,0,0
186,0,1
187,1,1
188,1,1
189,1,1
189,0,0
190,0,1
191,1,1
191,0,0
192,1,1
192,0,0
193,1,1
193,0,0
194,0,1
196,1,2
198,1,2
199,0,1
200,1,1
200,0,0
205,1,5
209,1,4
210,1,1
210,0,0
211,1,1
212,1,1
213,1,1
213,0,0
214,0,1
215,1,1
216,1,1
217,1,1
217,0,0
218,1,1
219,1,1
220,1,1
221,1,1
221,0,0
224,0,3
227,1,3
228,1,1
228,0,0
229,1,1
229,0,0
230,0,1
231,1,1
232,1,1
232,0,0
233,1,1
233,0,0
234,0,1
237,1,3
237,0,0
242,1,5
244,0,2
245,0,1
246,1,1
247,1,1
247,0,0
248,1,1
248,0,0
249,1,1
249,0,0
250,0,1
250,0,0
251,0,1
253,1,2
256,0,3
257,1,1
257,0,0
258,0,1
259,1,1
260,0,1
262,1,2
262,0,0
263,1,1
263,0,0
264,1,1
264,0,0
266,1,2
267,0,1
268,1,1
