time (ms),latency (ms),consume (ms)
0,10,0
2,4,2
7,2,5
14,3,7
19,2,5
25,1,6
31,2,6
37,2,6
43,2,6
49,2,6
55,1,6
61,2,6
67,2,6
73,2,6
78,1,5
84,1,6
91,2,7
97,2,6
103,2,6
108,2,5
114,1,6
121,2,7
126,1,5
132,2,6
137,1,5
143,1,6
149,2,6
154,1,5
160,2,6
165,1,5
171,2,6
176,1,5
182,1,6
188,2,6
193,1,5
199,1,6
205,1,6
212,2,7
217,1,5
224,2,7
229,1,5
236,2,7
241,2,5
246,1,5
252,2,6
258,2,6
263,1,5
269,1,6
275,2,6
281,2,6
286,1,5
292,1,6
298,2,6
303,1,5
309,1,6
315,2,6
320,1,5
326,1,6
331,1,5
337,1,6
344,2,7
349,1,5
355,1,6
362,2,7
368,1,6
374,1,6
380,1,6
386,1,6
392,1,6
398,1,6
404,1,6
410,1,6
416,1,6
422,1,6
428,1,6
434,2,6
439,1,5
445,2,6
450,1,5
457,3,7
462,1,5
468,2,6
475,2,7
483,4,8
488,1,5
493,1,5
499,1,6
504,1,5
510,1,6
515,1,5
520,1,5
526,1,6
532,2,6
538,3,6
544,2,6
549,1,5
555,1,6
560,1,5
566,1,6
571,1,5
576,1,5
582,1,6
587,1,5
593,1,6
598,1,5
604,2,6
609,1,5
615,2,6
620,1,5
625,1,5
631,1,6
639,4,8
644,1,5
650,1,6
656,1,6
661,1,5
667,1,6
672,1,5
678,1,6
684,1,6
690,1,6
696,2,6
701,1,5
707,2,6
712,1,5
718,2,6
723,1,5
729,2,6
734,1,5
739,1,5
745,1,6
750,1,5
755,1,5
761,1,6
766,1,5
771,1,5
777,1,6
782,1,5
788,1,6
793,1,5
798,1,5
804,1,6
809,1,5
814,1,5
820,1,6
825,1,5
831,1,6
837,2,6
843,2,6
848,2,5
853,1,5
859,2,6
864,1,5
870,2,6
875,2,5
880,1,5
886,2,6
891,1,5
897,2,6
902,1,5
908,2,6
913,1,5
919,2,6
924,1,5
929,1,5
935,2,6
940,1,5
946,2,6
951,1,5
957,2,6
962,1,5
968,2,6
973,1,5
979,2,6
984,2,5
990,2,6
995,1,5
1001,1,6
1006,1,5
1012,2,6
1017,1,5
1023,2,6
1028,1,5
1034,2,6
1039,1,5
1044,1,5
1050,2,6
1056,2,6
1061,1,5
1067,2,6
1072,1,5
1078,2,6
1083,1,5
1089,1,6
1094,1,5
1099,1,5
1105,1,6
1110,1,5
1116,2,6
1121,1,5
1126,1,5
1132,1,6
1137,1,5
1143,2,6
1148,1,5
1153,1,5
1159,1,6
1164,1,5
1170,2,6
1175,1,5
1180,1,5
1186,1,6
1191,1,5
1197,1,6
1202,1,5
1208,2,6
1213,1,5
1230,13,17
1230,7,0
1230,2,0
1235,1,5
1241,1,6
1247,2,6
1253,1,6
1259,1,6
1265,1,6
1271,1,6
1277,1,6
1283,1,6
1289,2,6
1294,1,5
1300,2,6
1305,1,5
1310,1,5
1316,2,6
1321,1,5
1326,1,5
1332,1,6
1337,1,5
1343,2,6
1348,1,5
1353,1,5
1359,1,6
1364,1,5
1370,1,6
1376,2,6
1381,1,5
1386,1,5
1392,2,6
1397,1,5
1403,2,6
1408,1,5
1414,2,6
1419,1,5
1425,1,6
1432,2,7
1437,1,5
1443,1,6
1450,2,7
1455,1,5
1462,2,7
1468,2,6
1473,1,5
1479,1,6
1484,1,5
1490,2,6
1495,1,5
1500,1,5
1506,1,6
1511,1,5
1517,1,6
1522,1,5
1528,1,6
1533,1,5
1539,1,6
1544,1,5
1550,1,6
1556,1,6
1563,2,7
1568,1,5
1573,1,5
1579,2,6
1584,1,5
1589,1,5
1595,2,6
1600,1,5
1605,1,5
1611,1,6
1616,1,5
1622,2,6
1627,1,5
1632,1,5
1638,1,6
1643,1,5
1649,2,6
1654,1,5
1659,1,5
1665,2,6
1670,1,5
1676,2,6
1681,1,5
1686,1,5
1692,2,6
1697,1,5
1702,1,5
1708,2,6
1713,1,5
1718,1,5
1724,1,6
1729,1,5
1735,2,6
1740,1,5
1746,2,6
1751,1,5
1756,1,5
1762,2,6
1767,1,5
1774,3,7
1778,1,4
1783,1,5
1789,1,6
1794,1,5
1799,1,5
1805,1,6
1810,1,5
1818,4,8
1821,1,3
1826,1,5
1832,2,6
1837,1,5
1843,2,6
1848,1,5
1853,1,5
1859,2,6
1864,1,5
1870,2,6
1875,1,5
1880,1,5
1886,2,6
1891,1,5
1896,1,5
1902,1,6
1907,1,5
1912,1,5
1918,1,6
1923,1,5
1929,2,6
1934,1,5
1939,1,5
1945,1,6
1950,1,5
1955,1,5
1961,1,6
1966,1,5
1971,1,5
1977,1,6
1982,1,5
1987,1,5
1993,1,6
1998,1,5
2004,1,6
2009,1,5
2014,1,5
2020,1,6
2025,1,5
2031,2,6
2036,1,5
2041,1,5
2047,2,6
2052,1,5
2057,1,5
2063,1,6
2068,1,5
2074,2,6
2079,1,5
2084,1,5
2090,1,6
2096,2,6
2101,1,5
2107,2,6
2112,1,5
2118,2,6
2123,1,5
2141,2,18
2146,1,5
2151,1,5
2157,2,6
2162,1,5
2168,1,6
2174,1,6
2180,1,6
2185,1,5
2190,1,5
2196,1,6
2203,3,7
2206,1,3
2212,1,6
2217,1,5
2222,1,5
2228,1,6
2233,1,5
2238,1,5
2244,1,6
2249,1,5
2254,1,5
2260,1,6
2265,1,5
2270,1,5
2276,1,6
2281,1,5
2286,1,5
2292,1,6
2297,1,5
2302,1,5
2308,1,6
2313,1,5
2319,2,6
2324,1,5
2329,1,5
2334,1,5
2340,1,6
2345,1,5
2351,2,6
2356,1,5
2361,1,5
2367,2,6
2372,1,5
2377,1,5
2383,2,6
2388,1,5
2393,1,5
2399,2,6
2404,1,5
2409,1,5
2415,2,6
2420,1,5
2425,1,5
2431,2,6
2436,1,5
2441,1,5
2447,1,6
2452,1,5
2458,2,6
2463,1,5
2468,1,5
2473,1,5
2479,1,6
2484,1,5
2489,1,5
2495,1,6
2500,1,5
2505,1,5
2511,2,6
2516,1,5
2521,1,5
2526,1,5
2532,1,6
2537,1,5
2543,2,6
2548,1,5
2553,1,5
2559,1,6
2564,1,5
2569,1,5
2575,1,6
2580,1,5
2585,1,5
2591,1,6
2596,1,5
2601,1,5
2607,1,6
2612,1,5
2617,1,5
2623,1,6
2628,1,5
2634,2,6
2639,1,5
2644,1,5
2650,2,6
2655,1,5
2660,1,5
2666,2,6
2671,1,5
2676,1,5
2682,2,6
2687,1,5
2692,1,5
2698,2,6
2703,1,5
2708,1,5
2714,2,6
2720,2,6
2728,4,8
2730,1,2
2735,1,5
2741,1,6
2746,1,5
2752,2,6
2757,1,5
2762,1,5
2767,1,5
2773,1,6
2778,1,5
2784,2,6
2789,1,5
2794,1,5
2800,2,6
2805,1,5
2811,2,6
2816,1,5
2822,2,6
2827,2,5
2832,1,5
2838,1,6
2843,1,5
2849,2,6
2854,1,5
2859,1,5
2865,2,6
2870,1,5
2875,1,5
2881,1,6
2886,1,5
2891,1,5
2897,1,6
2902,1,5
2907,1,5
2913,1,6
2918,1,5
2924,1,6
2930,1,6
2935,1,5
2940,1,5
2946,1,6
2951,1,5
2956,1,5
2962,1,6
2967,1,5
2972,1,5
2978,1,6
2983,1,5
2988,1,5
2994,1,6
2999,1,5
3004,1,5
3010,1,6
3015,1,5
3021,2,6
3026,1,5
3031,1,5
3037,2,6
3042,1,5
3047,1,5
3052,1,5
3058,1,6
3063,1,5
3068,1,5
3074,1,6
3079,1,5
3084,1,5
3090,1,6
3095,1,5
3100,1,5
3106,1,6
3111,1,5
3116,1,5
3122,1,6
3127,1,5
3132,1,5
3138,1,6
3143,1,5
3148,1,5
3154,1,6
3159,1,5
3164,1,5
3170,1,6
3175,1,5
3180,1,5
3186,1,6
3192,2,6
3197,1,5
3202,1,5
3207,1,5
3213,1,6
3219,2,6
3224,1,5
3229,1,5
3234,1,5
3240,2,6
3245,1,5
3250,1,5
3255,1,5
3261,2,6
3266,1,5
3271,1,5
3277,1,6
3282,1,5
3287,1,5
3292,1,5
3299,2,7
3304,1,5
3310,1,6
3315,1,5
3321,2,6
3326,1,5
3331,1,5
3336,1,5
3342,1,6
3347,1,5
3353,2,6
3358,1,5
3363,1,5
3368,1,5
3374,1,6
3379,1,5
3385,2,6
3390,1,5
3395,1,5
3401,2,6
3406,1,5
3411,1,5
3416,1,5
3422,1,6
3427,1,5
3433,2,6
3438,1,5
3443,1,5
3449,1,6
3454,1,5
3459,1,5
3465,2,6
3470,1,5
3475,1,5
3481,2,6
3486,1,5
3491,1,5
3497,2,6
3502,1,5
3507,1,5
3513,1,6
3519,1,6
3526,2,7
3531,2,5
3536,1,5
3541,1,5
3547,1,6
3552,1,5
3557,1,5
3563,1,6
3568,1,5
3574,2,6
3579,1,5
3584,1,5
3590,1,6
3596,1,6
3601,1,5
3606,1,5
3612,1,6
3617,1,5
3622,1,5
3628,1,6
3633,1,5
3638,1,5
3644,1,6
3649,1,5
3654,1,5
3660,1,6
3665,1,5
3670,1,5
3676,1,6
3681,1,5
3686,1,5
3692,2,6
3697,1,5
3702,1,5
3708,2,6
3713,1,5
3718,1,5
3724,2,6
3729,1,5
3734,1,5
3740,2,6
3745,1,5
3750,1,5
3756,2,6
3761,1,5
3766,1,5
3772,2,6
3777,1,5
3782,1,5
3787,1,5
3793,1,6
3798,1,5
3805,3,7
3809,1,4
3814,1,5
3820,2,6
3825,1,5
