time (ms),latency (ms),consume (ms)
0,8,0
14,13,14
15,14,1
15,13,0
15,13,0
15,12,0
15,12,0
16,13,1
16,13,0
16,12,0
16,12,0
19,15,3
19,15,0
19,14,0
21,15,2
21,14,0
21,14,0
21,14,0
24,16,3
26,18,2
28,20,2
28,19,0
60,42,32
60,40,0
63,43,3
63,40,0
63,40,0
64,40,1
66,39,2
67,39,1
67,39,0
67,38,0
74,45,7
77,48,3
77,47,0
77,47,0
77,47,0
77,47,0
79,48,2
81,49,2
81,49,0
81,48,0
85,52,4
85,52,0
85,52,0
85,51,0
85,51,0
85,51,0
86,52,1
88,53,2
88,53,0
88,53,0
88,52,0
88,52,0
88,50,0
88,50,0
90,52,2
90,52,0
90,51,0
90,51,0
90,50,0
91,51,1
92,48,1
92,46,0
92,45,0
92,42,0
93,42,1
93,42,0
94,42,1
94,42,0
94,42,0
94,41,0
94,41,0
95,42,1
95,42,0
95,42,0
96,42,1
96,41,0
96,41,0
97,30,1
97,26,0
101,27,4
101,23,0
101,21,0
101,19,0
101,18,0
103,19,2
103,17,0
128,41,25
128,41,0
133,41,5
133,40,0
133,40,0
133,39,0
133,38,0
134,39,1
134,39,0
134,38,0
134,37,0
134,37,0
134,36,0
134,36,0
137,38,3
137,38,0
137,37,0
137,37,0
138,38,1
138,37,0
138,36,0
138,36,0
138,36,0
138,35,0
139,36,1
139,35,0
140,36,1
140,36,0
144,40,4
144,39,0
144,39,0
144,39,0
144,39,0
144,38,0
144,38,0
146,40,2
146,40,0
146,33,0
146,32,0
146,31,0
149,34,3
149,33,0
149,30,0
171,50,22
171,31,0
171,30,0
173,32,2
173,32,0
173,30,0
173,30,0
174,31,1
177,34,3
178,33,1
178,33,0
178,33,0
178,33,0
178,33,0
178,31,0
182,35,4
182,35,0
182,35,0
183,35,1
183,35,0
186,38,3
186,36,0
186,36,0
186,36,0
186,36,0
186,34,0
186,33,0
188,35,2
188,35,0
189,35,1
191,37,2
191,37,0
194,39,3
194,39,0
194,39,0
195,40,1
197,42,2
197,41,0
197,41,0
197,41,0
198,42,1
198,41,0
198,41,0
200,43,2
200,43,0
200,43,0
200,42,0
200,42,0
201,43,1
203,45,2
204,45,1
205,46,1
205,46,0
205,45,0
205,45,0
205,44,0
205,44,0
207,46,2
207,46,0
208,47,1
208,46,0
209,35,1
209,26,0
209,25,0
209,22,0
209,20,0
209,19,0
212,20,3
212,19,0
212,17,0
212,16,0
212,14,0
212,13,0
215,15,3
216,14,1
217,14,1
218,14,1
218,13,0
218,12,0
218,11,0
218,9,0
269,59,51
269,58,0
269,56,0
272,58,3
272,57,0
272,56,0
272,55,0
272,53,0
272,53,0
275,55,3
275,53,0
275,52,0
275,51,0
275,49,0
275,48,0
275,47,0
275,45,0
278,47,3
278,47,0
278,45,0
278,44,0
278,42,0
278,42,0
278,40,0
281,43,3
281,41,0
282,41,1
283,40,1
284,40,1
284,39,0
284,38,0
284,36,0
284,36,0
284,34,0
284,33,0
287,34,3
287,34,0
287,33,0
287,31,0
287,30,0
287,27,0
289,28,2
289,27,0
289,26,0
290,26,1
290,25,0
290,24,0
290,22,0
294,25,4
294,24,0
294,23,0
294,21,0
294,20,0
296,20,2
297,21,1
298,21,1
298,19,0
299,19,1
299,18,0
299,16,0
299,15,0
299,14,0
299,13,0
301,13,2
301,12,0
303,12,2
303,11,0
304,11,1
305,11,1
305,10,0
