time (ms),latency (ms),consume (ms)
0,19,0
15,25,15
25,26,10
34,18,9
42,14,8
51,15,9
59,14,8
64,11,5
70,9,6
77,9,7
83,10,6
89,9,6
95,9,6
101,9,6
107,9,6
130,26,23
137,26,7
138,21,1
139,15,1
143,12,4
151,11,8
156,11,5
161,8,5
168,10,7
173,8,5
179,9,6
185,9,6
191,8,6
197,9,6
203,9,6
209,9,6
215,9,6
221,9,6
227,9,6
233,8,6
239,9,6
246,10,7
251,9,5
256,8,5
263,9,7
284,24,21
284,17,0
288,15,4
289,10,1
306,22,17
310,20,4
316,8,6
322,9,6
327,7,5
333,8,6
338,8,5
344,8,6
350,9,6
355,7,5
361,8,6
367,9,6
372,7,5
379,9,7
384,8,5
390,8,6
396,9,6
403,9,7
411,12,8
416,11,5
422,11,6
438,20,16
439,16,1
440,10,1
444,9,4
449,8,5
455,9,6
462,10,7
467,8,5
473,9,6
478,8,5
484,9,6
489,8,5
495,8,6
501,9,6
506,8,5
512,9,6
519,10,7
523,8,4
529,9,6
535,9,6
540,8,5
546,9,6
553,10,7
558,8,5
563,8,5
582,22,19
586,19,4
586,14,0
587,10,1
591,8,4
602,14,11
603,9,1
608,9,5
613,8,5
619,9,6
624,8,5
630,9,6
635,8,5
641,9,6
646,8,5
652,9,6
657,8,5
663,9,6
668,8,5
674,9,6
680,9,6
686,10,6
691,9,5
699,11,8
703,9,4
721,21,18
725,19,4
725,14,0
726,9,1
730,8,4
736,9,6
744,11,8
750,12,6
757,9,7
763,10,6
768,8,5
775,9,7
780,9,5
790,12,10
797,14,7
807,14,10
815,15,8
818,8,3
824,9,6
831,9,7
835,8,4
841,9,6
846,8,5
852,9,6
858,9,6
863,9,5
884,24,21
885,20,1
886,15,1
886,10,0
889,8,3
894,7,5
900,8,6
906,9,6
912,8,6
918,9,6
924,8,6
930,9,6
936,8,6
943,10,7
948,8,5
953,8,5
958,7,5
964,8,6
970,9,6
976,8,6
982,9,6
987,8,5
993,9,6
1000,10,7
1026,31,26
