time (ms),latency (ms),consume (ms)
0,11,0
1,6,1
2,2,1
5,3,3
5,2,0
7,2,2
8,2,1
9,1,1
11,2,2
12,1,1
14,1,2
15,1,1
17,2,2
18,1,1
20,2,2
21,1,1
23,2,2
24,1,1
27,2,3
29,2,2
31,1,2
33,1,2
35,1,2
37,1,2
40,2,3
42,2,2
44,2,2
46,1,2
48,1,2
51,2,3
53,2,2
55,2,2
57,2,2
59,2,2
61,2,2
62,1,1
64,1,2
66,2,2
67,1,1
69,2,2
70,1,1
72,2,2
73,1,1
74,1,1
76,2,2
77,1,1
79,2,2
80,1,1
82,2,2
83,1,1
85,2,2
86,1,1
87,1,1
89,1,2
90,1,1
92,2,2
93,1,1
95,2,2
96,1,1
98,2,2
99,1,1
101,2,2
102,1,1
104,1,2
106,2,2
107,1,1
108,1,1
110,2,2
111,1,1
113,1,2
115,2,2
116,1,1
118,2,2
119,1,1
121,2,2
122,1,1
124,1,2
125,1,1
127,1,2
128,1,1
130,2,2
132,2,2
133,2,1
134,1,1
136,2,2
137,1,1
139,1,2
141,1,2
142,1,1
144,1,2
145,1,1
147,2,2
148,1,1
150,1,2
152,2,2
153,1,1
155,1,2
157,2,2
158,1,1
160,2,2
163,3,3
163,2,0
164,1,1
166,2,2
167,1,1
169,2,2
170,1,1
171,1,1
173,1,2
174,1,1
176,1,2
177,1,1
179,1,2
181,2,2
183,2,2
185,3,2
185,1,0
187,2,2
188,1,1
190,2,2
192,2,2
193,1,1
195,2,2
196,1,1
198,2,2
200,2,2
201,1,1
203,2,2
205,2,2
206,1,1
207,1,1
209,1,2
211,1,2
213,1,2
215,1,2
217,1,2
219,1,2
222,2,3
223,1,1
224,1,1
226,2,2
227,1,1
228,1,1
230,1,2
231,1,1
233,1,2
234,1,1
236,2,2
237,1,1
238,1,1
240,1,2
241,1,1
243,2,2
244,1,1
245,1,1
247,1,2
249,2,2
250,2,1
251,1,1
253,2,2
254,1,1
255,1,1
257,2,2
258,1,1
260,2,2
261,1,1
262,1,1
264,2,2
265,1,1
267,2,2
268,1,1
269,1,1
271,1,2
272,1,1
274,2,2
275,1,1
279,4,4
279,2,0
279,1,0
281,2,2
282,1,1
284,2,2
285,1,1
286,1,1
288,1,2
289,1,1
291,1,2
293,1,2
294,1,1
296,1,2
298,1,2
299,1,1
301,1,2
303,2,2
304,1,1
306,1,2
308,2,2
309,1,1
311,2,2
312,1,1
314,2,2
315,1,1
317,1,2
318,1,1
320,1,2
322,2,2
323,1,1
325,2,2
326,1,1
328,1,2
329,1,1
331,1,2
333,2,2
334,1,1
336,2,2
337,1,1
339,1,2
352,13,13
352,11,0
352,10,0
352,8,0
352,7,0
352,5,0
352,4,0
352,3,0
352,1,0
354,2,2
356,2,2
359,1,3
360,1,1
362,2,2
364,1,2
366,2,2
367,1,1
369,2,2
370,1,1
372,2,2
373,1,1
374,1,1
376,2,2
377,1,1
379,1,2
380,1,1
382,1,2
383,1,1
385,2,2
386,1,1
388,2,2
389,1,1
391,2,2
392,1,1
394,2,2
395,1,1
396,1,1
398,1,2
400,2,2
401,1,1
403,2,2
404,1,1
405,1,1
407,1,2
409,1,2
411,1,2
413,2,2
415,1,2
417,1,2
419,1,2
421,1,2
423,1,2
425,1,2
427,1,2
429,1,2
430,1,1
432,2,2
433,1,1
434,1,1
436,1,2
437,1,1
439,2,2
440,1,1
441,1,1
443,1,2
444,1,1
446,2,2
447,1,1
449,2,2
451,1,2
453,2,2
454,1,1
455,1,1
457,1,2
458,1,1
460,1,2
461,1,1
463,2,2
464,1,1
465,1,1
467,1,2
468,1,1
469,1,1
472,1,3
474,1,2
476,1,2
478,1,2
480,1,2
482,1,2
485,1,3
487,1,2
489,1,2
491,1,2
494,2,3
495,1,1
496,1,1
498,2,2
499,1,1
501,2,2
502,1,1
503,1,1
505,2,2
506,1,1
508,1,2
509,1,1
512,2,3
514,1,2
515,1,1
517,1,2
518,1,1
524,5,6
526,1,2
529,3,3
530,1,1
531,1,1
533,2,2
534,1,1
536,2,2
537,1,1
538,1,1
540,2,2
541,1,1
542,1,1
544,2,2
545,1,1
