time (ms),latency (ms),consume (ms)
0,13,0
1,8,1
1,7,0
1,6,0
2,6,1
11,13,9
11,12,0
12,10,1
12,9,0
13,9,1
13,8,0
15,9,2
15,9,0
22,15,7
23,9,1
23,7,0
24,8,1
24,7,0
25,7,1
26,6,1
27,6,1
33,11,6
33,8,0
34,7,1
34,6,0
40,12,6
41,12,1
41,11,0
42,12,1
42,11,0
42,10,0
43,8,1
44,1,1
45,0,1
46,0,1
47,0,1
49,1,2
51,1,2
52,1,1
54,0,2
56,1,2
56,0,0
57,0,1
58,0,1
59,1,1
61,2,2
62,0,1
65,2,3
66,0,1
69,1,3
70,0,1
71,1,1
72,1,1
73,1,1
74,1,1
75,0,1
77,1,2
79,1,2
80,1,1
82,1,2
83,1,1
84,0,1
86,1,2
89,0,3
90,0,1
91,1,1
92,1,1
93,1,1
93,0,0
94,0,1
95,0,1
96,1,1
98,1,2
99,1,1
100,1,1
101,0,1
102,0,1
103,1,1
104,1,1
106,2,2
109,0,3
111,1,2
113,2,2
116,3,3
117,0,1
118,0,1
119,0,1
120,0,1
121,1,1
122,1,1
125,1,3
126,1,1
129,1,3
130,1,1
130,0,0
131,0,1
132,0,1
133,1,1
134,1,1
135,1,1
136,1,1
136,0,0
138,1,2
139,1,1
140,1,1
141,0,1
142,0,1
143,1,1
144,1,1
145,0,1
146,0,1
147,1,1
149,1,2
151,1,2
152,1,1
153,1,1
154,1,1
157,0,3
158,0,1
162,1,4
163,0,1
165,1,2
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
173,0,2
177,1,4
178,1,1
179,1,1
179,0,0
180,0,1
181,1,1
182,1,1
183,1,1
183,0,0
184,0,1
185,0,1
188,1,3
189,1,1
190,1,1
190,0,0
191,0,1
192,0,1
198,1,6
198,0,0
199,0,1
201,1,2
201,0,0
202,0,1
204,1,2
205,1,1
206,1,1
207,1,1
207,0,0
208,0,1
209,0,1
210,0,1
211,1,1
212,0,1
213,0,1
215,1,2
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
224,1,4
225,0,1
226,0,1
227,1,1
228,1,1
229,1,1
231,2,2
231,0,0
232,0,1
233,0,1
234,1,1
235,1,1
236,1,1
236,0,0
237,0,1
238,1,1
239,1,1
241,2,2
242,0,1
245,0,3
248,1,3
249,1,1
251,1,2
252,1,1
253,0,1
254,1,1
255,1,1
257,2,2
257,2,0
257,1,0
262,1,5
266,1,4
267,1,1
268,1,1
269,1,1
270,1,1
271,1,1
271,0,0
272,0,1
273,1,1
274,1,1
274,0,0
275,0,1
276,1,1
277,1,1
278,1,1
279,1,1
280,1,1
281,1,1
285,1,4
286,0,1
287,1,1
288,1,1
291,3,3
292,0,1
293,0,1
294,1,1
295,1,1
296,1,1
296,0,0
297,0,1
298,1,1
299,1,1
299,0,0
300,0,1
301,1,1
302,1,1
304,2,2
304,0,0
310,1,6
311,1,1
311,0,0
312,0,1
314,1,2
316,2,2
317,0,1
318,0,1
319,0,1
320,0,1
321,1,1
323,2,2
324,1,1
326,1,2
327,0,1
328,1,1
329,1,1
333,1,4
337,0,4
338,0,1
339,1,1
340,1,1
340,0,0
341,0,1
342,1,1
343,1,1
343,0,0
344,0,1
345,0,1
346,1,1
346,0,0
347,0,1
348,1,1
349,1,1
350,1,1
350,0,0
351,0,1
352,1,1
353,1,1
358,5,5
358,5,0
358,4,0
359,5,1
359,4,0
359,2,0
359,2,0
361,0,2
362,0,1
363,0,1
364,1,1
365,1,1
365,0,0
366,0,1
367,1,1
368,1,1
369,0,1
370,0,1
372,1,2
373,1,1
373,0,0
377,1,4
378,1,1
380,2,2
381,0,1
382,1,1
383,1,1
383,0,0
384,0,1
385,0,1
386,1,1
387,1,1
387,0,0
388,0,1
389,1,1
390,1,1
390,0,0
391,0,1
392,1,1
393,1,1
393,0,0
394,0,1
400,1,6
405,1,5
406,0,1
407,0,1
408,0,1
409,1,1
410,0,1
411,1,1
412,1,1
415,3,3
416,0,1
417,0,1
418,0,1
419,1,1
420,1,1
420,0,0
421,0,1
422,0,1
423,1,1
424,1,1
424,0,0
425,0,1
426,1,1
427,1,1
427,0,0
428,0,1
434,1,6
438,1,4
438,0,0
439,0,1
440,1,1
441,1,1
442,1,1
442,0,0
443,0,1
444,1,1
444,0,0
445,0,1
446,1,1
447,1,1
447,0,0
448,0,1
449,1,1
450,1,1
450,0,0
451,0,1
452,1,1
452,0,0
453,0,1
454,1,1
455,1,1
457,2,2
461,1,4
463,1,2
464,1,1
465,1,1
466,0,1
467,0,1
469,1,2
474,5,5
477,1,3
478,0,1
480,1,2
480,0,0
481,0,1
482,0,1
485,0,3
489,0,4
490,0,1
491,1,1
491,0,0
492,0,1
493,1,1
494,1,1
494,0,0
495,0,1
497,1,2
497,0,0
501,0,4
502,0,1
503,1,1
504,1,1
504,0,0
506,1,2
506,0,0
507,0,1
508,1,1
509,1,1
509,0,0
510,0,1
511,1,1
512,1,1
512,0,0
513,0,1
515,0,2
516,0,1
517,0,1
518,1,1
518,0,0
519,0,1
520,1,1
521,1,1
521,0,0
522,0,1
523,1,1
523,0,0
524,0,1
525,1,1
530,1,5
530,0,0
531,0,1
532,1,1
533,1,1
533,0,0
534,0,1
535,1,1
535,0,0
536,0,1
537,1,1
537,0,0
538,0,1
539,1,1
539,0,0
540,0,1
541,1,1
542,1,1
542,0,0
543,1,1
544,1,1
544,0,0
545,0,1
546,1,1
546,0,0
547,0,1
548,1,1
548,0,0
549,0,1
550,1,1
550,0,0
551,0,1
552,0,1
553,1,1
553,0,0
554,0,1
555,1,1
557,1,2
557,0,0
558,0,1
559,1,1
559,0,0
560,0,1
561,0,1
562,1,1
563,1,1
564,1,1
564,0,0
565,0,1
569,0,4
570,1,1
571,1,1
571,0,0
572,0,1
573,1,1
573,0,0
574,0,1
575,1,1
576,1,1
576,0,0
577,1,1
578,1,1
578,0,0
579,0,1
580,1,1
580,0,0
581,0,1
583,0,2
584,1,1
585,1,1
585,0,0
586,0,1
587,1,1
587,0,0
588,0,1
589,1,1
590,1,1
592,2,2
596,4,4
596,0,0
609,8,13
610,8,1
610,8,0
610,8,0
622,5,12
625,1,3
626,1,1
626,0,0
627,0,1
629,0,2
630,0,1
631,1,1
633,1,2
634,1,1
634,0,0
635,0,1
636,1,1
637,1,1
639,1,2
640,1,1
640,0,0
641,0,1
642,1,1
642,0,0
645,0,3
646,0,1
647,1,1
647,0,0
648,0,1
649,1,1
649,0,0
650,0,1
651,1,1
651,0,0
652,0,1
653,1,1
653,0,0
654,0,1
656,0,2
657,0,1
658,1,1
659,1,1
659,0,0
660,0,1
661,1,1
662,1,1
662,0,0
663,1,1
664,1,1
674,1,10
674,0,0
675,0,1
676,1,1
677,1,1
677,0,0
678,0,1
679,1,1
679,0,0
680,1,1
681,1,1
681,0,0
682,0,1
683,1,1
683,0,0
684,1,1
685,1,1
689,0,4
690,1,1
691,1,1
691,0,0
692,1,1
693,1,1
693,0,0
694,1,1
695,1,1
712,17,17
712,17,0
713,17,1
713,17,0
713,17,0
713,16,0
713,11,0
714,9,1
714,9,0
714,8,0
714,8,0
715,8,1
715,8,0
715,7,0
716,8,1
716,8,0
716,7,0
716,7,0
717,8,1
758,48,41
764,43,6
765,43,1
765,42,0
766,43,1
767,43,1
767,43,0
768,43,1
769,44,1
773,47,4
773,47,0
774,48,1
775,48,1
775,48,0
776,48,1
777,46,1
777,44,0
778,44,1
779,45,1
779,44,0
780,45,1
785,49,5
785,49,0
786,49,1
787,50,1
787,48,0
788,48,1
789,49,1
789,48,0
790,49,1
791,49,1
791,49,0
792,48,1
793,48,1
793,48,0
794,48,1
795,49,1
795,48,0
796,49,1
797,40,1
801,43,4
801,42,0
802,43,1
803,43,1
803,43,0
804,40,1
805,41,1
806,40,1
806,40,0
809,42,3
809,41,0
813,45,4
814,45,1
815,42,1
816,42,1
816,42,0
817,42,1
818,42,1
818,42,0
819,42,1
820,42,1
820,42,0
821,42,1
822,42,1
822,42,0
823,38,1
824,38,1
825,39,1
826,39,1
826,38,0
827,39,1
829,40,2
829,39,0
830,40,1
831,40,1
831,39,0
832,40,1
836,43,4
837,43,1
841,47,4
846,51,5
846,50,0
846,50,0
847,50,1
848,47,1
848,46,0
849,47,1
849,46,0
850,46,1
851,47,1
851,46,0
852,46,1
853,46,1
853,44,0
854,44,1
855,42,1
855,41,0
856,42,1
857,42,1
857,41,0
858,42,1
859,42,1
859,41,0
860,42,1
861,42,1
862,42,1
862,42,0
863,42,1
864,42,1
864,42,0
865,42,1
866,41,1
866,41,0
867,41,1
869,42,2
870,43,1
870,41,0
873,43,3
874,44,1
874,43,0
875,43,1
876,44,1
876,40,0
877,40,1
877,36,0
879,34,2
880,33,1
880,33,0
881,33,1
882,33,1
882,32,0
883,33,1
885,34,2
886,34,1
886,34,0
887,34,1
888,34,1
888,34,0
889,34,1
890,34,1
891,35,1
892,35,1
893,35,1
894,36,1
895,36,1
896,36,1
897,37,1
898,37,1
898,37,0
899,37,1
900,37,1
900,37,0
903,39,3
903,38,0
904,39,1
905,39,1
905,38,0
907,38,2
908,39,1
909,39,1
909,36,0
910,37,1
911,37,1
911,36,0
912,37,1
913,37,1
914,37,1
915,36,1
917,38,2
921,41,4
922,41,1
922,41,0
923,41,1
924,41,1
924,39,0
925,40,1
926,40,1
926,39,0
927,40,1
927,39,0
928,39,1
929,40,1
929,39,0
930,40,1
931,40,1
931,38,0
932,39,1
933,39,1
933,39,0
934,39,1
935,38,1
936,39,1
937,39,1
938,39,1
938,39,0
939,39,1
940,38,1
940,37,0
941,37,1
942,38,1
942,37,0
943,36,1
944,36,1
946,38,2
947,38,1
947,37,0
948,38,1
949,38,1
952,40,3
953,41,1
954,41,1
955,42,1
955,41,0
956,39,1
957,40,1
957,36,0
958,36,1
959,37,1
959,36,0
960,36,1
961,37,1
961,36,0
962,36,1
963,37,1
963,36,0
964,36,1
964,36,0
965,36,1
966,36,1
966,36,0
967,36,1
968,36,1
968,36,0
969,36,1
970,36,1
970,36,0
971,35,1
971,34,0
972,35,1
972,34,0
974,35,2
975,36,1
975,35,0
976,36,1
976,35,0
977,35,1
978,36,1
978,35,0
979,35,1
985,39,6
989,42,4
990,42,1
991,43,1
992,43,1
992,40,0
997,44,5
997,43,0
998,44,1
999,44,1
999,43,0
1000,44,1
1001,44,1
1001,43,0
1002,44,1
1003,44,1
1003,44,0
1004,44,1
1004,43,0
1005,44,1
1006,44,1
1007,44,1
1008,45,1
1008,44,0
1009,44,1
1010,45,1
1010,44,0
1013,46,3
1014,47,1
1015,47,1
1015,46,0
1016,47,1
1019,49,3
1019,49,0
1021,50,2
1021,49,0
1022,50,1
1023,50,1
1024,51,1
1025,50,1
1025,49,0
1026,49,1
1027,50,1
1027,49,0
1028,50,1
1033,54,5
1034,49,1
1035,46,1
1037,47,2
1038,48,1
1038,47,0
1039,47,1
1040,48,1
1040,42,0
1041,43,1
1042,43,1
1042,42,0
1043,43,1
1044,43,1
1044,42,0
1045,43,1
1046,43,1
1046,42,0
1047,42,1
1048,43,1
1048,42,0
1052,46,4
1054,47,2
1054,46,0
1055,47,1
1056,47,1
1056,46,0
1057,44,1
1058,44,1
1058,44,0
1059,44,1
1060,44,1
1060,44,0
1061,42,1
1062,41,1
1062,40,0
1063,41,1
1064,41,1
1064,40,0
1065,41,1
1066,41,1
1066,40,0
1067,41,1
1067,40,0
1068,40,1
1069,41,1
1069,36,0
1070,36,1
1073,38,3
1074,37,1
1074,37,0
1076,38,2
1076,37,0
1077,38,1
1078,38,1
1078,37,0
1079,38,1
1079,37,0
1080,37,1
1081,38,1
1081,37,0
1082,37,1
1085,40,3
1085,39,0
1086,39,1
1087,40,1
1087,39,0
1088,39,1
1089,36,1
1089,36,0
1090,36,1
1091,36,1
1092,37,1
1093,37,1
1093,36,0
1094,37,1
1097,39,3
1097,38,0
1103,44,6
1104,44,1
1104,44,0
1107,46,3
1108,46,1
1109,47,1
1110,47,1
1110,46,0
1111,47,1
1112,47,1
1112,46,0
1113,47,1
1114,47,1
1117,49,3
1118,50,1
1118,49,0
1119,49,1
1120,47,1
1120,46,0
1121,46,1
1122,47,1
1122,46,0
1125,49,3
1125,48,0
1126,48,1
1127,49,1
1128,49,1
1128,48,0
1129,49,1
1130,49,1
1133,51,3
1134,49,1
1135,49,1
1135,49,0
1136,49,1
1137,49,1
1137,49,0
1138,49,1
1139,49,1
1139,49,0
1140,49,1
1141,50,1
1141,49,0
1145,52,4
