time (ms),latency (ms),consume (ms)
0,8,0
12,2,12
24,3,12
35,2,11
48,3,13
61,2,13
73,1,12
85,1,12
99,3,14
111,2,12
123,1,12
136,2,13
148,1,12
165,6,17
177,1,12
189,1,12
202,2,13
214,1,12
226,2,12
239,1,13
251,1,12
263,2,12
275,1,12
287,1,12
300,2,13
312,1,12
325,2,13
339,2,14
356,2,17
369,2,13
381,1,12
395,3,14
407,1,12
420,1,13
432,1,12
445,2,13
457,2,12
470,3,13
483,2,13
495,1,12
509,2,14
524,1,15
537,2,13
549,1,12
561,2,12
575,2,14
587,1,12
601,3,14
613,1,12
626,2,13
638,2,12
651,1,13
664,2,13
677,2,13
697,9,20
714,5,17
723,3,9
735,2,12
749,2,14
762,2,13
776,2,14
790,2,14
804,2,14
819,2,15
833,2,14
847,2,14
861,2,14
873,1,12
886,2,13
898,1,12
911,1,13
926,3,15
938,1,12
951,2,13
963,1,12
975,2,12
988,2,13
1002,2,14
1016,2,14
1030,3,14
1044,2,14
1058,3,14
1072,2,14
1089,5,17
1104,2,15
1118,1,14
1130,1,12
1142,1,12
1154,2,12
1167,2,13
1179,1,12
1192,2,13
1205,2,13
1219,1,14
1232,2,13
1247,3,15
1259,2,12
1272,2,13
1287,4,15
1299,1,12
1311,1,12
1325,3,14
1337,2,12
1350,2,13
1362,2,12
1374,2,12
1387,2,13
1399,1,12
1411,1,12
1424,1,13
1436,1,12
1451,4,15
1468,1,17
1481,2,13
1493,1,12
1506,1,13
1519,2,13
1531,2,12
1544,2,13
1559,1,15
1574,1,15
1588,2,14
1601,2,13
1614,2,13
1627,2,13
1641,2,14
1653,2,12
1665,1,12
1678,2,13
1690,1,12
1703,2,13
1715,2,12
1727,1,12
1739,1,12
1752,2,13
1764,1,12
1776,1,12
1788,1,12
1800,1,12
1812,2,12
1823,1,11
1835,1,12
1847,1,12
1861,3,14
1873,1,12
1885,1,12
1899,3,14
1911,2,12
1924,2,13
1937,3,13
1949,1,12
1963,1,14
1975,1,12
1988,2,13
1999,1,11
2011,1,12
2023,1,12
2035,1,12
2049,1,14
2061,1,12
2073,1,12
2085,1,12
2097,1,12
2109,1,12
2121,1,12
2133,1,12
2145,2,12
2157,1,12
2177,4,20
2194,3,17
2207,2,13
2220,2,13
2233,2,13
2246,2,13
2258,2,12
2270,1,12
2283,1,13
2296,2,13
2309,2,13
2323,2,14
2336,2,13
2350,3,14
2363,2,13
2376,2,13
2391,2,15
2405,2,14
2420,4,15
2433,2,13
2447,1,14
2460,2,13
2474,3,14
2495,3,21
2509,2,14
2522,2,13
2535,3,13
2547,1,12
2560,2,13
2573,2,13
2586,2,13
2599,2,13
2611,1,12
2624,2,13
2637,2,13
2650,2,13
2664,2,14
2678,2,14
2692,3,14
2706,2,14
2723,6,17
2738,3,15
2749,3,11
2760,3,11
2771,3,11
2782,3,11
2793,3,11
2803,2,10
2813,2,10
2874,52,61
2875,42,1
2875,31,0
2878,17,3
2894,21,16
2902,18,8
2906,2,4
2918,2,12
2929,2,11
2940,3,11
2951,3,11
2960,1,9
2972,3,12
2982,2,10
2993,2,11
3004,2,11
3015,2,11
3026,2,11
3044,7,18
3061,6,17
3074,2,13
3087,2,13
3101,2,14
3115,3,14
3129,3,14
3147,4,18
3160,3,13
3175,2,15
3189,2,14
3209,7,20
3220,1,11
3231,1,11
3244,2,13
3257,2,13
3270,3,13
3283,2,13
3302,3,19
3316,2,14
3330,2,14
3343,2,13
3355,1,12
3367,1,12
3379,1,12
3391,1,12
3404,2,13
3415,1,11
3428,1,13
3440,1,12
3452,1,12
3464,1,12
3477,2,13
3489,1,12
3501,2,12
3513,1,12
3525,2,12
3537,1,12
3552,2,15
3563,1,11
3575,1,12
3588,2,13
3600,2,12
3612,1,12
3624,2,12
3635,1,11
3647,1,12
3660,2,13
3673,2,13
3685,2,12
3697,1,12
3710,2,13
3722,2,12
3734,1,12
3746,1,12
3759,2,13
3771,2,12
3783,1,12
3795,1,12
3808,2,13
3820,2,12
3837,3,17
3853,2,16
3865,2,12
3878,2,13
3893,5,15
3905,1,12
3918,2,13
3931,3,13
3944,2,13
3958,2,14
3972,2,14
3986,2,14
4000,1,14
4013,1,13
4025,1,12
4056,9,31
4068,2,12
4079,1,11
4091,1,12
4103,2,12
4115,2,12
4128,3,13
4142,2,14
4164,2,22
4178,2,14
4191,2,13
4205,2,14
4218,2,13
4233,5,15
4246,2,13
4258,2,12
4270,1,12
4286,5,16
4298,1,12
4310,1,12
4322,1,12
4334,1,12
4346,1,12
4358,1,12
4370,1,12
4382,1,12
4395,1,13
4407,1,12
4420,2,13
4432,2,12
4444,2,12
4456,2,12
4468,1,12
4481,2,13
4493,1,12
4506,1,13
4519,2,13
4532,2,13
4547,3,15
4561,3,14
4574,2,13
4587,2,13
4600,2,13
4613,2,13
4626,2,13
4639,2,13
4654,3,15
4667,2,13
4681,3,14
4694,2,13
4706,1,12
4718,1,12
4730,1,12
4742,1,12
4754,1,12
4766,1,12
4778,1,12
4790,1,12
4802,1,12
4815,2,13
4827,1,12
4839,1,12
4852,2,13
4864,2,12
4877,2,13
4890,1,13
4905,3,15
4920,4,15
4933,2,13
4949,2,16
4961,1,12
4973,1,12
5009,7,36
5032,4,23
5044,1,12
5057,2,13
5069,1,12
5081,1,12
5093,1,12
5104,1,11
5116,1,12
5127,1,11
5139,1,12
5151,1,12
5162,1,11
5174,1,12
5186,1,12
5198,1,12
5210,2,12
5221,1,11
5233,1,12
5245,1,12
5257,1,12
5268,1,11
5280,1,12
5292,1,12
5303,1,11
5315,1,12
5327,1,12
5338,1,11
5350,1,12
5362,2,12
5373,1,11
5385,1,12
5397,2,12
5408,1,11
5420,1,12
5431,1,11
5443,1,12
5455,1,12
5467,2,12
5479,2,12
5492,1,13
5504,1,12
5518,2,14
5530,2,12
5542,2,12
5554,1,12
5566,1,12
5578,1,12
5590,1,12
5602,1,12
5613,1,11
5625,1,12
5637,1,12
5649,1,12
5662,2,13
5675,1,13
5687,2,12
5698,1,11
5710,1,12
5722,2,12
5732,1,10
5742,1,10
5753,1,11
5763,1,10
5774,1,11
5784,1,10
5795,1,11
5805,1,10
5816,1,11
5826,1,10
5838,1,12
5849,1,11
5861,1,12
5873,1,12
5885,1,12
5897,1,12
5909,1,12
5921,1,12
5933,1,12
5945,1,12
5957,1,12
5970,2,13
5983,1,13
5995,1,12
6008,2,13
6020,2,12
6032,1,12
6044,2,12
6056,2,12
6068,2,12
6080,1,12
6092,1,12
6104,1,12
6116,1,12
6129,2,13
6142,2,13
6155,2,13
6168,2,13
6181,2,13
6195,3,14
6207,1,12
6221,3,14
6237,2,16
6249,1,12
6261,1,12
6274,1,13
6287,2,13
6299,2,12
6311,2,12
6323,2,12
6334,1,11
6347,1,13
6359,1,12
6372,2,13
6385,2,13
6398,2,13
6410,1,12
6423,2,13
6436,2,13
6448,2,12
6461,2,13
6476,4,15
6497,6,21
6510,2,13
6523,2,13
6536,1,13
6548,2,12
6561,3,13
6576,1,15
6589,2,13
6600,1,11
6612,1,12
6624,1,12
6636,1,12
6647,1,11
6659,1,12
6671,1,12
6683,1,12
6694,1,11
6706,1,12
6718,2,12
6731,3,13
6743,1,12
6755,1,12
6767,1,12
6779,1,12
6791,1,12
6803,1,12
6815,1,12
6827,1,12
6838,1,11
6850,1,12
6861,1,11
6873,1,12
6885,1,12
6899,2,14
6911,2,12
6922,1,11
6934,1,12
6949,4,15
6964,1,15
6976,1,12
6988,1,12
7000,1,12
7012,1,12
7024,1,12
7036,1,12
7048,1,12
7060,1,12
7072,1,12
7084,1,12
7096,1,12
7108,1,12
7120,1,12
7132,1,12
7144,1,12
7155,1,11
7167,1,12
7178,1,11
7190,1,12
7202,1,12
7214,2,12
7225,1,11
7237,1,12
7250,2,13
7261,1,11
7274,1,13
