time (ms),latency (ms),consume (ms)
0,15,0
1,12,1
1,11,0
1,9,0
1,7,0
1,5,0
3,6,2
3,4,0
4,3,1
6,4,2
6,1,0
8,2,2
9,2,1
11,2,2
12,2,1
14,2,2
15,2,1
18,3,3
19,2,1
20,2,1
22,2,2
23,2,1
24,1,1
26,1,2
28,2,2
31,3,3
31,2,0
33,2,2
34,1,1
36,2,2
37,1,1
43,6,6
43,3,0
44,2,1
45,2,1
46,1,1
48,2,2
51,2,3
52,2,1
54,2,2
55,1,1
57,2,2
58,1,1
60,1,2
62,2,2
63,2,1
65,2,2
66,1,1
67,1,1
69,1,2
71,2,2
73,2,2
74,1,1
76,2,2
77,1,1
79,2,2
80,2,1
82,2,2
83,2,1
84,1,1
86,2,2
88,2,2
89,1,1
91,1,2
93,2,2
95,2,2
96,2,1
97,1,1
99,2,2
100,1,1
102,2,2
103,2,1
104,1,1
106,2,2
107,1,1
109,1,2
111,2,2
112,1,1
114,2,2
115,1,1
117,2,2
118,1,1
120,2,2
121,1,1
123,2,2
124,1,1
126,2,2
127,1,1
129,1,2
131,2,2
132,1,1
134,2,2
135,2,1
136,1,1
138,2,2
140,2,2
141,1,1
143,2,2
144,1,1
146,1,2
148,2,2
149,2,1
150,1,1
152,1,2
154,2,2
155,1,1
157,2,2
159,2,2
160,1,1
162,2,2
164,2,2
166,2,2
167,2,1
168,1,1
170,2,2
172,2,2
173,1,1
176,2,3
177,2,1
179,2,2
180,1,1
182,2,2
184,2,2
185,2,1
187,2,2
188,1,1
190,2,2
192,2,2
194,2,2
195,2,1
197,1,2
199,1,2
201,2,2
203,2,2
204,1,1
206,1,2
207,1,1
211,3,4
212,2,1
213,1,1
215,2,2
216,1,1
218,1,2
219,1,1
221,2,2
222,1,1
224,2,2
225,1,1
227,2,2
228,1,1
229,1,1
231,2,2
232,1,1
233,1,1
235,2,2
237,2,2
238,1,1
240,1,2
242,2,2
246,4,4
246,3,0
247,2,1
248,1,1
250,1,2
252,2,2
254,2,2
255,1,1
257,1,2
259,2,2
261,2,2
262,1,1
264,2,2
265,1,1
267,2,2
268,1,1
270,2,2
273,4,3
274,3,1
274,2,0
275,1,1
277,2,2
278,1,1
279,1,1
281,2,2
282,1,1
284,2,2
286,2,2
287,2,1
288,1,1
290,2,2
291,1,1
293,2,2
294,1,1
296,2,2
297,1,1
298,1,1
300,2,2
301,1,1
303,2,2
304,1,1
306,2,2
307,1,1
309,2,2
310,1,1
311,1,1
313,2,2
314,1,1
316,2,2
317,1,1
319,2,2
320,1,1
322,2,2
324,3,2
324,1,0
325,1,1
327,2,2
329,2,2
349,21,20
349,19,0
349,18,0
349,16,0
349,15,0
349,13,0
349,12,0
349,11,0
349,9,0
350,9,1
350,7,0
350,6,0
350,4,0
350,3,0
350,1,0
352,2,2
353,1,1
354,1,1
356,2,2
358,2,2
359,2,1
360,1,1
361,1,1
363,2,2
364,1,1
366,2,2
367,1,1
369,2,2
370,1,1
372,2,2
373,1,1
374,1,1
376,2,2
377,1,1
379,2,2
380,1,1
382,1,2
384,2,2
386,2,2
387,1,1
390,2,3
391,2,1
392,1,1
393,1,1
395,1,2
396,1,1
398,2,2
399,1,1
400,1,1
402,1,2
403,1,1
405,1,2
406,1,1
408,1,2
411,3,3
411,1,0
413,2,2
414,1,1
416,1,2
418,2,2
419,1,1
420,1,1
422,1,2
423,1,1
425,2,2
426,1,1
427,1,1
429,1,2
430,1,1
432,1,2
434,2,2
435,1,1
436,1,1
438,1,2
439,1,1
441,2,2
442,1,1
444,2,2
445,1,1
447,2,2
448,1,1
450,2,2
451,1,1
452,1,1
454,1,2
458,4,4
459,3,1
459,2,0
460,1,1
461,1,1
463,1,2
464,1,1
466,1,2
468,2,2
469,1,1
471,2,2
472,1,1
473,1,1
475,1,2
477,2,2
478,1,1
480,1,2
482,2,2
483,1,1
485,1,2
487,2,2
488,1,1
490,2,2
491,1,1
493,2,2
494,1,1
495,1,1
497,1,2
498,1,1
499,1,1
501,1,2
502,1,1
506,1,4
507,1,1
509,2,2
510,1,1
512,2,2
513,1,1
514,1,1
515,1,1
517,1,2
518,1,1
520,1,2
521,1,1
522,1,1
524,1,2
525,1,1
527,2,2
528,1,1
529,1,1
531,2,2
532,1,1
533,1,1
535,2,2
536,1,1
537,1,1
539,2,2
540,1,1
541,1,1
543,2,2
544,1,1
545,1,1
547,1,2
548,1,1
550,2,2
551,1,1
552,1,1
554,1,2
555,1,1
556,1,1
558,1,2
559,1,1
561,1,2
562,1,1
563,1,1
568,4,5
570,2,2
571,1,1
573,2,2
574,1,1
576,2,2
577,1,1
580,3,3
581,2,1
582,1,1
583,1,1
585,1,2
586,1,1
588,2,2
589,1,1
590,1,1
592,1,2
593,1,1
595,2,2
596,1,1
597,1,1
599,2,2
600,2,1
602,2,2
603,2,1
604,1,1
605,1,1
607,1,2
608,1,1
609,1,1
611,2,2
612,1,1
613,1,1
615,2,2
616,1,1
617,1,1
619,2,2
620,1,1
621,1,1
622,1,1
624,1,2
625,1,1
627,1,2
628,1,1
630,2,2
631,1,1
633,2,2
634,1,1
636,2,2
637,2,1
638,1,1
640,2,2
641,1,1
642,1,1
644,2,2
645,1,1
647,2,2
648,1,1
649,1,1
651,2,2
652,1,1
653,1,1
654,1,1
656,1,2
657,1,1
659,2,2
660,1,1
661,1,1
663,2,2
664,1,1
665,1,1
667,2,2
668,1,1
669,1,1
671,2,2
672,1,1
673,1,1
675,2,2
676,1,1
677,1,1
679,2,2
680,1,1
681,1,1
683,2,2
692,9,9
692,8,0
692,7,0
692,5,0
695,7,3
696,7,1
696,5,0
696,4,0
697,3,1
697,2,0
699,2,2
700,1,1
701,1,1
702,1,1
704,1,2
705,1,1
707,2,2
708,1,1
709,1,1
710,1,1
712,2,2
713,1,1
714,1,1
716,2,2
717,1,1
718,1,1
720,1,2
721,1,1
722,1,1
723,1,1
725,1,2
726,1,1
731,5,5
731,1,0
733,2,2
734,1,1
735,1,1
737,2,2
738,1,1
739,1,1
741,2,2
742,1,1
743,1,1
744,1,1
746,1,2
747,1,1
749,2,2
750,1,1
752,2,2
753,1,1
768,3,15
768,1,0
770,1,2
771,1,1
772,1,1
774,1,2
775,1,1
777,2,2
778,1,1
779,1,1
781,2,2
782,1,1
783,1,1
785,2,2
786,1,1
788,2,2
789,1,1
790,1,1
792,2,2
793,1,1
794,1,1
796,2,2
797,1,1
798,1,1
800,2,2
801,1,1
802,1,1
804,2,2
805,1,1
806,1,1
808,2,2
809,1,1
810,1,1
812,2,2
815,3,3
815,2,0
816,2,1
817,1,1
818,1,1
820,2,2
821,1,1
822,1,1
824,2,2
825,1,1
826,1,1
828,2,2
829,1,1
830,1,1
832,1,2
833,1,1
834,1,1
836,1,2
837,1,1
839,2,2
840,1,1
841,1,1
843,2,2
844,1,1
845,1,1
847,1,2
848,1,1
849,1,1
851,2,2
852,1,1
854,2,2
855,1,1
856,1,1
858,2,2
859,1,1
860,1,1
862,2,2
863,1,1
865,2,2
866,1,1
867,1,1
869,2,2
870,1,1
871,1,1
873,2,2
874,1,1
875,1,1
877,2,2
878,1,1
879,1,1
881,2,2
882,1,1
883,1,1
885,2,2
886,1,1
887,1,1
889,2,2
890,1,1
891,1,1
892,1,1
894,1,2
895,1,1
897,2,2
898,1,1
899,1,1
900,1,1
902,1,2
903,1,1
905,2,2
906,1,1
907,1,1
909,2,2
910,1,1
911,1,1
913,2,2
914,1,1
915,1,1
917,2,2
918,1,1
919,1,1
921,2,2
922,1,1
924,2,2
925,2,1
926,1,1
927,1,1
929,2,2
930,1,1
931,1,1
933,2,2
935,2,2
935,1,0
937,2,2
938,1,1
940,2,2
941,1,1
942,1,1
943,0,1
945,1,2
946,1,1
948,1,2
949,1,1
950,1,1
952,1,2
953,1,1
954,1,1
956,1,2
957,1,1
959,1,2
960,1,1
961,1,1
963,1,2
