time (ms),latency (ms),consume (ms)
0,24,0
4,18,4
4,17,0
4,16,0
4,13,0
4,12,0
5,11,1
5,11,0
5,10,0
8,12,3
9,10,1
9,8,0
13,12,4
14,12,1
14,11,0
14,11,0
14,6,0
14,5,0
15,5,1
15,3,0
20,7,5
21,7,1
21,5,0
21,5,0
21,4,0
22,5,1
22,4,0
22,3,0
22,3,0
26,5,4
26,3,0
27,1,1
28,0,1
30,1,2
31,1,1
31,0,0
32,0,1
33,0,1
34,0,1
36,1,2
37,1,1
39,1,2
41,1,2
42,1,1
43,1,1
45,2,2
48,0,3
51,2,3
52,1,1
54,2,2
55,1,1
56,1,1
56,0,0
57,1,1
58,1,1
58,0,0
60,2,2
61,1,1
62,1,1
63,1,1
64,1,1
68,0,4
69,0,1
71,1,2
71,0,0
72,1,1
73,1,1
73,0,0
74,1,1
74,0,0
75,1,1
76,1,1
77,1,1
78,1,1
78,0,0
79,0,1
80,1,1
80,0,0
81,1,1
82,1,1
83,0,1
85,2,2
86,1,1
90,2,4
91,0,1
92,1,1
93,1,1
93,0,0
94,1,1
94,0,0
96,0,2
97,0,1
98,1,1
100,0,2
101,1,1
104,1,3
104,0,0
105,1,1
105,0,0
106,0,1
107,1,1
107,0,0
108,1,1
109,1,1
109,0,0
110,1,1
112,0,2
113,1,1
114,1,1
114,0,0
116,1,2
116,0,0
117,1,1
117,0,0
118,0,1
119,1,1
120,0,1
123,0,3
124,1,1
125,1,1
125,0,0
127,0,2
128,1,1
129,1,1
129,0,0
130,1,1
130,0,0
131,0,1
132,1,1
132,0,0
133,1,1
134,1,1
134,0,0
135,0,1
136,1,1
143,1,7
144,1,1
144,0,0
145,1,1
145,0,0
146,0,1
147,1,1
148,1,1
148,0,0
149,1,1
149,0,0
150,0,1
151,1,1
151,0,0
152,1,1
152,0,0
153,1,1
156,1,3
156,0,0
157,0,1
158,1,1
158,0,0
159,1,1
159,0,0
160,1,1
160,0,0
161,0,1
162,1,1
162,0,0
163,1,1
164,0,1
165,1,1
165,0,0
168,3,3
169,1,1
170,1,1
170,0,0
172,1,2
172,0,0
173,1,1
174,1,1
174,0,0
175,1,1
175,0,0
176,1,1
176,0,0
177,1,1
179,1,2
179,0,0
180,1,1
180,0,0
181,0,1
184,0,3
185,1,1
188,1,3
189,1,1
189,0,0
190,1,1
190,0,0
191,0,1
192,1,1
192,0,0
193,1,1
193,0,0
194,1,1
194,0,0
195,0,1
195,0,0
196,0,1
197,1,1
197,0,0
198,1,1
198,0,0
200,0,2
203,0,3
204,0,1
205,1,1
205,0,0
206,0,1
207,1,1
207,0,0
209,2,2
209,0,0
212,0,3
213,0,1
214,1,1
214,0,0
216,0,2
217,1,1
217,0,0
218,1,1
218,0,0
219,1,1
222,1,3
222,0,0
223,1,1
223,0,0
224,1,1
224,0,0
225,0,1
226,1,1
226,0,0
228,1,2
