time (ms),latency (ms),consume (ms)
0,2,0
4,1,4
6,0,2
8,0,2
9,0,1
10,0,1
12,0,2
13,0,1
14,0,1
16,0,2
17,0,1
18,0,1
20,1,2
22,0,2
23,0,1
25,0,2
27,0,2
28,0,1
30,1,2
32,0,2
33,0,1
34,0,1
37,0,3
38,0,1
39,0,1
41,0,2
42,0,1
43,0,1
45,0,2
46,0,1
47,0,1
49,1,2
51,0,2
52,0,1
54,1,2
56,0,2
57,0,1
59,1,2
61,0,2
62,0,1
63,0,1
65,0,2
66,0,1
67,0,1
70,0,3
71,0,1
72,0,1
75,0,3
76,0,1
77,0,1
80,0,3
81,0,1
82,0,1
85,0,3
86,0,1
87,0,1
90,0,3
91,0,1
92,0,1
94,0,2
95,0,1
96,0,1
98,0,2
99,0,1
100,0,1
104,1,4
106,0,2
107,0,1
109,1,2
111,0,2
112,0,1
114,1,2
116,0,2
117,0,1
118,0,1
121,0,3
124,0,3
125,0,1
126,0,1
128,0,2
129,0,1
130,0,1
132,1,2
134,0,2
135,0,1
137,1,2
139,0,2
140,0,1
142,0,2
143,0,1
144,0,1
146,1,2
148,0,2
149,0,1
150,0,1
153,0,3
154,0,1
155,0,1
158,0,3
159,0,1
161,1,2
163,0,2
164,0,1
166,1,2
168,0,2
169,0,1
171,1,2
173,0,2
174,0,1
175,0,1
177,0,2
178,0,1
179,0,1
180,0,1
183,0,3
184,0,1
185,0,1
188,0,3
189,0,1
191,1,2
193,0,2
194,0,1
196,1,2
198,0,2
199,0,1
200,0,1
203,0,3
204,0,1
205,0,1
207,0,2
210,0,3
218,1,8
220,0,2
222,1,2
224,0,2
225,0,1
226,0,1
229,0,3
230,0,1
231,0,1
233,0,2
234,0,1
235,0,1
237,1,2
239,0,2
240,0,1
241,0,1
244,0,3
245,0,1
246,0,1
248,0,2
249,0,1
250,0,1
252,0,2
253,0,1
254,0,1
256,1,2
258,0,2
259,0,1
260,0,1
263,0,3
264,0,1
265,0,1
267,0,2
268,0,1
269,0,1
271,1,2
273,0,2
274,0,1
275,0,1
278,0,3
279,0,1
280,0,1
282,0,2
283,0,1
284,0,1
286,1,2
288,0,2
289,0,1
290,0,1
293,0,3
294,0,1
295,0,1
297,0,2
298,0,1
299,0,1
300,0,1
303,0,3
304,0,1
305,0,1
307,0,2
308,0,1
309,0,1
311,1,2
313,0,2
315,0,2
317,1,2
319,0,2
321,0,2
322,0,1
323,0,1
324,0,1
327,0,3
328,0,1
329,0,1
331,0,2
332,0,1
333,0,1
334,0,1
337,0,3
338,0,1
339,0,1
341,0,2
342,0,1
343,0,1
345,0,2
346,0,1
347,0,1
349,1,2
351,0,2
352,0,1
353,0,1
356,0,3
357,0,1
358,0,1
360,0,2
361,0,1
362,0,1
364,1,2
366,0,2
367,0,1
368,0,1
371,0,3
372,0,1
373,0,1
375,0,2
376,0,1
377,0,1
379,1,2
381,0,2
382,0,1
383,0,1
385,0,2
386,0,1
387,0,1
389,1,2
391,0,2
392,0,1
393,0,1
396,0,3
397,0,1
398,0,1
400,0,2
401,0,1
403,1,2
405,0,2
406,0,1
408,1,2
410,0,2
411,0,1
412,0,1
415,0,3
416,0,1
417,0,1
420,0,3
421,0,1
423,1,2
425,0,2
426,0,1
427,0,1
430,0,3
432,1,2
434,0,2
435,0,1
436,0,1
439,0,3
440,0,1
441,0,1
444,0,3
445,0,1
447,1,2
449,0,2
450,0,1
453,0,3
454,0,1
455,0,1
457,0,2
458,0,1
459,0,1
461,0,2
462,0,1
463,0,1
465,0,2
466,0,1
469,0,3
471,1,2
473,0,2
476,0,3
479,0,3
481,1,2
483,0,2
485,1,2
487,0,2
489,0,2
490,0,1
493,0,3
495,1,2
497,0,2
499,1,2
501,0,2
503,1,2
505,0,2
507,0,2
508,0,1
511,0,3
513,1,2
515,0,2
517,1,2
519,0,2
521,0,2
522,0,1
524,0,2
525,0,1
528,0,3
530,1,2
532,0,2
534,0,2
535,0,1
538,0,3
540,1,2
542,0,2
545,0,3
547,1,2
549,0,2
551,0,2
552,0,1
554,0,2
555,0,1
558,0,3
560,1,2
562,0,2
564,0,2
565,0,1
567,0,2
568,0,1
571,0,3
573,1,2
575,0,2
577,1,2
579,0,2
581,0,2
582,0,1
585,0,3
587,0,2
588,0,1
590,0,2
591,0,1
594,0,3
596,1,2
598,0,2
600,1,2
602,0,2
604,0,2
605,0,1
608,0,3
610,1,2
612,0,2
614,0,2
615,0,1
618,0,3
620,1,2
622,0,2
624,0,2
625,0,1
628,0,3
630,1,2
632,0,2
634,0,2
635,0,1
638,0,3
640,1,2
642,0,2
644,0,2
645,0,1
648,0,3
650,1,2
654,0,4
656,0,2
657,0,1
660,0,3
662,0,2
663,0,1
671,0,8
675,1,4
681,0,6
683,1,2
685,0,2
687,0,2
688,0,1
691,0,3
692,0,1
695,0,3
697,1,2
699,0,2
701,0,2
702,0,1
704,0,2
705,0,1
708,0,3
710,1,2
712,0,2
714,0,2
715,0,1
718,0,3
721,0,3
722,0,1
725,0,3
727,1,2
729,0,2
731,0,2
733,1,2
735,0,2
737,0,2
738,0,1
740,0,2
741,0,1
744,0,3
746,1,2
748,0,2
750,0,2
751,0,1
754,0,3
755,0,1
758,0,3
760,1,2
762,0,2
764,0,2
766,1,2
768,0,2
770,1,2
772,0,2
775,0,3
777,1,2
779,0,2
782,0,3
785,0,3
787,1,2
789,0,2
792,0,3
795,0,3
797,1,2
799,0,2
802,0,3
805,0,3
807,1,2
809,0,2
812,0,3
814,0,2
816,1,2
818,0,2
821,0,3
823,1,2
825,0,2
828,0,3
831,0,3
833,1,2
835,0,2
838,0,3
840,0,2
842,1,2
844,0,2
847,0,3
849,0,2
851,1,2
853,0,2
855,0,2
857,1,2
859,0,2
861,0,2
862,0,1
865,0,3
867,0,2
869,1,2
871,0,2
874,0,3
876,1,2
878,0,2
881,0,3
883,0,2
885,1,2
887,0,2
890,0,3
892,0,2
894,1,2
896,0,2
899,0,3
901,0,2
903,1,2
905,0,2
908,0,3
910,0,2
912,1,2
915,1,3
917,0,2
919,0,2
921,1,2
923,0,2
926,0,3
928,0,2
930,1,2
932,0,2
935,0,3
937,0,2
939,1,2
941,0,2
944,0,3
947,0,3
949,1,2
951,0,2
954,0,3
957,0,3
959,1,2
961,0,2
964,0,3
967,0,3
969,1,2
971,0,2
974,0,3
975,0,1
978,0,3
979,0,1
982,0,3
984,1,2
986,0,2
988,0,2
989,0,1
992,0,3
994,0,2
995,0,1
998,0,3
1000,1,2
1002,0,2
1004,0,2
1006,1,2
1008,0,2
1011,0,3
1013,1,2
1015,0,2
1018,0,3
1019,0,1
1020,0,1
1023,0,3
1024,0,1
1025,0,1
1028,0,3
1029,0,1
1030,0,1
1033,0,3
1034,0,1
1035,0,1
1038,0,3
1039,0,1
1040,0,1
1043,0,3
1044,0,1
1046,1,2
1048,0,2
1049,0,1
1050,0,1
1053,0,3
1054,0,1
1055,0,1
1058,0,3
1059,0,1
1060,0,1
1063,0,3
1064,0,1
1066,1,2
1068,0,2
1069,0,1
1072,0,3
1073,0,1
1074,0,1
1076,0,2
1077,0,1
1078,0,1
1081,0,3
1082,0,1
1084,0,2
1085,0,1
1086,0,1
1089,0,3
1090,0,1
1092,1,2
1094,0,2
1095,0,1
1097,0,2
1098,0,1
1099,0,1
1101,0,2
1102,0,1
1103,0,1
1105,0,2
1106,0,1
1107,0,1
1110,0,3
1111,0,1
1113,0,2
1114,0,1
1115,0,1
1118,0,3
1119,0,1
1121,0,2
1122,0,1
1123,0,1
1126,0,3
1127,0,1
1129,1,2
1131,0,2
1132,0,1
1134,1,2
1136,0,2
1137,0,1
1138,0,1
1141,0,3
1142,0,1
1143,0,1
1146,0,3
1147,0,1
1148,0,1
1150,0,2
1151,0,1
1152,0,1
1154,0,2
1155,0,1
1156,0,1
1158,1,2
1160,0,2
1161,0,1
1163,1,2
1165,0,2
1166,0,1
1168,1,2
1170,0,2
1171,0,1
1173,1,2
1175,0,2
1176,0,1
1178,1,2
1180,0,2
1181,0,1
1182,0,1
1185,0,3
1186,0,1
1187,0,1
1190,0,3
1191,0,1
1192,0,1
1194,0,2
1195,0,1
1196,0,1
1198,0,2
1199,0,1
1200,0,1
1202,0,2
1203,0,1
1204,0,1
1206,0,2
1207,0,1
1208,0,1
1210,1,2
1212,0,2
1213,0,1
1214,0,1
1217,0,3
1218,0,1
1219,0,1
1222,0,3
1223,0,1
1224,0,1
1227,0,3
1228,0,1
1229,0,1
1232,0,3
1233,0,1
1234,0,1
1237,0,3
1238,0,1
1240,1,2
1242,0,2
1243,0,1
1245,1,2
1247,0,2
1248,0,1
1250,1,2
1252,0,2
1253,0,1
1255,1,2
1257,0,2
1258,0,1
1259,0,1
1262,0,3
1263,0,1
1264,0,1
1267,0,3
1268,0,1
1269,0,1
1271,0,2
1272,0,1
1273,0,1
1275,1,2
1277,0,2
1278,0,1
1279,0,1
1282,0,3
1283,0,1
1284,0,1
1286,1,2
1288,0,2
1289,0,1
1291,1,2
1293,0,2
1294,0,1
1295,0,1
1298,0,3
1299,0,1
1300,0,1
1302,0,2
1303,0,1
1304,0,1
1306,1,2
1308,0,2
1309,0,1
1310,0,1
1313,0,3
1314,0,1
1315,0,1
1318,0,3
1319,0,1
1320,0,1
1323,0,3
1324,0,1
1325,0,1
1327,0,2
1328,0,1
1329,0,1
1331,1,2
1333,0,2
1334,0,1
1336,1,2
1338,0,2
1339,0,1
1340,0,1
1343,0,3
1344,0,1
1345,0,1
1348,0,3
1349,0,1
1350,0,1
1353,0,3
1354,0,1
1355,0,1
1358,0,3
1359,0,1
1360,0,1
1363,0,3
1364,0,1
1365,0,1
1368,0,3
1369,0,1
1370,0,1
1372,0,2
1374,0,2
1375,0,1
1377,1,2
1379,0,2
1380,0,1
1381,0,1
1384,0,3
1385,0,1
1386,0,1
1388,0,2
1389,0,1
1390,0,1
1392,1,2
1394,0,2
1395,0,1
1396,0,1
1399,0,3
1400,0,1
1401,0,1
1404,0,3
1405,0,1
1406,0,1
1408,0,2
1409,0,1
1410,0,1
1412,0,2
1413,0,1
1414,0,1
1416,1,2
1418,0,2
1419,0,1
1420,0,1
1423,0,3
1424,0,1
1427,0,3
1428,0,1
1430,1,2
1432,0,2
1433,0,1
1435,1,2
1437,0,2
1438,0,1
1439,0,1
1442,0,3
1443,0,1
1444,0,1
1447,0,3
1448,0,1
1449,0,1
1451,0,2
1452,0,1
1453,0,1
1455,1,2
1457,0,2
1458,0,1
1459,0,1
1462,0,3
1463,0,1
1465,0,2
1466,0,1
1467,0,1
1468,0,1
1471,0,3
1472,0,1
1473,0,1
1475,0,2
1476,0,1
1477,0,1
1479,1,2
1481,0,2
1482,0,1
1483,0,1
1486,0,3
1487,0,1
1488,0,1
1490,0,2
1491,0,1
1492,0,1
1494,1,2
1496,0,2
1497,0,1
1498,0,1
1500,0,2
1501,0,1
1502,0,1
1504,1,2
1506,0,2
1507,0,1
1508,0,1
1510,0,2
1511,0,1
1512,0,1
1513,0,1
1516,0,3
1517,0,1
1518,0,1
1520,0,2
1521,0,1
1522,0,1
1523,0,1
1526,0,3
1527,0,1
1528,0,1
1530,1,2
1532,0,2
1533,0,1
1535,1,2
1537,0,2
1538,0,1
1539,0,1
1542,0,3
1543,0,1
1544,0,1
1547,0,3
1548,0,1
1550,1,2
1552,0,2
1553,0,1
1554,0,1
1557,0,3
1558,0,1
1559,0,1
1561,0,2
1562,0,1
1563,0,1
1564,0,1
1567,0,3
1568,0,1
1569,0,1
1571,0,2
1572,0,1
1573,0,1
1575,1,2
1577,0,2
1578,0,1
1579,0,1
1582,0,3
1583,0,1
1584,0,1
1586,1,2
1588,0,2
1589,0,1
1590,0,1
1593,0,3
1594,0,1
1595,0,1
1597,0,2
1598,0,1
1599,0,1
1601,0,2
1602,0,1
1603,0,1
1605,1,2
1607,0,2
1608,0,1
1609,0,1
1612,0,3
1613,0,1
1614,0,1
1616,0,2
1617,0,1
1618,0,1
1620,0,2
1621,0,1
1622,0,1
1624,1,2
1626,0,2
1627,0,1
1629,1,2
1631,0,2
1632,0,1
1633,0,1
1636,0,3
1637,0,1
1638,0,1
1641,0,3
1642,0,1
1643,0,1
1645,0,2
1647,0,2
1648,0,1
1650,0,2
1651,0,1
1652,0,1
1654,1,2
1656,0,2
1657,0,1
1658,0,1
1660,0,2
1661,0,1
1662,0,1
1663,0,1
1666,0,3
1667,0,1
1668,0,1
1671,0,3
1672,0,1
1673,0,1
1675,0,2
1676,0,1
1677,0,1
1678,0,1
1681,0,3
1682,0,1
1683,0,1
1685,1,2
1687,0,2
1688,0,1
1689,0,1
1692,0,3
1693,0,1
1694,0,1
1697,0,3
1698,0,1
1699,0,1
1701,0,2
1702,0,1
1703,0,1
1705,1,2
1707,0,2
1708,0,1
1709,0,1
1712,0,3
1713,0,1
1714,0,1
1716,0,2
1717,0,1
1718,0,1
1720,1,2
1722,0,2
1723,0,1
1724,0,1
1726,0,2
1727,0,1
1728,0,1
1730,1,2
1732,0,2
1733,0,1
1734,0,1
1737,0,3
1738,0,1
1739,0,1
1742,0,3
1743,0,1
1744,0,1
1746,0,2
1747,0,1
1748,0,1
1750,1,2
1752,0,2
1753,0,1
1754,0,1
1757,0,3
1758,0,1
1759,0,1
1762,0,3
1763,0,1
1764,0,1
1767,0,3
1768,0,1
1769,0,1
1771,0,2
1772,0,1
1773,0,1
1776,0,3
1777,0,1
1778,0,1
1781,0,3
1782,0,1
1783,0,1
1786,0,3
1787,0,1
1788,0,1
1791,0,3
1792,0,1
1793,0,1
1796,0,3
1797,0,1
1798,0,1
1800,0,2
1801,0,1
1802,0,1
1804,1,2
1806,0,2
1807,0,1
1808,0,1
1811,0,3
1812,0,1
1813,0,1
1815,0,2
1816,0,1
1817,0,1
1819,0,2
1820,0,1
1821,0,1
1823,1,2
1825,0,2
1826,0,1
1828,1,2
1830,0,2
1831,0,1
1832,0,1
1835,0,3
1836,0,1
1838,1,2
1840,0,2
1841,0,1
1843,1,2
1845,0,2
1846,0,1
1847,0,1
1850,0,3
1851,0,1
1852,0,1
1855,0,3
1856,0,1
1857,0,1
1860,0,3
1861,0,1
1862,0,1
1864,0,2
1865,0,1
1866,0,1
1869,0,3
1870,0,1
1871,0,1
1873,0,2
1874,0,1
1875,0,1
1877,1,2
1879,0,2
1880,0,1
1882,0,2
1883,0,1
1884,0,1
1886,0,2
1887,0,1
1888,0,1
1890,0,2
1891,0,1
1892,0,1
1895,0,3
1896,0,1
1897,0,1
1900,0,3
1901,0,1
1902,0,1
1905,0,3
1906,0,1
1907,0,1
1909,0,2
1910,0,1
1911,0,1
1913,1,2
1915,0,2
1916,0,1
1918,1,2
1920,0,2
1921,0,1
1923,1,2
1925,0,2
1926,0,1
1928,1,2
1930,0,2
1931,0,1
1933,0,2
1934,0,1
1935,0,1
1937,1,2
1939,0,2
1940,0,1
1941,0,1
1944,0,3
1945,0,1
1947,1,2
1949,0,2
1950,0,1
1951,0,1
1954,0,3
1955,0,1
1956,0,1
1958,0,2
1959,0,1
1960,0,1
1962,0,2
1963,0,1
1964,0,1
1966,0,2
1967,0,1
1968,0,1
1970,1,2
1972,0,2
1973,0,1
1975,1,2
1977,0,2
1978,0,1
1980,0,2
1981,0,1
1982,0,1
1984,0,2
1985,0,1
1986,0,1
1988,1,2
1990,0,2
1991,0,1
1993,1,2
1995,0,2
1996,0,1
1998,1,2
2000,0,2
2001,0,1
2002,0,1
2004,0,2
2005,0,1
2006,0,1
2008,0,2
2009,0,1
2010,0,1
2012,0,2
2013,0,1
2014,0,1
2016,1,2
2018,0,2
2019,0,1
2020,0,1
2023,0,3
2024,0,1
2026,1,2
2028,0,2
2029,0,1
2030,0,1
2033,0,3
2034,0,1
2035,0,1
2037,0,2
2038,0,1
2039,0,1
2041,0,2
2042,0,1
2043,0,1
2045,0,2
2046,0,1
2047,0,1
2049,0,2
2050,0,1
2051,0,1
2053,1,2
2055,0,2
2056,0,1
2058,0,2
2059,0,1
2060,0,1
2062,0,2
2063,0,1
2064,0,1
2066,1,2
2068,0,2
2069,0,1
2071,1,2
2073,0,2
2074,0,1
2076,1,2
2078,0,2
2079,0,1
2080,0,1
2083,0,3
2084,0,1
2085,0,1
2088,0,3
2089,0,1
2091,0,2
2092,0,1
2093,0,1
2094,0,1
2097,0,3
2098,0,1
2099,0,1
2102,0,3
2103,0,1
2105,1,2
2107,0,2
2108,0,1
2109,0,1
2112,0,3
2113,0,1
2114,0,1
2117,0,3
2118,0,1
2119,0,1
2122,0,3
2123,0,1
2124,0,1
2126,0,2
2127,0,1
2128,0,1
2130,0,2
2131,0,1
2132,0,1
2134,1,2
2136,0,2
2137,0,1
2139,1,2
2141,0,2
2142,0,1
2143,0,1
2146,0,3
2147,0,1
2148,0,1
2150,0,2
2151,0,1
2152,0,1
2154,0,2
2155,0,1
2156,0,1
2159,0,3
2160,0,1
2162,1,2
2164,0,2
2165,0,1
2166,0,1
2169,0,3
2170,0,1
2171,0,1
2173,0,2
2174,0,1
2175,0,1
2177,1,2
2179,0,2
2180,0,1
2181,0,1
2184,0,3
2185,0,1
2186,0,1
2188,0,2
2189,0,1
2190,0,1
2192,0,2
2193,0,1
2194,0,1
2195,0,1
2198,0,3
2199,0,1
2201,1,2
2203,0,2
2204,0,1
2206,1,2
2208,0,2
2209,0,1
2210,0,1
2213,0,3
2214,0,1
2216,1,2
2218,0,2
2219,0,1
2222,0,3
2223,0,1
2224,0,1
2227,0,3
2228,0,1
2229,0,1
2231,0,2
2232,0,1
2233,0,1
2234,0,1
2237,0,3
2238,0,1
2239,0,1
2241,0,2
2242,0,1
2243,0,1
2245,1,2
2247,0,2
2248,0,1
2249,0,1
2252,0,3
2253,0,1
2254,0,1
2257,0,3
2258,0,1
2259,0,1
2262,0,3
2263,0,1
2264,0,1
2266,0,2
2267,0,1
2268,0,1
2270,0,2
2271,0,1
2272,0,1
2275,0,3
2276,0,1
2277,0,1
2280,0,3
2281,0,1
2282,0,1
2284,0,2
2285,0,1
2286,0,1
2288,0,2
2289,0,1
2290,0,1
2291,0,1
2294,0,3
2295,0,1
2296,0,1
2298,0,2
2299,0,1
2300,0,1
2302,1,2
2304,0,2
2305,0,1
2306,0,1
2309,0,3
2310,0,1
2311,0,1
2313,0,2
2314,0,1
2315,0,1
2317,1,2
2319,0,2
2320,0,1
2322,1,2
2324,0,2
2325,0,1
2327,0,2
2328,0,1
2329,0,1
2331,1,2
2333,0,2
2334,0,1
2335,0,1
2338,0,3
2339,0,1
2340,0,1
2342,0,2
2343,0,1
2344,0,1
2346,0,2
2348,0,2
2349,0,1
2350,0,1
2353,0,3
2354,0,1
2355,0,1
2358,0,3
2359,0,1
2360,0,1
2362,0,2
2363,0,1
2364,0,1
2365,0,1
2368,0,3
2369,0,1
