time (ms),latency (ms),consume (ms)
0,23,0
3,22,3
6,25,3
9,28,3
11,29,2
13,31,2
15,33,2
17,34,2
21,38,4
23,40,2
25,41,2
27,43,2
28,44,1
30,45,2
32,47,2
33,48,1
36,51,3
38,52,2
39,53,1
42,56,3
44,57,2
46,59,2
49,62,3
52,65,3
58,70,6
60,72,2
63,75,3
65,76,2
68,79,3
76,87,8
79,89,3
83,93,4
86,96,3
89,99,3
91,100,2
93,102,2
94,103,1
96,104,2
97,105,1
99,107,2
100,108,1
102,109,2
104,111,2
106,113,2
107,113,1
109,115,2
110,116,1
112,118,2
113,118,1
115,120,2
116,121,1
117,121,1
119,123,2
121,125,2
122,126,1
124,127,2
125,128,1
127,129,2
129,131,2
130,131,1
132,133,2
134,134,2
135,135,1
137,137,2
139,138,2
141,140,2
143,142,2
144,142,1
145,143,1
147,145,2
148,146,1
150,147,2
151,148,1
153,150,2
154,150,1
155,151,1
157,153,2
159,154,2
160,155,1
162,157,2
163,157,1
165,159,2
166,160,1
168,162,2
170,163,2
171,164,1
173,166,2
174,166,1
176,168,2
180,172,4
182,174,2
183,174,1
185,176,2
186,177,1
187,177,1
188,178,1
189,179,1
191,181,2
192,181,1
193,182,1
194,183,1
196,185,2
197,185,1
198,186,1
200,188,2
203,191,3
206,193,3
209,196,3
212,199,3
214,201,2
218,204,4
219,205,1
221,207,2
223,209,2
226,211,3
230,215,4
233,218,3
235,219,2
238,222,3
240,224,2
243,227,3
249,232,6
253,236,4
255,238,2
257,239,2
260,242,3
262,244,2
264,245,2
265,246,1
267,248,2
269,250,2
272,252,3
275,255,3
277,257,2
279,259,2
280,259,1
281,260,1
283,262,2
285,264,2
286,264,1
287,265,1
288,266,1
290,267,2
291,268,1
292,269,1
293,270,1
295,271,2
297,273,2
298,274,1
301,277,3
303,278,2
304,279,1
305,280,1
307,282,2
308,282,1
309,283,1
311,285,2
312,286,1
314,287,2
315,288,1
316,289,1
318,291,2
320,292,2
322,294,2
324,296,2
325,297,1
327,298,2
328,299,1
329,300,1
331,301,2
332,302,1
334,304,2
336,305,2
338,307,2
340,309,2
342,311,2
344,312,2
346,314,2
347,315,1
349,317,2
351,318,2
353,320,2
355,322,2
357,324,2
361,327,4
363,329,2
364,329,1
365,330,1
367,332,2
368,333,1
369,333,1
370,334,1
372,336,2
373,336,1
374,337,1
375,338,1
376,339,1
378,341,2
379,341,1
380,342,1
381,343,1
382,344,1
383,344,1
385,346,2
386,347,1
387,348,1
388,349,1
390,350,2
391,351,1
392,352,1
393,353,1
394,353,1
395,354,1
396,355,1
398,357,2
399,357,1
400,358,1
417,375,17
419,377,2
421,379,2
422,379,1
423,380,1
425,382,2
443,400,18
446,402,3
451,407,5
453,409,2
458,414,5
466,422,8
469,424,3
471,426,2
473,428,2
479,434,6
482,436,3
484,438,2
486,440,2
490,444,4
492,445,2
493,446,1
494,447,1
494,447,0
496,449,2
496,448,0
497,449,1
499,451,2
500,452,1
501,452,1
502,453,1
503,454,1
505,456,2
506,456,1
506,456,0
507,457,1
508,457,1
510,459,2
511,460,1
512,460,1
513,461,1
514,462,1
515,463,1
516,463,1
516,463,0
518,465,2
519,466,1
520,466,1
521,467,1
523,469,2
525,471,2
527,473,2
528,473,1
529,474,1
531,476,2
532,477,1
536,481,4
540,484,4
551,495,11
563,507,12
567,511,4
568,511,1
569,512,1
570,513,1
571,514,1
572,515,1
573,515,1
575,517,2
575,517,0
576,518,1
577,518,1
578,519,1
579,520,1
580,521,1
581,522,1
582,522,1
583,523,1
584,524,1
585,525,1
585,525,0
586,525,1
587,526,1
588,527,1
591,530,3
592,530,1
594,532,2
595,533,1
596,534,1
597,535,1
598,535,1
599,536,1
600,537,1
601,538,1
602,539,1
603,539,1
604,540,1
605,541,1
610,546,5
614,550,4
621,556,7
625,560,4
626,561,1
627,561,1
629,563,2
630,564,1
635,569,5
636,570,1
641,574,5
642,575,1
643,576,1
644,577,1
645,578,1
646,578,1
650,582,4
651,583,1
652,584,1
653,585,1
656,587,3
658,589,2
662,593,4
664,595,2
665,596,1
667,597,2
668,598,1
671,601,3
674,604,3
675,604,1
678,607,3
679,608,1
680,609,1
684,613,4
685,613,1
688,616,3
692,620,4
694,622,2
697,625,3
701,628,4
718,645,17
735,662,17
737,664,2
738,665,1
739,665,1
740,666,1
741,667,1
743,669,2
744,670,1
746,671,2
747,672,1
753,678,6
762,687,9
777,702,15
787,711,10
790,714,3
793,717,3
797,721,4
811,734,14
823,746,12
838,761,15
849,772,11
850,773,1
852,774,2
853,775,1
863,785,10
868,790,5
873,794,5
876,797,3
878,799,2
880,801,2
881,801,1
883,803,2
884,804,1
885,805,1
889,809,4
894,813,5
896,815,2
898,817,2
900,819,2
902,821,2
903,821,1
904,822,1
905,823,1
907,825,2
908,826,1
909,827,1
911,828,2
913,830,2
918,835,5
919,835,1
919,835,0
920,836,1
921,837,1
