time (ms),latency (ms),consume (ms)
0,7,0
7,2,7
14,2,7
20,1,6
27,2,7
34,2,7
40,1,6
46,1,6
53,2,7
59,1,6
65,0,6
72,1,7
78,1,6
88,4,10
94,1,6
101,1,7
107,0,6
113,0,6
122,3,9
129,1,7
136,1,7
143,1,7
149,1,6
156,1,7
163,1,7
170,1,7
176,0,6
183,1,7
191,1,8
199,1,8
205,1,6
215,1,10
221,0,6
228,1,7
234,1,6
240,1,6
246,1,6
253,1,7
260,1,7
266,1,6
272,0,6
279,1,7
285,1,6
291,1,6
297,0,6
305,2,8
311,1,6
317,1,6
323,1,6
329,1,6
335,1,6
341,1,6
347,1,6
353,1,6
359,1,6
365,1,6
371,1,6
377,1,6
383,1,6
389,1,6
395,1,6
401,1,6
407,1,6
413,0,6
419,0,6
425,0,6
432,1,7
438,0,6
445,1,7
451,1,6
457,0,6
464,1,7
470,0,6
476,0,6
482,0,6
488,0,6
494,0,6
500,0,6
506,0,6
512,0,6
519,0,7
525,0,6
532,1,7
538,1,6
544,1,6
550,1,6
556,1,6
562,1,6
568,1,6
574,1,6
580,1,6
586,1,6
592,1,6
598,1,6
605,1,7
612,1,7
619,1,7
626,1,7
634,2,8
641,2,7
647,1,6
654,1,7
659,0,5
665,0,6
671,0,6
677,0,6
684,1,7
690,1,6
696,1,6
702,1,6
708,1,6
716,3,8
722,1,6
728,1,6
737,0,9
744,1,7
750,1,6
756,1,6
763,1,7
770,1,7
776,0,6
783,1,7
790,1,7
797,1,7
804,1,7
810,0,6
817,1,7
823,1,6
829,1,6
835,0,6
842,1,7
848,1,6
854,1,6
861,0,7
867,0,6
873,0,6
879,0,6
885,0,6
891,0,6
897,0,6
904,1,7
910,1,6
916,1,6
924,2,8
930,1,6
936,0,6
943,1,7
950,1,7
957,1,7
963,1,6
970,1,7
977,1,7
984,1,7
991,2,7
997,1,6
1005,2,8
1011,1,6
1018,1,7
1027,1,9
1033,1,6
1040,1,7
1046,1,6
1053,1,7
1059,1,6
1066,1,7
1072,1,6
1078,1,6
1084,1,6
1091,2,7
1097,1,6
1103,1,6
1109,0,6
1116,1,7
1122,1,6
1128,1,6
1134,1,6
1141,1,7
1148,1,7
1154,0,6
1161,0,7
1168,1,7
1175,2,7
1181,1,6
1187,1,6
1194,1,7
1201,1,7
1208,2,7
1214,0,6
1222,1,8
1228,1,6
1235,1,7
1248,1,13
1255,1,7
1261,1,6
1267,1,6
1273,1,6
1279,1,6
1285,1,6
1291,1,6
1297,1,6
1303,1,6
1309,0,6
1315,0,6
1321,0,6
1328,1,7
1334,1,6
1340,0,6
1346,0,6
1353,1,7
1359,1,6
1365,0,6
1372,1,7
1378,1,6
1385,1,7
1391,1,6
1404,1,13
1410,1,6
1422,7,12
1427,1,5
1432,0,5
1438,0,6
1444,1,6
1452,3,8
1459,1,7
1465,1,6
1471,1,6
1478,2,7
1484,1,6
1490,1,6
1496,1,6
