time (ms),latency (ms),consume (ms)
0,37,0
2,24,2
18,29,16
18,19,0
44,32,26
46,24,2
65,32,19
66,17,1
91,30,25
93,22,2
115,31,22
116,21,1
137,31,21
138,16,1
159,26,21
161,16,2
181,26,20
182,16,1
216,39,34
217,28,1
237,36,20
237,15,0
259,27,22
260,16,1
279,25,19
279,14,0
299,24,20
299,14,0
333,38,34
334,29,1
340,25,6
340,15,0
360,25,20
361,16,1
381,25,20
382,16,1
402,25,20
403,16,1
424,26,21
424,15,0
447,28,23
448,18,1
468,27,20
470,17,2
490,25,20
491,16,1
511,25,20
512,15,1
531,24,19
532,15,1
555,28,23
556,19,1
577,25,21
579,16,2
598,25,19
599,15,1
620,25,21
622,17,2
642,26,20
644,17,2
664,27,20
664,16,0
684,26,20
685,17,1
705,26,20
706,15,1
727,26,21
728,16,1
749,27,21
750,16,1
771,26,21
772,16,1
792,26,20
793,16,1
814,26,21
814,15,0
834,25,20
835,16,1
855,25,20
856,16,1
878,27,22
879,17,1
899,27,20
899,16,0
920,26,21
921,16,1
942,26,21
943,16,1
966,28,23
967,18,1
987,25,20
988,16,1
1008,25,20
1009,15,1
1030,25,21
1031,16,1
1052,26,21
1053,16,1
1074,26,21
1074,15,0
1095,25,21
1096,15,1
1117,26,21
1118,16,1
1138,25,20
1139,15,1
1159,24,20
1160,15,1
1181,25,21
1182,15,1
1202,25,20
1203,15,1
1225,26,22
1226,17,1
1247,27,21
1248,16,1
1268,25,20
1269,15,1
1289,25,20
1290,16,1
1310,25,20
1311,15,1
1331,25,20
1335,19,4
1353,27,18
1354,16,1
1376,27,22
1381,21,5
1403,31,22
1404,22,1
1428,31,24
1432,22,4
1450,26,18
1450,15,0
1471,25,21
1472,16,1
1493,26,21
1494,16,1
1513,25,19
1513,14,0
1535,26,22
1535,16,0
1556,26,21
1557,16,1
1576,24,19
1576,14,0
1598,26,22
1598,15,0
1619,26,21
1620,16,1
1640,25,20
1640,15,0
1661,25,21
1662,15,1
1683,25,21
1684,16,1
1704,25,20
1705,15,1
1726,25,21
1727,16,1
1746,24,19
1747,15,1
1766,24,19
1768,16,2
1788,25,20
1799,26,11
1809,25,10
1810,15,1
1830,25,20
1831,16,1
1852,26,21
1853,16,1
1873,25,20
1873,15,0
1895,26,22
1895,15,0
1917,27,22
1917,16,0
1962,50,45
1965,42,3
1968,31,3
1970,23,2
1986,28,16
1987,16,1
2006,24,19
2007,15,1
2028,26,21
2028,16,0
2049,26,21
2049,16,0
2070,26,21
2071,16,1
2090,24,19
2091,15,1
2111,25,20
2112,16,1
2133,26,21
2133,15,0
2155,27,22
2155,16,0
2175,25,20
2176,15,1
2196,25,20
2196,15,0
2217,25,21
2218,16,1
2238,25,20
2239,16,1
2261,27,22
2261,17,0
2279,24,18
2289,24,10
2301,26,12
2301,15,0
2322,26,21
2323,16,1
2344,26,21
2344,15,0
2365,25,21
2366,16,1
2385,24,19
2386,15,1
2406,25,20
2407,16,1
2426,25,19
2427,16,1
2448,26,21
2449,16,1
2468,25,19
2469,15,1
2489,25,20
2489,14,0
2511,26,22
2511,16,0
2533,27,22
2533,15,0
2554,26,21
2555,16,1
2575,25,20
2576,16,1
2596,25,20
2597,16,1
2618,26,21
2618,15,0
2637,24,19
2639,16,2
2659,25,20
2662,18,3
2680,25,18
2681,16,1
2701,25,20
2702,15,1
2723,26,21
2723,15,0
2745,26,22
2746,17,1
2766,26,20
2780,29,14
2787,25,7
2788,16,1
2808,25,20
2809,15,1
2842,38,33
2843,28,1
2862,24,19
2863,14,1
2884,25,21
2884,15,0
2905,25,21
2905,14,0
2926,25,21
2929,17,3
2952,29,23
2955,22,3
2988,45,33
2992,38,4
2995,31,3
2997,22,2
3013,27,16
3014,17,1
3034,26,20
3035,16,1
3055,25,20
3056,16,1
3075,24,19
3076,15,1
3096,24,20
3096,14,0
3117,25,21
3118,15,1
3139,26,21
3139,15,0
3160,25,21
3161,15,1
3181,25,20
3182,15,1
3202,25,20
3203,15,1
3223,25,20
3224,15,1
3247,28,23
3248,18,1
3269,28,21
3269,18,0
3289,27,20
3289,16,0
3311,27,22
3312,18,1
3332,27,20
3332,16,0
3352,26,20
3353,17,1
3376,29,23
3377,18,1
3396,26,19
3397,16,1
3415,24,18
3415,14,0
3436,25,21
3437,16,1
3457,25,20
3457,14,0
3478,25,21
3479,16,1
3499,25,20
3500,16,1
3521,26,21
3521,15,0
3543,26,22
3544,15,1
3564,25,20
3565,15,1
3585,24,20
3586,15,1
3607,25,21
3607,15,0
3628,25,21
3629,15,1
3650,25,21
3650,15,0
3671,25,21
3672,15,1
3692,25,20
3695,17,3
3715,26,20
3716,17,1
3736,25,20
3737,16,1
3757,25,20
3758,15,1
3781,28,23
3782,19,1
3800,26,18
3801,16,1
3821,25,20
3821,15,0
3842,25,21
3843,16,1
3863,25,20
3863,15,0
3884,25,21
3884,15,0
3905,25,21
3906,16,1
3927,26,21
3928,16,1
3947,24,19
3948,15,1
3968,25,20
3968,15,0
3988,25,20
3989,16,1
4009,25,20
4010,15,1
4030,24,20
4031,15,1
4051,25,20
4051,15,0
4072,25,21
4073,15,1
4094,26,21
4095,16,1
4113,23,18
4114,14,1
4135,25,21
4136,15,1
4157,26,21
4158,16,1
4179,26,21
4180,16,1
4201,26,21
4203,17,2
4238,41,35
4240,31,2
4257,24,17
4258,15,1
4278,25,20
4279,15,1
4299,25,20
4299,14,0
4320,25,21
4321,16,1
4342,26,21
4342,15,0
4363,25,21
4364,16,1
4383,24,19
4384,15,1
4404,25,20
4404,14,0
4426,26,22
4426,15,0
4449,28,23
4450,18,1
4471,29,21
4472,19,1
4492,27,20
4493,18,1
4512,27,19
4513,17,1
4532,26,19
4533,17,1
4553,27,20
4554,17,1
4574,27,20
4575,18,1
4594,25,19
4594,15,0
4614,24,20
4615,15,1
4636,25,21
4637,16,1
4658,26,21
4659,17,1
4679,26,20
4679,16,0
4700,26,21
4702,16,2
4722,26,20
4722,15,0
4743,25,21
4744,16,1
4764,26,20
4764,15,0
4785,25,21
4786,16,1
4806,25,20
4807,15,1
4827,25,20
4827,15,0
4848,26,21
4849,16,1
4869,25,20
4869,15,0
4890,25,21
4891,16,1
4911,25,20
4911,15,0
4934,27,23
4935,18,1
4955,26,20
4957,18,2
4976,26,19
4977,16,1
4998,27,21
4998,15,0
5019,26,21
5020,16,1
5039,24,19
5040,15,1
5060,25,20
5060,15,0
5082,26,22
5082,16,0
5102,25,20
5103,16,1
5123,25,20
5123,15,0
5144,26,21
5145,16,1
5164,24,19
5165,15,1
5186,26,21
5188,17,2
5207,25,19
5208,15,1
5229,26,21
5230,16,1
5250,25,20
5251,16,1
5271,25,20
5272,16,1
5291,24,19
5292,15,1
5312,24,20
5312,14,0
5333,25,21
5334,16,1
5354,25,20
5355,15,1
5375,25,20
5375,15,0
5395,25,20
5396,15,1
5417,26,21
5418,16,1
5438,26,20
5440,16,2
5458,24,18
5459,15,1
5479,25,20
5479,15,0
5500,25,21
5501,16,1
5521,25,20
5521,15,0
5542,25,21
5543,16,1
5563,25,20
5563,14,0
5584,25,21
5585,15,1
5608,28,23
5609,18,1
5626,24,17
5627,15,1
5646,24,19
5647,14,1
5668,25,21
5670,17,2
5688,24,18
5688,14,0
5720,36,32
5721,26,1
5734,25,13
5734,15,0
5755,25,21
5756,16,1
5776,25,20
5777,15,1
5797,24,20
5797,14,0
5820,27,23
5821,18,1
5841,27,20
5842,17,1
5862,27,20
5863,18,1
5882,26,19
5882,15,0
5904,26,22
5904,15,0
5925,26,21
5926,16,1
5949,28,23
5950,19,1
5970,25,20
5971,16,1
5991,25,20
5991,15,0
6012,26,21
6013,16,1
6035,27,22
6035,17,0
6056,27,21
6056,17,0
6076,25,20
6077,16,1
6100,28,23
6101,18,1
6121,27,20
6122,18,1
6144,29,22
6145,18,1
6164,26,19
6165,17,1
6186,27,21
6186,17,0
6207,27,21
6208,17,1
6227,25,19
6227,15,0
6249,27,22
6250,18,1
6271,28,21
6272,18,1
6294,29,22
6294,18,0
6315,27,21
6316,17,1
6336,26,20
6337,16,1
6356,25,19
6357,16,1
6377,26,20
6379,18,2
6397,25,18
6399,17,2
6419,26,20
6420,15,1
6440,25,20
6441,15,1
6462,25,21
6463,16,1
6482,24,19
6483,15,1
6504,25,21
6506,17,2
6525,25,19
6527,17,2
6546,25,19
6547,15,1
6568,26,21
6568,15,0
6589,25,21
6590,15,1
6611,26,21
6611,16,0
6633,27,22
6634,17,1
6654,27,20
6655,17,1
6673,25,18
6674,16,1
6695,27,21
6696,18,1
6715,26,19
6715,16,0
6736,27,21
6737,17,1
6757,27,20
6758,17,1
6780,29,22
6781,18,1
6802,29,21
6803,18,1
6823,27,20
6824,17,1
6843,26,19
6843,15,0
6863,25,20
6864,16,1
6883,24,19
6884,15,1
6903,24,19
6904,15,1
6925,25,21
6926,16,1
6946,25,20
6947,16,1
6979,37,32
6981,29,2
6988,25,7
6990,17,2
7009,25,19
7010,16,1
7030,25,20
7031,16,1
7050,24,19
7051,15,1
7072,26,21
7072,15,0
