time (ms),latency (ms),consume (ms)
0,12,0
1,8,1
2,7,1
2,5,0
2,4,0
3,3,1
6,3,3
7,3,1
7,2,0
9,2,2
10,1,1
12,2,2
14,2,2
15,2,1
16,1,1
17,1,1
19,1,2
21,2,2
22,1,1
24,2,2
25,1,1
27,1,2
29,1,2
32,2,3
36,4,4
36,2,0
38,2,2
40,2,2
43,2,3
44,1,1
46,1,2
48,1,2
50,1,2
53,2,3
55,1,2
57,1,2
59,1,2
62,2,3
63,2,1
65,2,2
66,1,1
68,1,2
70,1,2
73,2,3
75,2,2
77,2,2
79,2,2
81,1,2
83,1,2
86,2,3
87,1,1
89,2,2
90,1,1
92,2,2
93,1,1
95,2,2
96,1,1
98,1,2
100,1,2
102,2,2
103,1,1
105,1,2
106,1,1
108,1,2
110,2,2
112,2,2
113,1,1
115,2,2
116,1,1
117,1,1
119,2,2
120,1,1
122,2,2
123,1,1
124,1,1
126,2,2
127,1,1
129,2,2
130,1,1
133,2,3
134,2,1
135,1,1
138,3,3
139,2,1
140,1,1
142,1,2
144,1,2
146,2,2
147,2,1
148,1,1
150,2,2
151,1,1
153,2,2
154,1,1
156,1,2
157,1,1
159,1,2
161,2,2
162,1,1
164,2,2
166,2,2
167,2,1
168,1,1
170,2,2
171,1,1
172,1,1
174,2,2
175,1,1
177,2,2
178,1,1
180,2,2
181,1,1
182,1,1
184,1,2
186,2,2
187,1,1
188,1,1
190,1,2
192,1,2
194,1,2
195,1,1
197,1,2
199,1,2
201,2,2
203,2,2
205,2,2
206,2,1
208,2,2
209,1,1
211,2,2
212,1,1
214,2,2
215,1,1
216,1,1
218,2,2
219,1,1
221,2,2
222,1,1
223,1,1
225,2,2
226,1,1
228,2,2
229,1,1
230,1,1
232,2,2
233,1,1
235,2,2
236,1,1
238,2,2
239,1,1
240,1,1
242,2,2
243,1,1
245,2,2
246,2,1
247,1,1
249,2,2
250,1,1
252,2,2
253,1,1
254,1,1
256,2,2
257,1,1
259,2,2
260,2,1
261,1,1
262,1,1
264,1,2
265,1,1
267,1,2
269,2,2
270,1,1
271,1,1
273,2,2
274,1,1
276,2,2
277,1,1
278,1,1
280,2,2
281,1,1
283,2,2
284,1,1
285,1,1
287,2,2
288,1,1
289,1,1
291,1,2
292,1,1
294,1,2
296,2,2
297,1,1
299,2,2
300,2,1
301,1,1
303,2,2
304,1,1
306,2,2
307,1,1
308,1,1
310,2,2
311,1,1
313,2,2
314,2,1
315,1,1
317,2,2
318,1,1
319,1,1
321,2,2
322,1,1
324,2,2
325,1,1
326,1,1
328,2,2
329,1,1
330,1,1
332,1,2
333,1,1
346,13,13
347,12,1
347,11,0
347,9,0
347,7,0
347,6,0
347,4,0
347,3,0
347,2,0
348,1,1
350,2,2
353,3,3
354,1,1
355,1,1
357,1,2
358,1,1
360,2,2
361,1,1
363,2,2
364,1,1
366,2,2
367,1,1
368,1,1
370,2,2
371,1,1
372,1,1
374,1,2
375,1,1
377,1,2
378,1,1
379,1,1
381,1,2
382,1,1
384,1,2
385,1,1
387,2,2
388,1,1
390,2,2
391,1,1
393,1,2
