time (ms),latency (ms),consume (ms)
0,13,0
1,5,1
6,4,5
10,3,4
16,2,6
22,2,6
28,2,6
33,1,5
39,2,6
45,2,6
50,2,5
55,1,5
61,2,6
67,2,6
73,1,6
79,2,6
84,1,5
90,2,6
97,3,7
101,2,4
107,2,6
112,2,5
117,1,5
124,3,7
129,1,5
135,2,6
141,2,6
146,1,5
152,2,6
158,2,6
167,5,9
170,2,3
175,1,5
181,1,6
188,2,7
194,2,6
200,2,6
206,2,6
212,2,6
219,2,7
224,2,5
230,1,6
236,2,6
241,1,5
247,2,6
253,2,6
258,1,5
264,2,6
270,2,6
276,2,6
281,1,5
287,1,6
293,2,6
298,1,5
304,1,6
310,2,6
315,1,5
321,1,6
327,2,6
333,2,6
339,2,6
344,1,5
350,1,6
356,1,6
362,2,6
368,2,6
373,1,5
379,2,6
384,1,5
390,1,6
396,2,6
401,1,5
407,1,6
413,2,6
419,2,6
424,1,5
430,2,6
436,2,6
441,2,5
448,3,7
454,2,6
460,2,6
467,3,7
475,4,8
481,2,6
486,1,5
491,1,5
497,2,6
502,1,5
508,2,6
513,1,5
519,2,6
524,1,5
531,3,7
537,2,6
543,1,6
549,2,6
554,1,5
560,2,6
565,1,5
571,2,6
576,2,5
582,2,6
587,2,5
592,1,5
598,2,6
603,1,5
609,2,6
614,1,5
620,2,6
625,1,5
632,3,7
637,1,5
643,2,6
648,1,5
654,2,6
659,1,5
665,2,6
670,2,5
676,2,6
681,1,5
687,2,6
693,2,6
699,2,6
705,2,6
711,2,6
717,2,6
723,2,6
728,1,5
734,2,6
739,1,5
745,2,6
751,2,6
756,1,5
762,2,6
767,1,5
773,1,6
779,2,6
784,1,5
790,1,6
796,1,6
802,1,6
807,1,5
813,2,6
819,2,6
824,2,5
830,2,6
835,2,5
840,1,5
846,2,6
851,1,5
857,2,6
862,1,5
868,2,6
873,2,5
878,1,5
884,2,6
889,1,5
895,2,6
900,1,5
905,1,5
911,2,6
916,1,5
922,2,6
927,1,5
933,2,6
938,1,5
943,1,5
949,1,6
954,1,5
960,2,6
965,1,5
971,2,6
979,4,8
981,1,2
987,2,6
992,1,5
998,2,6
1003,1,5
1009,2,6
1014,1,5
1021,3,7
1026,1,5
1032,2,6
1037,1,5
1042,1,5
1048,1,6
1054,2,6
1059,1,5
1065,2,6
1070,1,5
1076,2,6
1081,1,5
1087,1,6
1092,1,5
1098,1,6
1104,2,6
1109,1,5
1115,2,6
1120,2,5
1125,1,5
1131,2,6
1136,1,5
1142,2,6
1147,1,5
1153,2,6
1158,1,5
1164,2,6
1169,1,5
1175,2,6
1180,1,5
1185,1,5
1191,1,6
1196,1,5
1202,1,6
1207,1,5
1213,2,6
1231,14,18
1231,9,0
1231,3,0
1235,1,4
1241,1,6
1247,2,6
1252,1,5
1259,2,7
1265,1,6
1271,1,6
1278,2,7
1283,1,5
1289,2,6
1294,1,5
1299,1,5
1305,1,6
1310,1,5
1316,1,6
1322,2,6
1329,3,7
1334,1,5
1340,2,6
1345,1,5
1351,2,6
1356,1,5
1362,1,6
1368,2,6
1373,1,5
1379,1,6
1384,1,5
1390,1,6
1395,1,5
1403,1,8
1410,2,7
1414,1,4
1420,2,6
1425,1,5
1431,2,6
1436,1,5
1442,2,6
1447,1,5
1453,2,6
1459,2,6
1464,1,5
1469,1,5
1475,2,6
1480,1,5
1486,2,6
1491,1,5
1496,1,5
1502,1,6
1507,1,5
1513,2,6
1518,1,5
1523,1,5
1529,1,6
1534,1,5
1540,2,6
1545,1,5
1550,1,5
1556,1,6
1561,1,5
1567,2,6
1572,1,5
1577,1,5
1583,1,6
1589,2,6
1594,1,5
1600,2,6
1605,1,5
1610,1,5
1616,1,6
1621,1,5
1627,2,6
1632,1,5
1638,2,6
1643,1,5
1649,2,6
1654,1,5
1659,1,5
1665,1,6
1670,1,5
1676,2,6
1681,1,5
1687,2,6
1692,1,5
1698,2,6
1703,1,5
1708,1,5
1714,2,6
1719,1,5
1725,2,6
1730,1,5
1735,1,5
1741,1,6
1746,1,5
1752,1,6
1757,1,5
1763,1,6
1768,1,5
1774,1,6
1780,2,6
1785,1,5
1791,1,6
1796,1,5
1802,1,6
1808,2,6
1813,1,5
1819,2,6
1824,1,5
1830,2,6
1839,5,9
1845,1,6
1851,1,6
1857,1,6
1863,1,6
1869,1,6
1875,1,6
1881,1,6
1887,1,6
1893,2,6
1898,1,5
1903,1,5
1909,2,6
1914,1,5
1920,2,6
1925,1,5
1930,1,5
1936,2,6
1941,1,5
1946,1,5
1952,1,6
1957,1,5
1963,2,6
1968,1,5
1973,1,5
1979,2,6
1984,1,5
1990,2,6
1995,1,5
2000,1,5
2006,2,6
2011,1,5
2016,1,5
2022,1,6
2027,1,5
2033,2,6
2038,1,5
2043,1,5
2049,1,6
2054,1,5
2060,2,6
2065,1,5
2070,1,5
2076,1,6
2081,1,5
2087,2,6
2092,1,5
2097,1,5
2103,1,6
2108,1,5
2115,2,7
2120,2,5
2125,1,5
2131,1,6
2137,2,6
2158,5,21
2160,2,2
2165,1,5
2171,1,6
2177,1,6
2183,1,6
2189,1,6
2196,2,7
2202,2,6
2208,2,6
2214,1,6
2220,1,6
2226,1,6
2232,1,6
2238,1,6
2244,1,6
2250,1,6
2257,2,7
2262,1,5
2267,1,5
2273,1,6
2278,1,5
2284,2,6
2289,1,5
2294,1,5
2300,1,6
2305,1,5
2311,2,6
2316,1,5
2321,1,5
2327,2,6
2332,1,5
2337,1,5
2343,2,6
2348,1,5
2353,1,5
2359,1,6
2364,1,5
2370,2,6
2375,1,5
2381,2,6
2386,1,5
2391,1,5
2397,2,6
2402,1,5
2407,1,5
2413,2,6
2418,1,5
2423,1,5
2429,1,6
2434,1,5
2440,2,6
2445,1,5
2450,1,5
2456,2,6
2461,1,5
2466,1,5
2472,1,6
2477,1,5
2482,1,5
2488,1,6
2493,1,5
2499,2,6
2504,1,5
2509,1,5
2515,1,6
2521,1,6
2527,1,6
2533,1,6
2539,1,6
2545,2,6
2550,1,5
2555,1,5
2561,2,6
2566,1,5
2571,1,5
2577,1,6
2582,1,5
2587,1,5
2593,1,6
2598,1,5
2603,1,5
2609,1,6
2614,1,5
2620,2,6
2625,1,5
2630,1,5
2636,2,6
2641,1,5
2646,1,5
2652,1,6
2657,1,5
2662,1,5
2668,1,6
2673,1,5
2679,2,6
2684,1,5
2689,1,5
2695,2,6
2700,1,5
2705,1,5
2711,1,6
2716,1,5
2722,2,6
2727,1,5
2732,1,5
2738,2,6
2743,1,5
2749,2,6
2754,1,5
2759,1,5
2765,2,6
2770,1,5
2775,1,5
2781,2,6
2786,1,5
2792,2,6
2797,1,5
2802,1,5
2808,2,6
2813,1,5
2818,1,5
2824,2,6
2829,1,5
2838,3,9
2842,1,4
2847,1,5
2853,2,6
2859,2,6
2864,2,5
2869,1,5
2875,2,6
2880,1,5
2886,2,6
2891,1,5
2896,1,5
2901,1,5
2907,1,6
2912,1,5
2917,1,5
2923,1,6
2928,1,5
2933,1,5
2939,1,6
2944,1,5
2949,1,5
2955,1,6
2960,1,5
2965,1,5
2971,1,6
2977,2,6
2982,1,5
2987,1,5
2993,2,6
2998,1,5
3003,1,5
3009,2,6
3014,1,5
3019,1,5
3025,2,6
3031,1,6
3038,2,7
3045,2,7
3050,1,5
3055,1,5
3061,1,6
3066,1,5
3071,1,5
3077,1,6
3082,1,5
3087,1,5
3093,1,6
3098,1,5
3104,2,6
3109,1,5
3119,6,10
3120,2,1
3125,1,5
3130,1,5
3136,1,6
3142,1,6
3148,2,6
3153,1,5
3158,1,5
3164,2,6
3169,1,5
3174,1,5
3179,1,5
3185,1,6
3190,1,5
3196,2,6
3201,1,5
3206,1,5
3212,2,6
3217,1,5
3222,1,5
3227,1,5
3233,1,6
3239,2,6
3244,1,5
3249,1,5
3255,2,6
3260,1,5
3265,1,5
3271,2,6
3276,1,5
3282,2,6
3287,1,5
3293,2,6
3298,1,5
3304,2,6
3309,1,5
3315,2,6
3320,1,5
3325,1,5
3331,1,6
3339,1,8
3345,1,6
3350,1,5
3356,2,6
3361,1,5
3366,1,5
3372,1,6
3377,1,5
3382,1,5
3388,1,6
3393,1,5
3398,1,5
3404,1,6
3409,1,5
3414,1,5
3420,1,6
3425,1,5
3431,2,6
3436,1,5
3441,1,5
3447,2,6
3452,1,5
3458,2,6
3463,1,5
3468,1,5
3473,1,5
3479,1,6
3484,1,5
3489,1,5
3495,1,6
3500,1,5
3506,2,6
3511,1,5
3516,1,5
3521,1,5
3527,1,6
3533,2,6
3538,2,5
3543,1,5
3548,1,5
3554,2,6
3559,1,5
3564,1,5
3570,1,6
3575,1,5
3580,1,5
3586,1,6
3591,1,5
3597,2,6
3602,1,5
3607,1,5
3613,2,6
3618,1,5
3623,1,5
3629,2,6
3634,1,5
3639,1,5
3644,0,5
3650,1,6
3655,1,5
3661,1,6
3666,1,5
3671,1,5
3677,1,6
3682,1,5
3688,2,6
3693,1,5
3698,1,5
3704,2,6
3709,1,5
3714,1,5
3720,2,6
3725,1,5
3730,1,5
3735,1,5
3741,1,6
3746,1,5
3751,1,5
3757,1,6
3762,1,5
3767,1,5
3773,1,6
3778,1,5
3784,2,6
3789,1,5
3794,1,5
3800,1,6
3805,0,5
3812,2,7
3817,1,5
3824,2,7
3829,1,5
3834,1,5
3840,2,6
3845,1,5
3850,1,5
3856,2,6
3861,1,5
3866,1,5
3871,1,5
3877,1,6
3882,1,5
3887,1,5
3893,1,6
3898,1,5
3904,1,6
3909,1,5
3915,2,6
3920,1,5
3925,1,5
3931,1,6
3936,1,5
3942,2,6
3947,1,5
3952,1,5
3958,2,6
3963,1,5
3968,1,5
3974,2,6
3979,1,5
3987,1,8
3993,1,6
3998,1,5
4004,2,6
4009,1,5
4015,2,6
4020,1,5
4025,1,5
4031,2,6
4036,1,5
4041,1,5
4047,1,6
4052,1,5
4057,1,5
4063,1,6
4068,1,5
4073,1,5
4079,1,6
4084,1,5
4089,1,5
4095,1,6
4100,1,5
4105,1,5
4111,1,6
4116,1,5
4122,2,6
4127,1,5
4132,1,5
4138,2,6
4143,1,5
4148,1,5
4154,2,6
4159,1,5
4164,1,5
4170,1,6
4175,1,5
4181,2,6
4186,1,5
4191,1,5
4196,1,5
4202,1,6
4207,1,5
4212,1,5
4218,1,6
4223,1,5
4228,1,5
4234,1,6
4239,1,5
4245,2,6
4250,1,5
4255,1,5
4261,1,6
4266,1,5
4271,1,5
4277,1,6
4282,1,5
4287,1,5
4293,1,6
4298,1,5
4303,1,5
4309,1,6
4314,1,5
4319,1,5
4325,1,6
4330,1,5
4335,1,5
4341,1,6
4346,1,5
4351,1,5
4357,1,6
4362,1,5
4367,1,5
4373,1,6
4378,1,5
4383,1,5
4389,1,6
4394,1,5
4399,1,5
4405,1,6
4410,1,5
4415,1,5
4421,1,6
4426,1,5
4431,1,5
4437,1,6
4442,1,5
4447,1,5
4453,1,6
4458,1,5
4463,1,5
4469,1,6
4474,1,5
4479,1,5
4485,1,6
4490,1,5
4495,1,5
4501,1,6
4506,1,5
4511,1,5
4517,2,6
4522,1,5
4527,1,5
4533,2,6
4538,1,5
4543,1,5
4549,2,6
4554,1,5
4559,1,5
4565,1,6
4571,1,6
4577,1,6
4583,1,6
4589,1,6
4595,1,6
4601,1,6
4606,1,5
4611,1,5
4617,2,6
4622,1,5
4628,1,6
4633,1,5
4639,2,6
4644,1,5
4650,1,6
4656,1,6
4662,1,6
4668,1,6
4674,1,6
4680,1,6
4686,1,6
4692,1,6
4698,1,6
4704,1,6
4710,1,6
4715,1,5
4721,2,6
4726,1,5
4732,1,6
4738,1,6
4744,2,6
4749,1,5
4754,1,5
4760,2,6
4765,1,5
4770,1,5
4776,2,6
4781,1,5
4786,1,5
4792,2,6
4797,1,5
4802,1,5
4807,1,5
4813,1,6
4818,1,5
4824,2,6
4829,1,5
4834,1,5
4839,1,5
4845,1,6
4850,1,5
4856,2,6
4861,1,5
4866,1,5
4872,2,6
4877,1,5
4882,1,5
4887,1,5
4893,1,6
4898,1,5
4903,1,5
4910,1,7
4915,1,5
4921,1,6
4926,1,5
4933,3,7
4937,1,4
4942,1,5
4947,1,5
4953,1,6
4958,1,5
4963,1,5
4969,1,6
4974,1,5
4980,2,6
4986,2,6
4991,2,5
4995,1,4
5001,1,6
5006,1,5
5011,1,5
5017,1,6
5022,1,5
5027,1,5
5033,1,6
5038,1,5
5043,1,5
5049,1,6
5054,1,5
5060,2,6
5065,1,5
5070,1,5
5076,2,6
5081,1,5
5086,1,5
5092,2,6
5097,1,5
5103,2,6
5108,2,5
5119,7,11
5123,6,4
5124,1,1
5129,1,5
5135,1,6
5140,1,5
5145,1,5
5151,1,6
5157,1,6
5163,1,6
5168,1,5
5174,1,6
5179,1,5
5185,2,6
5190,1,5
5195,1,5
5200,1,5
5206,1,6
5211,1,5
5217,2,6
5222,1,5
5227,1,5
5233,2,6
5238,1,5
5243,1,5
5249,2,6
5254,1,5
5259,1,5
5265,2,6
5270,1,5
5275,1,5
5281,2,6
5286,1,5
5291,1,5
5296,1,5
5302,1,6
5307,1,5
5312,1,5
5318,1,6
5323,1,5
5329,2,6
5334,1,5
5339,1,5
5345,2,6
5350,1,5
5355,1,5
5361,2,6
5366,1,5
5371,1,5
5376,1,5
5382,1,6
5387,1,5
5393,2,6
5398,1,5
5404,2,6
5409,2,5
5414,1,5
5420,2,6
5425,2,5
5430,1,5
5436,2,6
5441,1,5
5446,1,5
5451,1,5
5457,1,6
5462,1,5
5468,2,6
5473,1,5
5478,1,5
5483,1,5
5489,1,6
5494,1,5
5499,1,5
5505,1,6
5510,1,5
5516,2,6
5521,1,5
5526,1,5
5532,2,6
5537,1,5
5542,1,5
5548,2,6
5553,1,5
5558,1,5
5564,2,6
5569,1,5
5574,1,5
5580,2,6
5585,1,5
5590,1,5
5596,2,6
5601,1,5
5606,1,5
5612,2,6
5617,1,5
5622,1,5
5628,2,6
5633,1,5
5638,1,5
5644,2,6
5649,1,5
5654,1,5
5660,2,6
5665,1,5
5670,1,5
5676,2,6
5681,1,5
5686,1,5
5692,2,6
5697,1,5
5702,1,5
5708,2,6
5713,1,5
5718,1,5
5724,2,6
5729,1,5
5734,1,5
5740,2,6
5745,1,5
5750,1,5
5756,2,6
5761,1,5
5766,1,5
5772,2,6
5777,1,5
5782,1,5
5788,2,6
5793,1,5
5798,1,5
5804,2,6
5809,1,5
5814,1,5
5820,2,6
5825,1,5
5830,1,5
5836,2,6
5841,1,5
5846,1,5
5852,2,6
5857,1,5
5862,1,5
5868,2,6
5873,1,5
5878,1,5
5884,2,6
5889,1,5
5894,1,5
5900,2,6
5905,1,5
5910,1,5
5915,1,5
5921,1,6
5926,1,5
5931,1,5
5937,1,6
5942,1,5
5947,1,5
5953,2,6
5958,1,5
5963,1,5
5969,2,6
5975,1,6
5981,2,6
5992,6,11
5994,3,2
5999,2,5
6003,1,4
6008,1,5
6014,1,6
6019,1,5
6025,2,6
6030,1,5
6035,1,5
6041,2,6
6046,1,5
6051,1,5
6056,1,5
6062,1,6
6067,1,5
6073,2,6
6078,1,5
6083,1,5
6089,2,6
6094,1,5
6099,1,5
6104,1,5
6110,1,6
6115,1,5
6121,2,6
6126,1,5
6131,1,5
6136,1,5
6142,1,6
6147,1,5
6153,1,6
6159,1,6
6165,1,6
6170,1,5
6176,1,6
6181,1,5
6187,1,6
6193,2,6
6198,1,5
6204,2,6
6209,1,5
6215,2,6
6220,1,5
6226,1,6
6231,1,5
6237,1,6
6242,1,5
6248,1,6
6253,1,5
6259,1,6
6265,2,6
6270,1,5
6276,2,6
6281,1,5
6287,2,6
6292,1,5
6298,2,6
6303,1,5
6309,1,6
6314,1,5
6320,1,6
6325,1,5
6331,1,6
6336,1,5
6342,1,6
6347,1,5
6353,1,6
6358,1,5
6364,1,6
6370,2,6
6375,1,5
6381,1,6
6386,1,5
6392,1,6
6397,1,5
6403,1,6
6408,1,5
6414,1,6
6420,2,6
6425,1,5
6431,2,6
6436,1,5
6442,2,6
6447,1,5
6453,1,6
6458,1,5
6464,1,6
6470,2,6
6475,1,5
6481,1,6
6486,1,5
6492,1,6
6498,2,6
6503,1,5
6508,1,5
6514,1,6
6519,1,5
6525,2,6
6530,1,5
6535,1,5
6541,2,6
6546,1,5
6551,1,5
6557,2,6
6562,1,5
6567,1,5
6573,2,6
6578,1,5
6583,1,5
6589,1,6
6594,1,5
6599,1,5
6605,1,6
6610,1,5
6616,2,6
6621,1,5
6626,1,5
6632,2,6
6637,1,5
6642,1,5
6648,2,6
6653,1,5
6658,1,5
6664,2,6
6669,1,5
6674,1,5
6680,1,6
6685,1,5
6690,1,5
6696,1,6
6701,1,5
6707,2,6
6712,1,5
6717,1,5
6723,2,6
6728,1,5
6733,1,5
6739,2,6
6744,1,5
6749,1,5
6754,1,5
6761,2,7
6766,1,5
6771,1,5
6777,2,6
6782,1,5
6787,1,5
6793,2,6
6798,1,5
6803,1,5
6808,1,5
6814,1,6
6819,1,5
6824,1,5
6830,1,6
6835,1,5
6841,2,6
6846,1,5
6851,1,5
6857,2,6
6862,1,5
6867,1,5
6873,2,6
6878,1,5
6883,1,5
6888,1,5
6894,1,6
6899,1,5
6905,2,6
6910,1,5
6915,1,5
6921,2,6
6926,1,5
6931,1,5
6937,2,6
6942,1,5
6947,1,5
6953,2,6
6958,1,5
6963,1,5
6969,2,6
6974,1,5
6979,1,5
6985,2,6
6990,1,5
6995,1,5
7001,2,6
7006,1,5
7012,1,6
7017,1,5
7022,1,5
7028,1,6
7033,1,5
7038,1,5
7044,1,6
7049,1,5
7054,1,5
7060,2,6
7065,1,5
7070,1,5
7076,2,6
7081,1,5
7086,1,5
7092,2,6
7097,1,5
7102,1,5
7108,2,6
7115,3,7
7119,1,4
7124,1,5
7130,1,6
7135,1,5
7140,1,5
7146,1,6
7151,1,5
7156,1,5
7162,1,6
7167,1,5
7173,2,6
7178,1,5
7183,1,5
7189,2,6
7194,1,5
7199,1,5
7204,1,5
7210,1,6
7220,6,10
7225,2,5
7230,1,5
7235,1,5
7241,2,6
7246,1,5
7251,1,5
7256,1,5
7262,1,6
7267,1,5
7272,1,5
7278,1,6
7283,1,5
7288,1,5
7294,1,6
7299,1,5
7304,1,5
7310,1,6
7315,1,5
7320,1,5
7330,5,10
7332,1,2
7338,1,6
7343,1,5
7349,2,6
7354,1,5
7362,4,8
7365,1,3
7370,1,5
7376,2,6
