time (ms),latency (ms),consume (ms)
0,19,0
2,10,2
2,7,0
2,4,0
4,4,2
5,2,1
7,2,2
9,1,2
13,3,4
15,1,2
18,1,3
21,2,3
24,2,3
30,5,6
33,1,3
36,1,3
39,2,3
41,1,2
45,2,4
49,1,4
51,1,2
54,1,3
56,1,2
59,2,3
62,1,3
64,1,2
68,2,4
70,1,2
73,1,3
78,2,5
80,1,2
85,2,5
88,2,3
91,2,3
93,1,2
96,1,3
98,1,2
101,2,3
104,2,3
107,2,3
109,1,2
111,1,2
114,1,3
116,1,2
118,1,2
122,2,4
125,1,3
130,4,5
133,2,3
135,1,2
138,1,3
140,1,2
142,1,2
145,1,3
147,1,2
149,1,2
151,1,2
154,1,3
156,1,2
158,1,2
160,1,2
162,0,2
164,0,2
166,0,2
168,1,2
170,1,2
172,1,2
174,1,2
176,1,2
178,1,2
180,1,2
182,1,2
184,1,2
187,1,3
189,1,2
192,1,3
194,1,2
197,1,3
199,1,2
203,2,4
206,1,3
208,1,2
212,1,4
216,2,4
218,1,2
220,1,2
223,1,3
224,0,1
227,1,3
229,1,2
231,1,2
233,1,2
235,1,2
237,1,2
239,1,2
241,1,2
243,0,2
245,0,2
247,1,2
249,0,2
251,0,2
253,1,2
255,1,2
257,1,2
259,1,2
261,1,2
264,1,3
266,1,2
268,1,2
270,1,2
273,1,3
278,4,5
281,1,3
284,1,3
286,1,2
291,1,5
293,0,2
296,2,3
298,1,2
300,1,2
302,1,2
304,1,2
306,1,2
307,0,1
309,0,2
311,1,2
313,1,2
316,1,3
318,1,2
320,1,2
322,1,2
324,1,2
326,1,2
327,0,1
329,0,2
331,0,2
333,0,2
335,0,2
338,2,3
340,1,2
342,1,2
344,1,2
346,1,2
349,2,3
351,1,2
353,1,2
356,2,3
358,1,2
360,0,2
362,0,2
364,1,2
367,1,3
369,0,2
372,1,3
374,1,2
376,1,2
378,1,2
380,1,2
384,1,4
386,1,2
388,1,2
390,1,2
392,1,2
393,0,1
395,0,2
397,0,2
399,1,2
401,1,2
403,1,2
405,1,2
407,1,2
418,1,11
420,1,2
422,1,2
424,1,2
426,0,2
428,0,2
430,0,2
432,1,2
434,1,2
436,1,2
437,0,1
439,0,2
441,0,2
443,0,2
445,1,2
452,3,7
466,6,14
470,2,4
474,3,4
481,6,7
486,4,5
489,2,3
491,1,2
494,1,3
497,1,3
500,1,3
503,1,3
506,1,3
508,1,2
511,1,3
513,1,2
515,1,2
518,1,3
520,1,2
523,1,3
525,1,2
528,1,3
530,1,2
533,1,3
535,1,2
538,1,3
540,1,2
543,2,3
546,1,3
549,2,3
555,4,6
608,51,53
608,45,0
609,42,1
610,40,1
610,37,0
623,46,13
623,40,0
624,38,1
624,36,0
624,34,0
624,31,0
624,29,0
624,27,0
624,24,0
624,22,0
624,20,0
624,18,0
624,16,0
624,12,0
624,8,0
624,5,0
624,2,0
628,4,4
628,1,0
630,1,2
634,3,4
639,4,5
639,1,0
643,3,4
645,1,2
648,1,3
652,3,4
656,2,4
659,2,3
662,2,3
666,2,4
668,1,2
671,1,3
678,3,7
682,3,4
685,2,3
689,2,4
692,2,3
694,1,2
697,1,3
701,1,4
704,2,3
707,2,3
710,2,3
713,2,3
716,2,3
721,2,5
724,2,3
727,1,3
730,1,3
733,1,3
736,1,3
739,1,3
743,2,4
746,2,3
749,2,3
752,1,3
755,1,3
758,1,3
761,1,3
764,2,3
767,2,3
771,2,4
774,2,3
778,2,4
784,2,6
792,6,8
797,3,5
801,2,4
804,2,3
807,1,3
810,1,3
813,1,3
819,1,6
823,1,4
828,1,5
831,1,3
835,2,4
842,6,7
846,2,4
851,2,5
854,2,3
859,2,5
862,2,3
865,2,3
868,2,3
872,2,4
875,2,3
878,2,3
881,1,3
885,2,4
888,1,3
891,1,3
895,2,4
898,2,3
901,1,3
904,2,3
908,2,4
912,2,4
916,2,4
920,2,4
923,2,3
926,1,3
929,2,3
934,4,5
939,2,5
948,8,9
952,2,4
954,1,2
957,1,3
960,2,3
963,2,3
966,2,3
968,1,2
970,1,2
972,1,2
974,1,2
975,0,1
977,1,2
979,1,2
981,1,2
982,0,1
984,0,2
986,1,2
988,1,2
989,0,1
991,1,2
993,1,2
994,0,1
996,0,2
998,1,2
1000,1,2
1001,0,1
1003,0,2
1005,1,2
1007,1,2
1008,0,1
1010,1,2
1012,1,2
1014,1,2
1015,0,1
1017,0,2
1019,1,2
1021,1,2
1022,0,1
1024,0,2
1026,1,2
1028,1,2
1030,1,2
1032,1,2
1034,1,2
1036,1,2
1038,1,2
1039,0,1
1041,0,2
1043,1,2
1046,0,3
1048,0,2
1050,1,2
1051,0,1
1053,1,2
1055,1,2
1058,1,3
1059,0,1
1061,1,2
1063,1,2
1064,0,1
1066,1,2
1068,1,2
1069,0,1
1071,1,2
1073,1,2
1075,1,2
1076,0,1
1078,0,2
1080,1,2
1082,1,2
1084,1,2
1086,1,2
1088,1,2
1090,1,2
1092,1,2
1094,1,2
1096,1,2
1097,0,1
1099,1,2
1101,1,2
1102,0,1
1104,0,2
1106,1,2
1107,0,1
1109,1,2
1111,1,2
1112,0,1
1114,1,2
1116,1,2
1117,0,1
1119,0,2
