time (ms),latency (ms),consume (ms)
0,48,0
3,42,3
4,37,1
4,31,0
4,25,0
4,20,0
4,13,0
8,8,4
8,3,0
13,3,5
19,2,6
26,4,7
30,2,4
36,2,6
43,3,7
48,2,5
53,1,5
59,2,6
66,3,7
71,2,5
77,3,6
81,2,4
86,2,5
91,2,5
99,5,8
102,2,3
108,2,6
114,3,6
118,2,4
124,2,6
133,5,9
136,2,3
143,2,7
148,2,5
154,2,6
160,2,6
165,2,5
170,2,5
176,1,6
182,2,6
188,3,6
194,2,6
200,3,6
204,1,4
210,2,6
215,2,5
221,2,6
227,2,6
233,3,6
237,2,4
242,2,5
248,1,6
254,2,6
261,4,7
266,2,5
271,2,5
277,1,6
283,2,6
289,1,6
295,2,6
300,2,5
305,2,5
314,5,9
318,3,4
326,5,8
332,3,6
337,2,5
342,2,5
348,2,6
353,2,5
358,2,5
364,1,6
369,1,5
375,2,6
381,3,6
386,2,5
393,4,7
397,2,4
403,3,6
407,2,4
413,2,6
420,4,7
424,2,4
430,2,6
435,2,5
440,2,5
445,1,5
451,2,6
456,2,5
463,4,7
468,2,5
473,2,5
479,2,6
487,5,8
490,2,3
496,2,6
503,3,7
508,2,5
513,2,5
519,2,6
524,1,5
530,2,6
535,2,5
540,2,5
545,2,5
551,1,6
556,1,5
562,2,6
567,2,5
572,2,5
577,2,5
583,1,6
588,1,5
594,2,6
600,3,6
606,1,6
612,2,6
617,2,5
622,2,5
628,1,6
644,12,16
644,7,0
646,3,2
650,2,4
657,4,7
662,1,5
668,2,6
676,4,8
681,2,5
690,6,9
696,4,6
707,8,11
712,4,5
715,2,3
721,2,6
726,2,5
731,2,5
736,2,5
740,1,4
746,2,6
752,2,6
757,2,5
762,1,5
768,2,6
774,2,6
779,2,5
784,2,5
789,1,5
795,2,6
801,2,6
806,2,5
811,1,5
817,2,6
823,2,6
828,2,5
833,2,5
838,1,5
844,2,6
850,2,6
856,1,6
862,2,6
868,2,6
873,2,5
879,2,6
885,1,6
890,1,5
896,2,6
901,2,5
906,2,5
911,2,5
917,1,6
923,2,6
