time (ms),latency (ms),consume (ms)
0,13,0
11,4,11
25,5,14
37,3,12
50,3,13
63,2,13
76,2,13
88,2,12
103,4,15
116,3,13
129,2,13
143,3,14
156,2,13
177,10,21
191,2,14
204,2,13
217,2,13
231,2,14
247,5,16
262,3,15
275,2,13
287,1,12
299,1,12
312,2,13
325,2,13
337,2,12
353,4,16
368,3,15
383,3,15
402,2,19
416,2,14
430,2,14
442,1,12
454,1,12
465,1,11
477,1,12
488,1,11
500,1,12
512,1,12
524,2,12
535,1,11
547,1,12
558,1,11
569,1,11
580,0,11
592,2,12
603,1,11
618,4,15
629,1,11
640,1,11
651,1,11
662,1,11
673,1,11
684,1,11
695,1,11
706,1,11
717,1,11
728,1,11
739,1,11
750,1,11
761,1,11
772,0,11
783,0,11
795,1,12
806,1,11
818,1,12
829,1,11
840,1,11
852,2,12
863,1,11
874,1,11
885,1,11
896,0,11
907,0,11
919,1,12
930,1,11
941,1,11
952,1,11
963,1,11
975,1,12
987,1,12
1000,1,13
1013,1,13
1025,1,12
1036,1,11
1048,1,12
1059,1,11
1070,1,11
1081,1,11
1092,1,11
1103,1,11
1115,1,12
1126,1,11
1137,1,11
1149,2,12
1161,2,12
1173,1,12
1184,1,11
1195,1,11
1207,1,12
1218,1,11
1229,1,11
1240,1,11
1252,1,12
1263,1,11
1274,1,11
1285,0,11
1297,1,12
1308,1,11
1319,0,11
1331,1,12
1344,3,13
1357,1,13
1369,2,12
1380,1,11
1393,2,13
1405,1,12
1417,1,12
1428,1,11
1440,1,12
1452,2,12
1463,0,11
1474,0,11
1486,1,12
1498,1,12
1510,1,12
1521,1,11
1532,0,11
1544,1,12
1555,1,11
1566,1,11
1577,1,11
1588,1,11
1599,1,11
1610,1,11
1621,1,11
1631,0,10
1642,1,11
1653,1,11
1665,1,12
1676,1,11
1687,1,11
1699,1,12
1711,2,12
1722,1,11
1734,1,12
1746,2,12
1757,1,11
1769,1,12
1780,1,11
1791,1,11
1810,4,19
1817,1,7
1828,1,11
1838,1,10
1849,1,11
1859,1,10
1871,1,12
1884,1,13
1896,2,12
1907,1,11
1919,1,12
1930,1,11
1941,1,11
1952,1,11
1964,1,12
1975,1,11
1986,1,11
1998,2,12
2011,2,13
2022,1,11
2034,1,12
2045,1,11
2057,1,12
2068,1,11
2080,1,12
2091,1,11
2103,2,12
2114,1,11
2125,1,11
2137,1,12
2149,2,12
2160,1,11
2171,1,11
2182,1,11
2194,1,12
2206,2,12
2219,1,13
2231,1,12
2242,1,11
2254,1,12
2272,2,18
2285,1,13
2297,2,12
2308,1,11
2319,1,11
2330,1,11
2341,1,11
2353,1,12
2364,1,11
2376,1,12
2387,1,11
2409,1,22
2420,1,11
2432,1,12
2443,1,11
2455,2,12
2466,1,11
2477,1,11
2489,1,12
2500,1,11
2512,1,12
2523,1,11
2534,1,11
2546,1,12
2558,2,12
2569,1,11
2589,10,20
2597,1,8
2608,1,11
2620,1,12
2631,1,11
2645,4,14
2657,2,12
2668,1,11
2679,1,11
2690,1,11
2702,2,12
2713,1,11
2725,2,12
2736,1,11
2747,1,11
2758,1,11
2770,1,12
2781,1,11
2794,3,13
2806,2,12
2817,1,11
2829,1,12
2841,2,12
2852,1,11
2864,1,12
2877,2,13
2890,3,13
2901,1,11
2914,2,13
2925,1,11
2937,1,12
2950,1,13
2966,2,16
2978,2,12
2990,2,12
3002,2,12
3013,1,11
3026,2,13
3038,2,12
3049,1,11
3060,1,11
3072,1,12
3083,1,11
3094,1,11
3105,1,11
3117,1,12
3128,1,11
3139,1,11
3150,1,11
3161,1,11
3173,1,12
3184,1,11
3195,1,11
3206,1,11
3218,1,12
3229,1,11
3241,2,12
3252,1,11
3264,1,12
3275,1,11
3286,1,11
3298,1,12
3309,1,11
3321,1,12
3332,1,11
3343,1,11
3354,0,11
3366,1,12
3377,1,11
3388,0,11
3400,1,12
3411,1,11
3422,0,11
3434,1,12
3445,1,11
3456,1,11
3467,1,11
3479,1,12
3490,1,11
3502,2,12
3516,1,14
3527,1,11
3539,1,12
3551,2,12
3564,1,13
3575,1,11
3586,1,11
3597,1,11
3608,1,11
3620,1,12
3631,1,11
3642,1,11
3653,1,11
3664,0,11
3676,1,12
3687,1,11
3698,1,11
3708,0,10
3719,1,11
3730,1,11
3740,1,10
3751,1,11
3767,1,16
3779,1,12
3790,1,11
3801,1,11
3812,1,11
3826,3,14
3839,1,13
3850,1,11
3861,1,11
3875,4,14
3887,1,12
3898,1,11
3909,1,11
3920,1,11
3931,1,11
3942,1,11
3954,1,12
3965,1,11
3976,1,11
3987,1,11
3998,1,11
4008,1,10
4019,1,11
4030,1,11
4041,1,11
4052,1,11
4063,1,11
4074,1,11
4085,1,11
4096,1,11
4107,1,11
4118,1,11
4129,1,11
4140,1,11
4151,1,11
4163,1,12
4174,1,11
4185,1,11
4196,1,11
4206,0,10
4217,0,11
4229,1,12
4240,1,11
4251,1,11
4262,1,11
4273,1,11
4284,1,11
4295,1,11
4306,1,11
4317,1,11
4328,1,11
4340,2,12
4351,1,11
4362,1,11
4372,0,10
4383,0,11
4395,1,12
4408,3,13
4420,2,12
4435,4,15
4450,5,15
4463,3,13
4475,1,12
4486,1,11
4515,3,29
4527,1,12
4539,1,12
4550,1,11
4561,1,11
4572,1,11
4583,1,11
4594,1,11
4606,1,12
4617,1,11
4628,1,11
4639,1,11
4650,1,11
4661,1,11
4672,1,11
4683,1,11
4694,1,11
4705,1,11
4716,1,11
4726,0,10
4737,0,11
4748,1,11
4759,0,11
4770,1,11
4781,1,11
4792,1,11
4803,1,11
4814,1,11
4825,1,11
4836,1,11
4847,1,11
4857,0,10
4869,1,12
4880,1,11
4891,1,11
4902,1,11
4913,1,11
4924,1,11
4935,1,11
4947,1,12
4960,1,13
4971,1,11
4982,1,11
4994,1,12
5005,1,11
5016,1,11
5027,1,11
5038,1,11
5049,1,11
5060,1,11
5071,1,11
5081,0,10
5093,1,12
5104,1,11
5115,1,11
5126,1,11
5137,1,11
5149,1,12
5160,1,11
5172,1,12
5183,1,11
5194,1,11
5205,1,11
5217,1,12
5228,1,11
5239,1,11
5251,1,12
5262,1,11
5274,2,12
5285,1,11
5296,1,11
5308,1,12
5319,1,11
5330,1,11
5342,1,12
5354,2,12
5365,1,11
5377,1,12
5388,1,11
5400,2,12
5411,1,11
5422,1,11
5434,1,12
5445,1,11
5457,1,12
5468,1,11
5480,1,12
5491,1,11
5503,1,12
5514,1,11
5524,0,10
5536,1,12
5547,1,11
5558,1,11
5569,1,11
5580,1,11
5591,1,11
5602,1,11
5613,1,11
5624,1,11
5635,1,11
5650,5,15
5661,1,11
5672,1,11
5682,0,10
5693,0,11
5704,1,11
5715,1,11
5726,1,11
5737,1,11
5748,0,11
5760,1,12
5771,1,11
5782,1,11
5792,0,10
5803,0,11
5814,0,11
5825,0,11
5836,1,11
5847,1,11
5858,1,11
5871,2,13
5883,2,12
5894,0,11
5907,2,13
5918,1,11
5929,1,11
5940,1,11
5957,2,17
5969,1,12
5979,0,10
5991,1,12
6002,1,11
6013,1,11
6024,0,11
6036,1,12
6047,1,11
6058,1,11
6069,1,11
6080,0,11
6092,1,12
6104,2,12
6116,1,12
6127,1,11
6138,1,11
6149,1,11
6160,0,11
6171,0,11
6183,1,12
6194,1,11
6205,1,11
6216,0,11
6230,1,14
6241,1,11
6253,1,12
6264,1,11
6276,1,12
6287,1,11
6299,2,12
6314,5,15
6325,1,11
6336,1,11
6348,1,12
6359,1,11
6370,1,11
6381,0,11
6393,1,12
6404,1,11
6415,1,11
6426,1,11
6437,1,11
6449,1,12
6460,1,11
6471,1,11
6481,0,10
6492,0,11
6503,0,11
6514,0,11
6525,1,11
6536,1,11
6547,1,11
6558,1,11
6570,1,12
6581,1,11
6592,1,11
6603,1,11
6614,0,11
6626,1,12
6637,1,11
6648,1,11
6658,0,10
6669,1,11
6680,1,11
6691,1,11
6702,1,11
6713,1,11
6723,0,10
6734,0,11
6745,1,11
6756,1,11
6768,1,12
6778,0,10
6789,1,11
6800,1,11
6819,5,19
6825,1,6
6835,1,10
6846,1,11
6856,1,10
6866,0,10
6876,0,10
6887,1,11
6897,1,10
6908,1,11
6918,1,10
6930,1,12
6941,1,11
6952,1,11
6963,1,11
6974,1,11
6985,1,11
6996,0,11
7007,0,11
7019,1,12
7030,1,11
7041,1,11
7052,1,11
7063,1,11
7074,1,11
7085,0,11
7097,1,12
7108,1,11
7118,0,10
7129,0,11
7140,1,11
7151,1,11
7162,1,11
7173,1,11
7186,3,13
7200,1,14
7211,0,11
7223,1,12
7234,1,11
7245,1,11
7256,1,11
7268,1,12
7279,1,11
7290,1,11
7302,1,12
7313,1,11
7325,2,12
7335,0,10
7347,1,12
7358,1,11
7369,1,11
7380,1,11
7395,2,15
7407,2,12
7418,1,11
7429,1,11
7440,1,11
7451,1,11
7462,0,11
7473,0,11
7484,0,11
7495,0,11
7506,0,11
7517,0,11
7528,1,11
7539,1,11
7551,1,12
7562,1,11
7573,1,11
7585,1,12
7596,1,11
7607,1,11
7619,1,12
7630,1,11
7641,1,11
7652,1,11
7663,1,11
7674,1,11
7690,5,16
7703,0,13
7715,1,12
7726,1,11
7737,1,11
7748,1,11
7759,1,11
7770,1,11
7781,1,11
7792,1,11
7803,1,11
7814,1,11
7825,1,11
7837,1,12
7848,1,11
7861,3,13
7872,1,11
7883,1,11
7894,1,11
7905,1,11
7916,1,11
7927,1,11
7938,1,11
7949,1,11
7960,1,11
7971,1,11
7981,0,10
7992,0,11
8003,1,11
8014,1,11
8024,0,10
8035,1,11
8046,1,11
8056,0,10
8067,0,11
8078,1,11
8094,6,16
8105,0,11
8116,0,11
8127,1,11
8138,1,11
8149,1,11
8160,1,11
8171,1,11
8182,1,11
8193,1,11
8204,1,11
8215,1,11
8226,1,11
8237,1,11
8248,1,11
8259,1,11
8270,1,11
8281,1,11
8292,1,11
8303,1,11
8314,1,11
8325,1,11
8336,1,11
8347,1,11
8358,1,11
8369,1,11
8379,0,10
8390,0,11
8402,1,12
8413,1,11
8424,1,11
8435,1,11
8446,1,11
8457,1,11
8468,0,11
8479,0,11
8491,1,12
8502,1,11
8513,1,11
8523,0,10
8534,1,11
8545,1,11
8556,1,11
8567,0,11
8579,1,12
8590,1,11
8601,1,11
8612,1,11
8623,1,11
8634,0,11
8646,1,12
8657,1,11
8668,1,11
8679,1,11
8690,1,11
8701,1,11
8712,1,11
8723,1,11
8734,1,11
8745,1,11
8757,1,12
8768,1,11
8782,4,14
8794,1,12
8805,1,11
8816,1,11
8828,1,12
8839,1,11
8850,1,11
8861,1,11
8876,0,15
8888,1,12
8899,1,11
8909,0,10
8920,0,11
8931,1,11
8942,1,11
8953,1,11
8964,1,11
8975,1,11
8986,1,11
8997,1,11
9008,1,11
9019,1,11
9030,1,11
9041,1,11
9052,1,11
9063,1,11
9074,1,11
9085,1,11
9096,1,11
9107,1,11
9118,1,11
9130,1,12
9141,1,11
9152,1,11
9163,1,11
9174,1,11
9186,1,12
9196,0,10
9207,1,11
9218,1,11
9229,1,11
9239,0,10
9251,1,12
9263,2,12
9274,1,11
9285,1,11
9296,1,11
9307,0,11
9318,0,11
9330,1,12
9341,1,11
9353,2,12
9364,1,11
9375,1,11
9386,1,11
9397,1,11
9408,1,11
9419,1,11
9430,1,11
9442,2,12
9453,1,11
9466,0,13
9477,1,11
