time (ms),latency (ms),consume (ms)
0,23,0
40,49,40
41,39,1
43,29,2
43,19,0
68,24,25
100,46,32
102,38,2
102,28,0
103,18,1
141,40,38
143,25,2
143,14,0
153,8,10
162,5,9
212,44,50
213,35,1
213,24,0
214,15,1
251,36,37
252,27,1
252,15,0
296,43,44
297,33,1
298,23,1
298,13,0
335,39,37
336,27,1
336,16,0
340,10,4
384,43,44
384,33,0
385,23,1
385,11,0
424,37,39
424,26,0
425,17,1
428,10,3
473,44,45
473,34,0
474,24,1
475,13,1
512,37,37
512,25,0
514,16,2
560,45,46
560,35,0
561,14,1
598,37,37
613,41,15
614,31,1
615,22,1
653,45,38
653,34,0
654,25,1
654,14,0
689,37,35
689,27,0
690,18,1
698,15,8
737,44,39
737,34,0
739,25,2
739,14,0
776,38,37
776,26,0
777,16,1
820,49,43
821,33,1
822,23,1
822,12,0
860,37,38
860,26,0
860,16,0
864,9,4
910,45,46
911,36,1
916,31,5
917,21,1
947,40,30
949,29,2
951,20,2
957,15,6
1000,44,43
1004,38,4
1008,32,4
1008,22,0
1032,35,24
1035,28,3
1045,28,10
1045,18,0
1089,49,44
1093,43,4
1098,37,5
1098,27,0
1099,17,1
1139,46,40
1141,38,2
1141,27,0
1142,18,1
1182,48,40
1182,36,0
1185,29,3
1186,20,1
1186,9,0
1232,45,46
1232,35,0
1233,25,1
1233,14,0
1270,36,37
1271,26,1
1271,16,0
1274,9,3
1320,44,46
1320,33,0
1321,22,1
1321,11,0
1359,36,38
1361,27,2
1362,18,1
1365,10,3
1410,45,45
1410,34,0
1416,27,6
1417,18,1
1448,34,31
1451,25,3
1452,16,1
1491,42,39
1492,32,1
1492,19,0
1533,48,41
1537,31,4
1537,20,0
1573,38,36
1573,28,0
1573,17,0
1574,8,1
1621,44,47
1621,34,0
1622,24,1
1623,14,1
1657,37,34
1657,26,0
1658,16,1
1661,9,3
1709,46,48
1709,35,0
1710,26,1
1711,16,1
1745,35,34
1746,26,1
1746,15,0
1750,9,4
1796,45,46
1796,34,0
1796,23,0
1797,13,1
1833,34,36
1834,25,1
1835,15,1
1838,8,3
1884,44,46
1884,33,0
1885,23,1
1885,13,0
1922,36,37
1922,25,0
1923,16,1
1926,8,3
1971,43,45
1972,33,1
1972,23,0
1972,12,0
2010,35,38
2010,25,0
2011,15,1
2014,7,3
2060,43,46
2060,33,0
2061,23,1
2061,13,0
2098,35,37
2099,25,1
2099,15,0
2142,47,43
2142,37,0
2143,28,1
2143,17,0
2184,48,41
2184,37,0
2185,27,1
2187,19,2
2187,8,0
2233,43,46
2233,33,0
2234,23,1
2235,13,1
2271,36,36
2271,25,0
2272,15,1
2316,49,44
2316,34,0
2318,26,2
2319,16,1
2357,40,38
2357,26,0
2357,15,0
2401,46,44
2402,37,1
2402,26,0
2403,17,1
2439,39,36
2440,29,1
2440,19,0
2441,10,1
2489,47,48
2490,37,1
2492,28,2
2492,18,0
2524,37,32
2525,27,1
2525,17,0
2527,9,2
2572,43,45
2572,33,0
2573,24,1
2574,14,1
2609,36,35
2609,25,0
2610,16,1
2613,8,3
2661,46,48
2661,35,0
2661,25,0
2662,15,1
2699,37,37
2699,26,0
2699,15,0
2702,8,3
2748,43,46
2748,32,0
2748,21,0
2749,12,1
2786,35,37
2786,25,0
2787,15,1
2790,7,3
2835,42,45
2836,32,1
2836,22,0
2836,12,0
2873,35,37
2873,24,0
2874,15,1
2877,8,3
2923,42,46
2924,33,1
2925,24,1
2926,15,1
2961,35,35
2962,25,1
2962,15,0
2965,8,3
3011,43,46
3012,33,1
3012,22,0
3013,13,1
3050,35,37
3050,25,0
3051,15,1
3054,7,3
3099,42,45
3100,32,1
3100,22,0
3100,11,0
3138,36,38
3138,25,0
3138,14,0
3141,7,3
3188,42,47
3188,32,0
3188,21,0
3190,13,2
3226,34,36
3227,25,1
3237,24,10
3277,45,40
3277,35,0
3277,24,0
3278,14,1
3314,38,36
3315,28,1
3315,18,0
3318,10,3
3369,50,51
3373,43,4
3374,34,1
3376,25,2
3397,36,21
3405,33,8
3406,24,1
3406,13,0
3449,46,43
3449,35,0
3449,25,0
3450,15,1
3486,38,36
3486,27,0
3486,17,0
3488,8,2
3536,46,48
3536,35,0
3536,25,0
3537,15,1
3573,36,36
3573,26,0
3573,15,0
3577,8,4
3624,45,47
3624,34,0
3624,24,0
3625,14,1
3660,34,35
3661,25,1
3661,14,0
3664,7,3
3711,43,47
3712,34,1
3712,23,0
3712,13,0
3751,37,39
3751,26,0
3751,15,0
3754,8,3
3800,44,46
3800,33,0
3800,22,0
3801,13,1
3838,35,37
3838,25,0
3839,15,1
3841,6,2
3887,41,46
3888,32,1
3888,21,0
3888,10,0
3926,36,38
3927,26,1
3927,15,0
3930,8,3
3975,42,45
3976,32,1
3976,22,0
3976,10,0
4013,35,37
4013,24,0
4016,17,3
4019,10,3
4064,44,45
4064,34,0
4064,23,0
4065,13,1
4100,35,35
4102,26,2
4102,16,0
4115,19,13
4153,46,38
4153,35,0
4153,25,0
4154,15,1
4188,36,34
4189,27,1
4189,16,0
4190,7,1
4236,43,46
4237,34,1
4237,24,0
4237,12,0
4272,36,35
4272,26,0
4274,17,2
4275,7,1
4320,42,45
4320,31,0
4322,23,2
4322,12,0
4359,38,37
4359,27,0
4361,18,2
4362,8,1
4407,43,45
4407,31,0
4414,27,7
4447,36,33
4447,26,0
4448,16,1
4448,6,0
4497,45,49
4497,35,0
4497,24,0
4497,13,0
4533,37,36
4533,27,0
4534,17,1
4534,6,0
4580,42,46
4580,32,0
4580,21,0
4581,12,1
4616,35,35
4616,25,0
4616,15,0
4619,8,3
4663,41,44
4664,31,1
4664,21,0
4664,10,0
4701,34,37
4701,24,0
4702,14,1
4705,7,3
4752,44,47
4752,34,0
4752,23,0
4753,13,1
4789,34,36
4790,25,1
4790,15,0
4793,8,3
4840,44,47
4841,35,1
4841,25,0
4841,14,0
4878,35,37
4879,25,1
4879,15,0
4882,8,3
4928,43,46
4928,33,0
4928,23,0
4929,13,1
4968,37,39
4968,27,0
4971,19,3
5009,46,38
5020,47,11
5021,38,1
5023,30,2
5051,47,28
5051,37,0
5052,28,1
5053,19,1
5053,9,0
5099,44,46
5100,28,1
5102,20,2
5103,11,1
5137,35,34
5138,25,1
5140,17,2
5141,8,1
5189,45,48
5189,35,0
5189,25,0
5189,14,0
5225,37,36
5225,27,0
5226,17,1
5227,7,1
5272,42,45
5272,31,0
5273,22,1
5274,13,1
5308,35,34
5308,25,0
5309,15,1
5312,8,3
5361,47,49
5361,35,0
5362,26,1
5362,16,0
5400,37,38
5400,26,0
5400,16,0
5403,8,3
5448,42,45
5448,32,0
5449,22,1
5449,11,0
5486,35,37
5487,25,1
5487,15,0
5490,7,3
5536,43,46
5536,32,0
5537,23,1
5537,12,0
5575,36,38
5575,25,0
5576,16,1
5579,8,3
5624,43,45
5624,33,0
5625,23,1
5625,12,0
5663,36,38
5663,26,0
5663,15,0
5666,7,3
5712,43,46
5712,32,0
5713,23,1
5713,12,0
5749,34,36
5749,24,0
5750,14,1
5753,7,3
5800,44,47
5800,33,0
5800,23,0
5801,14,1
5838,35,37
5838,25,0
5839,15,1
5842,7,3
5899,54,57
5899,44,0
5900,34,1
5900,23,0
5928,36,28
5928,26,0
5928,16,0
5930,8,2
5977,44,47
5977,34,0
5977,23,0
5978,14,1
6012,36,34
6013,27,1
6013,16,0
6013,6,0
6060,43,47
6060,33,0
6061,24,1
6061,13,0
6097,36,36
6097,25,0
6099,17,2
6101,8,2
6148,45,47
6148,35,0
6148,24,0
6149,15,1
6185,36,36
6185,25,0
6186,15,1
6189,8,3
