time (ms),latency (ms),consume (ms)
0,24,0
2,7,2
11,6,9
19,4,8
27,4,8
35,2,8
46,4,11
54,3,8
68,8,14
77,3,9
85,1,8
92,1,7
98,1,6
108,4,10
115,2,7
121,1,6
127,1,6
134,1,7
142,3,8
149,1,7
157,2,8
164,2,7
171,2,7
177,1,6
184,2,7
190,1,6
197,1,7
204,1,7
211,1,7
220,1,9
226,1,6
237,2,11
244,2,7
263,14,19
269,1,6
275,1,6
283,2,8
290,2,7
297,2,7
305,2,8
313,2,8
320,1,7
327,1,7
333,1,6
340,1,7
348,2,8
360,1,12
370,4,10
376,1,6
383,1,7
390,1,7
397,1,7
403,1,6
410,1,7
417,2,7
424,2,7
430,1,6
437,1,7
443,1,6
450,2,7
456,1,6
463,2,7
469,1,6
476,1,7
483,1,7
491,1,8
497,1,6
503,1,6
509,1,6
516,1,7
523,2,7
532,2,9
538,1,6
545,1,7
552,1,7
559,2,7
565,1,6
573,2,8
579,1,6
587,2,8
593,0,6
600,1,7
608,2,8
617,4,9
624,1,7
632,1,8
639,1,7
645,1,6
651,1,6
657,1,6
663,1,6
670,1,7
680,1,10
687,2,7
693,1,6
701,1,8
708,1,7
714,1,6
721,1,7
727,1,6
733,1,6
739,1,6
745,1,6
751,1,6
757,1,6
763,1,6
770,1,7
776,1,6
781,0,5
787,0,6
794,1,7
803,4,9
810,1,7
816,1,6
824,1,8
831,1,7
838,1,7
844,1,6
850,0,6
857,1,7
864,1,7
871,1,7
877,1,6
884,1,7
891,1,7
899,1,8
905,1,6
912,1,7
919,1,7
925,1,6
931,0,6
938,1,7
944,1,6
950,1,6
956,1,6
962,1,6
969,1,7
976,2,7
982,1,6
989,1,7
995,1,6
1001,1,6
1007,0,6
1015,2,8
1021,1,6
1028,1,7
1034,1,6
1040,0,6
1046,0,6
1053,1,7
1059,1,6
1067,2,8
1073,1,6
1079,1,6
1085,1,6
1091,1,6
1098,1,7
1104,1,6
1113,1,9
1119,1,6
1126,1,7
1132,1,6
1138,1,6
1144,1,6
1150,1,6
1157,1,7
1163,1,6
1169,1,6
1177,2,8
1184,1,7
1191,1,7
1197,1,6
1202,1,5
1208,1,6
1213,1,5
1218,1,5
1224,1,6
1229,1,5
1235,1,6
1240,1,5
1246,2,6
1252,2,6
1257,1,5
1263,1,6
1268,1,5
1273,1,5
1281,3,8
1287,2,6
1292,1,5
1298,1,6
1310,8,12
1320,2,10
1326,1,6
1333,1,7
1340,1,7
1347,2,7
1353,1,6
1360,1,7
1366,1,6
1373,1,7
1379,1,6
1386,1,7
1393,2,7
1399,1,6
1406,1,7
1412,1,6
1419,1,7
1425,1,6
1431,1,6
1437,1,6
1443,1,6
1449,1,6
1455,1,6
1461,1,6
1467,1,6
1474,1,7
1480,1,6
1492,7,12
1496,1,4
1502,1,6
1508,1,6
1515,2,7
1525,5,10
1530,2,5
1536,1,6
1542,1,6
1548,1,6
1554,1,6
1560,1,6
1567,2,7
1574,2,7
1580,0,6
1587,1,7
1593,1,6
1599,1,6
1607,2,8
1615,2,8
1621,1,6
1630,3,9
1637,1,7
1644,1,7
1650,1,6
1658,2,8
1665,2,7
1672,1,7
1678,1,6
1685,1,7
1692,1,7
1701,1,9
1709,2,8
1718,4,9
1725,2,7
1733,2,8
1739,1,6
1746,1,7
1753,1,7
1759,1,6
1765,1,6
1770,0,5
1776,0,6
1783,1,7
1789,1,6
1795,0,6
1801,0,6
1807,0,6
1813,0,6
1819,0,6
1826,1,7
1832,1,6
1838,1,6
1844,1,6
1850,1,6
1856,1,6
1863,2,7
1869,1,6
1875,1,6
1881,1,6
1887,1,6
1893,1,6
1899,1,6
1905,1,6
1911,1,6
1917,1,6
1923,1,6
1930,1,7
1935,0,5
1941,0,6
1948,1,7
1953,0,5
1959,0,6
1965,0,6
1971,0,6
1977,0,6
1984,1,7
1990,1,6
1997,2,7
2006,4,9
2012,1,6
2019,1,7
2025,1,6
2033,3,8
2039,1,6
2045,0,6
2052,1,7
2058,1,6
2065,1,7
2071,1,6
2078,1,7
2084,1,6
2091,2,7
2097,1,6
2103,1,6
2110,1,7
2116,1,6
2123,1,7
2130,1,7
2136,1,6
2144,2,8
2150,1,6
2161,1,11
2168,1,7
2174,1,6
2181,1,7
2187,1,6
2194,2,7
2204,1,10
2211,2,7
2217,1,6
2226,4,9
2233,1,7
2239,1,6
2245,0,6
2252,1,7
2258,1,6
2264,1,6
2270,1,6
2277,1,7
2283,1,6
2289,1,6
2296,1,7
2302,1,6
2308,1,6
2314,1,6
2321,1,7
2327,1,6
2333,1,6
2339,1,6
2345,1,6
2352,1,7
2358,1,6
2364,1,6
2370,1,6
2376,1,6
2382,1,6
2388,1,6
2394,1,6
2400,1,6
2406,1,6
2413,1,7
2419,1,6
2425,1,6
2432,1,7
2438,1,6
2444,1,6
2450,0,6
2456,0,6
2463,1,7
2469,1,6
2476,2,7
2482,1,6
2489,2,7
2495,1,6
2501,1,6
2507,0,6
2514,1,7
2520,1,6
2530,3,10
2544,5,14
2560,9,16
2570,5,10
2577,2,7
2585,2,8
2602,12,17
2645,2,43
2658,2,13
2664,1,6
2671,1,7
2677,1,6
2684,2,7
2690,1,6
2696,1,6
2703,1,7
2709,1,6
2715,1,6
2722,1,7
2728,1,6
2734,1,6
2740,1,6
2746,0,6
2752,1,6
2758,1,6
2763,0,5
2770,1,7
2776,1,6
2781,0,5
2787,0,6
2793,1,6
2799,1,6
2806,2,7
2812,1,6
2818,1,6
2824,1,6
2831,1,7
2837,1,6
2843,1,6
2849,1,6
2858,1,9
2865,1,7
2872,2,7
2878,1,6
2884,1,6
2890,1,6
2896,1,6
2904,1,8
2910,1,6
2916,1,6
2923,1,7
2929,1,6
2935,1,6
2941,1,6
2955,8,14
2961,1,6
2967,1,6
2973,1,6
2979,1,6
2985,1,6
2991,1,6
2998,1,7
3005,2,7
3011,1,6
3017,1,6
3023,1,6
3029,1,6
3035,1,6
3041,1,6
3047,1,6
3053,1,6
3060,2,7
3066,1,6
3072,1,6
3078,1,6
3084,1,6
3089,0,5
3095,0,6
3101,0,6
3107,1,6
3113,1,6
3119,1,6
3126,2,7
3132,1,6
3138,1,6
3144,1,6
3150,1,6
3156,1,6
3162,0,6
3168,0,6
3175,1,7
3181,1,6
3188,1,7
3194,1,6
3200,1,6
3205,0,5
3212,1,7
3218,1,6
3224,1,6
3230,1,6
3236,1,6
3242,1,6
3248,1,6
3254,1,6
3260,1,6
3266,1,6
3272,1,6
3279,1,7
3286,2,7
3296,1,10
3302,1,6
3308,1,6
3314,1,6
3320,1,6
3326,1,6
3332,1,6
3338,1,6
3344,1,6
3350,1,6
3356,1,6
3362,1,6
3368,0,6
3375,1,7
3381,1,6
3388,1,7
3394,1,6
3400,1,6
3406,1,6
3415,3,9
3423,3,8
3430,2,7
3438,3,8
3446,3,8
3453,2,7
3459,1,6
3470,3,11
3477,2,7
3483,1,6
3489,0,6
3496,1,7
3502,1,6
3508,1,6
3514,1,6
3520,1,6
3526,1,6
3532,0,6
3538,1,6
3544,0,6
3552,2,8
3558,1,6
3564,1,6
3570,1,6
3576,1,6
3582,1,6
3588,1,6
3594,1,6
3606,7,12
3606,2,0
3610,0,4
3616,1,6
3627,1,11
3632,1,5
3638,1,6
3643,1,5
3649,1,6
3654,1,5
3662,3,8
3665,1,3
3671,1,6
3678,1,7
3684,1,6
3690,1,6
3696,1,6
3702,1,6
3708,1,6
3713,0,5
3719,0,6
3726,1,7
3732,1,6
3738,1,6
3745,1,7
3751,1,6
3757,1,6
3763,0,6
3770,1,7
3776,1,6
3782,1,6
3788,1,6
3794,1,6
3800,1,6
3806,1,6
3812,1,6
3818,1,6
3824,1,6
3830,1,6
3836,1,6
3842,1,6
3848,1,6
3854,1,6
3860,1,6
3866,1,6
3873,1,7
3879,1,6
3886,1,7
3892,1,6
3898,1,6
3904,1,6
3910,1,6
3916,1,6
3922,1,6
3929,1,7
3935,1,6
3941,1,6
3948,1,7
3954,1,6
3960,1,6
3966,1,6
3972,1,6
3978,0,6
3984,0,6
3990,0,6
4000,1,10
4006,1,6
4012,1,6
4018,1,6
4024,1,6
4030,1,6
4036,1,6
4042,1,6
4048,1,6
4054,1,6
4060,1,6
4067,1,7
4073,1,6
4079,1,6
4085,0,6
4092,1,7
4097,0,5
4103,0,6
4110,1,7
4115,0,5
4121,0,6
4128,1,7
4133,0,5
4140,1,7
4146,1,6
4156,1,10
4162,1,6
4168,1,6
4174,1,6
4180,1,6
4186,1,6
4192,1,6
4197,0,5
4203,0,6
4209,1,6
4214,0,5
4221,1,7
4227,1,6
4233,1,6
4240,1,7
4245,0,5
4251,0,6
4262,1,11
4268,1,6
4275,1,7
4280,0,5
4286,0,6
4292,0,6
4298,1,6
4304,1,6
4310,1,6
4316,1,6
4322,1,6
4328,1,6
4333,0,5
4339,0,6
4345,0,6
4351,1,6
4357,1,6
4363,1,6
4368,0,5
4374,1,6
4380,1,6
4388,3,8
4394,1,6
4400,1,6
4406,1,6
4412,1,6
4422,5,10
4429,1,7
4434,0,5
4440,0,6
4446,1,6
4452,1,6
4458,1,6
4463,0,5
4469,0,6
4475,0,6
4481,1,6
4487,1,6
4493,1,6
4498,0,5
4504,1,6
4510,1,6
4516,1,6
4522,1,6
4527,0,5
4533,0,6
4539,0,6
4545,1,6
4551,1,6
4557,1,6
4563,1,6
4569,1,6
4576,2,7
4582,1,6
4588,1,6
4594,0,6
4600,0,6
4607,1,7
4613,1,6
4619,1,6
4625,1,6
4631,1,6
4643,7,12
4649,1,6
4655,0,6
4662,1,7
4668,1,6
4674,1,6
4680,1,6
4686,1,6
4692,1,6
4698,1,6
4704,1,6
4710,1,6
4716,1,6
4722,1,6
4728,1,6
4734,1,6
4740,1,6
4745,0,5
4751,0,6
4757,1,6
4763,1,6
4769,0,6
4775,0,6
4781,0,6
4787,0,6
4793,0,6
4799,1,6
4805,1,6
4811,1,6
4817,1,6
4823,1,6
4829,1,6
4835,1,6
4841,1,6
4847,1,6
4853,1,6
4859,1,6
4865,1,6
4870,0,5
4876,1,6
4882,1,6
4887,0,5
4893,0,6
4899,1,6
4905,1,6
4911,1,6
4917,1,6
4923,1,6
4929,1,6
4935,1,6
4941,1,6
4947,1,6
4953,1,6
4960,1,7
4966,1,6
4972,1,6
4978,1,6
4984,1,6
4990,1,6
4996,1,6
5002,1,6
5008,1,6
5014,1,6
5020,1,6
5025,0,5
5031,1,6
5037,1,6
5043,1,6
5049,1,6
5055,0,6
5062,1,7
5068,1,6
5073,0,5
5079,0,6
5085,0,6
5091,0,6
5097,0,6
5103,1,6
5109,0,6
5116,1,7
5122,1,6
5127,0,5
5133,0,6
5139,0,6
5145,1,6
5150,0,5
5156,0,6
5162,1,6
5168,1,6
5174,1,6
5179,0,5
5185,0,6
5191,1,6
5196,0,5
5202,0,6
5208,1,6
5214,1,6
5220,1,6
5226,1,6
5232,1,6
5238,1,6
5244,1,6
5251,2,7
5257,1,6
5263,1,6
5276,1,13
5282,1,6
5288,1,6
5294,1,6
5299,0,5
5305,0,6
5312,1,7
5318,1,6
5323,0,5
5329,0,6
5335,1,6
5341,1,6
5346,0,5
5352,1,6
5359,1,7
5365,1,6
5371,1,6
5377,1,6
5382,0,5
5388,0,6
5394,1,6
5400,1,6
5405,0,5
5411,1,6
5417,1,6
5423,1,6
5429,1,6
5435,1,6
5441,1,6
5447,1,6
5453,1,6
5459,1,6
5465,1,6
5471,0,6
5478,1,7
5484,1,6
5490,1,6
5496,1,6
5502,1,6
5508,1,6
5514,1,6
5520,1,6
5526,1,6
5534,3,8
5543,1,9
5549,1,6
5555,1,6
5561,1,6
5567,1,6
5573,1,6
5579,1,6
5585,1,6
5591,1,6
5597,1,6
5603,1,6
5609,1,6
5614,0,5
5620,1,6
5626,1,6
5632,1,6
5638,1,6
5644,1,6
5649,0,5
5655,0,6
5661,1,6
5667,1,6
5673,1,6
5679,1,6
5685,1,6
5690,0,5
5696,1,6
5702,1,6
5708,1,6
5714,1,6
5720,0,6
5726,1,6
5732,1,6
5739,1,7
5745,1,6
5751,1,6
5757,1,6
5763,1,6
5769,1,6
5776,1,7
5782,1,6
5788,1,6
5794,1,6
5800,1,6
5805,0,5
5811,1,6
5817,1,6
5823,1,6
5829,1,6
5835,1,6
5841,1,6
5848,1,7
5859,1,11
5865,1,6
5871,1,6
5877,0,6
5883,0,6
5889,0,6
5895,1,6
5901,1,6
5907,1,6
5913,1,6
5919,1,6
5925,1,6
5931,1,6
5938,1,7
5944,1,6
5950,1,6
5956,1,6
5961,0,5
5967,0,6
5973,1,6
5979,1,6
5985,1,6
5991,0,6
5997,0,6
6003,0,6
6009,0,6
6017,1,8
6028,1,11
6034,1,6
6039,0,5
6045,0,6
6051,1,6
6057,1,6
6063,1,6
6069,1,6
6076,0,7
6083,1,7
6089,1,6
6095,1,6
6100,0,5
6106,0,6
6113,1,7
6119,1,6
6126,1,7
6132,1,6
6138,1,6
6144,1,6
6150,1,6
6156,1,6
6163,1,7
6169,1,6
6175,1,6
6181,1,6
6187,1,6
6193,1,6
6199,1,6
6205,1,6
6211,0,6
6217,0,6
6223,0,6
6229,1,6
6235,1,6
6241,1,6
6258,1,17
6264,1,6
6269,0,5
6275,0,6
6281,0,6
6287,1,6
6293,1,6
6298,0,5
6304,0,6
6310,0,6
6316,0,6
6322,1,6
6332,1,10
6338,1,6
