time (ms),latency (ms),consume (ms)
0,12,0
5,3,5
15,2,10
27,2,12
38,2,11
48,1,10
59,2,11
70,2,11
80,2,10
91,2,11
101,1,10
112,2,11
123,2,11
134,2,11
144,2,10
154,1,10
165,1,11
176,2,11
187,2,11
198,2,11
208,2,10
219,2,11
229,1,10
240,2,11
251,2,11
261,1,10
272,2,11
283,2,11
293,2,10
304,2,11
314,1,10
326,2,12
336,2,10
347,2,11
358,1,11
369,1,11
381,2,12
391,1,10
403,2,12
413,1,10
425,2,12
436,2,11
446,2,10
457,2,11
468,2,11
479,2,11
490,3,11
500,2,10
511,2,11
522,2,11
533,2,11
544,2,11
554,1,10
565,2,11
576,2,11
587,2,11
597,2,10
608,2,11
618,1,10
632,5,14
640,2,8
651,2,11
663,2,12
674,1,11
685,1,11
697,2,12
707,2,10
718,2,11
729,2,11
739,2,10
750,2,11
761,2,11
771,1,10
782,2,11
792,1,10
803,2,11
814,2,11
824,2,10
834,1,10
845,2,11
856,2,11
867,2,11
878,2,11
890,2,12
900,1,10
911,2,11
921,1,10
932,2,11
942,2,10
953,2,11
964,2,11
974,2,10
985,2,11
995,1,10
1006,2,11
1016,1,10
1028,2,12
1042,5,14
1049,2,7
1060,1,11
1071,1,11
1082,1,11
1093,1,11
1104,1,11
1115,1,11
1126,1,11
1137,1,11
1148,1,11
1159,1,11
1171,2,12
1182,2,11
1192,1,10
1203,1,11
1214,1,11
1226,1,12
1236,1,10
1247,1,11
1258,1,11
1268,1,10
1279,1,11
1290,2,11
1300,1,10
1311,1,11
1322,2,11
1333,2,11
1344,2,11
1354,2,10
1365,2,11
1376,2,11
1387,3,11
1397,2,10
1408,2,11
1418,2,10
1429,2,11
1439,1,10
1450,2,11
1461,2,11
1471,2,10
1483,3,12
1493,2,10
1503,1,10
1514,2,11
1524,1,10
1535,2,11
1546,2,11
1556,1,10
1567,2,11
1578,2,11
1588,1,10
1599,2,11
1609,1,10
1620,2,11
1630,1,10
1641,2,11
1651,1,10
1662,1,11
1673,2,11
1683,1,10
1694,2,11
1704,1,10
1715,2,11
1725,1,10
1736,2,11
1746,1,10
1757,1,11
1768,2,11
1778,1,10
1789,2,11
1799,1,10
1810,2,11
1820,1,10
1831,2,11
1841,1,10
1852,2,11
1862,1,10
1873,2,11
1883,1,10
1894,1,11
1904,1,10
1915,1,11
1925,1,10
1939,4,14
1947,2,8
1957,1,10
1968,2,11
1978,1,10
1991,4,13
2001,1,10
2012,2,11
2022,1,10
2035,3,13
2045,2,10
2056,2,11
2067,2,11
2077,2,10
2088,2,11
2098,2,10
2108,1,10
2119,2,11
2129,1,10
2139,1,10
2150,1,11
2160,1,10
2171,2,11
2181,1,10
2192,2,11
2202,1,10
2212,1,10
2223,1,11
2233,1,10
2243,1,10
2254,1,11
2264,1,10
2275,2,11
2285,1,10
2296,2,11
2306,1,10
2329,14,23
2329,3,0
2338,2,9
2348,1,10
2359,2,11
2369,1,10
2380,2,11
2390,1,10
2401,2,11
2411,1,10
2422,2,11
2432,1,10
2443,2,11
2453,1,10
2464,2,11
2474,1,10
2485,2,11
2495,1,10
2506,2,11
2516,2,10
2527,2,11
2537,2,10
2548,2,11
2558,2,10
2569,2,11
2579,2,10
2589,1,10
2600,2,11
2610,1,10
2621,1,11
2631,1,10
2646,6,15
2652,1,6
2663,2,11
2673,1,10
2684,2,11
2695,2,11
2705,1,10
2717,2,12
2727,2,10
2737,1,10
2747,1,10
2758,1,11
2768,1,10
2779,2,11
2789,1,10
2799,1,10
2810,1,11
2820,1,10
2831,2,11
2841,1,10
2851,1,10
2862,1,11
2872,1,10
2883,2,11
2893,1,10
2904,2,11
2915,1,11
2925,1,10
2936,1,11
2946,1,10
2957,2,11
2967,1,10
2977,1,10
2988,1,11
2998,1,10
3009,2,11
3019,1,10
3029,1,10
3040,1,11
3050,1,10
3061,2,11
3071,1,10
3081,1,10
3092,1,11
3102,1,10
3113,2,11
3123,1,10
3133,1,10
3144,1,11
3154,1,10
3165,2,11
3175,1,10
3186,2,11
3196,1,10
3206,1,10
3217,2,11
3227,1,10
3238,2,11
3248,1,10
3259,1,11
3270,1,11
3281,1,11
3292,1,11
3303,1,11
3314,1,11
3326,2,12
3336,1,10
3348,2,12
3359,2,11
3370,2,11
3380,1,10
3391,1,11
3401,1,10
3412,1,11
3422,1,10
3433,1,11
3444,2,11
3454,1,10
3464,1,10
3475,2,11
3487,3,12
3498,1,11
3509,1,11
3520,1,11
3530,1,10
3541,2,11
3551,1,10
3561,1,10
3572,1,11
3582,1,10
3592,1,10
3603,1,11
3613,1,10
3624,2,11
3634,1,10
3644,1,10
3655,1,11
3665,1,10
3675,1,10
3686,1,11
3696,1,10
3707,2,11
3717,1,10
3727,1,10
3738,1,11
3748,1,10
3759,2,11
3769,1,10
3779,1,10
3790,1,11
3800,1,10
3811,2,11
3821,1,10
3831,1,10
3842,2,11
3852,1,10
3862,1,10
3873,1,11
3883,1,10
3893,1,10
3904,1,11
3914,1,10
3925,2,11
3935,1,10
3946,1,11
3957,2,11
3967,1,10
3978,1,11
3988,1,10
4000,2,12
4010,1,10
4020,1,10
4032,2,12
4042,1,10
4053,1,11
4075,2,22
4085,1,10
4096,2,11
4106,1,10
4116,1,10
4127,2,11
4137,1,10
4147,1,10
4158,1,11
4168,1,10
4179,2,11
4189,1,10
4199,1,10
4209,1,10
4220,1,11
4230,1,10
4241,2,11
4251,1,10
4261,1,10
4272,1,11
4282,1,10
4292,1,10
4303,1,11
4313,1,10
4324,2,11
4334,1,10
4344,1,10
4355,2,11
4365,1,10
4375,1,10
4386,2,11
4397,1,11
4408,1,11
4419,1,11
4430,1,11
4442,2,12
4452,1,10
4462,1,10
4473,2,11
4483,1,10
4493,1,10
4504,1,11
4514,1,10
4524,1,10
4535,1,11
4546,2,11
4556,1,10
4566,1,10
4576,1,10
4587,1,11
4597,1,10
4607,1,10
4618,1,11
4628,1,10
4639,2,11
4649,1,10
4659,1,10
4670,1,11
4680,1,10
4691,2,11
4701,1,10
4711,1,10
4721,1,10
4732,1,11
4742,1,10
4753,2,11
4763,1,10
4774,2,11
4784,1,10
4794,1,10
4805,2,11
4815,1,10
4825,1,10
4835,1,10
4846,1,11
4856,1,10
4867,2,11
4877,1,10
4887,1,10
4898,2,11
4908,1,10
4919,2,11
4929,1,10
4939,1,10
4950,2,11
4960,1,10
4970,1,10
4981,2,11
4991,1,10
5002,2,11
5012,1,10
5022,1,10
5033,1,11
5044,2,11
5054,1,10
5064,1,10
5075,2,11
5085,1,10
5095,1,10
5106,1,11
