time (ms),latency (ms),consume (ms)
0,11,0
12,18,12
13,13,1
14,10,1
16,10,2
25,17,9
26,11,1
29,12,3
30,11,1
44,23,14
44,16,0
46,10,2
46,8,0
58,19,12
58,11,0
60,11,2
60,10,0
72,20,12
73,14,1
73,12,0
74,11,1
83,17,9
84,9,1
84,6,0
85,6,1
95,15,10
95,9,0
95,7,0
96,6,1
106,15,10
107,10,1
107,8,0
107,7,0
117,14,10
117,8,0
118,8,1
119,7,1
128,14,9
128,8,0
129,7,1
129,5,0
139,14,10
140,10,1
140,8,0
140,6,0
163,27,23
164,23,1
164,9,0
165,9,1
192,34,27
194,29,2
195,29,1
195,24,0
199,27,4
200,25,1
201,24,1
202,24,1
202,23,0
203,22,1
204,21,1
204,20,0
207,21,3
208,19,1
208,17,0
209,16,1
210,14,1
211,11,1
211,9,0
216,13,5
231,27,15
232,25,1
233,25,1
236,26,3
236,25,0
239,25,3
240,25,1
240,24,0
328,110,88
336,115,8
339,116,3
340,116,1
345,112,5
345,110,0
353,114,8
355,115,2
355,112,0
355,108,0
361,112,6
362,112,1
367,112,5
371,115,4
372,114,1
380,121,8
380,119,0
384,122,4
384,121,0
392,126,8
392,121,0
392,120,0
394,121,2
394,120,0
394,118,0
400,123,6
400,122,0
407,128,7
407,126,0
408,126,1
409,125,1
409,124,0
410,115,1
415,119,5
416,118,1
416,117,0
416,116,0
419,118,3
420,117,1
421,117,1
421,115,0
432,125,11
432,123,0
435,125,3
436,125,1
443,131,7
453,135,10
454,134,1
454,131,0
454,127,0
473,144,19
473,129,0
474,123,1
480,108,6
536,145,56
548,139,12
548,138,0
559,148,11
559,144,0
560,141,1
560,140,0
565,142,5
565,141,0
565,139,0
571,140,6
572,137,1
572,136,0
572,133,0
572,128,0
573,127,1
574,123,1
574,122,0
584,131,10
584,129,0
584,127,0
585,127,1
585,124,0
586,119,1
586,118,0
592,123,6
593,122,1
593,114,0
594,113,1
595,113,1
596,109,1
596,108,0
596,107,0
605,110,9
606,110,1
606,107,0
607,104,1
607,103,0
607,102,0
608,101,1
608,99,0
608,85,0
616,92,8
617,91,1
617,89,0
617,87,0
618,83,1
618,82,0
619,82,1
629,89,10
629,86,0
629,82,0
630,82,1
630,79,0
631,78,1
634,75,3
634,74,0
635,74,1
640,78,5
641,70,1
641,68,0
641,67,0
649,71,8
649,66,0
650,65,1
650,64,0
651,60,1
655,63,4
655,62,0
656,61,1
664,61,8
664,60,0
665,60,1
665,59,0
666,59,1
667,52,1
667,51,0
669,52,2
672,52,3
673,46,1
679,51,6
683,54,4
684,53,1
687,53,3
721,82,34
721,81,0
741,100,20
742,100,1
742,95,0
749,101,7
750,101,1
751,101,1
752,99,1
752,90,0
756,92,4
756,91,0
757,91,1
757,90,0
758,90,1
758,88,0
758,86,0
759,83,1
760,80,1
760,78,0
765,78,5
765,77,0
766,76,1
766,74,0
767,74,1
768,71,1
768,70,0
772,73,4
772,69,0
772,68,0
773,68,1
774,67,1
774,64,0
774,63,0
775,62,1
775,61,0
776,60,1
776,57,0
781,61,5
782,60,1
782,59,0
786,60,4
787,60,1
787,59,0
788,58,1
788,56,0
789,52,1
790,51,1
790,50,0
790,48,0
796,49,6
796,47,0
796,46,0
797,46,1
798,46,1
798,43,0
799,42,1
799,41,0
799,39,0
803,40,4
803,38,0
804,38,1
805,38,1
805,37,0
806,35,1
806,33,0
811,37,5
812,36,1
812,33,0
813,33,1
813,32,0
814,32,1
814,31,0
814,28,0
818,31,4
819,30,1
820,29,1
820,26,0
822,27,2
822,26,0
827,29,5
828,29,1
852,49,24
857,53,5
857,52,0
858,52,1
859,50,1
859,49,0
859,47,0
860,47,1
861,46,1
861,43,0
865,46,4
866,45,1
866,44,0
868,42,2
868,41,0
869,41,1
869,39,0
874,43,5
874,40,0
875,39,1
875,38,0
875,36,0
876,34,1
878,35,2
882,38,4
883,38,1
883,37,0
884,35,1
884,34,0
885,34,1
885,33,0
885,30,0
886,30,1
891,33,5
891,32,0
892,31,1
896,32,4
896,30,0
897,29,1
898,29,1
898,26,0
898,25,0
898,23,0
900,23,2
900,22,0
900,19,0
900,17,0
906,22,6
906,20,0
906,17,0
906,16,0
906,15,0
907,15,1
907,14,0
907,12,0
907,10,0
907,8,0
907,7,0
912,9,5
912,8,0
913,8,1
913,7,0
917,9,4
918,7,1
918,6,0
918,4,0
918,3,0
923,6,5
923,5,0
923,4,0
923,3,0
929,8,6
929,6,0
929,5,0
930,5,1
930,3,0
935,7,5
935,6,0
935,5,0
936,5,1
947,14,11
947,13,0
947,11,0
947,10,0
948,10,1
948,9,0
948,8,0
948,7,0
949,7,1
953,10,4
953,8,0
953,7,0
959,12,6
959,10,0
965,15,6
965,13,0
968,14,3
969,7,1
974,11,5
974,5,0
974,4,0
974,3,0
974,2,0
979,6,5
979,5,0
979,4,0
980,4,1
984,6,4
984,4,0
985,4,1
985,3,0
986,3,1
992,7,6
992,5,0
993,5,1
993,3,0
999,8,6
999,6,0
999,4,0
999,3,0
1000,3,1
1005,5,5
1005,4,0
1005,3,0
1005,2,0
1011,7,6
1011,5,0
1012,5,1
1012,3,0
1013,3,1
1020,7,7
1020,6,0
1020,4,0
1020,3,0
1026,8,6
1026,5,0
1026,4,0
1026,3,0
1027,2,1
1034,6,7
1034,5,0
1035,4,1
1035,3,0
1040,7,5
1041,6,1
1041,4,0
1041,3,0
1042,3,1
1048,6,6
1048,5,0
1048,4,0
1048,3,0
1054,7,6
1054,5,0
1054,4,0
1054,3,0
1055,2,1
1062,6,7
1062,5,0
1063,4,1
1063,3,0
1074,13,11
1074,8,0
1075,7,1
1075,6,0
1075,4,0
1077,5,2
1078,5,1
1078,4,0
1078,3,0
1083,7,5
1083,6,0
1084,6,1
1084,4,0
1084,3,0
1090,7,6
1090,6,0
1090,5,0
1090,3,0
1096,8,6
1097,7,1
1097,6,0
1097,4,0
1097,3,0
1103,7,6
1103,6,0
1103,4,0
1103,3,0
1109,8,6
1109,6,0
1109,5,0
1109,4,0
1110,4,1
1115,7,5
1115,5,0
1116,5,1
1116,4,0
1120,6,4
1120,4,0
1120,3,0
1120,2,0
1122,3,2
1127,6,5
1127,5,0
1127,4,0
1127,3,0
1133,7,6
1133,5,0
1134,5,1
1134,3,0
1135,3,1
1142,8,7
1142,6,0
1142,4,0
1142,3,0
1147,7,5
1147,4,0
1147,3,0
1147,2,0
1148,2,1
1155,6,7
1155,5,0
1155,4,0
1155,3,0
1162,9,7
1162,6,0
1162,5,0
1162,4,0
1163,2,1
1169,6,6
1169,5,0
1169,4,0
1170,3,1
1175,7,5
1175,5,0
1175,4,0
1175,3,0
1176,3,1
1182,6,6
1183,6,1
1183,5,0
1192,13,9
1192,11,0
1192,7,0
1193,7,1
1193,6,0
1193,5,0
1195,6,2
1195,5,0
1196,5,1
1196,4,0
1201,8,5
1201,6,0
1202,6,1
1202,5,0
1202,3,0
1207,7,5
1207,6,0
1207,5,0
1207,4,0
1213,8,6
1213,7,0
1213,6,0
1213,4,0
1213,3,0
1219,7,6
1220,7,1
1220,5,0
1220,4,0
1224,7,4
1224,5,0
1224,4,0
1225,4,1
1225,3,0
1230,7,5
1230,6,0
1230,5,0
1230,4,0
1236,8,6
1236,7,0
1236,6,0
1236,4,0
1236,3,0
1242,7,6
1242,6,0
1242,4,0
1242,3,0
1248,8,6
1248,5,0
1248,4,0
1248,3,0
1250,3,2
1255,6,5
1255,5,0
1255,4,0
1255,2,0
1261,7,6
1261,5,0
1262,5,1
1262,3,0
1263,3,1
1270,7,7
1270,6,0
1270,4,0
1270,3,0
1276,8,6
1276,5,0
1276,4,0
1276,3,0
1277,2,1
1284,7,7
1285,6,1
1285,5,0
1285,3,0
1291,8,6
1291,5,0
1291,4,0
1291,3,0
1292,3,1
1297,5,5
1297,4,0
1297,3,0
1298,3,1
1308,12,10
1308,8,0
1308,6,0
1308,5,0
1308,3,0
1314,7,6
1315,6,1
1315,5,0
1315,4,0
1320,7,5
1320,6,0
1320,5,0
1321,4,1
1321,3,0
1325,5,4
1326,5,1
1326,4,0
1326,3,0
1332,8,6
1332,6,0
1332,4,0
1332,3,0
1333,3,1
1339,6,6
1339,5,0
1339,4,0
1339,3,0
1345,7,6
1345,5,0
1346,5,1
1346,3,0
1347,3,1
1354,7,7
1354,6,0
1354,4,0
1354,3,0
1359,7,5
1359,4,0
1360,4,1
1360,3,0
1361,3,1
1367,6,6
1367,5,0
1367,4,0
1367,3,0
1373,7,6
1373,5,0
1373,4,0
1374,3,1
1374,2,0
1381,6,7
1381,5,0
1381,4,0
1381,3,0
1387,8,6
1387,5,0
1387,4,0
1387,3,0
1388,2,1
1395,7,7
1396,6,1
1396,5,0
1396,3,0
1402,8,6
1402,5,0
1402,4,0
1402,3,0
1404,4,2
1412,8,8
1412,6,0
1412,5,0
1413,5,1
1421,12,8
1421,7,0
1422,6,1
1422,5,0
1424,6,2
1433,9,9
1435,9,2
1435,8,0
1435,6,0
1460,29,25
1461,24,1
1461,22,0
1467,27,6
1467,25,0
1468,20,1
1468,18,0
1469,17,1
1473,20,4
1473,19,0
1474,17,1
1475,16,1
1475,15,0
1475,14,0
1475,11,0
1476,10,1
1477,10,1
1477,9,0
1484,15,7
1484,12,0
1485,11,1
1490,14,5
1490,13,0
1491,11,1
1492,10,1
1492,9,0
1493,9,1
1499,14,6
1500,11,1
1500,10,0
1501,9,1
1501,8,0
1507,10,6
1507,8,0
1508,8,1
1508,7,0
1515,13,7
1515,10,0
1515,9,0
1516,9,1
1516,7,0
1523,10,7
1524,10,1
1524,8,0
1524,7,0
1531,12,7
1531,9,0
1532,7,1
1534,8,2
1535,7,1
1542,9,7
1543,8,1
1543,7,0
1543,5,0
1552,13,9
1552,7,0
1552,5,0
1553,5,1
1555,6,2
1564,9,9
1564,8,0
1564,6,0
1565,6,1
1575,14,10
1576,10,1
1576,8,0
1576,6,0
1578,7,2
1585,6,7
1586,6,1
1586,5,0
1586,4,0
1596,13,10
1596,8,0
1596,7,0
1597,6,1
1599,6,2
1608,9,9
1609,9,1
1609,7,0
1610,6,1
1618,13,8
1633,22,15
1635,22,2
1635,21,0
1640,25,5
1641,19,1
1641,17,0
1642,16,1
1642,15,0
1643,14,1
1643,11,0
1644,11,1
1644,10,0
1644,8,0
1649,10,5
1650,10,1
1650,8,0
1651,8,1
1659,14,8
1659,11,0
1660,10,1
1660,9,0
1661,8,1
1667,10,6
1667,9,0
1668,8,1
1669,8,1
1677,14,8
1677,11,0
1677,9,0
1678,9,1
1678,7,0
1685,10,7
1686,10,1
1686,9,0
1687,8,1
1693,12,6
1693,9,0
1694,9,1
1695,9,1
1696,8,1
1701,9,5
1701,6,0
1702,6,1
1703,6,1
1712,14,9
1712,9,0
1712,7,0
1713,6,1
1716,7,3
1723,9,7
1724,7,1
1724,6,0
1724,5,0
1733,13,9
1733,7,0
1733,5,0
1734,5,1
1736,6,2
1745,9,9
1745,8,0
1746,7,1
1746,5,0
1755,13,9
1756,8,1
1756,7,0
1756,5,0
1759,6,3
1768,9,9
1768,8,0
1769,7,1
1769,5,0
1778,13,9
1779,8,1
1779,7,0
1779,5,0
1781,5,2
1789,7,8
1789,6,0
1789,5,0
1791,6,2
1799,13,8
1799,6,0
1816,22,17
1821,26,5
1822,26,1
1822,19,0
1823,19,1
1824,19,1
1824,16,0
1828,19,4
1828,15,0
1829,15,1
1829,14,0
1830,14,1
1830,11,0
1830,9,0
1831,9,1
1831,8,0
1838,14,7
1839,12,1
1840,11,1
1840,10,0
1845,13,5
1846,11,1
1847,10,1
1847,9,0
1847,8,0
1854,14,7
1854,10,0
1855,10,1
1855,9,0
1855,7,0
1862,11,7
1862,10,0
1862,8,0
1863,8,1
1872,15,9
1872,11,0
1873,11,1
1874,10,1
1874,8,0
1879,9,5
1879,8,0
1880,7,1
1882,8,2
1887,11,5
1887,6,0
1888,5,1
1889,5,1
1890,5,1
1900,11,10
1901,9,1
1901,7,0
1901,5,0
1909,12,8
1909,6,0
1910,5,1
1910,4,0
1912,5,2
1921,9,9
1921,8,0
1921,6,0
1921,4,0
1929,11,8
1930,7,1
1930,5,0
1930,4,0
1932,5,2
1942,10,10
1943,10,1
1943,8,0
1943,6,0
1952,14,9
1953,8,1
1953,7,0
1953,5,0
1955,5,2
1963,8,8
1963,6,0
1963,5,0
1964,5,1
1971,11,7
1971,6,0
1972,6,1
1994,27,22
1995,27,1
1996,21,1
1999,23,3
2000,23,1
2000,21,0
2001,21,1
2001,18,0
2002,18,1
2002,16,0
2003,16,1
2003,13,0
2003,11,0
2008,15,5
2008,13,0
2010,14,2
2012,13,2
2012,11,0
2017,15,5
2017,14,0
2017,11,0
2017,10,0
2018,9,1
2018,7,0
2026,14,8
2027,11,1
2027,10,0
2028,9,1
2028,8,0
2033,9,5
2033,8,0
2034,8,1
2034,7,0
2042,13,8
2042,10,0
2042,9,0
2043,8,1
2043,7,0
2049,9,6
2050,9,1
2050,8,0
2051,7,1
2059,14,8
2059,10,0
2059,9,0
2060,8,1
2060,6,0
2065,8,5
2067,9,2
2067,7,0
2068,7,1
2073,11,5
2073,8,0
2075,8,2
2075,7,0
2075,6,0
2080,8,5
2080,6,0
2081,5,1
2082,5,1
2089,11,7
2090,8,1
2090,7,0
2091,6,1
2092,5,1
2101,10,9
2101,8,0
2101,6,0
2101,5,0
2109,11,8
2110,7,1
2110,5,0
2110,4,0
2112,5,2
2121,9,9
2121,7,0
2122,7,1
2122,5,0
2131,13,9
2131,8,0
2131,6,0
2132,6,1
2146,18,14
2151,15,5
2152,15,1
2152,13,0
2153,7,1
2160,13,7
2161,11,1
2161,9,0
2162,8,1
2162,7,0
2167,9,5
2167,7,0
2168,7,1
2168,6,0
2176,13,8
2177,11,1
2177,9,0
2177,8,0
2177,6,0
2184,10,7
2184,8,0
2184,6,0
2186,7,2
2194,13,8
2194,9,0
2194,6,0
2196,7,2
2197,6,1
2206,11,9
2206,7,0
2207,7,1
2207,5,0
2215,11,8
2215,6,0
2215,5,0
2216,5,1
2218,6,2
2224,6,6
2224,5,0
2225,5,1
2225,4,0
2234,12,9
2234,8,0
2234,6,0
2235,5,1
2237,6,2
2246,9,9
2246,8,0
2246,6,0
2247,5,1
2254,11,7
2254,6,0
2255,5,1
2255,4,0
2257,5,2
2266,9,9
2266,8,0
2266,6,0
2267,5,1
2276,13,9
2276,8,0
2276,6,0
2277,5,1
2279,6,2
2285,6,6
2286,6,1
2286,5,0
2286,4,0
2295,12,9
2296,8,1
2296,7,0
2296,5,0
2298,6,2
2306,8,8
2306,6,0
2306,5,0
2307,5,1
2313,10,6
2313,5,0
2314,5,1
2314,4,0
2329,18,15
2336,18,7
2336,17,0
2336,16,0
2337,14,1
2337,13,0
2338,11,1
2338,10,0
2339,10,1
2339,9,0
2343,9,4
2344,9,1
2345,8,1
2346,8,1
2352,13,6
2352,10,0
2352,8,0
2353,8,1
2353,7,0
2359,9,6
2360,9,1
2360,7,0
2361,7,1
2369,13,8
2369,10,0
2369,9,0
2370,8,1
2370,7,0
2377,10,7
2377,9,0
2377,7,0
2378,7,1
2385,13,7
2386,10,1
2386,9,0
2386,7,0
2387,7,1
2394,10,7
2394,8,0
2394,6,0
2396,7,2
2403,12,7
2403,8,0
2403,6,0
2404,6,1
2406,6,2
2415,10,9
2415,8,0
2415,6,0
2416,5,1
2423,11,7
2424,7,1
2424,6,0
2424,5,0
