time (ms),latency (ms),consume (ms)
0,13,0
4,6,4
6,3,2
12,3,6
17,2,5
22,2,5
28,2,6
33,2,5
39,2,6
44,1,5
50,2,6
55,1,5
61,2,6
66,1,5
72,2,6
78,2,6
84,1,6
90,2,6
96,2,6
101,2,5
107,2,6
112,2,5
118,2,6
123,2,5
129,2,6
134,1,5
140,2,6
145,1,5
151,2,6
156,1,5
162,2,6
167,1,5
173,2,6
179,2,6
184,2,5
190,2,6
195,1,5
201,2,6
206,1,5
212,2,6
217,1,5
223,2,6
233,6,10
235,2,2
240,2,5
245,1,5
251,1,6
257,2,6
263,2,6
268,1,5
274,2,6
279,1,5
293,9,14
296,7,3
297,2,1
302,1,5
308,2,6
313,1,5
319,1,6
325,2,6
330,1,5
336,1,6
342,2,6
348,2,6
353,1,5
359,2,6
364,1,5
370,2,6
375,1,5
381,1,6
387,2,6
393,2,6
398,2,5
404,2,6
409,1,5
415,2,6
421,2,6
426,1,5
432,2,6
438,2,6
443,1,5
449,2,6
455,2,6
461,2,6
467,2,6
472,1,5
478,2,6
483,1,5
489,2,6
494,1,5
500,2,6
506,2,6
511,1,5
517,2,6
523,2,6
528,1,5
534,2,6
540,2,6
545,1,5
551,2,6
557,2,6
562,2,5
567,1,5
573,1,6
580,2,7
585,1,5
591,1,6
597,2,6
602,1,5
608,2,6
613,1,5
619,1,6
625,2,6
630,1,5
636,1,6
642,2,6
648,2,6
653,1,5
659,2,6
665,2,6
670,1,5
676,2,6
681,1,5
687,1,6
693,2,6
699,2,6
705,2,6
710,2,5
715,1,5
721,2,6
726,1,5
732,1,6
737,1,5
743,1,6
749,2,6
754,1,5
760,2,6
765,1,5
771,1,6
776,1,5
782,1,6
788,2,6
793,1,5
799,1,6
805,2,6
810,1,5
816,2,6
822,2,6
827,1,5
833,2,6
838,1,5
844,1,6
850,2,6
855,1,5
861,2,6
866,1,5
872,1,6
878,2,6
883,1,5
889,2,6
894,1,5
900,1,6
906,2,6
911,1,5
917,2,6
922,1,5
928,1,6
933,1,5
939,1,6
945,2,6
950,1,5
956,2,6
961,1,5
967,2,6
972,1,5
979,2,7
984,1,5
990,2,6
996,1,6
1002,1,6
1007,1,5
1013,1,6
1019,2,6
1024,1,5
1029,1,5
1035,1,6
1041,2,6
1048,2,7
1054,2,6
1059,1,5
1065,2,6
1071,1,6
1077,2,6
1082,1,5
1088,1,6
1093,1,5
1099,1,6
1105,2,6
1110,1,5
1116,1,6
1121,1,5
1127,1,6
1132,1,5
1138,2,6
1143,1,5
1149,2,6
1154,1,5
1160,2,6
1165,2,5
1170,1,5
1176,2,6
1181,1,5
1187,2,6
1192,1,5
1198,2,6
1203,1,5
1209,2,6
1226,13,17
1227,7,1
1228,2,1
1232,1,4
1238,2,6
1243,1,5
1249,2,6
1255,1,6
1261,1,6
1267,1,6
1273,1,6
1280,2,7
1285,1,5
1290,1,5
1296,1,6
1301,1,5
1307,2,6
1312,1,5
1318,2,6
1323,1,5
1329,2,6
1334,1,5
1339,1,5
1345,2,6
1350,1,5
1356,2,6
1362,2,6
1367,1,5
1372,1,5
1378,1,6
1383,1,5
1389,1,6
1395,2,6
1400,1,5
1406,1,6
1412,1,6
1418,2,6
1423,1,5
1429,1,6
1435,2,6
1442,3,7
1446,2,4
1451,1,5
1457,1,6
1462,1,5
1468,1,6
1474,2,6
1479,1,5
1485,2,6
1490,1,5
1496,1,6
1501,1,5
1507,1,6
1512,1,5
1518,1,6
1524,2,6
1529,1,5
1535,1,6
1541,2,6
1546,1,5
1552,2,6
1557,1,5
1562,1,5
1568,2,6
1573,1,5
1579,2,6
1584,1,5
1589,1,5
1595,2,6
1600,1,5
1606,2,6
1611,1,5
1617,2,6
1622,2,5
1627,1,5
1633,2,6
1638,1,5
1643,1,5
1649,2,6
1654,1,5
1662,2,8
1667,1,5
1673,2,6
1678,1,5
1684,1,6
1689,1,5
1695,1,6
1701,2,6
1706,1,5
1712,1,6
1718,2,6
1723,1,5
1729,1,6
1734,1,5
1740,1,6
1746,2,6
1751,1,5
1757,1,6
1763,2,6
1768,1,5
1774,1,6
1780,2,6
1785,1,5
1792,2,7
1797,1,5
1802,1,5
1808,2,6
1813,1,5
1819,2,6
1824,1,5
1829,1,5
1836,2,7
1842,2,6
1847,1,5
1853,2,6
1858,2,5
1863,1,5
1869,2,6
1874,1,5
1879,1,5
1885,2,6
1891,2,6
1896,1,5
1901,1,5
1907,1,6
1912,1,5
1918,2,6
1923,1,5
1929,2,6
1934,2,5
1939,1,5
1945,2,6
1950,1,5
1955,1,5
1961,2,6
1966,1,5
1972,2,6
1977,1,5
1983,2,6
1988,1,5
1996,4,8
1999,2,3
2004,1,5
2010,2,6
2015,1,5
2020,1,5
2026,2,6
2031,1,5
2037,2,6
2042,1,5
2047,1,5
2053,2,6
2058,1,5
2064,2,6
2069,2,5
2074,1,5
2080,2,6
2085,1,5
2091,2,6
2096,1,5
2102,2,6
2107,2,5
2113,2,6
2118,2,5
2124,2,6
2129,2,5
2146,2,17
2152,2,6
2157,2,5
2163,2,6
2168,1,5
2173,1,5
2179,1,6
2185,2,6
2190,1,5
2196,2,6
2201,1,5
2207,2,6
2212,1,5
2217,1,5
2223,1,6
2229,1,6
2234,1,5
2240,2,6
2245,1,5
2251,2,6
2256,1,5
2261,1,5
2267,1,6
2272,1,5
2278,2,6
2283,1,5
2290,2,7
2296,1,6
2302,1,6
2308,1,6
2314,1,6
2320,1,6
2326,1,6
2332,2,6
2337,1,5
2342,1,5
2348,1,6
2353,1,5
2359,2,6
2364,1,5
2369,1,5
2376,3,7
2380,1,4
2386,2,6
2391,1,5
2396,1,5
2402,2,6
2407,1,5
2412,1,5
2418,2,6
2423,1,5
2428,1,5
2434,2,6
2439,1,5
2444,1,5
2450,2,6
2455,1,5
2460,1,5
2466,2,6
2471,1,5
2476,1,5
2482,2,6
2487,1,5
2492,1,5
2498,2,6
2503,1,5
2508,1,5
2514,2,6
2519,1,5
2524,1,5
2530,2,6
2535,1,5
2541,2,6
2546,1,5
2551,1,5
2557,2,6
2562,1,5
2567,1,5
2573,2,6
2578,1,5
2583,1,5
2589,1,6
2594,1,5
2599,1,5
2605,1,6
2610,1,5
2616,2,6
2621,1,5
2626,1,5
2632,1,6
2637,1,5
2643,2,6
2648,1,5
2653,1,5
2659,1,6
2664,1,5
2670,2,6
2675,1,5
2680,1,5
2686,2,6
2691,1,5
2700,5,9
2702,1,2
2707,1,5
2713,2,6
2718,1,5
2723,1,5
2729,2,6
2735,2,6
2739,1,4
2745,2,6
2750,1,5
2755,1,5
2761,1,6
2766,1,5
2772,2,6
2777,1,5
2782,1,5
2788,1,6
2793,1,5
2799,2,6
2804,1,5
2810,2,6
2815,1,5
