time (ms),latency (ms),consume (ms)
0,20,0
15,25,15
25,26,10
35,18,10
42,14,7
49,13,7
57,14,8
63,12,6
69,8,6
76,10,7
82,9,6
89,10,7
94,9,5
100,9,6
107,10,7
131,27,24
137,27,6
138,21,1
139,16,1
143,13,4
152,12,9
159,12,7
166,10,7
173,10,7
178,9,5
183,8,5
189,8,6
195,9,6
201,9,6
207,9,6
213,9,6
218,8,5
223,8,5
230,9,7
237,9,7
242,9,5
249,9,7
254,9,5
260,8,6
267,10,7
288,25,21
292,21,4
292,14,0
293,10,1
313,24,20
318,22,5
325,9,7
331,9,6
337,9,6
343,8,6
349,9,6
354,8,5
359,7,5
364,7,5
371,9,7
376,8,5
381,7,5
388,9,7
393,7,5
399,8,6
404,8,5
412,10,8
418,11,6
424,11,6
430,10,6
446,20,16
447,14,1
448,10,1
452,9,4
458,9,6
463,8,5
469,9,6
476,10,7
481,8,5
487,9,6
493,9,6
498,9,5
504,9,6
509,8,5
515,9,6
521,9,6
528,11,7
532,9,4
537,8,5
543,8,6
549,9,6
555,9,6
561,9,6
567,9,6
571,8,4
590,21,19
590,16,0
594,15,4
594,9,0
599,8,5
607,11,8
610,8,3
616,9,6
622,8,6
628,9,6
634,8,6
640,9,6
646,8,6
652,9,6
658,8,6
664,9,6
670,8,6
675,8,5
681,8,6
686,8,5
692,8,6
698,9,6
703,8,5
711,11,8
715,9,4
737,25,22
738,20,1
739,16,1
742,14,3
743,10,1
747,8,4
755,11,8
760,10,5
767,10,7
772,9,5
779,9,7
787,11,8
791,8,4
801,12,10
808,13,7
818,14,10
826,15,8
830,9,4
835,8,5
842,9,7
848,8,6
854,9,6
860,8,6
866,9,6
872,8,6
876,7,4
896,22,20
900,20,4
901,14,1
901,9,0
905,8,4
911,9,6
917,8,6
922,8,5
928,9,6
933,8,5
939,9,6
945,9,6
951,8,6
957,9,6
963,8,6
969,9,6
974,8,5
979,8,5
985,8,6
991,9,6
997,8,6
1002,8,5
1008,8,6
1015,10,7
1035,24,20
1036,20,1
1037,15,1
1038,11,1
1041,8,3
1047,9,6
1053,8,6
1058,8,5
1074,18,16
1079,18,5
1084,7,5
1091,9,7
1097,9,6
1102,7,5
1108,8,6
1113,8,5
1118,7,5
1125,9,7
1131,8,6
1137,9,6
1143,8,6
1149,9,6
1155,8,6
1161,9,6
1168,9,7
1172,8,4
1189,19,17
1190,15,1
1191,11,1
1195,8,4
1200,8,5
1206,8,6
1211,8,5
1217,8,6
1221,7,4
1227,8,6
1235,11,8
1239,8,4
1244,8,5
1252,10,8
1255,8,3
1261,8,6
1267,9,6
1272,8,5
1278,9,6
1284,9,6
1289,9,5
1294,8,5
1300,9,6
1305,8,5
1312,10,7
1317,8,5
1338,24,21
1343,24,5
1349,8,6
1354,8,5
1361,9,7
1366,8,5
1372,8,6
1378,9,6
1383,7,5
1388,7,5
1395,9,7
1400,8,5
1406,8,6
1411,8,5
1416,7,5
1423,9,7
1428,7,5
1433,7,5
1440,9,7
1445,8,5
1451,8,6
1457,9,6
1463,8,6
1469,9,6
1473,7,4
1488,17,15
1491,15,3
1492,10,1
1497,9,5
1503,8,6
1517,17,14
1522,12,5
1525,10,3
1533,12,8
1540,10,7
1546,11,6
1550,10,4
1557,11,7
1563,9,6
1570,11,7
1577,13,7
1583,13,6
1586,11,3
1597,15,11
1622,28,25
1629,30,7
1635,9,6
1640,9,5
1646,10,6
1655,12,9
1676,28,21
1677,24,1
1683,17,6
1686,12,3
1694,12,8
1699,9,5
1704,9,5
1713,13,9
1719,9,6
1724,9,5
1729,9,5
1735,10,6
1742,10,7
1753,15,11
1759,9,6
1764,9,5
1769,9,5
1778,12,9
1781,10,3
1789,13,8
1795,9,6
1800,9,5
1805,9,5
1815,14,10
1851,43,36
1852,39,1
1853,27,1
1859,25,6
1860,18,1
1864,14,4
1866,8,2
1873,10,7
1879,9,6
1884,9,5
1890,10,6
1896,10,6
1902,9,6
1909,10,7
1925,21,16
1930,20,5
1935,7,5
1941,8,6
1948,9,7
1953,8,5
1958,7,5
1963,7,5
1968,7,5
1974,8,6
1986,14,12
1987,9,1
1992,9,5
1997,8,5
2003,8,6
2009,9,6
2014,8,5
2020,8,6
2025,8,5
2031,9,6
2036,7,5
2041,7,5
2047,8,6
2053,9,6
2059,9,6
2064,7,5
2070,8,6
2076,9,6
2081,8,5
2087,8,6
2093,9,6
2098,8,5
2104,8,6
2110,9,6
2115,8,5
2131,18,16
2134,14,3
2135,10,1
2139,7,4
2145,8,6
2174,32,29
2185,31,11
2186,27,1
2186,22,0
2187,18,1
2197,22,10
2202,7,5
2208,8,6
2213,8,5
2218,7,5
2225,9,7
2231,9,6
2236,7,5
2241,7,5
2246,7,5
2251,7,5
2258,9,7
2264,9,6
2270,8,6
2276,9,6
2281,7,5
2295,16,14
2298,14,3
2299,9,1
2304,9,5
2309,7,5
2315,8,6
2321,9,6
2327,9,6
2333,8,6
2338,8,5
2345,10,7
2350,8,5
2356,8,6
2362,9,6
2368,8,6
2373,8,5
2379,8,6
2385,9,6
2391,8,6
2397,9,6
2403,9,6
2408,8,5
2413,8,5
2419,8,6
2424,8,5
2430,8,6
2455,28,25
2459,26,4
2460,10,1
2464,9,4
2469,8,5
2475,9,6
2480,8,5
2486,9,6
2491,8,5
2497,9,6
2502,8,5
2508,9,6
2513,8,5
2519,9,6
2524,8,5
2530,9,6
2535,8,5
2540,8,5
2546,8,6
2552,9,6
2558,8,6
2564,9,6
2569,7,5
2575,8,6
2580,8,5
2586,8,6
2604,21,18
2605,15,1
2606,11,1
2609,9,3
2614,8,5
2620,9,6
2625,8,5
2630,8,5
2636,8,6
2642,9,6
2647,8,5
2653,9,6
2658,8,5
2664,9,6
2669,8,5
2675,8,6
2681,9,6
2687,8,6
2693,9,6
2704,14,11
2710,8,6
2715,8,5
2721,8,6
2727,9,6
2732,7,5
2738,8,6
2757,22,19
2758,17,1
2761,15,3
2761,8,0
2766,8,5
2772,9,6
2777,8,5
2783,8,6
2789,9,6
