time (ms),latency (ms),consume (ms)
0,15,0
1,10,1
1,10,0
1,9,0
2,9,1
2,8,0
15,14,13
15,13,0
15,12,0
15,11,0
15,10,0
16,11,1
16,10,0
16,5,0
22,6,6
22,3,0
22,3,0
22,3,0
25,5,3
26,4,1
26,3,0
26,3,0
27,3,1
27,2,0
27,1,0
28,1,1
31,1,3
32,1,1
32,0,0
34,1,2
34,0,0
39,1,5
39,0,0
40,0,1
41,1,1
43,1,2
43,0,0
44,0,1
46,1,2
47,1,1
48,1,1
49,1,1
49,0,0
51,1,2
52,0,1
53,1,1
53,0,0
55,0,2
57,1,2
57,0,0
58,1,1
58,0,0
60,1,2
61,1,1
62,0,1
63,1,1
63,0,0
65,1,2
67,0,2
68,1,1
69,0,1
70,0,1
71,1,1
71,0,0
72,0,1
73,1,1
74,0,1
75,1,1
75,0,0
76,1,1
79,0,3
80,1,1
81,1,1
82,1,1
83,0,1
84,1,1
84,0,0
85,1,1
85,0,0
86,0,1
87,0,1
88,1,1
89,1,1
90,1,1
90,0,0
91,0,1
92,1,1
95,0,3
96,0,1
97,1,1
97,0,0
99,0,2
100,1,1
100,0,0
101,0,1
102,1,1
102,0,0
103,1,1
104,1,1
107,1,3
108,1,1
110,0,2
111,1,1
111,0,0
112,0,1
113,1,1
113,0,0
114,1,1
115,1,1
115,0,0
116,1,1
116,0,0
117,1,1
118,1,1
118,0,0
119,0,1
123,1,4
123,0,0
124,0,1
125,1,1
125,0,0
126,1,1
127,1,1
129,1,2
130,1,1
130,0,0
131,1,1
134,1,3
134,0,0
135,0,1
136,1,1
136,0,0
137,1,1
137,0,0
139,0,2
140,1,1
140,0,0
142,1,2
142,0,0
143,0,1
144,1,1
146,1,2
147,0,1
148,1,1
148,0,0
149,1,1
150,1,1
150,0,0
151,0,1
152,1,1
157,1,5
157,0,0
158,0,1
159,1,1
159,0,0
160,1,1
160,0,0
161,0,1
162,1,1
162,0,0
163,0,1
164,1,1
165,0,1
166,1,1
167,1,1
167,0,0
168,0,1
169,1,1
169,0,0
171,0,2
173,1,2
173,0,0
174,1,1
175,1,1
175,0,0
176,1,1
176,0,0
179,0,3
183,1,4
184,1,1
185,1,1
185,0,0
186,1,1
186,0,0
187,1,1
187,0,0
188,0,1
189,1,1
189,0,0
190,1,1
190,0,0
191,1,1
192,1,1
195,0,3
196,1,1
196,0,0
197,1,1
198,1,1
199,1,1
199,0,0
202,1,3
203,1,1
203,0,0
204,1,1
204,0,0
205,0,1
206,1,1
206,0,0
207,1,1
207,0,0
208,1,1
208,0,0
209,0,1
210,1,1
210,0,0
211,1,1
212,1,1
215,0,3
218,0,3
219,1,1
219,0,0
220,1,1
224,3,4
225,0,1
226,0,1
227,1,1
227,0,0
228,1,1
228,0,0
229,1,1
229,0,0
230,1,1
230,0,0
231,0,1
231,0,0
232,0,1
233,1,1
242,7,9
242,7,0
242,7,0
242,6,0
243,6,1
243,6,0
243,5,0
243,5,0
243,5,0
243,4,0
243,3,0
244,4,1
244,4,0
246,1,2
247,1,1
247,0,0
248,1,1
251,0,3
252,0,1
253,1,1
255,0,2
256,1,1
256,0,0
257,1,1
257,0,0
258,0,1
259,1,1
259,0,0
260,1,1
260,0,0
261,1,1
261,0,0
262,0,1
263,1,1
263,0,0
264,1,1
264,0,0
267,0,3
271,0,4
272,1,1
272,0,0
273,0,1
274,1,1
274,0,0
277,3,3
278,0,1
279,1,1
279,0,0
280,1,1
280,0,0
281,1,1
281,0,0
282,1,1
282,0,0
283,1,1
283,0,0
284,1,1
284,0,0
285,1,1
285,0,0
286,1,1
286,0,0
287,1,1
287,0,0
288,0,1
289,0,1
290,1,1
290,0,0
291,1,1
291,0,0
292,1,1
292,0,0
293,0,1
294,1,1
294,0,0
295,1,1
295,0,0
297,1,2
297,0,0
298,1,1
299,1,1
303,0,4
307,0,4
308,0,1
309,1,1
309,0,0
310,1,1
310,0,0
311,1,1
311,0,0
312,1,1
315,3,3
316,1,1
316,0,0
317,1,1
317,0,0
319,0,2
323,4,4
324,0,1
325,1,1
325,0,0
326,0,1
327,1,1
327,0,0
328,1,1
328,0,0
329,1,1
329,0,0
331,0,2
335,0,4
336,1,1
336,0,0
337,1,1
337,0,0
338,1,1
338,0,0
339,1,1
339,0,0
340,1,1
340,0,0
341,1,1
341,0,0
343,0,2
344,1,1
344,0,0
345,1,1
345,0,0
346,1,1
346,0,0
347,1,1
347,0,0
348,1,1
348,0,0
350,0,2
351,1,1
351,0,0
352,1,1
352,0,0
353,1,1
353,0,0
354,0,1
354,0,0
359,0,5
360,0,1
361,1,1
361,0,0
363,0,2
365,2,2
366,1,1
366,0,0
367,1,1
367,0,0
368,1,1
368,0,0
370,2,2
371,0,1
372,1,1
372,0,0
373,1,1
373,0,0
374,1,1
374,0,0
375,0,1
376,1,1
376,0,0
378,1,2
379,1,1
379,0,0
380,1,1
380,0,0
381,1,1
