time (ms),latency (ms),consume (ms)
0,15,0
5,9,5
5,3,0
11,3,6
17,3,6
22,3,5
27,2,5
33,2,6
39,2,6
45,2,6
50,1,5
56,1,6
62,2,6
68,2,6
74,2,6
79,1,5
85,2,6
91,2,6
97,2,6
105,2,8
110,1,5
116,2,6
122,2,6
128,2,6
133,1,5
139,2,6
145,2,6
151,2,6
156,1,5
163,1,7
169,2,6
176,3,7
182,2,6
188,2,6
193,1,5
200,2,7
206,2,6
212,2,6
217,2,5
223,2,6
229,2,6
234,2,5
240,1,6
246,1,6
252,1,6
259,2,7
265,2,6
272,2,7
278,2,6
285,2,7
291,1,6
297,2,6
303,2,6
309,1,6
316,2,7
321,2,5
328,3,7
334,2,6
341,2,7
347,2,6
354,2,7
360,2,6
366,1,6
373,2,7
378,2,5
384,1,6
390,1,6
396,2,6
401,1,5
407,2,6
412,2,5
418,2,6
423,1,5
429,2,6
435,1,6
441,2,6
446,1,5
452,1,6
458,2,6
465,3,7
470,2,5
476,2,6
482,2,6
487,2,5
493,2,6
499,2,6
504,1,5
510,2,6
516,2,6
521,1,5
527,1,6
533,2,6
540,2,7
545,1,5
551,2,6
556,1,5
562,2,6
567,1,5
573,2,6
578,1,5
584,2,6
589,1,5
595,2,6
600,1,5
606,2,6
611,1,5
617,2,6
622,1,5
628,2,6
633,1,5
639,2,6
645,2,6
650,1,5
656,2,6
662,2,6
667,1,5
673,2,6
678,1,5
684,2,6
690,2,6
695,2,5
700,1,5
706,1,6
712,2,6
718,2,6
723,1,5
729,2,6
735,2,6
740,1,5
746,2,6
752,2,6
757,2,5
762,1,5
768,2,6
773,1,5
778,1,5
784,1,6
790,2,6
795,1,5
800,1,5
806,1,6
811,1,5
817,2,6
823,2,6
828,1,5
834,2,6
839,1,5
845,2,6
850,1,5
856,2,6
861,1,5
866,1,5
872,2,6
877,1,5
882,1,5
888,1,6
894,2,6
899,1,5
905,2,6
910,1,5
916,2,6
921,1,5
926,1,5
932,1,6
938,2,6
943,1,5
948,1,5
954,1,6
960,2,6
966,1,6
972,1,6
978,1,6
984,1,6
991,2,7
996,1,5
1002,2,6
1007,1,5
1013,2,6
1018,1,5
1023,1,5
1029,1,6
1035,1,6
1040,1,5
1046,2,6
1051,1,5
1057,2,6
1063,2,6
1070,2,7
1075,1,5
1081,2,6
1088,3,7
1094,3,6
1098,1,4
1104,2,6
1109,1,5
1114,1,5
1120,1,6
1126,2,6
1131,1,5
1137,2,6
1143,2,6
1148,1,5
1154,2,6
1160,2,6
1165,1,5
1171,1,6
1177,2,6
1183,2,6
1188,1,5
1193,1,5
1199,1,6
1204,1,5
1210,1,6
1216,1,6
1223,2,7
1229,2,6
1234,2,5
1253,15,19
1254,11,1
1254,5,0
1256,1,2
1262,2,6
1268,2,6
1274,1,6
1279,1,5
1285,1,6
1290,1,5
1296,2,6
1301,1,5
1306,1,5
1312,1,6
1317,1,5
1323,1,6
1328,1,5
1334,2,6
1339,1,5
1345,2,6
1350,1,5
1355,1,5
1361,1,6
1366,1,5
1372,2,6
1377,1,5
1383,1,6
1389,2,6
1394,1,5
1400,2,6
1405,1,5
1411,2,6
1416,1,5
1422,1,6
1428,2,6
1434,2,6
1439,2,5
1445,1,6
1451,1,6
1458,2,7
1464,2,6
1470,2,6
1475,1,5
1480,1,5
1486,1,6
1491,1,5
