time (ms),latency (ms),consume (ms)
0,12,0
2,11,2
2,5,0
2,4,0
3,5,1
4,5,1
5,2,1
6,3,1
7,3,1
7,2,0
8,2,1
9,2,1
9,1,0
10,2,1
10,2,0
10,1,0
12,3,2
13,4,1
13,3,0
14,3,1
14,3,0
14,2,0
14,1,0
15,2,1
16,2,1
17,2,1
18,2,1
19,2,1
20,2,1
20,1,0
22,2,2
22,2,0
23,2,1
24,2,1
25,2,1
25,1,0
26,2,1
27,2,1
28,2,1
29,2,1
30,2,1
31,2,1
31,1,0
32,2,1
32,1,0
33,2,1
34,2,1
34,1,0
35,1,1
37,2,2
37,1,0
38,2,1
38,1,0
40,2,2
40,1,0
41,2,1
42,2,1
43,2,1
44,2,1
45,2,1
46,2,1
47,2,1
48,2,1
49,2,1
50,2,1
51,2,1
51,1,0
52,2,1
53,2,1
53,1,0
54,2,1
54,2,0
55,2,1
56,2,1
56,1,0
57,2,1
58,2,1
58,1,0
59,2,1
59,1,0
60,2,1
61,2,1
62,2,1
63,2,1
64,2,1
64,1,0
65,1,1
66,2,1
67,2,1
68,2,1
69,2,1
69,1,0
70,2,1
70,1,0
71,1,1
72,2,1
73,2,1
74,2,1
74,1,0
75,2,1
75,1,0
76,2,1
76,2,0
77,2,1
77,2,0
78,2,1
78,2,0
78,1,0
79,2,1
79,1,0
80,2,1
80,1,0
81,1,1
81,1,0
82,1,1
82,1,0
83,2,1
83,1,0
84,2,1
84,1,0
85,2,1
85,1,0
86,2,1
86,1,0
87,2,1
87,1,0
88,2,1
89,2,1
89,2,0
89,1,0
90,2,1
90,1,0
91,2,1
92,2,1
92,2,0
93,2,1
93,2,0
93,1,0
94,2,1
94,1,0
95,2,1
95,1,0
96,2,1
96,1,0
97,2,1
97,1,0
98,2,1
98,1,0
99,2,1
99,1,0
100,2,1
100,1,0
101,2,1
101,1,0
101,1,0
102,2,1
103,2,1
103,2,0
103,1,0
103,1,0
104,1,1
104,1,0
105,1,1
105,1,0
106,2,1
106,1,0
107,2,1
107,1,0
108,2,1
108,1,0
109,2,1
109,2,0
110,2,1
110,2,0
110,1,0
111,1,1
111,1,0
112,2,1
112,1,0
113,2,1
113,1,0
114,2,1
114,1,0
115,2,1
115,1,0
115,1,0
116,1,1
117,2,1
118,2,1
118,1,0
119,2,1
119,1,0
120,2,1
120,1,0
121,1,1
122,2,1
122,1,0
123,1,1
123,1,0
124,1,1
125,2,1
125,1,0
126,2,1
126,1,0
127,1,1
128,2,1
128,1,0
129,2,1
129,1,0
130,2,1
130,1,0
131,2,1
131,1,0
132,2,1
132,1,0
133,2,1
133,1,0
147,14,14
147,14,0
147,13,0
147,13,0
147,12,0
147,12,0
148,12,1
148,11,0
148,11,0
148,10,0
148,9,0
148,9,0
148,8,0
148,8,0
148,7,0
148,6,0
148,6,0
149,6,1
149,5,0
149,5,0
149,4,0
149,3,0
149,3,0
149,2,0
149,1,0
150,1,1
150,1,0
154,4,4
154,3,0
154,3,0
154,2,0
154,2,0
155,3,1
155,2,0
155,2,0
156,3,1
157,2,1
159,4,2
160,4,1
160,3,0
160,3,0
160,3,0
160,3,0
160,2,0
160,2,0
160,2,0
161,3,1
161,2,0
161,2,0
163,4,2
163,4,0
163,3,0
164,4,1
164,4,0
164,4,0
164,3,0
164,3,0
164,3,0
165,3,1
165,3,0
165,3,0
165,3,0
165,2,0
165,2,0
165,2,0
166,3,1
166,2,0
166,2,0
166,2,0
167,3,1
167,2,0
168,3,1
168,3,0
169,4,1
169,4,0
169,3,0
170,4,1
170,4,0
171,5,1
171,5,0
171,4,0
171,4,0
173,6,2
174,7,1
174,7,0
175,7,1
175,7,0
175,7,0
177,9,2
177,8,0
177,8,0
180,11,3
180,11,0
180,11,0
183,13,3
183,13,0
184,14,1
184,14,0
184,13,0
184,13,0
184,13,0
184,13,0
184,12,0
184,12,0
184,12,0
184,12,0
184,11,0
184,11,0
185,12,1
185,12,0
185,12,0
185,11,0
185,11,0
185,11,0
185,11,0
185,10,0
185,10,0
185,10,0
185,10,0
185,10,0
185,9,0
186,10,1
186,10,0
186,10,0
186,10,0
186,9,0
186,9,0
186,9,0
186,9,0
186,9,0
186,8,0
186,8,0
186,8,0
186,8,0
187,9,1
187,8,0
187,8,0
187,8,0
187,8,0
187,7,0
187,7,0
187,7,0
187,7,0
187,7,0
187,7,0
196,15,9
196,15,0
196,15,0
196,15,0
196,15,0
196,14,0
197,15,1
197,14,0
198,15,1
198,15,0
198,15,0
198,15,0
198,14,0
199,15,1
199,15,0
199,15,0
199,15,0
199,14,0
199,14,0
199,14,0
199,14,0
206,20,7
207,21,1
207,21,0
207,20,0
207,20,0
207,20,0
208,21,1
208,21,0
208,20,0
208,20,0
208,20,0
208,20,0
208,20,0
208,20,0
209,20,1
209,20,0
209,20,0
209,20,0
209,20,0
210,20,1
211,21,1
211,21,0
211,21,0
211,21,0
211,21,0
211,20,0
211,20,0
211,20,0
211,20,0
212,21,1
214,22,2
214,22,0
214,22,0
214,22,0
214,22,0
215,22,1
215,22,0
215,22,0
215,22,0
215,22,0
217,24,2
217,23,0
217,23,0
217,23,0
217,23,0
217,23,0
217,23,0
217,22,0
217,22,0
217,22,0
217,22,0
218,23,1
218,22,0
218,22,0
218,22,0
218,22,0
218,21,0
218,21,0
218,21,0
218,21,0
219,22,1
