time (ms),latency (ms),consume (ms)
0,11,0
4,10,4
6,11,2
9,13,3
11,14,2
13,15,2
14,16,1
16,17,2
18,19,2
19,19,1
21,21,2
22,21,1
24,23,2
26,24,2
27,25,1
28,25,1
30,27,2
32,28,2
33,29,1
35,30,2
37,32,2
38,32,1
40,34,2
42,35,2
43,36,1
45,37,2
46,37,1
48,39,2
50,41,2
51,41,1
53,42,2
54,43,1
56,44,2
58,46,2
59,46,1
61,48,2
62,48,1
64,50,2
65,50,1
67,51,2
68,52,1
70,53,2
72,54,2
75,57,3
77,58,2
79,60,2
82,62,3
84,64,2
86,65,2
87,65,1
89,67,2
90,67,1
92,69,2
93,69,1
95,71,2
96,71,1
98,73,2
99,72,1
101,74,2
102,74,1
104,76,2
106,77,2
107,78,1
110,80,3
111,81,1
113,82,2
115,84,2
116,84,1
118,86,2
120,87,2
122,89,2
123,89,1
125,90,2
127,92,2
128,92,1
130,94,2
132,95,2
133,96,1
135,97,2
136,98,1
138,99,2
140,100,2
141,101,1
142,101,1
143,102,1
145,103,2
147,105,2
149,106,2
151,108,2
153,109,2
156,112,3
157,112,1
159,114,2
160,114,1
162,115,2
164,117,2
166,118,2
167,119,1
170,121,3
172,122,2
175,125,3
177,126,2
179,128,2
182,130,3
183,131,1
186,133,3
189,136,3
191,137,2
193,139,2
196,141,3
199,143,3
201,145,2
205,148,4
208,151,3
214,156,6
220,162,6
223,164,3
225,166,2
227,167,2
229,169,2
231,170,2
233,171,2
236,174,3
239,176,3
241,178,2
243,179,2
246,182,3
249,184,3
251,185,2
254,188,3
257,190,3
260,193,3
262,194,2
263,195,1
266,197,3
268,199,2
270,200,2
286,216,16
293,222,7
295,224,2
297,225,2
299,227,2
301,228,2
305,232,4
307,234,2
309,235,2
311,237,2
313,238,2
314,239,1
318,242,4
320,244,2
322,245,2
323,246,1
324,246,1
326,248,2
328,250,2
329,250,1
330,251,1
332,253,2
333,254,1
334,254,1
336,256,2
337,257,1
339,259,2
340,259,1
342,261,2
343,262,1
344,263,1
346,264,2
348,266,2
349,266,1
350,267,1
351,268,1
353,270,2
354,270,1
356,272,2
357,273,1
358,274,1
359,274,1
361,276,2
362,277,1
364,279,2
365,279,1
366,280,1
370,284,4
372,285,2
373,286,1
375,288,2
376,288,1
377,289,1
378,290,1
380,292,2
381,292,1
382,293,1
384,295,2
385,296,1
386,296,1
387,297,1
389,299,2
390,299,1
391,300,1
393,302,2
397,306,4
399,308,2
401,309,2
402,310,1
403,311,1
405,313,2
406,313,1
407,314,1
408,315,1
409,315,1
410,316,1
412,318,2
413,319,1
420,326,7
422,327,2
438,343,16
440,345,2
442,347,2
443,347,1
446,350,3
447,351,1
449,352,2
450,353,1
451,354,1
453,355,2
454,356,1
458,359,4
459,360,1
461,362,2
463,363,2
465,365,2
466,365,1
468,367,2
470,369,2
471,369,1
473,371,2
474,371,1
476,373,2
478,375,2
479,375,1
481,377,2
482,378,1
483,378,1
485,380,2
486,381,1
487,381,1
489,383,2
490,384,1
491,384,1
493,386,2
494,386,1
495,387,1
497,389,2
499,390,2
501,392,2
502,393,1
503,393,1
504,394,1
505,395,1
507,396,2
508,397,1
510,399,2
511,400,1
512,400,1
514,402,2
515,403,1
517,405,2
518,406,1
519,406,1
520,407,1
522,409,2
523,410,1
524,410,1
525,411,1
526,412,1
527,413,1
529,414,2
530,415,1
532,417,2
533,418,1
534,418,1
536,420,2
537,421,1
538,422,1
539,423,1
540,423,1
541,424,1
543,426,2
544,427,1
545,428,1
547,429,2
548,430,1
549,431,1
550,432,1
551,432,1
552,433,1
554,435,2
555,436,1
556,437,1
558,438,2
559,439,1
561,441,2
562,442,1
563,442,1
564,443,1
565,444,1
566,445,1
568,447,2
569,447,1
570,448,1
571,449,1
572,450,1
574,451,2
575,452,1
576,453,1
577,454,1
579,455,2
580,456,1
582,458,2
583,458,1
584,459,1
586,461,2
587,462,1
590,465,3
591,465,1
593,467,2
594,468,1
595,469,1
596,470,1
597,470,1
599,472,2
600,472,1
601,473,1
602,473,1
603,474,1
604,475,1
605,476,1
607,477,2
608,478,1
609,479,1
610,479,1
611,480,1
612,481,1
613,481,1
614,482,1
615,483,1
616,483,1
617,484,1
618,485,1
620,487,2
621,487,1
622,488,1
623,488,1
624,489,1
625,490,1
627,492,2
628,492,1
629,493,1
630,494,1
631,495,1
633,497,2
634,497,1
635,498,1
636,499,1
637,500,1
638,501,1
639,501,1
640,502,1
641,503,1
643,505,2
644,505,1
645,506,1
646,507,1
648,508,2
649,509,1
651,511,2
652,512,1
653,512,1
654,513,1
656,515,2
657,516,1
659,517,2
661,519,2
664,521,3
666,523,2
667,524,1
669,526,2
670,527,1
671,527,1
672,528,1
673,529,1
675,531,2
676,532,1
677,532,1
679,534,2
681,536,2
682,537,1
683,538,1
684,539,1
686,540,2
687,541,1
690,544,3
694,548,4
695,549,1
699,552,4
700,553,1
702,555,2
703,556,1
710,563,7
711,563,1
712,564,1
714,566,2
715,567,1
716,568,1
717,569,1
719,570,2
724,575,5
725,576,1
728,579,3
729,580,1
730,581,1
733,583,3
735,585,2
736,586,1
737,587,1
740,590,3
741,590,1
742,591,1
743,592,1
744,593,1
752,601,8
754,603,2
755,603,1
756,604,1
757,605,1
759,607,2
760,608,1
761,609,1
763,610,2
764,611,1
766,613,2
767,614,1
769,616,2
771,618,2
772,618,1
774,620,2
775,621,1
777,623,2
778,624,1
780,626,2
781,626,1
782,627,1
787,632,5
790,635,3
792,637,2
794,639,2
796,629,2
797,629,1
799,631,2
801,633,2
802,634,1
808,640,6
810,642,2
811,642,1
813,644,2
814,645,1
815,646,1
816,647,1
818,649,2
819,649,1
821,651,2
823,653,2
830,660,7
834,664,4
839,668,5
842,671,3
844,673,2
846,675,2
851,680,5
854,683,3
857,685,3
858,686,1
862,690,4
866,694,4
871,699,5
876,704,5
879,706,3
884,711,5
888,715,4
891,718,3
900,727,9
908,735,8
913,739,5
915,741,2
917,743,2
920,746,3
922,748,2
924,749,2
926,751,2
927,752,1
935,760,8
939,764,4
942,766,3
945,769,3
949,772,4
951,774,2
953,775,2
955,777,2
958,780,3
960,782,2
963,784,3
965,786,2
968,789,3
970,791,2
972,793,2
974,794,2
975,795,1
977,797,2
979,799,2
980,800,1
982,802,2
983,802,1
984,803,1
986,805,2
987,806,1
988,807,1
990,809,2
991,809,1
992,810,1
993,811,1
995,813,2
996,814,1
997,815,1
998,815,1
999,816,1
1000,817,1
1001,818,1
1002,818,1
1003,819,1
1004,820,1
1006,822,2
1007,823,1
1009,825,2
1013,828,4
1014,829,1
1016,831,2
1017,832,1
1019,834,2
1020,835,1
1021,835,1
1023,837,2
1024,838,1
1026,840,2
1027,841,1
1029,843,2
1032,845,3
1038,851,6
1041,854,3
1042,855,1
1044,857,2
1050,863,6
1052,864,2
1053,865,1
1054,866,1
1055,867,1
1056,868,1
1057,868,1
1058,869,1
1060,871,2
1061,872,1
1062,873,1
1063,874,1
1064,875,1
1065,875,1
1066,876,1
1067,877,1
1070,879,3
1072,881,2
1073,882,1
1075,884,2
1077,885,2
1082,890,5
1084,892,2
1086,894,2
1088,896,2
1090,898,2
1092,899,2
1094,901,2
1096,903,2
1097,904,1
1098,905,1
1100,907,2
1102,909,2
1103,909,1
1105,911,2
1107,913,2
1109,915,2
1112,918,3
1115,921,3
1118,923,3
1123,928,5
1125,930,2
1127,932,2
1129,934,2
1131,936,2
1133,937,2
1134,938,1
1135,939,1
1137,941,2
1138,942,1
1139,943,1
1141,945,2
1142,945,1
1143,946,1
1144,947,1
1145,948,1
1146,949,1
1147,950,1
1148,950,1
1158,960,10
1160,962,2
1161,963,1
1162,964,1
1163,965,1
1164,966,1
1165,966,1
1166,967,1
1167,968,1
1168,969,1
1169,970,1
1170,971,1
1171,971,1
1172,972,1
1173,973,1
1174,974,1
1176,976,2
1178,977,2
1185,984,7
1188,987,3
1191,990,3
1193,992,2
1196,995,3
1200,998,4
1203,1001,3
1205,1003,2
1210,1008,5
1211,1009,1
1212,1009,1
1214,1011,2
1215,1012,1
1216,1013,1
1218,1015,2
1219,1016,1
1221,1018,2
1222,1018,1
1226,1022,4
1228,1024,2
1230,1026,2
1232,1028,2
1233,1029,1
1235,1030,2
1237,1032,2
1238,1033,1
1239,1034,1
1241,1036,2
1248,1043,7
1250,1045,2
1251,1045,1
1253,1047,2
1254,1048,1
1256,1050,2
1259,1053,3
1263,1057,4
1266,1059,3
1268,1061,2
1270,1063,2
1273,1066,3
1276,1069,3
1287,1080,11
1290,1082,3
1292,1084,2
1296,1088,4
1297,1089,1
1303,1095,6
1305,1097,2
1307,1098,2
1308,1099,1
1310,1101,2
1311,1102,1
1312,1103,1
1315,1106,3
1316,1106,1
1319,1109,3
1320,1110,1
1321,1111,1
1322,1112,1
1324,1114,2
1326,1115,2
1328,1117,2
1329,1118,1
1331,1120,2
1332,1121,1
1335,1124,3
1337,1125,2
1338,1126,1
1340,1128,2
1342,1130,2
1343,1131,1
1351,1139,8
1352,1139,1
1355,1142,3
1357,1144,2
1359,1146,2
1360,1147,1
1362,1149,2
1364,1151,2
1367,1153,3
1370,1156,3
1372,1158,2
1375,1161,3
1379,1165,4
1380,1166,1
1382,1167,2
1384,1169,2
1386,1171,2
1388,1173,2
1392,1177,4
1394,1179,2
1396,1181,2
1397,1181,1
1400,1184,3
1401,1185,1
1405,1189,4
1411,1195,6
1413,1197,2
1416,1200,3
1422,1205,6
1424,1207,2
1426,1209,2
1427,1210,1
1429,1212,2
1437,1220,8
1439,1222,2
1440,1223,1
1442,1224,2
1443,1225,1
1444,1226,1
1446,1228,2
1450,1232,4
1451,1233,1
1453,1234,2
1454,1235,1
1455,1236,1
1457,1238,2
1458,1239,1
1459,1240,1
1460,1241,1
1463,1244,3
1464,1244,1
1466,1246,2
1467,1247,1
1469,1249,2
1470,1250,1
1471,1251,1
1473,1253,2
1482,1248,9
1486,1251,4
1490,1255,4
1491,1256,1
1492,1257,1
1498,1263,6
1500,1265,2
1506,1270,6
1510,1274,4
1515,1279,5
1518,1282,3
1523,1287,5
1524,1288,1
1525,1289,1
1526,1289,1
1527,1290,1
1528,1291,1
1529,1292,1
1530,1293,1
1531,1294,1
1532,1295,1
1533,1295,1
1534,1296,1
1535,1297,1
1536,1298,1
1537,1299,1
1537,1299,0
1538,1299,1
1539,1300,1
1540,1301,1
1541,1302,1
1542,1303,1
1543,1304,1
1543,1303,0
1544,1304,1
1545,1305,1
1546,1306,1
1547,1307,1
1548,1308,1
1549,1308,1
1550,1309,1
1551,1310,1
1552,1311,1
1553,1312,1
1556,1315,3
1557,1316,1
1558,1316,1
1559,1317,1
1560,1318,1
1561,1319,1
1562,1320,1
1562,1320,0
1563,1321,1
1564,1321,1
1565,1322,1
1566,1323,1
1566,1323,0
1567,1324,1
1568,1325,1
1569,1326,1
1570,1326,1
1570,1326,0
1571,1327,1
1572,1328,1
1573,1329,1
1574,1330,1
1575,1331,1
1576,1331,1
1576,1331,0
1577,1332,1
1578,1333,1
1578,1333,0
1579,1334,1
1580,1335,1
1581,1335,1
1582,1336,1
1582,1336,0
1583,1337,1
1584,1338,1
1585,1339,1
1585,1339,0
1586,1339,1
1587,1340,1
1588,1341,1
1588,1341,0
1589,1342,1
1590,1343,1
1591,1344,1
1592,1345,1
1592,1344,0
1593,1345,1
1594,1346,1
1595,1347,1
1595,1347,0
1596,1348,1
1597,1349,1
1598,1349,1
1598,1349,0
1599,1350,1
1600,1351,1
1601,1352,1
1602,1353,1
1602,1353,0
1603,1353,1
1604,1354,1
1604,1354,0
1605,1355,1
1606,1356,1
1607,1357,1
1608,1357,1
1608,1357,0
1609,1358,1
1610,1359,1
1611,1360,1
1611,1360,0
1612,1361,1
1613,1362,1
1614,1362,1
1614,1362,0
1615,1363,1
1616,1364,1
1617,1365,1
1617,1365,0
1618,1366,1
1619,1366,1
1619,1366,0
1620,1367,1
1621,1368,1
1621,1368,0
1622,1369,1
1623,1370,1
1624,1370,1
1624,1370,0
1625,1371,1
1626,1372,1
1626,1372,0
1627,1373,1
1629,1375,2
1630,1375,1
1631,1376,1
1631,1376,0
1632,1377,1
1633,1378,1
1633,1378,0
1634,1379,1
1635,1379,1
1636,1380,1
1636,1380,0
1637,1381,1
1638,1382,1
1638,1382,0
1639,1383,1
1640,1384,1
1641,1384,1
1641,1384,0
1642,1385,1
1643,1386,1
1643,1386,0
1644,1387,1
1645,1388,1
1646,1388,1
1647,1389,1
1647,1389,0
1648,1390,1
1649,1391,1
1650,1392,1
1651,1392,1
1652,1393,1
1653,1394,1
1653,1394,0
1654,1395,1
1655,1396,1
1656,1397,1
1657,1398,1
1658,1398,1
1659,1399,1
1660,1400,1
1661,1401,1
1661,1401,0
1662,1402,1
1663,1403,1
1664,1404,1
1665,1404,1
1666,1405,1
1667,1406,1
1667,1406,0
1668,1407,1
1669,1408,1
1670,1409,1
1671,1410,1
1672,1410,1
1673,1411,1
1674,1412,1
1675,1413,1
1675,1413,0
1677,1415,2
1678,1415,1
1679,1416,1
1680,1417,1
1680,1417,0
1681,1418,1
1682,1419,1
1683,1420,1
1684,1420,1
1685,1421,1
1686,1422,1
1687,1423,1
1687,1423,0
1688,1424,1
1689,1425,1
1690,1426,1
1691,1427,1
1692,1427,1
1693,1428,1
1694,1429,1
1695,1430,1
1695,1430,0
1698,1433,3
1699,1434,1
1700,1435,1
1701,1435,1
1702,1436,1
1703,1437,1
1703,1437,0
1704,1438,1
1705,1439,1
1706,1440,1
1707,1440,1
1708,1441,1
1709,1442,1
1710,1443,1
1711,1444,1
1712,1445,1
1712,1445,0
1713,1446,1
1714,1447,1
1715,1447,1
1716,1448,1
1717,1449,1
1718,1450,1
1719,1451,1
1720,1452,1
1721,1453,1
1722,1453,1
1722,1453,0
1723,1454,1
1724,1455,1
1725,1456,1
1726,1457,1
1727,1458,1
1728,1459,1
1728,1459,0
1729,1459,1
1730,1460,1
1731,1461,1
1731,1461,0
1732,1462,1
1733,1463,1
1734,1464,1
1734,1464,0
1735,1464,1
1736,1465,1
1737,1466,1
1738,1467,1
1738,1467,0
1739,1468,1
1740,1469,1
1740,1468,0
1741,1469,1
1742,1470,1
1743,1471,1
1743,1471,0
1744,1472,1
1745,1473,1
1746,1474,1
1746,1473,0
1747,1474,1
1748,1475,1
1749,1476,1
1749,1476,0
1750,1477,1
1751,1478,1
1752,1479,1
1753,1480,1
1754,1480,1
1754,1480,0
1755,1481,1
1756,1482,1
1757,1483,1
1758,1484,1
1759,1485,1
1760,1485,1
1761,1486,1
1762,1487,1
1763,1488,1
1763,1488,0
1764,1489,1
1765,1490,1
1766,1491,1
1767,1491,1
1768,1492,1
1769,1493,1
1770,1494,1
1771,1495,1
1773,1497,2
1774,1498,1
1775,1499,1
1776,1499,1
1777,1500,1
1777,1500,0
1778,1501,1
1779,1502,1
1780,1503,1
1780,1503,0
1781,1504,1
1782,1504,1
1783,1505,1
1784,1506,1
1784,1506,0
1785,1507,1
1786,1508,1
1787,1509,1
1788,1509,1
1789,1510,1
1790,1511,1
1790,1511,0
1791,1512,1
1792,1513,1
1793,1514,1
1794,1515,1
1795,1515,1
1795,1515,0
1796,1516,1
1797,1517,1
1798,1518,1
1798,1518,0
1799,1519,1
1800,1520,1
1801,1520,1
1802,1521,1
1803,1522,1
1803,1522,0
1804,1523,1
1805,1524,1
1806,1525,1
1807,1526,1
1807,1525,0
1808,1526,1
1809,1527,1
1810,1528,1
1811,1529,1
1811,1529,0
1812,1530,1
1813,1530,1
1814,1531,1
1815,1532,1
1816,1533,1
1816,1533,0
1817,1534,1
1818,1535,1
1819,1536,1
1820,1536,1
1821,1537,1
1822,1538,1
1822,1538,0
1823,1539,1
1824,1540,1
1825,1541,1
1826,1542,1
1827,1542,1
1828,1543,1
1829,1544,1
1830,1545,1
1831,1546,1
1831,1546,0
1832,1547,1
1833,1548,1
1834,1548,1
1835,1549,1
1835,1549,0
1836,1550,1
1837,1551,1
1838,1552,1
1839,1553,1
1840,1553,1
1841,1554,1
1842,1555,1
1846,1559,4
1847,1560,1
1848,1561,1
1849,1562,1
1850,1563,1
1851,1563,1
1852,1564,1
1853,1565,1
1854,1566,1
1855,1567,1
1856,1568,1
1857,1569,1
1858,1569,1
1859,1570,1
1860,1571,1
1861,1572,1
1862,1573,1
1863,1574,1
1864,1575,1
1866,1577,2
1867,1577,1
1868,1578,1
1869,1579,1
1870,1580,1
1871,1581,1
1872,1582,1
1873,1583,1
1874,1583,1
1875,1584,1
1876,1585,1
1877,1586,1
1878,1587,1
1879,1588,1
