time (ms),latency (ms),consume (ms)
0,6,0
11,2,11
21,1,10
32,2,11
42,2,10
52,1,10
62,1,10
72,0,10
83,1,11
93,1,10
103,0,10
114,1,11
124,1,10
134,0,10
145,1,11
155,1,10
165,0,10
177,2,12
187,1,10
198,2,11
209,1,11
220,2,11
230,1,10
241,2,11
251,1,10
262,2,11
272,1,10
283,2,11
294,2,11
304,1,10
315,2,11
326,2,11
336,2,10
347,2,11
357,2,10
369,3,12
378,1,9
389,2,11
401,2,12
411,1,10
422,2,11
432,1,10
443,2,11
453,1,10
464,2,11
474,1,10
486,2,12
497,2,11
507,2,10
518,2,11
528,1,10
539,1,11
550,2,11
561,2,11
572,1,11
583,2,11
593,1,10
604,2,11
614,1,10
625,2,11
635,1,10
646,2,11
657,2,11
667,1,10
678,2,11
689,2,11
699,2,10
710,2,11
720,1,10
731,2,11
741,1,10
752,2,11
762,1,10
773,2,11
783,1,10
794,2,11
804,1,10
815,2,11
825,1,10
837,3,12
847,2,10
857,1,10
868,1,11
879,1,11
891,2,12
901,1,10
912,1,11
923,2,11
933,1,10
944,2,11
954,1,10
965,2,11
975,1,10
986,2,11
996,1,10
1007,2,11
1017,1,10
1028,1,11
1039,2,11
1049,2,10
1059,1,10
1070,2,11
1080,1,10
1091,2,11
1101,1,10
1112,2,11
1122,1,10
1133,2,11
1143,1,10
1154,2,11
1164,1,10
1179,6,15
1185,1,6
1196,2,11
1206,1,10
1217,2,11
1227,1,10
1238,2,11
1248,1,10
1259,2,11
1270,2,11
1280,2,10
1291,2,11
1301,1,10
1312,2,11
1322,1,10
1333,2,11
1343,1,10
1354,2,11
1366,3,12
1375,2,9
1385,1,10
1398,4,13
1406,1,8
1416,1,10
1427,2,11
1437,1,10
1448,2,11
1458,1,10
1469,2,11
1480,2,11
1490,2,10
1500,1,10
1510,1,10
1521,1,11
1532,2,11
1542,1,10
1553,2,11
1563,1,10
1574,2,11
1584,1,10
1595,2,11
1605,1,10
1616,2,11
1626,1,10
1637,2,11
1647,1,10
1658,2,11
1668,1,10
1678,1,10
1689,1,11
1700,2,11
1710,1,10
1720,1,10
1731,1,11
1741,1,10
1753,2,12
1763,1,10
1773,1,10
1784,2,11
1794,1,10
1805,2,11
1815,1,10
1825,1,10
1836,2,11
1846,1,10
1857,2,11
1867,1,10
1878,2,11
1888,1,10
1899,2,11
1909,1,10
1920,1,11
1930,1,10
1941,2,11
1951,1,10
1961,1,10
1972,1,11
1983,2,11
1993,1,10
2004,1,11
2015,2,11
2025,1,10
2036,1,11
2047,2,11
2057,1,10
2068,1,11
2078,1,10
2089,1,11
2100,2,11
2110,1,10
2121,1,11
2132,1,11
2142,1,10
2153,2,11
2163,1,10
2174,2,11
2184,1,10
2194,1,10
2205,1,11
2215,1,10
2226,2,11
2236,1,10
2247,2,11
2257,1,10
2268,2,11
2278,1,10
2300,13,22
2300,3,0
2309,1,9
2320,2,11
2330,1,10
2340,1,10
2351,1,11
2362,2,11
2372,1,10
2382,1,10
2393,1,11
2403,1,10
2414,2,11
2424,1,10
2435,2,11
2445,1,10
2456,2,11
2466,1,10
2476,1,10
2487,1,11
2498,1,11
2509,2,11
2519,1,10
2530,2,11
2540,1,10
2550,1,10
2561,1,11
2571,1,10
2582,2,11
2592,1,10
2602,1,10
2613,1,11
2625,3,12
2635,2,10
2645,2,10
2655,1,10
2666,2,11
2677,2,11
2688,2,11
2699,2,11
2710,2,11
2720,1,10
2731,1,11
2741,1,10
2752,1,11
2763,2,11
2773,1,10
2784,1,11
2794,1,10
2805,1,11
2815,1,10
2826,1,11
2837,2,11
2847,1,10
2858,1,11
2868,1,10
2879,1,11
2890,2,11
2900,1,10
2911,2,11
2921,1,10
2932,2,11
2942,1,10
2952,1,10
2963,2,11
2974,2,11
2985,1,11
2996,1,11
3007,1,11
3018,2,11
3028,1,10
3038,1,10
3049,1,11
3059,1,10
3070,1,11
3081,1,11
3092,1,11
3103,1,11
3114,1,11
3125,1,11
3136,1,11
3148,2,12
3159,1,11
3169,1,10
3180,1,11
3191,1,11
3202,1,11
3214,2,12
3225,1,11
3236,1,11
3247,1,11
3259,2,12
3269,1,10
3279,1,10
3290,1,11
3300,1,10
3311,2,11
3321,1,10
3332,2,11
3342,1,10
3352,1,10
3363,2,11
3373,1,10
3385,2,12
3395,1,10
3406,2,11
3416,1,10
3426,1,10
3437,2,11
3447,1,10
3457,1,10
3468,1,11
3479,1,11
3489,1,10
3500,2,11
3510,1,10
3520,1,10
3531,1,11
3541,1,10
3552,2,11
3562,1,10
3573,2,11
3583,1,10
3593,1,10
3604,2,11
3614,1,10
3624,1,10
3635,2,11
3645,1,10
3655,1,10
3666,1,11
3676,1,10
3687,2,11
3697,1,10
3707,1,10
3718,2,11
3728,1,10
3739,2,11
3749,1,10
3759,1,10
3769,1,10
3780,1,11
3791,2,11
3801,1,10
3811,1,10
3822,2,11
3832,1,10
3842,1,10
3853,2,11
3863,1,10
3873,1,10
3884,2,11
3894,1,10
3905,2,11
3916,2,11
3928,2,12
3938,1,10
3949,2,11
3959,1,10
3970,2,11
3980,1,10
3991,2,11
4001,1,10
4012,1,11
4022,1,10
4033,2,11
4055,2,22
4066,2,11
4076,1,10
4087,2,11
4097,1,10
4107,1,10
4117,1,10
4128,1,11
4138,1,10
4149,1,11
4159,1,10
4169,1,10
4180,1,11
4191,2,11
4201,1,10
4211,1,10
4222,1,11
4232,1,10
4243,1,11
4254,2,11
4264,1,10
4274,1,10
4285,2,11
4295,1,10
4305,1,10
4316,2,11
4326,1,10
4336,1,10
4347,2,11
4357,1,10
4368,2,11
4377,1,9
4388,1,11
4398,1,10
4409,1,11
4419,1,10
4429,1,10
4440,1,11
4450,1,10
4461,2,11
4471,1,10
4481,1,10
4492,2,11
4502,1,10
4512,1,10
4523,1,11
4533,1,10
4544,2,11
4554,1,10
4564,1,10
4575,2,11
4585,1,10
4595,1,10
4606,1,11
4616,1,10
4627,2,11
4637,1,10
4648,2,11
4658,1,10
4668,1,10
4679,1,11
4689,1,10
4700,2,11
4710,1,10
4721,2,11
4731,1,10
4742,2,11
4752,1,10
4762,1,10
4773,1,11
4783,1,10
4793,1,10
4804,1,11
4814,1,10
4824,1,10
4835,1,11
4845,1,10
4855,1,10
4866,1,11
