time (ms),latency (ms),consume (ms)
0,27,0
3,19,3
5,19,2
5,14,0
7,9,2
7,6,0
8,5,1
8,2,0
14,5,6
17,5,3
19,4,2
20,2,1
22,2,2
27,4,5
32,1,5
37,2,5
39,1,2
43,2,4
49,4,6
53,2,4
56,2,3
59,2,3
62,1,3
65,2,3
68,2,3
71,2,3
78,4,7
82,2,4
84,1,2
90,2,6
93,2,3
98,4,5
102,3,4
106,2,4
110,2,4
113,2,3
117,2,4
122,4,5
126,2,4
132,3,6
137,4,5
142,3,5
145,1,3
148,2,3
150,1,2
154,2,4
158,2,4
163,4,5
166,2,3
172,4,6
174,2,2
178,2,4
182,3,4
186,3,4
190,3,4
194,2,4
198,2,4
202,2,4
206,2,4
211,3,5
215,2,4
221,2,6
225,2,4
228,2,3
231,2,3
234,2,3
237,2,3
240,2,3
243,1,3
247,2,4
251,3,4
255,3,4
258,2,3
261,2,3
264,1,3
267,2,3
270,2,3
272,1,2
275,1,3
279,3,4
282,1,3
285,1,3
288,2,3
291,2,3
294,2,3
297,2,3
301,2,4
304,2,3
307,1,3
310,1,3
313,1,3
316,2,3
319,2,3
326,2,7
328,1,2
331,1,3
335,2,4
338,2,3
341,2,3
344,2,3
347,2,3
350,2,3
352,1,2
355,1,3
358,1,3
361,2,3
365,3,4
368,2,3
372,2,4
376,2,4
379,2,3
386,5,7
389,2,3
392,2,3
395,1,3
398,1,3
401,1,3
404,1,3
407,1,3
412,2,5
415,1,3
419,2,4
422,2,3
424,1,2
427,1,3
430,1,3
433,1,3
436,2,3
439,2,3
442,2,3
444,1,2
447,1,3
450,2,3
452,1,2
455,1,3
458,2,3
461,2,3
463,1,2
466,1,3
469,2,3
471,1,2
474,1,3
476,1,2
481,3,5
484,2,3
487,2,3
491,3,4
493,1,2
496,1,3
499,1,3
502,1,3
505,2,3
507,1,2
510,1,3
513,1,3
516,2,3
519,2,3
522,2,3
524,1,2
528,2,4
531,1,3
533,1,2
536,1,3
539,2,3
541,1,2
545,2,4
547,1,2
550,1,3
555,3,5
558,1,3
561,2,3
563,1,2
566,1,3
569,2,3
571,1,2
574,1,3
576,1,2
579,1,3
582,1,3
584,1,2
587,1,3
591,2,4
594,1,3
597,2,3
599,1,2
602,1,3
610,5,8
614,2,4
619,2,5
625,2,6
627,1,2
630,1,3
632,1,2
635,2,3
637,1,2
640,1,3
642,1,2
646,2,4
648,1,2
652,2,4
655,2,3
658,2,3
661,1,3
664,2,3
667,2,3
670,1,3
673,1,3
676,1,3
679,2,3
682,2,3
684,1,2
687,1,3
690,1,3
693,2,3
696,2,3
698,1,2
701,2,3
741,39,40
741,33,0
741,30,0
741,28,0
741,26,0
745,27,4
748,24,3
748,21,0
748,19,0
748,16,0
748,14,0
748,11,0
748,9,0
748,5,0
748,3,0
750,1,2
753,2,3
756,2,3
759,2,3
767,7,8
769,2,2
774,4,5
774,1,0
777,1,3
780,2,3
784,3,4
789,4,5
789,1,0
792,1,3
795,2,3
798,2,3
800,1,2
803,1,3
806,2,3
808,1,2
811,1,3
813,1,2
816,2,3
819,1,3
821,1,2
824,1,3
827,2,3
829,1,2
832,2,3
834,1,2
837,1,3
839,1,2
841,1,2
844,1,3
846,1,2
849,1,3
853,1,4
856,2,3
858,1,2
861,1,3
863,1,2
866,1,3
868,1,2
871,1,3
873,1,2
876,2,3
879,2,3
881,1,2
883,1,2
886,1,3
888,1,2
891,1,3
893,1,2
896,1,3
898,1,2
901,1,3
903,1,2
905,1,2
908,1,3
910,1,2
912,1,2
915,1,3
917,1,2
920,1,3
922,1,2
925,2,3
927,1,2
930,1,3
935,4,5
937,1,2
940,1,3
942,1,2
945,1,3
948,1,3
951,1,3
954,2,3
956,1,2
