time (ms),latency (ms),consume (ms)
0,10,0
10,2,10
22,2,12
34,2,12
46,2,12
58,1,12
70,1,12
82,1,12
96,4,14
107,1,11
120,2,13
131,1,11
143,1,12
157,3,14
172,1,15
184,2,12
195,1,11
208,1,13
222,4,14
234,1,12
247,1,13
259,2,12
271,2,12
282,1,11
294,1,12
306,1,12
318,1,12
331,2,13
343,1,12
357,2,14
369,2,12
386,2,17
398,1,12
410,1,12
422,2,12
433,1,11
445,1,12
458,2,13
470,2,12
482,1,12
495,2,13
507,2,12
520,2,13
532,2,12
544,1,12
557,2,13
570,2,13
583,3,13
597,2,14
609,2,12
622,2,13
639,1,17
651,2,12
663,2,12
676,3,13
687,1,11
699,1,12
711,1,12
723,1,12
735,1,12
747,1,12
759,2,12
771,2,12
783,1,12
796,2,13
809,1,13
822,1,13
833,1,11
845,1,12
857,1,12
869,1,12
882,2,13
894,1,12
906,1,12
917,1,11
929,1,12
941,2,12
953,1,12
965,2,12
978,3,13
990,1,12
1004,2,14
1017,2,13
1033,5,16
1044,1,11
1057,1,13
1068,1,11
1080,1,12
1097,2,17
1109,2,12
1121,2,12
1132,1,11
1145,2,13
1156,1,11
1169,2,13
1183,3,14
1196,2,13
1207,1,11
1219,1,12
1231,1,12
1242,1,11
1254,1,12
1265,1,11
1277,1,12
1289,1,12
1301,1,12
1313,1,12
1324,1,11
1336,1,12
1349,2,13
1362,2,13
1375,3,13
1390,1,15
1401,1,11
1413,1,12
1425,1,12
1438,1,13
1449,1,11
1463,3,14
1475,1,12
1487,1,12
1499,1,12
1511,1,12
1523,2,12
1536,2,13
1549,1,13
1563,1,14
1575,2,12
1586,1,11
1598,2,12
1609,1,11
1621,1,12
1632,1,11
1644,1,12
1655,1,11
1667,2,12
1680,1,13
1692,1,12
1705,1,13
1718,1,13
1732,3,14
1744,1,12
1755,1,11
1768,2,13
1780,1,12
1791,1,11
1803,2,12
1815,1,12
1826,1,11
1838,1,12
1850,2,12
1863,2,13
1874,1,11
1886,2,12
1897,1,11
1909,2,12
1921,1,12
1933,1,12
1948,1,15
1960,1,12
1972,1,12
1984,2,12
1995,1,11
2007,2,12
2018,1,11
2030,1,12
2041,1,11
2053,1,12
2065,2,12
2078,2,13
2089,1,11
2101,1,12
2112,1,11
2124,1,12
2136,2,12
2148,1,12
2159,1,11
2171,2,12
2182,1,11
2193,1,11
2204,1,11
2217,2,13
2228,1,11
2239,1,11
2251,1,12
2262,1,11
2275,2,13
2288,2,13
2300,1,12
2312,1,12
2325,3,13
2344,1,19
2356,1,12
2368,2,12
2379,1,11
2391,2,12
2402,1,11
2414,1,12
2425,1,11
2436,1,11
2448,1,12
2459,1,11
2477,1,18
2488,0,11
2500,1,12
2511,1,11
2522,1,11
2534,1,12
2545,1,11
2556,0,11
2567,1,11
2579,1,12
2590,1,11
2602,1,12
2613,1,11
2624,1,11
2636,1,12
2654,8,18
2664,1,10
2675,1,11
2687,1,12
2698,1,11
2712,4,14
2723,1,11
2734,1,11
2746,1,12
2757,1,11
2768,1,11
2779,1,11
2790,1,11
2801,1,11
2812,1,11
2823,1,11
2835,1,12
2846,1,11
2859,3,13
2871,2,12
2883,2,12
2894,1,11
2905,1,11
2916,0,11
2928,1,12
2941,3,13
2954,3,13
2966,1,12
2978,2,12
2989,1,11
3000,1,11
3013,0,13
3028,2,15
3041,3,13
3053,1,12
3066,2,13
3078,1,12
3091,2,13
3103,1,12
3115,1,12
3127,1,12
3138,1,11
3150,1,12
3162,2,12
3174,2,12
3186,2,12
3197,1,11
3209,1,12
3220,1,11
3232,1,12
3243,1,11
3254,0,11
3266,1,12
3277,1,11
3289,1,12
3300,1,11
3312,1,12
3324,1,12
3335,1,11
3347,1,12
3358,1,11
3370,1,12
3381,1,11
3392,1,11
3404,1,12
3415,1,11
3427,1,12
3438,1,11
3450,1,12
3461,1,11
3472,1,11
3484,1,12
3495,1,11
3507,1,12
3518,1,11
3529,1,11
3541,1,12
3552,0,11
3563,0,11
3577,3,14
3590,1,13
3601,1,11
3613,1,12
3625,2,12
3638,2,13
3649,1,11
3661,2,12
3672,1,11
3684,1,12
3696,2,12
3707,1,11
3719,1,12
3730,1,11
3742,1,12
3754,2,12
3766,2,12
3778,2,12
3790,2,12
3802,2,12
3813,1,11
3825,1,12
3837,2,12
3854,1,17
3867,2,13
3879,2,12
3891,2,12
3903,2,12
3917,4,14
3929,2,12
3941,2,12
3953,2,12
3969,6,16
3982,2,13
3994,1,12
4006,1,12
4018,1,12
4030,1,12
4041,1,11
4052,1,11
4063,1,11
4074,1,11
4086,1,12
4097,1,11
4108,1,11
4120,1,12
4131,1,11
4142,1,11
4153,1,11
4164,1,11
4176,1,12
4188,1,12
4200,1,12
4212,1,12
4223,1,11
4235,1,12
4247,1,12
4259,2,12
4270,1,11
4281,1,11
4293,1,12
4304,1,11
4316,1,12
4332,5,16
4343,1,11
4354,1,11
4365,1,11
4376,1,11
4388,1,12
4399,1,11
4411,1,12
4422,1,11
4434,1,12
4445,1,11
4458,2,13
4470,2,12
4481,1,11
4493,1,12
4505,2,12
4516,1,11
4529,2,13
4544,3,15
4561,6,17
4577,6,16
4589,2,12
4601,2,12
4613,2,12
4661,10,48
4677,2,16
4691,2,14
4703,1,12
4715,2,12
4727,2,12
4739,2,12
4751,2,12
4763,2,12
4775,2,12
4787,1,12
4798,1,11
4810,1,12
4821,1,11
4832,1,11
4844,1,12
4855,1,11
4867,1,12
4879,2,12
4890,1,11
4901,1,11
4913,1,12
4924,1,11
4935,1,11
4947,1,12
4970,9,23
4972,1,2
4983,1,11
4993,1,10
5005,3,12
5014,1,9
5025,2,11
5035,1,10
5046,1,11
5056,1,10
5067,1,11
5080,1,13
5091,1,11
5103,1,12
5115,2,12
5128,2,13
5139,1,11
5151,1,12
5162,1,11
5173,1,11
5185,1,12
5196,1,11
5207,1,11
5218,1,11
5230,1,12
5241,1,11
5253,1,12
5264,1,11
5275,1,11
5286,1,11
5298,1,12
5309,1,11
5321,2,12
5332,1,11
5343,1,11
5355,1,12
5366,1,11
5378,2,12
5389,1,11
5400,1,11
5412,1,12
5423,1,11
5434,1,11
5446,1,12
5457,1,11
5470,2,13
5482,2,12
5494,2,12
5506,2,12
5519,2,13
5531,1,12
5542,1,11
5554,1,12
5565,1,11
5577,2,12
5588,1,11
5599,1,11
5610,1,11
5620,1,10
5631,1,11
5641,1,10
5651,1,10
5661,0,10
