time (ms),latency (ms),consume (ms)
0,10,0
8,3,8
14,3,6
21,2,7
28,2,7
37,3,9
49,3,12
56,1,7
65,4,9
72,2,7
80,2,8
86,1,6
94,2,8
105,6,11
112,1,7
120,2,8
127,2,7
137,3,10
147,5,10
155,2,8
164,2,9
171,2,7
178,1,7
186,2,8
199,1,13
206,1,7
214,2,8
221,2,7
229,2,8
238,2,9
245,1,7
252,1,7
261,3,9
269,2,8
277,2,8
291,6,14
293,2,2
299,2,6
305,2,6
313,2,8
321,2,8
329,2,8
336,2,7
343,2,7
350,2,7
358,3,8
365,2,7
373,3,8
380,2,7
388,3,8
394,1,6
401,1,7
409,2,8
417,2,8
426,3,9
433,1,7
441,2,8
447,1,6
454,1,7
461,2,7
467,1,6
475,1,8
482,2,7
489,1,7
496,1,7
504,1,8
512,2,8
518,1,6
525,1,7
531,1,6
538,1,7
546,2,8
552,1,6
559,1,7
566,1,7
573,1,7
580,2,7
587,2,7
593,1,6
601,3,8
608,1,7
616,2,8
624,2,8
635,5,11
641,1,6
649,1,8
655,1,6
663,1,8
670,2,7
676,1,6
682,1,6
689,1,7
699,1,10
707,2,8
714,2,7
722,2,8
730,1,8
738,1,8
745,1,7
752,2,7
758,1,6
765,1,7
771,1,6
778,1,7
785,1,7
791,1,6
798,2,7
804,1,6
811,1,7
817,1,6
824,2,7
833,4,9
840,1,7
846,1,6
855,1,9
862,1,7
870,1,8
877,2,7
883,1,6
891,2,8
898,1,7
904,1,6
910,1,6
917,1,7
923,1,6
932,4,9
939,3,7
945,1,6
951,1,6
958,1,7
964,1,6
971,1,7
977,1,6
983,1,6
989,0,6
996,1,7
1002,1,6
1008,1,6
1014,1,6
1021,1,7
1028,1,7
1034,1,6
1040,1,6
1048,2,8
1054,1,6
1061,1,7
1068,2,7
1075,2,7
1081,1,6
1088,1,7
1095,2,7
1102,1,7
1109,1,7
1115,1,6
1122,1,7
1128,1,6
1136,1,8
1142,1,6
1152,1,10
1159,1,7
1165,1,6
1171,1,6
1178,1,7
1185,1,7
1191,1,6
1198,1,7
1205,2,7
1211,1,6
1221,5,10
1228,2,7
1234,1,6
1241,1,7
1247,1,6
1254,1,7
1260,1,6
1267,1,7
1273,1,6
1279,1,6
1286,1,7
1292,1,6
1299,1,7
1306,2,7
1312,1,6
1319,1,7
1325,1,6
1332,1,7
1340,2,8
1348,1,8
1356,1,8
1363,1,7
1371,3,8
1384,1,13
1391,1,7
1398,1,7
1405,1,7
1411,1,6
1418,1,7
1424,1,6
1431,1,7
1437,1,6
1444,1,7
1450,1,6
1457,1,7
1463,1,6
1470,1,7
1476,1,6
1483,1,7
1489,1,6
1496,1,7
1502,1,6
1508,0,6
1515,1,7
1522,2,7
1528,1,6
1535,1,7
1541,1,6
1548,1,7
1564,11,16
1567,1,3
1573,1,6
1580,1,7
1586,1,6
1595,4,9
1602,1,7
1608,1,6
1614,1,6
1621,2,7
1627,1,6
1633,1,6
1639,1,6
1645,1,6
1651,1,6
1658,1,7
1664,1,6
1671,1,7
1679,3,8
1686,2,7
1693,2,7
1700,2,7
1707,2,7
1713,1,6
1721,2,8
1730,3,9
1738,3,8
1745,1,7
1753,2,8
1761,1,8
1768,2,7
1778,2,10
1785,2,7
1793,3,8
1801,3,8
1809,3,8
1816,2,7
1824,3,8
1831,2,7
1837,1,6
1844,2,7
1850,1,6
1856,1,6
1863,1,7
1869,1,6
1875,1,6
1881,1,6
1887,1,6
1893,0,6
1900,1,7
1906,1,6
1915,0,9
1922,1,7
1928,1,6
1934,1,6
1941,1,7
1948,2,7
1954,1,6
1960,1,6
1967,1,7
1973,1,6
1979,1,6
1986,1,7
1992,1,6
1998,1,6
2004,1,6
2011,1,7
2017,1,6
2024,1,7
2030,1,6
2036,1,6
2043,1,7
2049,1,6
2055,1,6
2061,1,6
2067,1,6
2074,1,7
2081,2,7
2087,1,6
2097,4,10
2104,1,7
2111,1,7
2117,1,6
2125,3,8
2133,1,8
2139,1,6
2145,1,6
2152,1,7
2158,1,6
2164,1,6
2171,1,7
2178,2,7
2184,1,6
2190,1,6
2196,1,6
2203,1,7
2209,1,6
2215,1,6
2222,1,7
2228,1,6
2234,1,6
2241,1,7
2252,1,11
2259,2,7
2265,1,6
2272,2,7
2278,1,6
2289,5,11
2295,1,6
2309,4,14
2312,2,3
2321,5,9
2327,1,6
2333,1,6
2340,1,7
2346,1,6
2353,2,7
2360,1,7
2367,1,7
2373,1,6
2380,1,7
2387,1,7
2393,1,6
2400,1,7
2406,1,6
2413,1,7
2419,1,6
2426,1,7
2432,1,6
2439,1,7
2445,1,6
2452,1,7
2458,1,6
2465,2,7
2471,1,6
2478,1,7
2484,1,6
2490,1,6
2497,1,7
2503,1,6
2509,1,6
2515,1,6
2522,1,7
2528,1,6
2535,2,7
2541,1,6
2547,1,6
2554,1,7
2560,1,6
2567,1,7
2573,1,6
2579,1,6
2586,1,7
2593,2,7
2600,1,7
2606,1,6
2612,1,6
2619,1,7
2625,1,6
2633,2,8
2642,3,9
2654,6,12
2661,2,7
2667,1,6
2676,1,9
2683,1,7
2713,4,30
2721,2,8
2727,1,6
2739,1,12
2745,1,6
2751,1,6
2757,1,6
2763,1,6
2769,1,6
2775,0,6
2782,1,7
2788,1,6
2794,1,6
2800,1,6
2806,1,6
2812,1,6
2818,1,6
2824,1,6
2831,1,7
2837,1,6
2843,1,6
2849,1,6
2855,1,6
2861,1,6
2867,0,6
2874,1,7
2880,1,6
2886,1,6
2893,1,7
2899,1,6
2905,1,6
2911,1,6
2918,1,7
2924,1,6
2930,1,6
2936,1,6
2943,1,7
2949,1,6
2955,1,6
2961,1,6
2969,1,8
2975,1,6
2982,1,7
2988,1,6
2994,1,6
3001,1,7
3007,1,6
3013,1,6
3020,1,7
3026,1,6
3033,1,7
3039,1,6
3045,1,6
3052,1,7
3058,1,6
3064,1,6
3071,1,7
3077,1,6
3083,1,6
3090,1,7
3096,1,6
3102,1,6
3109,2,7
3115,1,6
3121,1,6
3128,1,7
3134,1,6
3140,1,6
3146,1,6
3152,1,6
3158,0,6
3165,1,7
3171,1,6
3177,1,6
3183,1,6
3190,1,7
3196,1,6
3202,1,6
3209,2,7
3215,1,6
3221,1,6
3228,1,7
3234,1,6
3240,0,6
3247,1,7
3253,1,6
3260,1,7
3266,1,6
3272,1,6
3279,1,7
3286,1,7
3293,2,7
3299,1,6
3305,1,6
3311,1,6
3317,1,6
3323,1,6
3330,1,7
3336,1,6
3343,2,7
3349,1,6
3357,3,8
3366,1,9
3372,1,6
3378,1,6
3384,1,6
3391,1,7
3397,1,6
3403,1,6
3409,0,6
3415,0,6
3422,1,7
3428,1,6
3434,1,6
3440,1,6
3447,1,7
3453,1,6
3460,1,7
3466,1,6
3472,1,6
3478,1,6
3486,2,8
3495,3,9
3502,1,7
3509,2,7
3519,1,10
3525,1,6
3532,2,7
3541,4,9
3548,2,7
3554,1,6
3561,1,7
3567,1,6
3574,1,7
3580,1,6
3586,1,6
3593,1,7
3599,1,6
3605,1,6
3612,1,7
3618,1,6
3627,4,9
3633,1,6
3641,1,8
3647,1,6
3654,1,7
3660,1,6
3666,1,6
3672,1,6
3679,1,7
3685,1,6
3691,1,6
3697,1,6
3703,1,6
3709,1,6
3715,1,6
3721,1,6
3727,0,6
3733,0,6
3741,2,8
3751,1,10
3757,1,6
3763,1,6
3769,1,6
3775,1,6
3781,1,6
3787,1,6
3793,1,6
3800,1,7
3806,1,6
3812,1,6
3818,0,6
3825,1,7
3831,1,6
3845,9,14
3851,1,6
3858,1,7
3865,1,7
3872,2,7
3879,2,7
3885,1,6
3891,1,6
3898,1,7
3904,1,6
3911,1,7
3918,1,7
3925,2,7
3932,2,7
3939,2,7
3946,1,7
3953,1,7
3960,1,7
3967,1,7
3974,2,7
3981,2,7
3987,1,6
3994,1,7
4000,1,6
4007,2,7
4013,1,6
4019,1,6
4026,1,7
4032,1,6
4039,1,7
4045,1,6
4051,1,6
4057,1,6
4064,1,7
4070,1,6
4077,1,7
4083,1,6
4089,1,6
4096,1,7
4102,1,6
4115,2,13
4121,1,6
4128,1,7
4134,1,6
4140,1,6
4146,1,6
4153,1,7
4159,1,6
4165,1,6
4171,1,6
4178,1,7
4184,1,6
4190,1,6
4196,1,6
4202,1,6
4209,1,7
4215,1,6
4221,1,6
4227,1,6
4234,1,7
4240,1,6
4246,1,6
4252,1,6
4259,1,7
4269,5,10
4275,1,6
4282,2,7
4288,1,6
4294,1,6
4300,1,6
4306,0,6
4313,1,7
4319,1,6
4329,1,10
4335,1,6
4341,0,6
4348,1,7
4355,1,7
4362,2,7
4369,1,7
4375,1,6
4382,1,7
4395,1,13
4402,1,7
4408,1,6
4414,1,6
4421,1,7
4427,1,6
4433,1,6
4440,1,7
4447,1,7
4454,1,7
4462,2,8
4469,2,7
4476,2,7
4483,1,7
4491,2,8
4498,1,7
4504,1,6
4511,1,7
4522,6,11
4528,1,6
4534,1,6
4541,1,7
4547,1,6
4553,1,6
4560,1,7
4566,1,6
4578,7,12
4584,1,6
4593,1,9
4599,1,6
4606,2,7
4612,1,6
4618,1,6
4624,1,6
4631,1,7
4638,2,7
4644,1,6
4650,1,6
4657,2,7
4663,1,6
4669,1,6
4676,1,7
4683,1,7
4689,1,6
4695,1,6
4702,1,7
4708,1,6
4714,1,6
4720,1,6
4726,0,6
4733,1,7
4739,1,6
4745,1,6
4751,1,6
4758,2,7
4764,0,6
4771,1,7
4777,1,6
4783,1,6
4789,1,6
4795,1,6
4802,1,7
4814,7,12
4820,1,6
4830,2,10
4837,1,7
4843,1,6
4849,1,6
4856,1,7
4862,1,6
4868,1,6
4874,1,6
4880,1,6
4886,1,6
4893,1,7
4899,1,6
4905,1,6
4911,1,6
4917,1,6
4924,1,7
4930,1,6
4936,1,6
4942,1,6
4948,0,6
4954,0,6
4960,0,6
4967,1,7
4973,1,6
4979,1,6
4985,1,6
4991,1,6
4997,0,6
5004,1,7
5010,1,6
5016,1,6
5022,1,6
5028,1,6
5034,1,6
5040,0,6
5047,1,7
5053,1,6
5059,1,6
5065,1,6
5071,1,6
5077,0,6
5084,1,7
5090,1,6
5096,1,6
5102,1,6
5108,0,6
5115,1,7
5121,1,6
5127,1,6
5133,1,6
5140,1,7
5146,1,6
5152,1,6
5158,1,6
5165,1,7
5171,1,6
5177,1,6
5183,1,6
5189,0,6
5196,1,7
5202,1,6
5208,1,6
5215,1,7
5221,1,6
5228,1,7
5234,1,6
5240,1,6
5246,0,6
5253,1,7
5259,1,6
5265,1,6
5272,1,7
5278,1,6
5284,1,6
5291,1,7
5297,1,6
5303,1,6
5310,1,7
5316,1,6
5322,1,6
5328,1,6
5335,1,7
5341,1,6
5347,1,6
5353,1,6
5360,1,7
5366,1,6
5372,1,6
5378,1,6
5385,1,7
5391,1,6
5397,1,6
5404,1,7
5410,1,6
5416,1,6
5425,1,9
5432,1,7
5438,1,6
5444,1,6
5450,1,6
5457,1,7
5463,1,6
5469,1,6
5479,1,10
5485,1,6
5491,1,6
5498,1,7
5504,1,6
5510,1,6
5517,1,7
5523,1,6
5529,1,6
5536,1,7
5542,1,6
5548,1,6
5554,1,6
5560,1,6
5565,0,5
5571,0,6
5577,1,6
5583,0,6
5590,1,7
5596,1,6
5603,1,7
5609,1,6
5615,0,6
5623,2,8
5630,1,7
5637,1,7
5644,1,7
5650,1,6
5657,1,7
5664,1,7
5671,1,7
5678,2,7
5684,1,6
5691,1,7
5697,1,6
5703,1,6
5710,1,7
5716,1,6
5722,1,6
5734,2,12
5742,2,8
5750,3,8
5757,1,7
5763,1,6
5770,1,7
5776,1,6
5782,1,6
5788,1,6
5795,1,7
5801,1,6
5807,1,6
5814,1,7
5820,1,6
5826,1,6
5832,1,6
5839,1,7
5845,1,6
5851,1,6
5858,2,7
5864,1,6
5870,1,6
5877,1,7
5883,1,6
5890,1,7
5897,2,7
5903,1,6
5909,1,6
5916,1,7
5922,1,6
5928,1,6
5934,0,6
5940,0,6
5947,1,7
5953,1,6
5959,1,6
5965,1,6
5971,1,6
5978,1,7
5984,1,6
5991,1,7
5997,1,6
6003,1,6
6009,1,6
6017,1,8
6023,1,6
6029,1,6
6035,1,6
6041,1,6
6048,1,7
6054,1,6
6060,1,6
6066,1,6
6073,1,7
6080,2,7
6086,1,6
6094,1,8
6103,1,9
6109,1,6
6115,1,6
