time (ms),latency (ms),consume (ms)
0,11,0
9,16,9
12,11,3
16,12,4
18,13,2
24,18,6
26,11,2
30,15,4
32,15,2
44,26,12
46,19,2
50,12,4
54,15,4
59,20,5
64,14,5
65,11,1
68,13,3
77,21,9
80,18,3
81,14,1
83,16,2
89,18,6
91,7,2
93,9,2
96,11,3
101,16,5
103,9,2
105,9,2
108,11,3
114,17,6
116,9,2
118,11,2
120,11,2
125,14,5
127,8,2
130,9,3
133,12,3
138,16,5
142,13,4
145,15,3
146,15,1
157,23,11
159,19,2
160,19,1
161,18,1
176,33,15
178,29,2
206,35,28
209,37,3
211,38,2
213,32,2
215,34,2
217,34,2
220,37,3
221,34,1
226,37,5
228,39,2
234,44,6
236,43,2
254,60,18
261,66,7
263,67,2
267,65,4
270,66,3
273,65,3
274,55,1
280,56,6
282,56,2
289,60,7
291,62,2
293,60,2
295,60,2
301,65,6
303,66,2
305,65,2
307,66,2
311,68,4
314,71,3
319,71,5
321,70,2
324,73,3
325,70,1
327,69,2
330,71,3
331,69,1
333,70,2
335,66,2
337,66,2
340,68,3
341,66,1
348,71,7
352,71,4
357,75,5
358,75,1
362,74,4
365,75,3
366,68,1
368,70,2
373,71,5
376,72,3
377,72,1
380,72,3
381,68,1
383,70,2
386,70,3
387,71,1
390,71,3
391,68,1
395,72,4
397,54,2
400,54,3
402,55,2
403,56,1
408,61,5
413,60,5
416,63,3
417,63,1
419,63,2
423,62,4
425,62,2
427,63,2
430,63,3
469,99,39
482,99,13
485,100,3
490,97,5
493,95,3
519,121,26
521,120,2
523,122,2
524,115,1
539,124,15
549,120,10
553,124,4
556,123,3
558,124,2
559,124,1
562,127,3
565,123,3
569,126,4
572,129,3
575,131,3
577,131,2
579,132,2
583,135,4
586,138,3
587,135,1
592,138,5
594,140,2
597,141,3
600,141,3
603,143,3
606,145,3
607,145,1
610,145,3
611,143,1
612,144,1
613,143,1
614,141,1
616,142,2
617,142,1
619,142,2
620,140,1
621,139,1
622,139,1
624,140,2
625,136,1
625,135,0
626,135,1
627,136,1
629,132,2
630,132,1
631,132,1
632,133,1
633,130,1
634,129,1
636,131,2
640,133,4
642,132,2
643,132,1
645,132,2
646,133,1
647,129,1
649,130,2
650,128,1
651,129,1
652,125,1
653,125,1
655,126,2
656,126,1
657,122,1
657,121,0
660,123,3
661,120,1
662,118,1
663,117,1
665,118,2
681,131,16
682,127,1
684,129,2
685,128,1
687,129,2
688,123,1
690,125,2
691,124,1
692,125,1
693,119,1
693,119,0
695,119,2
696,119,1
696,114,0
697,114,1
698,113,1
699,113,1
700,108,1
700,108,0
701,105,1
702,106,1
703,101,1
704,101,1
706,101,2
706,101,0
707,98,1
709,100,2
710,100,1
711,100,1
712,99,1
713,99,1
715,100,2
716,101,1
717,101,1
719,102,2
720,102,1
721,103,1
722,102,1
722,101,0
725,103,3
726,103,1
727,103,1
728,103,1
729,103,1
729,103,0
731,102,2
732,103,1
733,103,1
734,103,1
735,102,1
737,104,2
738,104,1
739,105,1
740,104,1
741,105,1
742,105,1
748,110,6
791,152,43
812,173,21
834,194,22
852,209,18
858,213,6
863,218,5
866,219,3
869,221,3
872,222,3
873,223,1
876,224,3
876,223,0
877,223,1
878,223,1
879,224,1
879,224,0
880,221,1
881,222,1
881,222,0
882,223,1
883,219,1
899,235,16
901,237,2
902,235,1
903,235,1
904,236,1
905,236,1
906,237,1
907,236,1
908,237,1
909,238,1
909,237,0
911,237,2
913,239,2
914,240,1
915,240,1
916,240,1
918,241,2
918,241,0
919,242,1
920,241,1
922,242,2
923,243,1
924,244,1
924,242,0
926,243,2
927,244,1
929,246,2
930,244,1
931,244,1
931,244,0
933,245,2
933,243,0
937,247,4
938,247,1
940,249,2
941,247,1
942,248,1
944,250,2
945,251,1
946,249,1
948,251,2
949,251,1
949,251,0
