time (ms),latency (ms),consume (ms)
0,23,0
9,21,9
15,24,6
21,27,6
23,27,2
24,27,1
25,27,1
26,27,1
27,23,1
27,21,0
29,22,2
30,22,1
31,20,1
37,25,6
38,26,1
39,26,1
41,27,2
42,26,1
44,27,2
45,26,1
48,29,3
49,29,1
51,4,2
53,3,2
54,2,1
56,1,2
57,1,1
61,2,4
63,2,2
64,1,1
66,1,2
68,2,2
71,1,3
73,1,2
74,1,1
77,2,3
80,2,3
82,2,2
84,2,2
86,1,2
89,2,3
92,1,3
93,1,1
95,1,2
97,2,2
102,3,5
104,1,2
109,5,5
110,1,1
112,1,2
114,0,2
118,1,4
119,1,1
121,1,2
122,1,1
124,1,2
127,3,3
130,1,3
133,2,3
134,1,1
137,1,3
142,1,5
144,1,2
146,1,2
148,1,2
149,1,1
151,0,2
153,1,2
155,1,2
156,1,1
158,1,2
160,1,2
162,1,2
170,1,8
172,1,2
173,1,1
175,1,2
177,1,2
179,1,2
180,1,1
184,1,4
186,2,2
188,1,2
190,1,2
193,2,3
194,1,1
198,1,4
200,1,2
202,1,2
203,1,1
206,1,3
207,1,1
212,2,5
214,2,2
218,1,4
220,1,2
221,1,1
223,1,2
226,1,3
227,1,1
229,1,2
231,1,2
234,1,3
238,1,4
240,2,2
242,1,2
246,1,4
247,1,1
249,1,2
251,1,2
253,1,2
254,1,1
257,1,3
259,1,2
262,1,3
266,1,4
267,0,1
270,1,3
274,1,4
276,2,2
285,9,9
286,9,1
287,6,1
288,7,1
289,6,1
293,1,4
295,1,2
297,1,2
299,1,2
301,1,2
306,1,5
310,1,4
311,1,1
314,2,3
316,1,2
319,2,3
321,1,2
323,1,2
326,1,3
331,2,5
334,1,3
337,2,3
342,1,5
344,1,2
348,1,4
350,2,2
351,1,1
353,1,2
354,1,1
358,1,4
361,2,3
362,1,1
366,1,4
367,1,1
369,1,2
371,1,2
372,1,1
374,1,2
375,1,1
377,1,2
382,1,5
384,1,2
386,1,2
387,1,1
389,1,2
391,2,2
393,1,2
395,2,2
400,5,5
405,2,5
410,1,5
412,1,2
413,1,1
415,1,2
416,1,1
418,1,2
422,1,4
423,1,1
425,1,2
427,1,2
428,1,1
430,1,2
434,1,4
438,1,4
439,1,1
441,1,2
443,1,2
444,1,1
446,1,2
447,1,1
450,1,3
454,1,4
458,1,4
459,1,1
461,1,2
462,1,1
464,1,2
466,1,2
467,1,1
470,1,3
474,1,4
478,1,4
479,1,1
481,1,2
483,1,2
485,1,2
487,1,2
488,1,1
491,1,3
493,1,2
498,1,5
499,1,1
501,1,2
503,1,2
504,1,1
506,1,2
508,2,2
510,1,2
511,1,1
513,1,2
514,1,1
516,1,2
526,5,10
528,1,2
530,1,2
532,2,2
533,1,1
535,1,2
536,1,1
538,1,2
539,1,1
542,1,3
543,1,1
545,1,2
546,0,1
550,1,4
553,3,3
554,1,1
558,3,4
559,3,1
560,3,1
561,4,1
567,2,6
582,15,15
583,12,1
584,13,1
585,12,1
586,13,1
587,13,1
588,14,1
589,12,1
594,13,5
596,1,2
598,1,2
599,1,1
602,1,3
603,1,1
606,1,3
607,1,1
609,1,2
610,1,1
618,1,8
619,1,1
621,1,2
622,0,1
624,1,2
626,1,2
634,8,8
638,1,4
639,1,1
641,1,2
643,1,2
644,1,1
646,1,2
647,1,1
649,1,2
650,1,1
653,1,3
657,0,4
658,1,1
659,1,1
659,0,0
660,0,1
661,1,1
661,0,0
662,0,1
663,1,1
663,0,0
664,0,1
665,1,1
669,0,4
670,1,1
671,1,1
671,0,0
672,1,1
673,1,1
673,0,0
674,0,1
675,1,1
676,1,1
678,2,2
679,1,1
679,0,0
680,0,1
681,0,1
682,1,1
682,0,0
683,0,1
684,1,1
685,1,1
685,0,0
686,0,1
687,1,1
687,0,0
688,0,1
689,1,1
690,1,1
691,1,1
691,0,0
697,0,6
698,0,1
700,1,2
700,0,0
701,0,1
702,1,1
706,4,4
707,0,1
708,0,1
711,3,3
712,1,1
717,0,5
718,0,1
719,1,1
721,0,2
722,1,1
723,1,1
723,0,0
724,0,1
725,1,1
725,0,0
726,0,1
727,1,1
727,0,0
728,0,1
729,1,1
729,0,0
730,0,1
731,1,1
733,0,2
734,1,1
734,0,0
735,0,1
736,1,1
737,1,1
737,0,0
738,1,1
739,1,1
739,0,0
740,1,1
741,1,1
741,0,0
742,0,1
743,1,1
743,0,0
744,0,1
745,0,1
746,1,1
746,0,0
748,1,2
749,0,1
750,1,1
750,0,0
751,0,1
752,1,1
752,0,0
757,0,5
759,1,2
760,1,1
760,0,0
761,0,1
762,1,1
762,0,0
765,0,3
767,2,2
769,2,2
770,1,1
770,0,0
771,0,1
772,1,1
772,0,0
773,0,1
774,1,1
774,0,0
775,0,1
776,1,1
776,0,0
777,0,1
778,1,1
778,0,0
779,0,1
780,1,1
781,0,1
782,1,1
782,0,0
783,0,1
784,1,1
784,0,0
785,0,1
786,1,1
789,0,3
791,2,2
792,1,1
793,1,1
793,0,0
795,1,2
797,1,2
797,0,0
798,0,1
799,1,1
799,0,0
800,0,1
801,1,1
801,0,0
805,0,4
806,0,1
807,1,1
807,0,0
808,0,1
809,1,1
809,0,0
810,0,1
811,1,1
811,0,0
812,1,1
813,1,1
813,0,0
814,1,1
814,0,0
815,0,1
816,1,1
817,0,1
818,1,1
818,0,0
819,0,1
820,1,1
820,0,0
821,0,1
822,0,1
823,0,1
824,1,1
825,1,1
825,0,0
826,1,1
827,1,1
827,0,0
828,1,1
829,1,1
829,0,0
833,0,4
834,0,1
835,1,1
835,0,0
836,0,1
837,1,1
837,0,0
838,0,1
839,1,1
839,0,0
840,0,1
842,1,2
843,1,1
843,0,0
844,0,1
845,1,1
845,0,0
846,0,1
847,1,1
847,0,0
848,0,1
849,1,1
849,0,0
850,1,1
851,1,1
851,0,0
852,1,1
853,1,1
853,0,0
854,1,1
854,0,0
855,0,1
856,1,1
856,0,0
857,0,1
858,1,1
861,0,3
862,1,1
863,1,1
863,0,0
864,0,1
865,1,1
865,0,0
866,0,1
867,1,1
867,0,0
868,0,1
869,0,1
870,1,1
871,1,1
873,2,2
875,2,2
881,5,6
895,6,14
896,0,1
900,0,4
901,1,1
902,1,1
902,0,0
903,1,1
903,0,0
904,0,1
905,1,1
905,0,0
906,0,1
907,1,1
909,2,2
909,0,0
910,0,1
911,1,1
911,0,0
912,0,1
913,1,1
913,0,0
914,1,1
914,0,0
915,0,1
916,1,1
916,0,0
917,0,1
918,1,1
918,0,0
919,0,1
920,1,1
920,0,0
921,1,1
921,0,0
924,1,3
924,0,0
925,0,1
929,0,4
930,0,1
931,1,1
933,0,2
934,0,1
937,0,3
938,0,1
939,1,1
939,0,0
940,1,1
941,1,1
941,0,0
942,1,1
942,0,0
943,0,1
944,1,1
944,0,0
945,1,1
945,0,0
946,0,1
947,1,1
947,0,0
948,0,1
949,1,1
949,0,0
950,0,1
951,1,1
952,1,1
952,1,0
953,0,1
954,1,1
957,0,3
958,1,1
958,0,0
959,0,1
960,1,1
960,0,0
961,0,1
966,1,5
967,0,1
968,0,1
969,1,1
969,0,0
970,0,1
971,1,1
971,0,0
972,1,1
972,0,0
973,0,1
974,1,1
974,0,0
975,1,1
975,0,0
976,0,1
977,1,1
977,0,0
978,1,1
978,0,0
979,0,1
980,1,1
980,0,0
981,1,1
981,0,0
982,0,1
983,1,1
983,0,0
984,1,1
984,0,0
985,0,1
989,0,4
990,1,1
991,1,1
991,0,0
992,1,1
992,0,0
993,0,1
994,1,1
994,0,0
995,0,1
996,1,1
996,0,0
997,1,1
997,0,0
998,0,1
1000,0,2
1001,1,1
1001,0,0
1002,0,1
1003,1,1
1004,0,1
1008,2,4
1009,0,1
1010,0,1
1011,1,1
1011,0,0
1012,0,1
1013,1,1
1013,0,0
1014,0,1
1014,0,0
1017,0,3
1018,1,1
1018,0,0
1019,0,1
1020,1,1
1020,0,0
1021,1,1
1021,0,0
1022,0,1
1023,1,1
1023,0,0
1024,1,1
1025,0,1
1026,1,1
1026,0,0
1027,0,1
1028,1,1
1033,5,5
1034,1,1
1034,0,0
1037,0,3
1038,1,1
1038,0,0
1039,0,1
1040,1,1
1040,0,0
1041,1,1
1041,0,0
1045,0,4
1049,0,4
1050,1,1
1050,0,0
1051,0,1
1052,1,1
1052,0,0
1053,1,1
1053,0,0
1054,0,1
1055,1,1
1055,0,0
1056,1,1
1056,0,0
1057,0,1
1058,1,1
1058,0,0
1059,1,1
1059,0,0
1060,0,1
1060,0,0
1061,0,1
1065,0,4
1066,1,1
1066,0,0
1067,0,1
1068,1,1
1068,0,0
1073,4,5
1074,1,1
1075,1,1
1075,0,0
1076,1,1
1076,0,0
1077,0,1
1078,1,1
1078,0,0
1079,1,1
1079,0,0
1080,0,1
1081,1,1
1081,0,0
1082,1,1
1082,0,0
1085,0,3
1086,1,1
1086,0,0
1087,1,1
1087,0,0
1089,0,2
1090,1,1
1090,0,0
1091,1,1
1125,34,34
1133,38,8
1134,39,1
1135,39,1
1137,41,2
1137,41,0
1138,42,1
1139,43,1
1139,42,0
1140,43,1
1141,41,1
1141,41,0
1143,43,2
1143,42,0
1144,43,1
1144,43,0
1145,40,1
1149,44,4
1149,44,0
1150,41,1
1151,42,1
1151,42,0
1152,43,1
1153,43,1
1153,43,0
1154,44,1
1155,45,1
1155,42,0
1157,44,2
1157,44,0
