time (ms),latency (ms),consume (ms)
0,8,0
39,38,39
39,37,0
39,36,0
39,35,0
39,33,0
40,33,1
40,31,0
40,29,0
40,28,0
40,26,0
43,28,3
43,26,0
43,25,0
44,24,1
45,22,1
45,20,0
45,19,0
50,22,5
51,22,1
55,24,4
55,23,0
55,21,0
55,13,0
55,11,0
55,8,0
55,7,0
59,9,4
59,5,0
59,3,0
59,1,0
61,1,2
67,5,6
69,6,2
69,4,0
69,3,0
69,1,0
75,5,6
75,4,0
75,3,0
75,2,0
77,2,2
78,1,1
80,1,2
81,1,1
82,1,1
83,1,1
85,1,2
86,1,1
87,1,1
88,1,1
89,1,1
92,2,3
94,2,2
95,1,1
97,1,2
98,1,1
99,1,1
100,1,1
101,1,1
104,1,3
108,4,4
112,2,4
114,1,2
115,1,1
118,2,3
120,1,2
122,2,2
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
129,1,2
130,1,1
131,1,1
133,2,2
134,1,1
136,1,2
137,1,1
138,1,1
141,3,3
143,1,2
144,1,1
145,1,1
147,2,2
148,1,1
151,1,3
152,1,1
155,3,3
157,2,2
158,1,1
159,1,1
160,1,1
162,1,2
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,0,1
170,1,2
171,1,1
172,1,1
173,1,1
174,1,1
177,1,3
178,1,1
179,1,1
180,1,1
181,1,1
187,5,6
228,41,41
228,39,0
229,39,1
229,37,0
229,36,0
229,35,0
229,33,0
229,32,0
229,31,0
229,30,0
230,30,1
230,29,0
230,28,0
230,17,0
230,15,0
230,11,0
231,9,1
235,12,4
239,2,4
247,6,8
248,1,1
250,1,2
251,1,1
252,1,1
253,1,1
255,1,2
257,1,2
258,1,1
259,1,1
260,0,1
262,1,2
263,1,1
264,1,1
265,1,1
266,1,1
267,1,1
268,0,1
270,1,2
271,1,1
272,1,1
273,1,1
274,1,1
276,1,2
277,1,1
278,1,1
279,1,1
280,1,1
281,1,1
283,1,2
284,1,1
286,2,2
287,1,1
288,1,1
289,1,1
290,1,1
293,2,3
296,3,3
296,1,0
298,2,2
301,2,3
301,1,0
303,1,2
307,3,4
307,1,0
309,1,2
311,1,2
313,2,2
316,2,3
316,1,0
321,4,5
321,3,0
321,2,0
321,1,0
322,1,1
324,1,2
326,1,2
327,1,1
328,1,1
329,1,1
330,1,1
331,1,1
334,1,3
335,1,1
336,1,1
337,1,1
338,1,1
339,1,1
340,1,1
342,1,2
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
350,1,3
351,1,1
352,1,1
353,1,1
354,1,1
356,1,2
357,1,1
358,1,1
359,1,1
360,1,1
361,1,1
364,1,3
365,1,1
366,1,1
367,1,1
368,1,1
370,0,2
394,20,24
394,18,0
394,17,0
396,17,2
396,15,0
396,13,0
396,12,0
396,11,0
396,10,0
396,9,0
398,10,2
398,9,0
398,7,0
398,6,0
398,3,0
398,1,0
400,1,2
403,2,3
403,1,0
405,1,2
406,0,1
409,2,3
411,2,2
413,2,2
415,1,2
417,1,2
419,1,2
421,1,2
423,1,2
427,3,4
427,2,0
427,1,0
429,2,2
431,2,2
433,1,2
435,1,2
437,1,2
440,2,3
440,1,0
443,2,3
443,1,0
445,2,2
447,1,2
450,2,3
450,1,0
453,2,3
453,1,0
456,2,3
456,1,0
459,2,3
459,1,0
461,1,2
464,2,3
465,2,1
465,1,0
467,2,2
467,1,0
468,1,1
469,1,1
470,1,1
473,1,3
474,1,1
475,1,1
476,1,1
477,1,1
479,1,2
480,1,1
481,1,1
482,1,1
483,1,1
484,1,1
486,2,2
487,1,1
488,1,1
489,1,1
490,1,1
491,1,1
492,0,1
494,1,2
495,1,1
496,1,1
497,1,1
498,1,1
499,1,1
500,1,1
501,1,1
502,1,1
505,1,3
506,1,1
508,2,2
509,1,1
510,1,1
511,1,1
512,1,1
513,0,1
515,1,2
516,1,1
517,1,1
518,1,1
519,1,1
520,1,1
521,1,1
522,1,1
525,1,3
526,1,1
527,0,1
529,1,2
530,1,1
531,1,1
532,1,1
533,1,1
534,1,1
537,1,3
538,1,1
539,1,1
540,1,1
541,1,1
542,1,1
545,1,3
546,1,1
547,1,1
548,1,1
549,1,1
550,1,1
551,1,1
552,0,1
554,1,2
555,1,1
556,1,1
557,1,1
559,2,2
560,1,1
561,1,1
562,1,1
563,1,1
564,1,1
565,1,1
566,1,1
567,0,1
569,1,2
570,1,1
571,1,1
574,1,3
575,1,1
576,1,1
577,1,1
578,1,1
579,1,1
580,0,1
582,1,2
583,1,1
584,1,1
585,1,1
586,1,1
588,2,2
589,1,1
590,1,1
591,1,1
592,1,1
593,1,1
594,1,1
595,0,1
598,2,3
601,3,3
603,2,2
606,2,3
609,1,3
610,1,1
613,3,3
614,1,1
648,33,34
650,16,2
651,16,1
651,15,0
651,13,0
651,12,0
651,11,0
651,10,0
651,9,0
652,9,1
652,6,0
655,8,3
655,7,0
657,8,2
657,7,0
657,5,0
657,4,0
657,3,0
659,3,2
659,2,0
660,1,1
663,2,3
664,1,1
667,2,3
669,2,2
671,1,2
674,2,3
676,3,2
676,2,0
676,1,0
678,1,2
681,2,3
681,1,0
682,1,1
683,1,1
684,1,1
685,1,1
686,1,1
689,1,3
690,1,1
692,2,2
693,1,1
694,1,1
695,1,1
696,1,1
697,1,1
698,1,1
700,1,2
701,1,1
702,1,1
703,1,1
704,1,1
705,1,1
706,1,1
707,1,1
708,1,1
709,1,1
710,1,1
713,1,3
714,1,1
715,1,1
716,1,1
717,1,1
718,1,1
719,1,1
721,1,2
722,1,1
723,1,1
724,1,1
725,1,1
726,1,1
727,1,1
728,1,1
731,1,3
732,1,1
733,1,1
734,1,1
735,1,1
736,1,1
737,1,1
740,1,3
741,1,1
742,1,1
744,1,2
745,1,1
746,1,1
747,1,1
750,1,3
752,2,2
753,1,1
754,1,1
755,1,1
756,1,1
757,1,1
758,1,1
761,1,3
762,1,1
765,2,3
766,1,1
767,1,1
768,1,1
769,1,1
771,2,2
772,1,1
773,1,1
