time (ms),latency (ms),consume (ms)
0,10,0
4,5,4
10,5,6
14,3,4
19,3,5
24,2,5
29,1,5
35,2,6
41,2,6
47,2,6
53,2,6
58,2,5
64,2,6
69,1,5
75,2,6
81,2,6
86,2,5
93,2,7
98,2,5
104,2,6
109,2,5
115,2,6
120,1,5
126,2,6
131,1,5
137,2,6
143,2,6
148,2,5
154,2,6
159,2,5
165,2,6
170,2,5
176,2,6
181,1,5
187,2,6
193,2,6
198,1,5
204,2,6
210,2,6
216,2,6
221,1,5
227,2,6
232,1,5
238,2,6
244,2,6
249,2,5
255,2,6
260,1,5
266,2,6
272,2,6
277,1,5
283,2,6
288,1,5
294,2,6
300,2,6
305,2,5
310,1,5
317,2,7
323,2,6
329,2,6
334,2,5
340,2,6
346,2,6
351,1,5
357,2,6
363,2,6
369,2,6
375,2,6
380,1,5
387,2,7
392,1,5
398,2,6
403,1,5
409,1,6
415,2,6
420,1,5
426,2,6
432,2,6
437,1,5
445,4,8
449,2,4
454,2,5
460,2,6
466,2,6
471,1,5
477,2,6
482,1,5
488,2,6
494,2,6
499,1,5
504,1,5
510,1,6
516,2,6
521,1,5
529,4,8
532,1,3
538,2,6
545,2,7
550,2,5
555,1,5
561,2,6
566,1,5
571,1,5
577,1,6
583,2,6
588,2,5
593,1,5
599,2,6
604,1,5
610,2,6
615,1,5
621,2,6
626,1,5
632,2,6
637,1,5
643,2,6
650,2,7
656,2,6
662,2,6
667,1,5
673,1,6
679,2,6
686,2,7
691,1,5
697,1,6
703,2,6
709,2,6
715,2,6
720,1,5
726,2,6
731,1,5
737,2,6
742,1,5
748,2,6
753,1,5
759,2,6
764,1,5
770,2,6
775,1,5
781,2,6
786,1,5
792,2,6
797,2,5
803,2,6
808,2,5
813,1,5
819,2,6
824,1,5
830,2,6
835,1,5
841,2,6
846,1,5
852,2,6
857,2,5
862,1,5
868,2,6
873,1,5
879,2,6
884,1,5
889,1,5
895,2,6
900,1,5
905,1,5
911,1,6
916,1,5
922,2,6
927,1,5
933,1,6
939,2,6
944,2,5
949,1,5
955,2,6
960,1,5
966,2,6
971,1,5
977,2,6
982,1,5
988,2,6
994,2,6
999,2,5
1004,1,5
1010,2,6
1015,1,5
1021,2,6
1026,1,5
1032,2,6
1038,2,6
1044,2,6
1050,2,6
1055,1,5
1061,2,6
1066,2,5
1071,1,5
1077,1,6
1083,2,6
1088,1,5
1093,1,5
1099,2,6
1104,1,5
1110,2,6
1116,1,6
1122,2,6
1127,1,5
1133,2,6
1138,2,5
1143,1,5
1149,2,6
1154,1,5
1160,2,6
1165,1,5
1170,1,5
1176,2,6
1181,1,5
1187,2,6
1192,1,5
1198,2,6
1203,1,5
1220,13,17
1222,9,2
1223,4,1
1225,1,2
1231,2,6
1236,1,5
1242,2,6
1247,1,5
1253,2,6
1258,1,5
1264,2,6
1269,1,5
1275,2,6
1280,1,5
1285,1,5
1291,2,6
1296,1,5
1302,2,6
1307,1,5
1313,2,6
1318,1,5
1324,2,6
1329,1,5
1335,2,6
1340,1,5
1346,2,6
1351,1,5
1357,2,6
1362,1,5
1367,1,5
1373,2,6
1378,1,5
1384,2,6
1389,1,5
1395,2,6
1400,2,5
1406,2,6
1411,1,5
1417,2,6
1422,1,5
1428,2,6
1434,2,6
1440,2,6
1446,2,6
1451,1,5
1456,1,5
1462,2,6
1468,2,6
1473,2,5
1478,1,5
1484,2,6
1489,1,5
1495,2,6
1500,1,5
1505,1,5
1511,2,6
1516,1,5
1522,2,6
1527,1,5
1533,2,6
1538,1,5
1544,2,6
1549,1,5
1555,2,6
1560,1,5
1565,1,5
1571,2,6
1576,1,5
1582,2,6
1587,2,5
1592,1,5
1598,2,6
1603,1,5
1609,2,6
1614,1,5
1619,1,5
1625,2,6
1630,1,5
1636,2,6
1641,1,5
1646,1,5
1652,1,6
1659,2,7
1664,1,5
1669,1,5
1675,1,6
1680,1,5
1686,2,6
1692,2,6
1697,2,5
1703,2,6
1709,2,6
1714,1,5
1720,2,6
1726,2,6
1731,1,5
1737,2,6
1742,1,5
1748,2,6
1753,1,5
1759,1,6
1764,1,5
1771,2,7
1776,2,5
1781,1,5
1787,2,6
1792,1,5
1798,2,6
1803,2,5
1808,1,5
1814,2,6
1819,2,5
1824,1,5
1830,2,6
1835,2,5
1840,1,5
1846,2,6
1851,2,5
1856,1,5
1862,2,6
1867,2,5
1872,1,5
1878,2,6
1883,1,5
1888,1,5
1894,1,6
1900,2,6
1905,1,5
1911,2,6
1916,1,5
1922,2,6
1927,1,5
1933,2,6
1938,1,5
1944,2,6
1950,2,6
1955,2,5
1960,1,5
1966,2,6
1971,1,5
1976,1,5
1982,2,6
1988,2,6
1993,1,5
1999,2,6
2004,1,5
2010,2,6
2015,1,5
2021,2,6
2026,1,5
2032,2,6
2037,1,5
2042,1,5
2048,1,6
2054,2,6
2059,1,5
2064,1,5
2070,2,6
2075,1,5
2081,2,6
2086,1,5
2092,2,6
2097,1,5
