time (ms),latency (ms),consume (ms)
0,6,0
3,2,3
8,2,5
13,1,5
18,1,5
23,1,5
28,0,5
34,1,6
39,1,5
45,1,6
50,1,5
56,1,6
61,1,5
66,1,5
72,1,6
77,1,5
82,0,5
88,1,6
95,3,7
99,1,4
105,2,6
110,1,5
116,1,6
122,1,6
127,1,5
133,1,6
139,1,6
146,2,7
152,2,6
157,1,5
166,5,9
167,1,1
173,1,6
179,1,6
185,2,6
190,1,5
197,2,7
204,2,7
209,2,5
214,1,5
219,1,5
225,1,6
230,1,5
236,1,6
241,1,5
247,1,6
252,1,5
258,1,6
264,1,6
270,1,6
277,2,7
282,1,5
288,2,6
294,2,6
299,2,5
305,2,6
310,1,5
316,2,6
322,2,6
328,2,6
334,2,6
340,2,6
347,3,7
353,2,6
359,2,6
365,2,6
371,2,6
377,2,6
382,1,5
389,2,7
395,2,6
400,2,5
405,1,5
411,2,6
416,1,5
421,1,5
427,2,6
433,2,6
439,2,6
444,2,5
449,1,5
455,2,6
461,2,6
466,1,5
472,2,6
477,1,5
483,2,6
488,1,5
494,2,6
499,1,5
504,1,5
510,1,6
516,2,6
521,2,5
527,2,6
532,1,5
538,1,6
544,2,6
550,2,6
556,2,6
562,1,6
568,1,6
574,1,6
580,1,6
586,1,6
592,1,6
599,2,7
605,1,6
611,2,6
616,1,5
621,1,5
627,2,6
633,2,6
638,1,5
644,1,6
650,2,6
656,2,6
661,2,5
667,2,6
672,2,5
678,2,6
683,1,5
691,3,8
696,2,5
703,2,7
708,2,5
714,2,6
719,2,5
724,1,5
730,2,6
736,2,6
742,2,6
748,1,6
754,1,6
760,1,6
766,1,6
772,1,6
779,2,7
785,2,6
790,1,5
796,2,6
801,1,5
807,1,6
813,1,6
820,2,7
826,2,6
831,1,5
837,2,6
842,1,5
848,2,6
853,1,5
858,1,5
869,6,11
872,4,3
875,1,3
881,2,6
887,2,6
893,2,6
898,1,5
904,2,6
909,1,5
915,2,6
920,1,5
926,1,6
931,1,5
937,1,6
943,2,6
948,1,5
954,1,6
960,2,6
965,1,5
971,1,6
977,2,6
982,1,5
988,1,6
994,2,6
1000,1,6
1006,1,6
1011,1,5
1017,1,6
1023,2,6
1028,1,5
1034,2,6
1039,1,5
1045,1,6
1051,2,6
1056,1,5
1061,1,5
1068,1,7
1074,1,6
1080,1,6
1086,1,6
1092,1,6
1098,1,6
1104,1,6
1110,1,6
1116,1,6
1122,1,6
1128,2,6
1133,1,5
1138,1,5
1144,1,6
1149,1,5
1154,1,5
1160,1,6
1165,1,5
1170,1,5
1176,1,6
1181,1,5
1186,0,5
1192,1,6
1197,1,5
1202,1,5
1207,0,5
1213,1,6
1218,1,5
1223,0,5
1237,9,14
1237,3,0
1241,1,4
1246,0,5
1252,1,6
1260,3,8
1264,0,4
1270,1,6
1275,0,5
1281,1,6
1287,1,6
1292,1,5
1297,1,5
1303,1,6
1308,1,5
1314,1,6
1319,1,5
1325,1,6
1331,1,6
1336,1,5
1342,1,6
1347,0,5
1353,1,6
1359,1,6
1364,1,5
1369,1,5
1374,0,5
1380,1,6
1385,0,5
1391,1,6
1396,1,5
1401,1,5
1407,1,6
1412,1,5
1418,1,6
1424,2,6
1430,2,6
1435,1,5
1443,3,8
1449,1,6
1455,1,6
1460,1,5
1465,0,5
1471,1,6
1476,1,5
1481,0,5
1487,1,6
1492,0,5
1498,1,6
1503,0,5
1509,1,6
1514,1,5
1519,0,5
1524,0,5
1530,1,6
1535,0,5
1541,1,6
1547,1,6
1552,1,5
1558,1,6
1563,0,5
1569,1,6
1575,1,6
