time (ms),latency (ms),consume (ms)
0,9,0
7,3,7
14,2,7
20,1,6
27,2,7
34,1,7
41,2,7
48,1,7
55,2,7
61,1,6
67,1,6
73,1,6
80,1,7
90,5,10
96,1,6
102,1,6
108,1,6
115,1,7
122,2,7
129,1,7
135,1,6
142,1,7
148,1,6
155,1,7
165,1,10
171,1,6
179,2,8
185,1,6
193,2,8
200,1,7
206,1,6
213,1,7
220,1,7
227,1,7
233,1,6
240,1,7
247,2,7
254,2,7
262,2,8
270,2,8
277,2,7
283,1,6
290,1,7
297,1,7
311,2,14
320,2,9
327,1,7
334,1,7
345,1,11
353,2,8
360,1,7
373,1,13
381,2,8
388,2,7
397,3,9
405,2,8
415,4,10
423,3,8
430,1,7
439,4,9
446,2,7
453,1,7
462,3,9
470,2,8
476,1,6
484,1,8
493,2,9
500,2,7
507,1,7
513,1,6
520,1,7
529,3,9
536,2,7
544,2,8
552,2,8
559,2,7
565,1,6
573,2,8
579,1,6
587,3,8
595,1,8
603,2,8
612,2,9
622,4,10
631,2,9
639,1,8
646,1,7
653,1,7
660,2,7
667,2,7
673,1,6
680,1,7
693,2,13
701,2,8
708,1,7
716,2,8
723,1,7
730,1,7
736,1,6
742,1,6
748,1,6
754,1,6
760,1,6
766,1,6
772,1,6
778,1,6
785,1,7
791,1,6
800,2,9
806,1,6
813,2,7
823,5,10
830,1,7
838,2,8
850,2,12
858,2,8
866,2,8
873,2,7
881,2,8
889,2,8
898,2,9
905,2,7
912,1,7
920,2,8
928,2,8
939,3,11
953,5,14
957,2,4
963,1,6
971,2,8
978,2,7
985,2,7
992,1,7
1000,3,8
1007,2,7
1017,1,10
1025,2,8
1032,1,7
1040,2,8
1047,2,7
1054,2,7
1061,2,7
1068,1,7
1078,4,10
1085,2,7
1092,2,7
1100,3,8
1107,2,7
1115,2,8
1122,2,7
1129,1,7
1139,2,10
1145,1,6
1152,1,7
1159,1,7
1167,2,8
1175,1,8
1185,4,10
1198,2,13
1205,2,7
1212,1,7
1220,2,8
1227,2,7
1234,1,7
1241,1,7
1248,1,7
1255,2,7
1262,1,7
1271,3,9
1279,1,8
1286,1,7
1294,2,8
1301,1,7
1309,2,8
1316,2,7
1325,2,9
1331,1,6
1338,1,7
1345,2,7
1351,1,6
1358,1,7
1365,2,7
1372,2,7
1378,1,6
1384,1,6
1391,1,7
1398,1,7
1406,1,8
1413,1,7
1420,1,7
1427,2,7
1439,1,12
1449,1,10
1456,2,7
1462,1,6
1468,1,6
1475,1,7
1481,1,6
1488,1,7
1494,1,6
1501,2,7
1507,1,6
1513,1,6
1520,1,7
1526,1,6
1533,1,7
1539,1,6
1545,1,6
1551,1,6
1557,1,6
1564,1,7
1570,1,6
1577,1,7
1584,1,7
1591,2,7
1598,2,7
1604,1,6
1624,14,20
1625,5,1
1628,1,3
1634,1,6
1640,1,6
1650,5,10
1656,1,6
1662,1,6
1668,1,6
1674,1,6
1680,1,6
1687,1,7
1692,0,5
1698,0,6
1705,1,7
1711,1,6
1717,1,6
1723,1,6
1730,2,7
1738,3,8
1744,1,6
1751,1,7
1758,2,7
1764,1,6
1771,1,7
1778,2,7
1786,2,8
1792,0,6
1800,2,8
1806,1,6
1815,4,9
1821,1,6
1830,2,9
1839,4,9
1845,1,6
1855,3,10
1861,1,6
1869,2,8
1876,1,7
1882,1,6
1889,1,7
1895,1,6
1902,1,7
1908,1,6
1914,1,6
1919,0,5
1925,0,6
1931,1,6
1938,1,7
1944,1,6
1951,1,7
1957,1,6
1963,1,6
1969,1,6
1975,1,6
1981,1,6
1988,2,7
1994,1,6
2000,1,6
2006,1,6
2012,1,6
2018,0,6
2024,0,6
2030,1,6
2036,1,6
2042,1,6
