time (ms),latency (ms),consume (ms)
0,7,0
40,39,40
40,38,0
40,36,0
40,34,0
40,33,0
41,32,1
41,31,0
41,29,0
41,28,0
41,27,0
44,29,3
44,27,0
44,26,0
45,25,1
47,25,2
47,23,0
47,22,0
51,24,4
51,23,0
56,26,5
56,24,0
56,23,0
56,21,0
56,13,0
56,10,0
58,10,2
60,11,2
60,7,0
60,6,0
60,3,0
60,1,0
65,4,5
65,3,0
67,3,2
67,1,0
73,5,6
73,4,0
73,3,0
74,3,1
75,3,1
76,2,1
78,1,2
81,2,3
81,1,0
84,2,3
84,1,0
85,1,1
86,1,1
88,1,2
89,1,1
90,1,1
92,2,2
95,3,3
96,1,1
97,1,1
100,1,3
101,1,1
102,1,1
104,2,2
105,1,1
109,4,4
114,3,5
115,1,1
116,1,1
119,2,3
120,1,1
121,1,1
122,1,1
124,1,2
126,1,2
127,1,1
129,1,2
130,1,1
131,1,1
132,1,1
134,2,2
136,1,2
137,1,1
138,1,1
139,1,1
143,4,4
144,1,1
145,1,1
146,1,1
148,1,2
149,1,1
152,3,3
153,1,1
156,3,3
158,1,2
159,1,1
160,1,1
161,1,1
163,1,2
164,1,1
165,1,1
166,1,1
167,1,1
170,1,3
171,1,1
172,1,1
174,1,2
175,1,1
176,1,1
177,1,1
179,2,2
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
186,1,2
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
193,1,2
194,1,1
195,1,1
196,1,1
197,1,1
199,1,2
203,4,4
208,2,5
209,1,1
213,2,4
215,1,2
223,7,8
227,2,4
235,6,8
236,1,1
238,1,2
239,1,1
240,1,1
241,1,1
242,1,1
243,0,1
245,1,2
246,1,1
247,1,1
248,1,1
249,1,1
250,1,1
252,1,2
253,1,1
254,1,1
255,1,1
256,1,1
258,2,2
259,1,1
260,1,1
263,3,3
267,4,4
267,3,0
267,2,0
269,2,2
269,1,0
270,1,1
274,3,4
275,3,1
280,7,5
280,6,0
280,4,0
281,4,1
281,3,0
281,2,0
284,3,3
285,3,1
285,2,0
285,1,0
287,2,2
289,2,2
290,1,1
291,1,1
292,1,1
293,1,1
294,1,1
296,1,2
297,1,1
298,1,1
299,1,1
301,1,2
302,1,1
303,1,1
304,1,1
305,1,1
306,1,1
308,1,2
309,1,1
310,1,1
311,1,1
313,1,2
314,1,1
316,1,2
317,1,1
318,1,1
319,1,1
320,1,1
322,1,2
323,1,1
324,1,1
325,1,1
326,1,1
327,1,1
328,1,1
329,1,1
331,1,2
332,1,1
333,1,1
334,1,1
335,1,1
336,1,1
337,1,1
338,1,1
339,0,1
342,1,3
343,1,1
344,1,1
369,25,25
369,20,0
369,19,0
371,20,2
371,19,0
371,17,0
371,16,0
371,15,0
371,13,0
371,12,0
371,11,0
373,12,2
373,9,0
373,8,0
373,6,0
373,4,0
373,1,0
375,1,2
377,1,2
379,1,2
