time (ms),latency (ms),consume (ms)
0,15,0
5,15,5
8,17,3
11,19,3
13,20,2
14,20,1
16,22,2
18,23,2
20,25,2
22,26,2
23,27,1
25,28,2
27,30,2
29,31,2
30,31,1
34,35,4
35,36,1
37,37,2
39,39,2
41,40,2
43,42,2
44,42,1
46,44,2
47,44,1
49,46,2
52,48,3
53,49,1
55,50,2
57,52,2
60,55,3
62,56,2
63,56,1
65,57,2
67,59,2
68,59,1
70,61,2
72,62,2
73,63,1
75,64,2
77,66,2
79,67,2
80,67,1
82,68,2
83,69,1
85,70,2
86,71,1
88,73,2
89,73,1
90,74,1
92,75,2
93,75,1
97,79,4
99,81,2
100,81,1
102,83,2
103,83,1
105,85,2
108,88,3
109,88,1
110,89,1
112,90,2
116,94,4
119,96,3
120,97,1
121,97,1
123,99,2
124,99,1
125,100,1
127,102,2
128,102,1
129,103,1
131,104,2
133,106,2
135,107,2
137,109,2
139,110,2
141,112,2
143,114,2
144,114,1
146,115,2
147,116,1
149,118,2
150,118,1
152,120,2
153,121,1
155,122,2
156,123,1
158,125,2
159,125,1
161,127,2
162,127,1
164,129,2
166,130,2
167,131,1
169,133,2
171,134,2
172,135,1
174,136,2
176,138,2
177,139,1
179,140,2
180,141,1
182,142,2
184,144,2
185,145,1
187,146,2
189,148,2
196,154,7
198,156,2
199,156,1
200,157,1
201,158,1
203,159,2
204,160,1
205,160,1
207,162,2
208,162,1
209,163,1
211,164,2
213,166,2
215,167,2
217,169,2
220,172,3
223,174,3
225,176,2
226,176,1
227,177,1
229,178,2
231,180,2
232,180,1
233,181,1
235,183,2
236,183,1
237,184,1
238,184,1
240,186,2
241,186,1
243,188,2
244,189,1
245,189,1
247,191,2
249,193,2
250,193,1
252,195,2
254,196,2
258,200,4
261,202,3
263,204,2
265,206,2
268,208,3
273,213,5
275,214,2
276,215,1
278,217,2
279,217,1
280,218,1
281,219,1
282,219,1
284,220,2
285,221,1
286,222,1
287,222,1
289,224,2
290,225,1
293,227,3
294,228,1
296,230,2
298,232,2
299,232,1
301,234,2
302,234,1
303,235,1
304,236,1
305,236,1
307,238,2
308,239,1
309,240,1
310,241,1
311,241,1
312,242,1
314,244,2
315,245,1
316,245,1
317,246,1
319,248,2
320,249,1
321,249,1
323,251,2
324,252,1
325,252,1
326,253,1
328,255,2
339,265,11
340,266,1
341,267,1
342,268,1
344,269,2
345,270,1
346,271,1
348,273,2
349,274,1
350,274,1
352,276,2
353,277,1
354,278,1
355,279,1
357,280,2
358,281,1
359,282,1
361,283,2
362,284,1
363,285,1
364,286,1
366,287,2
367,288,1
368,289,1
370,291,2
382,302,12
383,303,1
384,304,1
386,306,2
387,307,1
388,307,1
389,308,1
390,309,1
392,311,2
393,311,1
394,312,1
398,316,4
399,316,1
401,318,2
402,319,1
403,320,1
404,321,1
405,321,1
406,322,1
408,324,2
409,325,1
410,326,1
411,326,1
412,327,1
413,327,1
415,329,2
416,329,1
417,330,1
419,332,2
420,333,1
421,334,1
423,335,2
424,336,1
425,337,1
426,337,1
428,339,2
429,339,1
437,347,8
439,349,2
440,349,1
442,350,2
444,352,2
445,352,1
446,353,1
447,354,1
449,355,2
450,356,1
451,357,1
453,359,2
454,360,1
455,360,1
457,362,2
458,363,1
460,365,2
463,367,3
465,369,2
468,372,3
473,377,5
475,379,2
476,379,1
477,380,1
480,383,3
481,383,1
482,384,1
484,386,2
489,391,5
497,399,8
507,408,10
509,410,2
510,411,1
512,412,2
513,413,1
514,414,1
516,415,2
518,417,2
519,418,1
520,419,1
522,420,2
524,422,2
525,422,1
526,423,1
531,428,5
533,430,2
534,431,1
535,431,1
537,433,2
538,434,1
540,435,2
550,445,10
553,448,3
565,459,12
569,463,4
571,465,2
574,468,3
576,470,2
578,472,2
580,473,2
582,475,2
583,476,1
584,477,1
586,478,2
588,480,2
593,484,5
597,488,4
600,491,3
602,492,2
603,493,1
608,498,5
613,502,5
621,510,8
624,513,3
628,517,4
630,518,2
631,519,1
634,522,3
637,525,3
638,525,1
640,527,2
642,529,2
643,530,1
644,530,1
647,533,3
649,535,2
650,536,1
651,537,1
653,539,2
654,539,1
656,541,2
657,542,1
658,543,1
660,545,2
661,545,1
662,546,1
663,547,1
666,550,3
668,551,2
669,552,1
671,553,2
672,554,1
675,557,3
677,558,2
679,559,2
680,560,1
683,562,3
690,569,7
696,574,6
699,577,3
701,578,2
702,579,1
704,581,2
707,583,3
708,584,1
710,586,2
711,586,1
712,587,1
714,588,2
716,590,2
717,591,1
720,594,3
722,595,2
722,595,0
726,599,4
728,601,2
729,602,1
730,602,1
731,603,1
734,606,3
735,606,1
736,607,1
737,608,1
741,612,4
743,613,2
744,614,1
745,615,1
745,615,0
747,616,2
748,617,1
749,618,1
750,619,1
751,620,1
756,625,5
759,627,3
765,633,6
768,636,3
770,638,2
772,639,2
773,640,1
775,642,2
776,643,1
779,646,3
780,646,1
782,648,2
783,649,1
784,650,1
785,651,1
786,651,1
790,655,4
791,656,1
792,657,1
793,658,1
794,658,1
795,659,1
796,660,1
797,661,1
798,662,1
802,666,4
803,666,1
804,667,1
805,668,1
806,669,1
807,669,1
808,670,1
809,671,1
812,674,3
817,679,5
819,681,2
820,681,1
821,682,1
822,683,1
823,684,1
824,684,1
825,685,1
828,688,3
831,691,3
832,692,1
836,695,4
836,695,0
837,696,1
839,698,2
840,698,1
841,699,1
842,700,1
849,706,7
852,709,3
853,710,1
854,711,1
855,712,1
856,713,1
858,714,2
859,715,1
862,718,3
863,719,1
865,721,2
866,722,1
867,722,1
868,723,1
869,724,1
870,725,1
871,726,1
874,728,3
875,729,1
876,730,1
878,732,2
879,733,1
879,732,0
880,733,1
882,735,2
883,736,1
