time (ms),latency (ms),consume (ms)
0,13,0
2,12,2
2,10,0
4,10,2
4,10,0
9,14,5
9,13,0
9,12,0
9,12,0
9,10,0
10,10,1
10,10,0
10,9,0
10,9,0
10,9,0
10,9,0
10,8,0
10,8,0
23,20,13
23,19,0
23,18,0
23,18,0
25,20,2
26,20,1
26,20,0
26,20,0
27,21,1
28,21,1
28,21,0
28,21,0
29,22,1
29,21,0
29,21,0
29,21,0
29,21,0
30,21,1
31,22,1
31,22,0
31,21,0
32,22,1
32,22,0
33,23,1
33,22,0
34,23,1
34,23,0
35,23,1
35,23,0
36,24,1
36,24,0
36,23,0
36,23,0
37,24,1
37,23,0
38,24,1
38,24,0
38,24,0
38,23,0
39,24,1
39,24,0
39,24,0
39,23,0
40,24,1
40,24,0
41,24,1
41,24,0
41,24,0
41,24,0
41,23,0
41,23,0
42,24,1
42,24,0
42,23,0
44,25,2
45,26,1
45,26,0
45,25,0
45,25,0
45,25,0
46,25,1
46,25,0
46,25,0
47,25,1
47,25,0
47,25,0
48,26,1
48,25,0
48,25,0
48,25,0
48,25,0
49,25,1
49,25,0
49,25,0
49,25,0
50,25,1
50,25,0
50,25,0
50,25,0
50,24,0
50,24,0
51,25,1
52,26,1
52,25,0
52,25,0
52,25,0
52,25,0
53,25,1
53,25,0
53,25,0
53,25,0
54,26,1
54,25,0
54,25,0
54,25,0
54,25,0
55,25,1
55,25,0
55,25,0
55,25,0
56,25,1
56,25,0
56,25,0
56,25,0
56,24,0
57,25,1
57,25,0
57,25,0
57,24,0
58,25,1
58,25,0
59,25,1
59,25,0
59,25,0
59,25,0
59,25,0
60,25,1
60,25,0
60,25,0
60,25,0
60,24,0
61,25,1
61,25,0
61,25,0
61,25,0
62,25,1
62,25,0
62,25,0
62,25,0
62,24,0
62,24,0
63,25,1
68,30,5
69,31,1
69,30,0
69,30,0
69,30,0
69,30,0
69,30,0
70,30,1
70,30,0
70,30,0
70,30,0
70,29,0
70,29,0
71,30,1
71,30,0
71,29,0
71,29,0
71,29,0
72,30,1
72,30,0
72,29,0
72,29,0
72,29,0
72,29,0
73,29,1
73,29,0
73,29,0
73,29,0
73,29,0
74,29,1
74,29,0
74,29,0
74,29,0
74,28,0
74,28,0
75,29,1
75,29,0
75,29,0
75,28,0
75,28,0
76,29,1
76,29,0
76,28,0
77,29,1
77,29,0
77,29,0
77,29,0
77,28,0
77,28,0
78,29,1
78,29,0
78,29,0
78,28,0
78,28,0
79,29,1
79,29,0
79,29,0
79,28,0
79,28,0
79,28,0
79,28,0
80,29,1
80,28,0
80,28,0
80,28,0
80,28,0
80,28,0
80,27,0
81,28,1
81,28,0
81,28,0
81,28,0
81,27,0
81,27,0
81,27,0
82,28,1
82,28,0
82,27,0
82,27,0
82,27,0
82,27,0
82,27,0
83,27,1
83,27,0
83,27,0
83,27,0
83,27,0
83,26,0
83,26,0
84,27,1
84,27,0
84,27,0
84,26,0
85,27,1
85,27,0
85,27,0
85,27,0
85,26,0
85,26,0
86,27,1
86,26,0
86,26,0
86,26,0
87,27,1
87,26,0
87,26,0
87,26,0
88,26,1
88,26,0
88,26,0
88,26,0
88,26,0
88,25,0
89,26,1
89,26,0
89,26,0
89,26,0
89,25,0
89,25,0
89,25,0
90,26,1
90,26,0
90,25,0
90,25,0
90,25,0
90,25,0
90,25,0
91,25,1
91,25,0
91,25,0
91,25,0
91,25,0
91,24,0
92,25,1
92,25,0
92,25,0
92,25,0
92,24,0
92,24,0
92,24,0
93,25,1
93,25,0
93,24,0
93,24,0
93,24,0
93,24,0
93,24,0
94,24,1
94,24,0
94,24,0
94,24,0
94,24,0
94,23,0
94,23,0
94,23,0
95,18,1
95,17,0
95,17,0
95,17,0
95,17,0
95,16,0
95,16,0
95,16,0
96,17,1
96,17,0
96,16,0
96,16,0
97,17,1
97,16,0
97,16,0
97,16,0
97,16,0
97,15,0
98,16,1
98,16,0
98,16,0
98,16,0
98,16,0
98,15,0
98,10,0
98,10,0
99,11,1
99,11,0
99,10,0
99,10,0
99,10,0
99,10,0
99,10,0
100,10,1
100,10,0
100,10,0
100,10,0
100,10,0
100,9,0
101,10,1
101,10,0
101,10,0
101,10,0
101,10,0
101,9,0
101,9,0
101,9,0
102,10,1
102,9,0
102,9,0
102,9,0
102,9,0
102,9,0
102,9,0
102,8,0
103,9,1
103,9,0
103,9,0
103,9,0
103,8,0
103,8,0
104,9,1
104,9,0
104,9,0
104,8,0
105,9,1
105,9,0
105,9,0
108,12,3
108,12,0
108,11,0
108,11,0
108,11,0
109,12,1
109,12,0
109,11,0
109,11,0
109,11,0
110,11,1
110,9,0
110,9,0
110,9,0
110,8,0
110,8,0
110,8,0
111,6,1
111,6,0
111,5,0
111,5,0
111,5,0
111,5,0
111,5,0
111,5,0
111,4,0
112,5,1
112,5,0
112,5,0
112,5,0
124,17,12
124,16,0
124,16,0
125,17,1
125,17,0
125,17,0
125,16,0
125,16,0
125,16,0
125,16,0
125,16,0
126,17,1
126,16,0
126,16,0
126,16,0
126,16,0
126,16,0
126,16,0
126,15,0
126,15,0
127,16,1
127,16,0
127,16,0
127,16,0
127,15,0
127,15,0
127,14,0
127,14,0
128,15,1
128,15,0
128,14,0
128,14,0
128,14,0
128,14,0
128,14,0
128,14,0
128,13,0
129,14,1
129,14,0
129,14,0
129,14,0
129,14,0
129,14,0
129,13,0
130,14,1
130,14,0
130,13,0
130,13,0
130,13,0
131,14,1
131,14,0
131,14,0
131,13,0
131,13,0
131,13,0
131,13,0
131,13,0
132,14,1
132,13,0
132,13,0
132,13,0
132,13,0
132,13,0
132,13,0
132,12,0
132,12,0
133,13,1
133,13,0
133,13,0
133,13,0
133,12,0
133,12,0
133,12,0
133,12,0
133,12,0
134,12,1
134,12,0
134,12,0
134,12,0
134,12,0
134,12,0
134,12,0
134,11,0
134,11,0
135,12,1
135,12,0
135,12,0
135,12,0
135,11,0
135,11,0
135,11,0
135,11,0
135,11,0
136,12,1
136,11,0
136,11,0
136,11,0
136,11,0
136,11,0
136,10,0
136,10,0
137,11,1
137,11,0
137,11,0
137,10,0
137,10,0
137,10,0
137,10,0
138,11,1
139,11,1
139,11,0
139,11,0
139,11,0
139,10,0
139,10,0
140,11,1
143,14,3
143,14,0
143,14,0
143,14,0
143,13,0
143,13,0
143,13,0
143,13,0
143,13,0
143,12,0
143,12,0
143,12,0
144,13,1
144,13,0
144,13,0
144,12,0
144,12,0
144,12,0
144,12,0
144,12,0
144,12,0
144,11,0
144,11,0
144,11,0
144,11,0
144,11,0
144,11,0
144,10,0
145,11,1
145,11,0
145,11,0
145,11,0
145,11,0
145,11,0
145,10,0
145,10,0
145,10,0
145,10,0
145,10,0
145,10,0
145,10,0
145,9,0
145,9,0
146,10,1
146,10,0
146,10,0
146,10,0
146,9,0
146,9,0
146,9,0
146,9,0
146,9,0
146,9,0
146,8,0
146,8,0
147,9,1
147,9,0
147,9,0
147,9,0
147,9,0
147,8,0
147,8,0
147,8,0
147,8,0
147,8,0
148,9,1
148,8,0
148,8,0
148,8,0
148,8,0
148,8,0
148,7,0
148,7,0
149,8,1
149,8,0
149,8,0
149,8,0
149,8,0
149,7,0
149,7,0
149,7,0
149,7,0
149,7,0
149,7,0
150,7,1
150,7,0
150,7,0
150,7,0
150,7,0
150,7,0
150,7,0
150,6,0
150,6,0
150,6,0
150,6,0
150,6,0
151,7,1
151,6,0
151,6,0
151,6,0
151,6,0
151,6,0
152,7,1
152,6,0
152,6,0
152,6,0
152,6,0
152,5,0
153,6,1
154,7,1
154,6,0
154,6,0
154,6,0
155,7,1
155,6,0
155,6,0
155,6,0
155,5,0
155,5,0
156,6,1
156,6,0
156,5,0
157,6,1
157,6,0
157,6,0
157,5,0
157,5,0
157,5,0
157,5,0
157,4,0
157,4,0
157,4,0
157,4,0
158,4,1
158,4,0
158,4,0
158,4,0
158,4,0
158,3,0
158,3,0
158,3,0
158,3,0
162,7,4
162,6,0
162,6,0
162,6,0
162,6,0
164,7,2
164,2,0
178,15,14
178,15,0
178,15,0
178,15,0
178,14,0
178,14,0
179,14,1
179,14,0
179,14,0
179,14,0
179,13,0
179,13,0
179,13,0
180,14,1
180,14,0
180,13,0
180,13,0
180,13,0
191,24,11
191,23,0
191,23,0
191,23,0
191,23,0
191,23,0
191,22,0
191,22,0
191,22,0
191,22,0
191,21,0
191,21,0
192,22,1
192,22,0
192,21,0
192,21,0
192,21,0
192,21,0
192,21,0
192,20,0
192,20,0
192,20,0
192,20,0
192,20,0
192,19,0
192,19,0
192,19,0
192,19,0
192,18,0
193,19,1
193,19,0
193,19,0
193,19,0
193,18,0
193,18,0
193,18,0
193,18,0
193,17,0
193,17,0
193,17,0
193,17,0
193,17,0
193,16,0
214,37,21
215,38,1
215,38,0
215,37,0
215,35,0
215,35,0
215,35,0
215,35,0
215,35,0
215,35,0
215,34,0
216,35,1
216,35,0
216,35,0
216,35,0
216,35,0
216,35,0
216,34,0
216,34,0
216,34,0
217,35,1
217,35,0
217,35,0
217,35,0
217,34,0
217,34,0
217,34,0
217,34,0
217,34,0
217,33,0
217,33,0
217,33,0
217,33,0
218,34,1
218,33,0
218,33,0
218,33,0
218,33,0
218,33,0
218,32,0
219,33,1
219,33,0
219,33,0
219,33,0
219,33,0
219,33,0
219,33,0
219,32,0
220,33,1
220,33,0
220,33,0
220,33,0
220,33,0
220,33,0
220,32,0
221,33,1
221,33,0
221,33,0
221,33,0
222,34,1
222,34,0
222,33,0
222,33,0
222,33,0
222,33,0
222,33,0
222,33,0
222,33,0
222,32,0
223,33,1
223,33,0
223,33,0
223,33,0
223,33,0
223,33,0
223,32,0
223,32,0
223,32,0
223,32,0
223,32,0
224,33,1
224,33,0
224,32,0
224,32,0
224,32,0
224,32,0
224,32,0
224,32,0
225,32,1
225,32,0
225,32,0
225,32,0
225,32,0
