time (ms),latency (ms),consume (ms)
0,8,0
13,3,13
25,4,12
37,3,12
50,2,13
62,1,12
75,2,13
87,1,12
101,3,14
113,2,12
135,2,22
147,1,12
159,1,12
174,4,15
187,1,13
199,2,12
210,1,11
223,2,13
235,2,12
247,1,12
259,1,12
270,1,11
281,1,11
292,0,11
304,1,12
315,1,11
327,1,12
340,2,13
352,1,12
366,1,14
379,2,13
394,2,15
407,2,13
418,1,11
430,1,12
442,1,12
454,1,12
471,4,17
486,4,15
500,2,14
513,2,13
525,1,12
537,1,12
549,1,12
561,1,12
574,2,13
591,2,17
606,3,15
618,2,12
630,2,12
642,1,12
654,1,12
666,2,12
677,1,11
690,2,13
705,4,15
722,6,17
735,2,13
749,3,14
764,4,15
777,2,13
791,2,14
805,3,14
817,1,12
830,2,13
842,1,12
854,1,12
866,2,12
877,1,11
889,1,12
901,2,12
914,2,13
925,1,11
936,1,11
948,1,12
960,1,12
972,2,12
984,1,12
996,2,12
1008,2,12
1021,1,13
1034,3,13
1047,2,13
1061,4,14
1074,2,13
1086,1,12
1098,1,12
1109,1,11
1124,1,15
1136,2,12
1147,1,11
1159,2,12
1170,1,11
1183,1,13
1194,1,11
1208,2,14
1220,1,12
1234,2,14
1247,2,13
1259,1,12
1271,2,12
1282,1,11
1293,1,11
1305,1,12
1317,1,12
1328,1,11
1340,2,12
1351,1,11
1363,1,12
1374,1,11
1386,1,12
1400,4,14
1413,1,13
1424,1,11
1436,1,12
1448,1,12
1460,1,12
1472,2,12
1484,2,12
1495,1,11
1508,2,13
1520,1,12
1532,1,12
1545,2,13
1557,1,12
1570,1,13
1582,2,12
1593,1,11
1605,1,12
1617,2,12
1637,7,20
1641,1,4
1652,1,11
1663,2,11
1673,1,10
1684,2,11
1695,1,11
1706,1,11
1718,1,12
1730,1,12
1741,1,11
1753,1,12
1764,1,11
1777,2,13
1788,1,11
1800,1,12
1812,2,12
1823,1,11
1835,1,12
1851,1,16
1863,1,12
1875,1,12
1886,1,11
1898,1,12
1909,1,11
1920,1,11
1932,1,12
1944,1,12
1957,1,13
1969,1,12
1980,1,11
1992,1,12
2003,1,11
2014,1,11
2025,0,11
2037,1,12
2048,1,11
2059,1,11
2072,3,13
2083,1,11
2094,1,11
2105,1,11
2116,1,11
2128,1,12
2139,1,11
2151,1,12
2162,1,11
2173,1,11
2185,1,12
2196,1,11
2208,2,12
2220,2,12
2232,1,12
2243,1,11
2255,1,12
2266,1,11
2279,2,13
2292,2,13
2304,1,12
2315,0,11
2330,4,15
2348,2,18
2359,1,11
2371,2,12
2382,1,11
2393,1,11
2404,0,11
2415,0,11
2427,1,12
2438,1,11
2450,2,12
2461,1,11
2472,1,11
2484,1,12
2495,1,11
2506,1,11
2517,0,11
2529,1,12
2540,1,11
2552,2,12
2563,1,11
2575,1,12
2586,1,11
2598,1,12
2609,1,11
2620,1,11
2632,1,12
2651,9,19
2661,1,10
2672,1,11
2684,2,12
2695,1,11
2709,4,14
2720,1,11
2731,1,11
2743,2,12
2754,1,11
2765,1,11
2777,1,12
2788,1,11
2799,1,11
2811,1,12
2822,1,11
2834,1,12
2845,1,11
2859,3,14
2872,3,13
2883,1,11
2895,1,12
2906,1,11
2918,1,12
2929,1,11
2942,2,13
2955,2,13
2967,1,12
2979,2,12
2991,1,12
3002,1,11
3016,1,14
3030,2,14
3041,1,11
3054,1,13
3068,3,14
3079,1,11
3091,2,12
3104,1,13
3116,1,12
3127,1,11
3139,1,12
3149,0,10
3160,0,11
3172,1,12
3183,1,11
3194,1,11
3206,1,12
3217,1,11
3229,1,12
3240,1,11
3252,1,12
3263,1,11
3274,1,11
3285,1,11
3296,1,11
3308,1,12
3320,1,12
3331,1,11
3342,1,11
3353,1,11
3365,1,12
3376,1,11
3387,1,11
3399,1,12
3410,1,11
3421,1,11
3432,1,11
3444,1,12
3455,1,11
3466,1,11
3477,1,11
3489,1,12
3500,1,11
3512,1,12
3523,1,11
3534,1,11
3546,1,12
3557,1,11
3570,2,13
3585,2,15
3596,1,11
3608,1,12
3622,4,14
3633,1,11
3644,1,11
3656,1,12
3667,1,11
3679,1,12
3690,1,11
3702,1,12
3716,1,14
3728,2,12
3739,1,11
3759,10,20
3771,2,12
3782,1,11
3794,1,12
3807,2,13
3819,2,12
3830,1,11
3842,1,12
3861,1,19
3874,2,13
3886,2,12
3898,1,12
3911,2,13
3926,4,15
3939,2,13
3952,1,13
3964,1,12
3979,4,15
3991,2,12
4003,1,12
4015,1,12
4027,1,12
4039,1,12
4051,1,12
4063,1,12
4075,1,12
4087,1,12
4099,1,12
4111,2,12
4123,2,12
4138,5,15
4149,1,11
4160,1,11
4170,1,10
4181,1,11
4192,2,11
4202,1,10
4213,2,11
4223,1,10
4233,1,10
4244,1,11
4255,2,11
4266,2,11
4276,1,10
4287,1,11
4298,2,11
4310,2,12
4322,2,12
4334,2,12
4346,2,12
4358,2,12
4370,2,12
4382,1,12
4393,1,11
4405,1,12
4417,2,12
4429,2,12
4440,1,11
4451,1,11
4465,3,14
4477,2,12
4488,1,11
4500,1,12
4512,1,12
4523,1,11
4536,2,13
4549,3,13
4563,4,14
4575,1,12
4590,1,15
4601,1,11
4614,1,13
4654,9,40
4670,2,16
4681,1,11
4693,1,12
4704,1,11
4716,1,12
4727,1,11
4738,1,11
4750,2,12
4762,2,12
4773,1,11
4785,1,12
4797,1,12
4809,2,12
4820,1,11
4833,2,13
4845,2,12
4857,2,12
4868,1,11
4880,2,12
4891,1,11
4903,1,12
4916,2,13
4928,2,12
4939,1,11
4951,1,12
4963,1,12
4975,2,12
4987,2,12
4998,1,11
5010,1,12
5022,1,12
5034,2,12
5045,1,11
5057,1,12
5068,1,11
5080,1,12
5092,2,12
5103,1,11
5115,1,12
5128,1,13
5140,1,12
5155,4,15
5167,2,12
5179,2,12
5191,2,12
5202,1,11
5214,1,12
5226,1,12
5238,2,12
5249,1,11
5261,1,12
5272,1,11
5283,1,11
5295,1,12
5306,1,11
5317,1,11
5328,1,11
5340,1,12
5351,1,11
5362,1,11
5373,1,11
5384,1,11
5395,1,11
5407,1,12
5418,1,11
5430,2,12
5441,1,11
5452,1,11
5464,1,12
5475,1,11
5486,1,11
5497,1,11
5509,1,12
5520,1,11
5531,1,11
5543,1,12
5554,1,11
5565,1,11
5576,1,11
5587,0,11
5599,1,12
5610,1,11
5622,2,12
5635,2,13
5647,2,12
5658,1,11
5670,1,12
5682,2,12
5693,1,11
5705,2,12
5716,1,11
5727,1,11
5740,2,13
5752,2,12
5764,2,12
5776,2,12
5792,3,16
5805,3,13
5818,3,13
5831,3,13
5846,4,15
5862,2,16
5876,3,14
5888,2,12
5901,2,13
5913,2,12
5926,2,13
5938,2,12
5951,2,13
5963,2,12
5976,2,13
5989,2,13
6003,4,14
6014,1,11
6026,1,12
6037,1,11
6048,1,11
6059,1,11
6071,1,12
6087,2,16
6104,6,17
6120,3,16
6134,1,14
6148,3,14
6159,1,11
6170,1,11
6182,1,12
6197,2,15
6208,1,11
6219,0,11
6230,0,11
6242,1,12
6253,1,11
6265,1,12
6276,1,11
6287,1,11
6299,1,12
6310,1,11
6321,1,11
6333,1,12
6346,3,13
6358,1,12
6369,1,11
6381,1,12
6392,1,11
6403,1,11
6414,0,11
6425,0,11
6437,1,12
6448,1,11
6459,1,11
6470,0,11
6482,1,12
6493,1,11
6504,1,11
6515,1,11
6526,1,11
6537,1,11
6550,2,13
6565,1,15
6576,1,11
6587,1,11
6598,1,11
6610,1,12
6621,1,11
6632,1,11
6646,3,14
6654,1,8
6664,1,10
6675,1,11
6685,1,10
6696,1,11
6706,1,10
6717,1,11
6727,1,10
6738,1,11
6748,1,10
6760,1,12
6771,1,11
6782,1,11
6794,1,12
6805,1,11
6816,1,11
6827,1,11
6840,2,13
6852,2,12
6864,2,12
6876,1,12
6888,1,12
6900,1,12
6912,1,12
6925,2,13
6937,2,12
6950,2,13
6962,2,12
6974,2,12
6987,2,13
7000,3,13
7012,2,12
7023,0,11
7034,0,11
7045,0,11
7057,1,12
7068,1,11
7081,1,13
7093,1,12
7104,1,11
7115,0,11
7127,1,12
7138,1,11
7150,1,12
7161,1,11
7172,1,11
7188,1,16
7199,1,11
7210,0,11
7222,1,12
7233,1,11
7244,1,11
7256,1,12
7267,1,11
7278,1,11
7289,1,11
7301,1,12
7312,1,11
7324,1,12
7335,1,11
7346,1,11
7357,1,11
7368,1,11
7380,1,12
7391,1,11
7402,1,11
7413,1,11
7425,1,12
7436,1,11
7447,1,11
7462,5,15
7473,1,11
7484,1,11
7495,0,11
7507,1,12
7518,1,11
7529,1,11
7540,1,11
7551,1,11
7562,1,11
7573,1,11
7584,1,11
7596,1,12
7607,1,11
7618,1,11
7629,1,11
7640,1,11
7651,1,11
7665,1,14
7677,1,12
7689,1,12
7700,1,11
7711,1,11
7723,1,12
7733,0,10
7744,0,11
7756,1,12
7767,1,11
7778,1,11
7789,1,11
7800,1,11
7812,1,12
7823,1,11
7834,1,11
7845,1,11
7856,1,11
7868,2,12
7879,1,11
7890,1,11
7901,1,11
7913,1,12
7924,1,11
7935,1,11
7946,1,11
7962,6,16
7976,1,14
7987,1,11
7998,0,11
8010,1,12
8021,1,11
8032,1,11
8043,1,11
8054,1,11
8066,1,12
8077,1,11
8088,1,11
8099,1,11
8110,1,11
8121,1,11
8133,1,12
8144,1,11
8155,1,11
8166,1,11
8177,1,11
8188,1,11
8199,1,11
8210,0,11
8221,0,11
8232,1,11
8243,1,11
8254,1,11
8265,1,11
8276,1,11
8287,0,11
8298,0,11
8310,1,12
8321,1,11
8332,1,11
8343,0,11
8355,1,12
8371,5,16
8382,1,11
8393,1,11
8405,1,12
8416,1,11
8426,0,10
8437,0,11
8448,0,11
8459,1,11
8470,1,11
8481,1,11
8492,1,11
8503,1,11
8514,1,11
8526,1,12
8537,1,11
8548,1,11
8559,1,11
8570,1,11
8581,0,11
8593,1,12
8604,1,11
8615,1,11
8626,0,11
8637,0,11
8648,1,11
8659,1,11
8670,0,11
8681,0,11
8692,0,11
8703,0,11
8714,0,11
8725,1,11
8736,0,11
8747,1,11
8758,0,11
8769,0,11
8780,1,11
8791,1,11
8802,1,11
8813,1,11
8824,1,11
8835,1,11
8846,0,11
8858,1,12
8869,1,11
8880,1,11
8892,1,12
8903,1,11
8914,1,11
8925,1,11
8936,0,11
8947,0,11
8959,1,12
8970,1,11
8981,1,11
8992,1,11
9003,0,11
9015,1,12
9026,1,11
9037,1,11
9048,1,11
9059,0,11
9070,0,11
9082,1,12
9093,1,11
9104,1,11
9115,1,11
9126,0,11
9138,1,12
9153,1,15
9164,1,11
9175,1,11
9186,1,11
9197,1,11
9208,0,11
9219,0,11
9231,1,12
9242,1,11
9253,1,11
9265,1,12
9276,1,11
9287,1,11
9299,1,12
9311,2,12
9322,1,11
9334,1,12
9345,1,11
9356,1,11
9367,1,11
9379,2,12
9390,1,11
9402,2,12
9415,2,13
9427,2,12
9439,1,12
9451,1,12
9463,2,12
9475,2,12
9487,1,12
9498,1,11
9509,1,11
9520,0,11
9532,1,12
9543,1,11
9555,1,12
9566,1,11
9577,1,11
9589,2,12
9600,1,11
9611,1,11
9623,1,12
9634,1,11
9646,2,12
9657,1,11
9669,1,12
9680,1,11
9691,1,11
9702,1,11
9714,1,12
9725,1,11
9736,1,11
9748,1,12
9759,1,11
9770,1,11
9781,1,11
9792,1,11
9804,1,12
9815,1,11
9826,1,11
9838,1,12
9849,1,11
9860,1,11
9871,1,11
9882,0,11
9894,1,12
9908,1,14
9920,1,12
9931,1,11
9942,1,11
9953,1,11
9964,1,11
9975,0,11
9987,1,12
9998,1,11
10009,1,11
10020,1,11
10031,1,11
10042,0,11
10054,1,12
10065,1,11
10076,1,11
10087,1,11
10098,1,11
10109,1,11
10120,1,11
10131,0,11
10143,1,12
10154,1,11
10165,1,11
10181,1,16
10192,1,11
10203,1,11
10214,1,11
10226,1,12
10239,1,13
10252,1,13
10264,1,12
10275,1,11
10287,1,12
10298,1,11
10309,1,11
10320,1,11
10332,1,12
10343,1,11
10354,1,11
10365,1,11
10376,0,11
10388,1,12
10399,1,11
10410,1,11
10422,2,12
10434,1,12
10445,1,11
10456,1,11
10467,1,11
10479,1,12
10490,1,11
10502,1,12
10513,1,11
10524,1,11
10535,1,11
10546,0,11
10558,1,12
10569,1,11
10580,1,11
10592,1,12
10603,1,11
10615,2,12
10626,1,11
10642,1,16
10657,1,15
10668,1,11
10680,1,12
10691,1,11
10703,1,12
10714,1,11
10725,1,11
10737,1,12
10748,1,11
10760,1,12
10771,1,11
10782,1,11
10793,1,11
10804,1,11
10815,0,11
10826,0,11
10838,1,12
10849,1,11
10860,1,11
10871,1,11
10882,1,11
10893,1,11
10904,1,11
10915,1,11
10926,1,11
10937,1,11
10952,3,15
10965,1,13
10976,1,11
10987,1,11
10998,1,11
11009,1,11
11020,1,11
11032,1,12
11043,1,11
11055,2,12
11066,1,11
11077,1,11
11088,0,11
11099,0,11
11111,1,12
11122,1,11
11133,1,11
11144,1,11
11156,1,12
11167,1,11
11178,1,11
11190,1,12
11201,1,11
11212,1,11
11223,1,11
11234,1,11
11245,1,11
11256,1,11
11267,1,11
11279,1,12
11291,1,12
11302,1,11
11313,1,11
11324,0,11
11336,1,12
11347,1,11
11358,1,11
11369,1,11
11380,1,11
11391,1,11
11409,1,18
11420,1,11
11431,1,11
11442,1,11
11453,1,11
11464,0,11
11475,0,11
11486,0,11
11497,1,11
11508,1,11
11519,1,11
11530,1,11
11541,1,11
11552,1,11
11563,1,11
11574,1,11
11585,1,11
11596,1,11
11608,2,12
11620,1,12
11632,2,12
11643,1,11
11656,3,13
11665,2,9
11675,1,10
11686,2,11
11696,1,10
11706,1,10
11717,1,11
11728,2,11
11738,1,10
11749,1,11
11759,1,10
11770,1,11
11781,1,11
11792,1,11
11804,1,12
11815,1,11
11826,1,11
11837,1,11
11848,1,11
11860,1,12
11872,2,12
11883,1,11
11894,1,11
11905,1,11
11916,1,11
11927,1,11
11938,0,11
11950,1,12
11961,1,11
11973,1,12
11989,1,16
12000,1,11
12011,1,11
12022,1,11
12033,0,11
12045,1,12
12056,1,11
12067,1,11
12078,1,11
12089,1,11
12100,1,11
12111,1,11
12122,0,11
12134,1,12
12145,1,11
12156,1,11
12167,1,11
12178,1,11
12189,0,11
12201,1,12
12212,1,11
12223,1,11
12234,1,11
12245,1,11
12256,1,11
12268,1,12
12279,1,11
12290,1,11
12301,1,11
12312,0,11
12324,1,12
12335,1,11
12346,1,11
12357,1,11
12368,1,11
12379,0,11
12391,1,12
12402,1,11
12413,1,11
12424,1,11
12435,1,11
12446,0,11
12458,1,12
12469,1,11
12480,1,11
12491,1,11
12502,0,11
12514,1,12
12525,1,11
12536,1,11
12547,1,11
12559,1,12
12570,1,11
12581,1,11
12596,1,15
12607,1,11
12618,1,11
12629,1,11
12640,1,11
12652,1,12
12663,1,11
12674,1,11
12685,1,11
12696,0,11
12708,1,12
12719,1,11
12730,1,11
12741,1,11
12752,0,11
12763,0,11
12775,1,12
12786,1,11
12797,1,11
12808,1,11
12819,1,11
12830,1,11
12842,1,12
12853,1,11
12864,1,11
12875,1,11
12887,1,12
12898,1,11
12909,1,11
12921,1,12
12932,1,11
12943,1,11
12954,1,11
12966,1,12
12977,1,11
12988,1,11
12999,1,11
13010,1,11
13022,1,12
13033,1,11
13044,1,11
13055,1,11
13066,1,11
13078,1,12
13089,1,11
13100,1,11
13112,1,12
13123,1,11
13134,1,11
13145,1,11
13157,1,12
13168,1,11
13179,0,11
13191,1,12
13202,1,11
13213,1,11
13229,1,16
13240,1,11
13251,1,11
13262,1,11
13274,1,12
13285,1,11
13298,1,13
13309,1,11
13320,1,11
13332,1,12
13343,1,11
13354,1,11
13365,1,11
13377,1,12
13388,1,11
13399,1,11
13410,0,11
13422,1,12
13433,1,11
13444,1,11
13455,1,11
13466,0,11
13478,1,12
13492,1,14
13503,1,11
13514,1,11
13525,1,11
13536,1,11
13547,1,11
13559,1,12
13571,2,12
13582,1,11
13598,5,16
13609,1,11
13620,1,11
13631,1,11
13642,0,11
13654,1,12
13665,1,11
13676,1,11
13687,1,11
13698,0,11
13710,1,12
13721,1,11
13732,1,11
13743,1,11
13754,1,11
13765,1,11
13777,1,12
13788,1,11
13799,1,11
13810,0,11
13822,1,12
13833,1,11
13846,1,13
13857,1,11
13869,1,12
13880,1,11
13892,1,12
13903,1,11
13914,1,11
13925,1,11
13937,1,12
13948,1,11
13959,0,11
13970,0,11
13982,1,12
13993,1,11
14004,1,11
14016,1,12
14027,1,11
14038,1,11
14049,1,11
14060,1,11
14072,1,12
14083,1,11
14095,1,12
14106,1,11
14118,1,12
14129,1,11
14140,1,11
14152,1,12
14163,1,11
14175,1,12
14186,1,11
14197,1,11
14208,1,11
14220,1,12
14230,1,10
14240,1,10
14251,1,11
14261,1,10
14271,1,10
14281,0,10
14292,1,11
14302,1,10
14312,1,10
14323,1,11
14333,1,10
14346,4,13
14356,0,10
14367,1,11
14378,1,11
14389,0,11
14400,0,11
14411,1,11
14422,1,11
14433,1,11
14444,1,11
14455,1,11
14466,1,11
14477,1,11
14488,1,11
14499,1,11
14510,0,11
14522,1,12
14533,1,11
14544,1,11
14555,1,11
14566,1,11
14577,1,11
14588,0,11
14599,0,11
14610,0,11
14622,1,12
14633,1,11
14643,0,10
14655,1,12
14666,1,11
14677,1,11
14688,1,11
14699,1,11
14710,1,11
14721,1,11
14732,1,11
14743,1,11
14754,1,11
14765,1,11
14776,1,11
14787,1,11
14798,0,11
14809,1,11
14820,1,11
14831,1,11
14842,1,11
14853,1,11
14865,1,12
14876,1,11
14887,1,11
14899,2,12
14910,1,11
14921,1,11
14934,1,13
14945,1,11
14956,1,11
14967,1,11
14978,1,11
14989,1,11
15000,1,11
15011,1,11
15025,1,14
15036,1,11
15047,1,11
15058,1,11
15069,1,11
15080,0,11
15091,0,11
15103,1,12
15114,1,11
15126,1,12
15137,1,11
15148,1,11
15160,1,12
15171,1,11
15182,1,11
15192,0,10
15204,0,12
15215,0,11
15226,0,11
15238,1,12
15249,1,11
15265,1,16
15276,1,11
15287,1,11
15298,1,11
15309,1,11
15322,3,13
15333,1,11
15344,1,11
15355,1,11
15366,1,11
15378,1,12
15389,1,11
15400,1,11
15411,1,11
15422,1,11
15433,1,11
15450,6,17
15461,1,11
15472,1,11
15483,1,11
15494,1,11
15505,1,11
15516,0,11
15528,1,12
15542,1,14
15553,0,11
15565,1,12
15576,1,11
15587,1,11
15598,1,11
15609,0,11
15621,1,12
15633,1,12
15644,1,11
15656,2,12
15667,1,11
15678,1,11
15689,1,11
15700,1,11
