time (ms),latency (ms),consume (ms)
0,16,0
21,28,21
21,22,0
23,17,2
23,11,0
45,27,22
46,22,1
47,17,1
48,13,1
74,33,26
75,27,1
76,18,1
76,12,0
101,32,25
101,24,0
101,17,0
103,14,2
125,30,22
126,24,1
127,20,1
127,14,0
148,28,21
148,20,0
149,15,1
149,10,0
171,26,22
171,19,0
172,15,1
172,10,0
194,26,22
194,20,0
194,15,0
195,10,1
215,24,20
216,20,1
217,15,1
217,10,0
238,25,21
238,20,0
239,16,1
239,10,0
262,27,23
262,21,0
262,15,0
263,10,1
298,39,35
298,34,0
298,17,0
298,11,0
319,26,21
319,20,0
319,14,0
331,21,12
340,24,9
340,19,0
341,15,1
341,9,0
361,24,20
362,20,1
362,14,0
362,9,0
385,26,23
385,21,0
385,15,0
386,11,1
407,25,21
407,20,0
407,14,0
408,9,1
429,25,21
430,19,1
430,14,0
430,8,0
453,26,23
453,21,0
453,15,0
454,11,1
478,28,24
480,24,2
480,17,0
480,11,0
500,24,20
500,19,0
500,14,0
500,8,0
522,25,22
522,20,0
523,15,1
523,9,0
545,25,22
545,20,0
545,14,0
546,10,1
567,25,21
568,20,1
568,15,0
569,10,1
589,24,20
589,19,0
590,14,1
590,9,0
612,26,22
612,19,0
613,15,1
613,9,0
639,29,26
639,24,0
640,20,1
640,14,0
660,25,20
660,19,0
661,15,1
661,9,0
683,25,22
683,20,0
683,14,0
684,9,1
704,24,20
704,19,0
705,14,1
705,9,0
731,30,26
731,23,0
731,16,0
732,11,1
759,31,27
760,27,1
761,22,1
762,15,1
786,34,24
787,24,1
791,22,4
791,13,0
810,26,19
811,20,1
811,15,0
812,10,1
832,24,20
844,31,12
845,26,1
846,22,1
858,29,12
858,19,0
858,14,0
859,10,1
880,25,21
881,20,1
882,16,1
882,10,0
903,26,21
903,21,0
903,15,0
904,10,1
924,24,20
925,20,1
925,14,0
926,10,1
948,26,22
948,21,0
948,15,0
950,11,2
969,24,19
969,19,0
969,14,0
970,9,1
992,26,22
992,19,0
992,14,0
992,8,0
1014,25,22
1014,20,0
1014,15,0
1015,10,1
1035,24,20
1035,19,0
1036,14,1
1036,9,0
1058,26,22
1058,20,0
1058,15,0
1058,9,0
1079,24,21
1079,19,0
1080,15,1
1080,9,0
1103,27,23
1103,20,0
1103,15,0
1103,9,0
1123,24,20
1124,20,1
1124,14,0
1124,9,0
1145,24,21
1146,20,1
1146,14,0
1146,9,0
1168,25,22
1168,20,0
1169,15,1
1169,10,0
1188,23,19
1188,18,0
1188,13,0
1189,9,1
1211,26,22
1211,20,0
1211,14,0
1212,9,1
1234,26,22
1234,20,0
1234,14,0
1235,9,1
1256,25,21
1256,20,0
1256,14,0
1258,10,2
1279,26,21
1279,20,0
1279,14,0
1280,9,1
1302,26,22
1302,20,0
1302,14,0
1303,9,1
1326,27,23
1326,20,0
1326,15,0
1327,10,1
1348,25,21
1349,21,1
1349,15,0
1349,9,0
1370,25,21
1370,19,0
1370,14,0
1373,12,3
1390,23,17
1390,18,0
1391,14,1
1391,9,0
1412,25,21
1412,19,0
1412,14,0
1413,10,1
1433,24,20
1434,20,1
1434,15,0
1435,10,1
1455,24,20
1455,19,0
1456,14,1
1456,9,0
1478,25,22
1479,20,1
1479,15,0
1479,9,0
1501,25,22
1501,20,0
1501,14,0
1501,9,0
1521,23,20
1522,19,1
1522,14,0
1522,9,0
1544,25,22
1544,20,0
1544,14,0
1544,9,0
1565,24,21
1565,19,0
1565,14,0
1566,10,1
1587,25,21
1587,20,0
1587,14,0
1588,9,1
1609,25,21
1609,19,0
1610,14,1
1610,9,0
1630,23,20
1631,19,1
1631,14,0
1631,8,0
1652,24,21
1652,19,0
1652,14,0
1653,10,1
1674,25,21
1674,19,0
1675,15,1
1675,9,0
1696,24,21
1697,20,1
1697,15,0
1697,9,0
1719,25,22
1719,20,0
1719,14,0
1720,10,1
1740,24,20
1740,19,0
1742,15,2
1742,10,0
1762,25,20
1762,19,0
1763,15,1
1763,9,0
1785,25,22
1785,20,0
1795,24,10
1795,19,0
1808,26,13
1808,20,0
1809,16,1
1809,9,0
1831,26,22
1831,20,0
1831,14,0
1832,10,1
1853,25,21
1853,19,0
1854,15,1
1854,9,0
1876,25,22
1876,20,0
1876,14,0
1877,9,1
1898,25,21
1898,19,0
1898,14,0
1899,10,1
1920,25,21
1920,19,0
1920,13,0
1921,9,1
1942,25,21
1942,19,0
1942,13,0
1943,9,1
1965,26,22
1965,20,0
1965,14,0
1966,9,1
1988,26,22
1988,20,0
1988,14,0
1989,10,1
2009,24,20
2010,20,1
2010,15,0
2010,10,0
2032,26,22
2033,21,1
2033,15,0
2034,11,1
2055,26,21
2055,19,0
2056,15,1
2061,14,5
2077,25,16
2078,20,1
2078,15,0
2078,9,0
2099,24,21
2099,19,0
2100,15,1
2101,10,1
2121,25,20
2122,20,1
2122,15,0
2123,10,1
2144,26,21
2145,20,1
2145,15,0
2145,9,0
2167,26,22
2168,21,1
2168,15,0
2168,10,0
2190,26,22
2190,20,0
2191,16,1
2191,10,0
2215,29,24
2215,23,0
2216,18,1
2216,13,0
2255,46,39
2255,39,0
2256,34,1
2256,28,0
2286,51,30
2286,29,0
2286,24,0
2299,31,13
2299,26,0
2300,22,1
2300,15,0
2300,10,0
2344,48,44
2346,45,2
2347,41,1
2348,36,1
2349,26,1
2351,23,2
2352,19,1
2352,13,0
2370,26,18
2370,20,0
2371,15,1
2371,10,0
2391,24,20
2391,19,0
2391,14,0
2392,9,1
2413,25,21
2413,20,0
2413,14,0
2414,9,1
2434,24,20
2435,19,1
2435,13,0
2435,8,0
2457,25,22
2457,20,0
2457,14,0
2457,9,0
2477,23,20
2478,19,1
2478,13,0
2478,8,0
2498,23,20
2499,19,1
2499,14,0
