time (ms),latency (ms),consume (ms)
0,9,0
37,35,37
39,31,2
40,27,1
41,23,1
42,19,1
43,14,1
44,10,1
45,4,1
49,1,4
54,1,5
61,3,7
64,1,3
70,2,6
76,2,6
86,6,10
87,2,1
92,1,5
98,2,6
103,1,5
109,2,6
114,2,5
118,1,4
124,1,6
130,2,6
136,1,6
141,1,5
149,3,8
153,1,4
159,1,6
164,1,5
169,1,5
174,1,5
180,1,6
185,1,5
191,2,6
196,1,5
202,2,6
208,2,6
213,1,5
219,2,6
224,1,5
230,2,6
235,1,5
240,1,5
246,1,6
251,1,5
256,1,5
261,1,5
267,1,6
272,1,5
278,1,6
283,1,5
290,3,7
296,2,6
301,1,5
307,1,6
312,1,5
317,1,5
325,3,8
328,1,3
336,4,8
340,2,4
344,1,4
350,1,6
357,3,7
362,2,5
367,1,5
373,1,6
378,1,5
383,1,5
389,2,6
394,2,5
401,2,7
405,1,4
410,1,5
416,2,6
422,2,6
428,1,6
433,1,5
438,1,5
445,3,7
450,2,5
455,1,5
460,1,5
466,2,6
472,1,6
477,1,5
482,1,5
489,3,7
495,1,6
501,1,6
506,1,5
511,1,5
518,2,7
524,1,6
529,1,5
534,1,5
539,1,5
545,2,6
551,1,6
556,1,5
561,1,5
567,2,6
573,1,6
578,1,5
583,1,5
588,1,5
594,2,6
600,1,6
605,1,5
610,1,5
615,1,5
621,2,6
627,1,6
632,1,5
637,1,5
642,1,5
648,2,6
654,1,6
659,1,5
664,1,5
669,1,5
675,2,6
683,5,8
690,2,7
695,2,5
706,7,11
708,2,2
719,7,11
725,2,6
736,6,11
741,3,5
745,1,4
750,1,5
755,1,5
760,1,5
765,1,5
771,2,6
777,1,6
782,1,5
787,1,5
800,9,13
802,6,2
803,2,1
808,1,5
813,1,5
818,1,5
823,1,5
829,2,6
834,2,5
840,1,6
845,1,5
850,1,5
855,1,5
860,1,5
865,1,5
872,2,7
878,1,6
883,1,5
888,1,5
893,1,5
898,1,5
903,1,5
910,2,7
915,1,5
920,1,5
925,1,5
930,1,5
935,1,5
941,2,6
947,1,6
952,1,5
957,1,5
962,1,5
967,1,5
973,2,6
979,1,6
984,1,5
989,1,5
994,1,5
999,1,5
1005,2,6
1012,2,7
1017,1,5
1022,1,5
1027,1,5
1033,2,6
1038,1,5
1043,1,5
1048,1,5
1053,1,5
1060,3,7
1064,1,4
1069,1,5
1074,1,5
1080,2,6
1086,1,6
1092,1,6
1098,2,6
1104,2,6
1110,1,6
1116,1,6
1122,2,6
1127,1,5
1133,1,6
1138,1,5
1143,1,5
1148,1,5
1153,1,5
1159,1,6
1165,2,6
1170,1,5
1175,1,5
1180,1,5
1185,1,5
1191,1,6
1197,2,6
1202,1,5
1208,1,6
1213,1,5
1218,1,5
1223,1,5
1228,1,5
1234,1,6
1240,1,6
1245,1,5
1251,1,6
1256,1,5
1261,1,5
1266,1,5
1271,1,5
1277,1,6
1283,2,6
1288,1,5
1293,1,5
1298,1,5
1303,1,5
1309,1,6
1315,2,6
1320,1,5
1325,1,5
1330,1,5
1335,1,5
1341,1,6
1347,2,6
1353,2,6
1359,2,6
1365,2,6
1370,1,5
1375,1,5
1380,1,5
1385,1,5
1391,1,6
1397,2,6
1403,2,6
1408,1,5
1413,1,5
1418,1,5
1423,1,5
1429,1,6
1435,2,6
1441,2,6
1446,1,5
1451,1,5
1456,1,5
1461,1,5
1467,1,6
1473,2,6
1478,1,5
1483,1,5
1488,1,5
1493,1,5
1499,1,6
1505,2,6
1510,1,5
1515,1,5
1520,1,5
1525,1,5
1531,1,6
1537,1,6
1543,2,6
1548,1,5
1554,1,6
1559,1,5
1564,1,5
1569,1,5
1575,1,6
1581,2,6
1586,1,5
1592,1,6
1597,1,5
1602,1,5
1608,1,6
1613,1,5
1619,1,6
1624,1,5
1629,1,5
1635,1,6
1641,1,6
1647,2,6
1652,1,5
1657,1,5
1662,1,5
1667,1,5
1673,1,6
1679,1,6
1685,1,6
1690,1,5
1696,1,6
1701,1,5
1706,1,5
1712,1,6
1718,2,6
1723,1,5
1728,1,5
1733,1,5
1739,2,6
1743,1,4
1748,1,5
1753,1,5
1761,4,8
1765,1,4
1770,1,5
1775,1,5
1780,1,5
1785,1,5
1791,2,6
1797,1,6
1802,1,5
1807,1,5
1812,1,5
1817,1,5
1822,1,5
1828,2,6
1834,1,6
1839,1,5
1844,1,5
1849,1,5
1854,1,5
1859,1,5
1865,2,6
1871,1,6
1876,1,5
1881,1,5
1886,1,5
1891,1,5
1896,1,5
1901,1,5
1908,1,7
1913,0,5
1919,1,6
1923,0,4
1929,1,6
1935,1,6
1940,0,5
1954,6,14
1954,1,0
1959,1,5
1964,1,5
1969,0,5
1974,0,5
1980,1,6
1985,1,5
1990,0,5
1995,0,5
2001,1,6
2005,0,4
2010,0,5
2016,1,6
2021,0,5
2027,1,6
2032,1,5
2037,0,5
2043,1,6
2047,0,4
2053,1,6
2059,1,6
2064,1,5
2069,0,5
2075,1,6
2079,0,4
2085,1,6
2091,1,6
2096,1,5
2101,1,5
2106,1,5
2113,2,7
2119,1,6
2124,1,5
2128,0,4
2135,2,7
2140,1,5
2154,9,14
2157,1,3
2163,1,6
2167,0,4
2173,1,6
2177,0,4
2183,1,6
2187,0,4
2193,1,6
2197,0,4
2203,1,6
2207,0,4
2213,0,6
2219,1,6
2224,0,5
2230,1,6
2234,0,4
2240,1,6
2244,0,4
2250,0,6
2256,1,6
2260,0,4
2266,1,6
2270,0,4
2276,1,6
2282,1,6
2287,0,5
2293,1,6
2297,0,4
2303,1,6
2307,0,4
2313,1,6
2317,0,4
2323,0,6
2329,1,6
2333,0,4
2339,1,6
2343,0,4
2349,1,6
2355,1,6
2359,0,4
2365,1,6
2369,0,4
2375,1,6
2379,0,4
2385,1,6
2391,1,6
2396,0,5
2401,0,5
2407,1,6
2413,2,6
2418,1,5
2424,2,6
2429,1,5
2435,2,6
2440,1,5
2446,2,6
2451,1,5
2456,1,5
2461,1,5
2466,1,5
2472,2,6
2478,1,6
2483,1,5
2488,1,5
2493,1,5
2499,2,6
2504,1,5
2509,1,5
2514,1,5
2519,1,5
2524,1,5
2529,1,5
2536,1,7
2541,1,5
2546,1,5
2551,1,5
2556,1,5
2562,1,6
2567,1,5
2572,1,5
2577,1,5
2583,2,6
2588,1,5
2593,1,5
2598,1,5
2604,2,6
2609,1,5
2615,2,6
2620,1,5
2625,1,5
2630,1,5
2636,2,6
2641,1,5
2647,2,6
2653,1,6
2658,1,5
2663,1,5
2668,1,5
2673,1,5
2678,1,5
2684,2,6
2690,1,6
2695,1,5
2700,1,5
2705,1,5
2710,1,5
2715,1,5
2721,2,6
2727,1,6
2732,1,5
2737,1,5
2742,1,5
2747,1,5
2753,2,6
2759,1,6
2764,1,5
2769,1,5
2774,1,5
2779,1,5
2785,2,6
2791,1,6
2796,1,5
2803,3,7
2806,1,3
2811,1,5
2817,2,6
2823,1,6
2828,1,5
2833,1,5
2838,1,5
2843,1,5
2848,1,5
2854,2,6
2860,1,6
2865,1,5
2870,1,5
2875,1,5
2880,1,5
2885,1,5
2891,2,6
2897,1,6
2902,1,5
2907,1,5
2912,1,5
2917,1,5
2922,1,5
2929,2,7
2934,1,5
2939,1,5
2944,1,5
2949,1,5
2955,2,6
2961,1,6
2966,1,5
2971,1,5
2976,1,5
2981,1,5
2987,2,6
2993,1,6
2998,1,5
3003,1,5
3008,1,5
3013,1,5
3019,2,6
3025,1,6
3030,1,5
3035,1,5
3040,1,5
3045,1,5
3051,2,6
3057,1,6
3062,1,5
3067,1,5
3072,1,5
3077,1,5
3083,2,6
3089,1,6
3094,1,5
3099,1,5
3104,1,5
3109,1,5
3115,2,6
3121,1,6
3126,1,5
3131,1,5
3136,1,5
3141,1,5
3147,2,6
3153,1,6
3158,1,5
3163,1,5
3168,1,5
3173,1,5
3179,2,6
3185,1,6
3190,1,5
3195,1,5
3200,1,5
3205,1,5
3210,1,5
3217,2,7
3223,1,6
3228,1,5
3233,1,5
3238,1,5
3244,2,6
3249,1,5
3254,1,5
3259,1,5
3264,1,5
3269,1,5
3274,1,5
3280,1,6
3285,1,5
3291,1,6
3297,2,6
3302,1,5
3307,1,5
3312,1,5
3318,1,6
3323,1,5
3328,1,5
3334,1,6
3339,1,5
3344,1,5
3350,1,6
3355,1,5
3361,1,6
3367,2,6
3372,1,5
3377,1,5
3382,1,5
3388,2,6
3393,1,5
3399,2,6
3404,1,5
3409,1,5
3414,1,5
3419,1,5
3424,1,5
3429,1,5
3436,2,7
3442,1,6
3447,1,5
3452,1,5
3457,1,5
3462,1,5
3469,1,7
3475,2,6
3480,1,5
3485,1,5
3490,1,5
3496,2,6
3501,1,5
3507,2,6
3512,1,5
3517,1,5
3522,1,5
3528,2,6
3533,1,5
3539,1,6
3544,1,5
3549,1,5
3554,1,5
3560,1,6
3565,1,5
3571,1,6
3577,2,6
3582,1,5
3587,1,5
3592,1,5
3597,1,5
3602,1,5
3607,1,5
3613,2,6
3618,1,5
3623,1,5
3628,1,5
3634,1,6
3640,2,6
3645,1,5
3651,2,6
3656,1,5
3661,1,5
3666,1,5
3672,2,6
3677,1,5
3682,1,5
3687,1,5
3693,1,6
3699,1,6
3705,2,6
3710,1,5
3715,1,5
3720,1,5
3726,1,6
3731,1,5
3737,1,6
3742,1,5
3748,1,6
3753,1,5
3759,1,6
3764,1,5
3769,1,5
3775,1,6
3781,2,6
