time (ms),latency (ms),consume (ms)
0,6,0
12,2,12
26,3,14
37,2,11
49,2,12
62,3,13
74,2,12
85,1,11
98,2,13
109,1,11
121,1,12
133,2,12
144,1,11
159,4,15
171,1,12
182,1,11
193,1,11
205,1,12
217,2,12
230,2,13
241,1,11
252,1,11
264,2,12
275,1,11
286,1,11
297,1,11
309,1,12
321,1,12
333,1,12
345,1,12
356,1,11
371,1,15
383,1,12
394,1,11
405,1,11
416,1,11
427,0,11
438,1,11
450,1,12
462,1,12
473,1,11
484,1,11
496,1,12
507,1,11
518,1,11
530,1,12
542,1,12
557,5,15
568,1,11
579,1,11
591,1,12
602,1,11
613,1,11
624,1,11
635,1,11
646,1,11
657,1,11
668,1,11
679,1,11
690,1,11
701,0,11
713,1,12
728,5,15
734,1,6
745,1,11
755,1,10
766,1,11
777,0,11
788,1,11
799,1,11
810,1,11
821,1,11
832,1,11
843,1,11
855,1,12
866,1,11
878,1,12
889,1,11
900,1,11
912,1,12
924,1,12
936,2,12
949,2,13
963,3,14
975,1,12
987,1,12
998,1,11
1009,0,11
1020,0,11
1032,1,12
1043,1,11
1054,1,11
1065,1,11
1076,1,11
1088,1,12
1100,2,12
1111,1,11
1122,1,11
1133,1,11
1145,1,12
1155,0,10
1166,0,11
1177,1,11
1188,1,11
1199,1,11
1209,0,10
1220,0,11
1231,1,11
1242,1,11
1252,0,10
1263,0,11
1276,3,13
1290,1,14
1301,1,11
1311,0,10
1323,1,12
1333,0,10
1344,0,11
1355,0,11
1366,1,11
1377,1,11
1388,1,11
1399,1,11
1409,0,10
1420,0,11
1431,0,11
1442,0,11
1453,0,11
1464,0,11
1475,0,11
1486,1,11
1497,0,11
1508,1,11
1519,1,11
1530,1,11
1541,1,11
1552,1,11
1563,1,11
1574,1,11
1585,1,11
1597,2,12
1608,1,11
1618,0,10
1630,1,12
1642,1,12
1653,1,11
1664,1,11
1675,1,11
1686,1,11
1697,1,11
1708,1,11
1721,1,13
1733,1,12
1745,1,12
1757,1,12
1769,2,12
1783,2,14
1795,2,12
1811,1,16
1823,1,12
1835,2,12
1846,1,11
1858,1,12
1870,2,12
1882,2,12
1894,2,12
1906,2,12
1918,1,12
1930,2,12
1947,2,17
1959,2,12
1970,1,11
1982,1,12
1994,1,12
2006,2,12
2018,1,12
2029,1,11
2041,1,12
2052,1,11
2064,1,12
2076,1,12
2089,2,13
2101,1,12
2113,1,12
2125,2,12
2138,2,13
2152,3,14
2166,1,14
2180,2,14
2192,2,12
2205,3,13
2222,0,17
2233,0,11
2244,0,11
2255,1,11
2266,1,11
2277,1,11
2287,0,10
2298,1,11
2309,1,11
2320,1,11
2331,1,11
2342,1,11
2353,1,11
2363,0,10
2374,0,11
2385,0,11
2397,1,12
2408,1,11
2418,0,10
2430,1,12
2441,1,11
2452,1,11
2462,0,10
2473,0,11
2485,1,12
2496,1,11
2514,8,18
2521,1,7
2532,1,11
2543,1,11
2554,1,11
2567,3,13
2579,1,12
2590,1,11
2601,1,11
2612,1,11
2623,1,11
2634,1,11
2645,1,11
2656,1,11
2666,0,10
2678,1,12
2689,1,11
2700,1,11
2712,2,12
2725,3,13
2737,2,12
2748,1,11
2760,2,12
2771,1,11
2783,2,12
2795,2,12
2807,2,12
2819,1,12
2831,2,12
2842,1,11
2857,5,15
2868,1,11
2881,3,13
2892,1,11
2907,2,15
2919,2,12
2930,1,11
2943,2,13
2954,1,11
2965,0,11
2977,1,12
2988,1,11
2999,1,11
3010,1,11
3021,1,11
3032,1,11
3044,1,12
3055,1,11
3066,1,11
3077,1,11
3088,1,11
3100,1,12
3111,1,11
3122,1,11
3132,0,10
3144,1,12
3155,1,11
3166,1,11
3177,1,11
3188,1,11
3198,0,10
3209,0,11
3220,1,11
3231,1,11
3241,0,10
3252,0,11
3263,1,11
3273,0,10
3284,0,11
3295,0,11
3306,0,11
3317,1,11
3327,0,10
3338,0,11
3350,1,12
3360,0,10
3371,0,11
3382,1,11
3393,1,11
3405,1,12
3418,0,13
3429,0,11
3441,1,12
3453,2,12
3464,0,11
3475,1,11
3486,1,11
3497,0,11
3508,0,11
3519,1,11
3530,1,11
3541,1,11
3553,2,12
3564,1,11
3575,1,11
3587,1,12
3598,1,11
3609,1,11
3620,1,11
3631,1,11
3642,1,11
3654,1,12
3671,1,17
3683,1,12
3694,1,11
3705,1,11
3716,1,11
3729,2,13
3743,1,14
3754,1,11
3765,1,11
3779,3,14
3790,1,11
3801,0,11
3812,0,11
3823,0,11
3835,1,12
3846,1,11
3857,1,11
3869,2,12
3880,1,11
3892,2,12
3903,1,11
3914,1,11
3925,0,11
3937,1,12
3948,1,11
3960,2,12
3971,1,11
3982,0,11
3993,0,11
4005,1,12
4016,1,11
4027,1,11
4039,1,12
4050,1,11
4061,1,11
4072,1,11
4082,1,10
4093,1,11
4103,1,10
4113,1,10
4123,0,10
4134,1,11
4144,1,10
4155,1,11
4165,1,10
4175,0,10
4186,1,11
4196,1,10
4207,1,11
4217,1,10
4228,1,11
4240,2,12
4252,1,12
4263,1,11
4274,0,11
4286,1,12
4297,1,11
4309,2,12
4322,2,13
4336,4,14
4349,2,13
4362,1,13
4374,1,12
4385,1,11
4419,7,34
4432,1,13
4443,1,11
4455,1,12
4466,1,11
4477,1,11
4493,2,16
4506,2,13
4519,2,13
4532,2,13
4545,2,13
4557,1,12
4570,2,13
4582,2,12
4595,2,13
4607,2,12
4620,2,13
4633,3,13
4644,1,11
4655,0,11
4667,1,12
4678,1,11
4689,1,11
4700,1,11
4711,1,11
4722,1,11
4733,1,11
4745,1,12
4756,1,11
4767,1,11
4778,1,11
4789,1,11
4800,1,11
4812,1,12
4822,0,10
4833,0,11
4844,1,11
4855,1,11
4866,1,11
4877,1,11
4889,0,12
4900,0,11
4911,1,11
4921,0,10
4932,0,11
4944,1,12
4954,0,10
4965,0,11
4976,1,11
4987,1,11
4998,1,11
5008,0,10
5019,1,11
5030,1,11
5040,0,10
5051,0,11
5062,1,11
5072,0,10
5083,0,11
5094,0,11
5105,0,11
5116,1,11
5126,0,10
5137,0,11
5148,1,11
5158,0,10
5169,0,11
5180,1,11
5191,1,11
5202,1,11
5212,0,10
5223,1,11
5234,1,11
5245,0,11
5256,0,11
5267,1,11
5278,1,11
5289,1,11
5300,1,11
5310,0,10
5321,1,11
5332,1,11
5343,1,11
5353,0,10
5364,1,11
5375,1,11
