time (ms),latency (ms),consume (ms)
0,6,0
8,3,8
16,3,8
23,2,7
30,2,7
37,1,7
44,1,7
51,1,7
60,3,9
66,1,6
74,2,8
81,2,7
87,1,6
99,6,12
107,2,8
114,2,7
121,1,7
129,2,8
137,3,8
145,1,8
152,1,7
159,1,7
166,1,7
173,1,7
181,1,8
188,1,7
196,1,8
204,2,8
211,1,7
219,1,8
225,1,6
235,1,10
242,1,7
249,1,7
256,1,7
263,2,7
270,1,7
277,2,7
284,1,7
291,1,7
298,2,7
305,2,7
311,1,6
318,1,7
324,1,6
332,2,8
338,1,6
345,1,7
351,1,6
358,1,7
364,1,6
370,1,6
377,1,7
383,1,6
389,1,6
396,1,7
402,1,6
408,0,6
415,1,7
422,1,7
429,2,7
436,2,7
442,1,6
449,1,7
455,1,6
462,1,7
468,1,6
475,1,7
481,1,6
487,1,6
493,0,6
500,1,7
506,1,6
512,1,6
518,1,6
525,1,7
531,1,6
537,1,6
544,1,7
551,2,7
557,1,6
564,1,7
571,1,7
578,1,7
584,1,6
590,0,6
597,1,7
603,1,6
609,1,6
615,1,6
622,1,7
628,1,6
635,1,7
641,1,6
647,0,6
654,1,7
661,1,7
667,1,6
673,1,6
680,1,7
686,1,6
692,1,6
698,1,6
705,1,7
711,1,6
718,1,7
725,1,7
731,1,6
738,1,7
744,1,6
750,0,6
759,3,9
765,1,6
771,1,6
782,1,11
789,1,7
796,1,7
803,1,7
810,1,7
817,1,7
824,1,7
831,1,7
838,1,7
845,1,7
852,1,7
859,0,7
866,1,7
872,1,6
878,1,6
884,1,6
890,0,6
897,1,7
904,1,7
910,1,6
916,1,6
922,1,6
929,1,7
936,2,7
943,2,7
950,1,7
956,1,6
962,1,6
969,1,7
976,2,7
982,1,6
989,1,7
996,2,7
1002,1,6
1008,0,6
1014,0,6
1022,2,8
1028,1,6
1034,1,6
1040,0,6
1047,1,7
1054,2,7
1060,1,6
1066,1,6
1074,0,8
1080,0,6
1086,0,6
1093,1,7
1099,1,6
1105,1,6
1112,1,7
1118,1,6
1124,1,6
1130,0,6
1139,3,9
1146,2,7
1153,1,7
1159,1,6
1166,1,7
1172,1,6
1178,1,6
1184,1,6
1190,1,6
1197,2,7
1203,1,6
1210,1,7
1217,1,7
1224,1,7
1231,1,7
1237,1,6
1243,0,6
1251,1,8
1259,2,8
1267,2,8
1274,1,7
1281,1,7
1289,1,8
1302,1,13
1311,1,9
1317,1,6
1323,1,6
1329,1,6
1335,1,6
1341,1,6
1348,1,7
1354,1,6
