time (ms),latency (ms),consume (ms)
0,36,0
3,25,3
41,52,38
42,41,1
42,30,0
42,20,0
42,10,0
47,4,5
57,4,10
107,44,50
107,34,0
108,24,1
109,15,1
144,39,35
144,28,0
146,19,2
193,47,47
193,35,0
195,26,2
198,18,3
233,36,35
234,27,1
234,15,0
277,44,43
277,34,0
278,23,1
279,14,1
315,36,36
316,24,1
317,14,1
360,44,43
361,32,1
361,19,0
362,7,1
399,34,37
400,24,1
400,13,0
445,44,45
446,35,1
446,24,0
446,14,0
485,38,39
485,27,0
485,17,0
486,8,1
523,35,37
524,25,1
525,15,1
569,45,44
569,33,0
570,24,1
570,13,0
608,37,38
609,27,1
609,17,0
609,6,0
647,33,38
648,24,1
648,13,0
692,41,44
694,32,2
694,22,0
694,11,0
732,32,38
733,21,1
735,12,2
781,45,46
781,34,0
783,26,2
783,16,0
820,36,37
821,27,1
821,15,0
864,42,43
866,34,2
866,24,0
877,25,11
906,41,29
906,27,0
906,16,0
950,50,44
950,40,0
951,31,1
952,22,1
952,11,0
990,39,38
990,29,0
990,18,0
990,7,0
1049,56,59
1049,35,0
1049,25,0
1050,15,1
1089,37,39
1089,27,0
1090,18,1
1090,7,0
1128,35,38
1128,25,0
1129,15,1
1172,43,43
1172,32,0
1173,23,1
1174,13,1
1212,39,38
1213,28,1
1213,17,0
1213,7,0
1251,34,38
1252,25,1
1252,14,0
1297,44,45
1297,33,0
1297,23,0
1297,12,0
1337,39,40
1337,28,0
1337,18,0
1339,10,2
1378,38,39
1379,28,1
1379,17,0
1426,54,47
1428,36,2
1431,28,3
1434,17,3
1466,37,32
1477,37,11
1477,24,0
1526,58,49
1527,38,1
1533,31,6
1538,19,5
1566,36,28
1566,25,0
1566,15,0
1609,46,43
1610,35,1
1610,25,0
1610,15,0
1649,40,39
1649,30,0
1649,19,0
1650,10,1
1688,37,38
1689,27,1
1691,19,2
1691,8,0
1730,36,39
1730,26,0
1730,16,0
1774,50,44
1774,35,0
1774,25,0
1775,16,1
1812,38,37
1813,28,1
1813,17,0
1814,8,1
1852,36,38
1853,27,1
1853,16,0
1901,53,48
1901,34,0
1902,24,1
1902,14,0
1941,38,39
1941,28,0
1941,17,0
1942,8,1
1983,38,41
1983,27,0
1984,18,1
1984,8,0
2021,34,37
2022,25,1
2022,14,0
2066,44,44
2066,33,0
2067,23,1
2067,13,0
2107,41,40
2107,30,0
2108,21,1
2109,11,1
2144,34,35
2144,24,0
2145,14,1
2194,50,49
2194,35,0
2196,26,2
2197,17,1
2233,35,36
2234,25,1
2234,14,0
