time (ms),latency (ms),consume (ms)
0,7,0
3,2,3
6,2,3
8,1,2
10,1,2
13,2,3
15,1,2
17,1,2
20,2,3
22,1,2
25,1,3
27,1,2
29,0,2
34,3,5
36,1,2
39,1,3
42,1,3
44,0,2
48,2,4
50,0,2
52,0,2
55,1,3
57,1,2
59,1,2
61,0,2
64,1,3
67,1,3
70,1,3
73,1,3
76,1,3
78,0,2
81,1,3
84,2,3
86,1,2
88,1,2
90,1,2
93,1,3
96,2,3
98,1,2
102,2,4
104,1,2
107,1,3
109,1,2
111,0,2
113,0,2
116,1,3
118,1,2
122,3,4
124,1,2
126,0,2
128,0,2
130,0,2
132,0,2
134,0,2
136,0,2
138,0,2
140,0,2
142,0,2
144,0,2
146,0,2
148,0,2
150,0,2
153,1,3
155,1,2
157,1,2
159,1,2
161,0,2
164,1,3
167,1,3
169,1,2
172,1,3
175,2,3
177,1,2
180,1,3
183,2,3
186,1,3
188,1,2
190,0,2
193,1,3
196,2,3
199,1,3
201,1,2
204,1,3
206,0,2
208,0,2
210,0,2
212,0,2
214,0,2
216,0,2
218,0,2
220,0,2
223,1,3
225,1,2
228,2,3
230,1,2
232,1,2
234,0,2
237,1,3
239,1,2
242,1,3
245,1,3
247,1,2
249,1,2
251,1,2
253,1,2
255,1,2
257,1,2
259,1,2
261,1,2
263,1,2
265,1,2
269,3,4
271,1,2
273,1,2
275,1,2
279,0,4
281,0,2
284,1,3
286,1,2
288,1,2
290,1,2
292,1,2
294,0,2
296,0,2
298,0,2
300,0,2
302,0,2
304,0,2
306,0,2
308,0,2
310,0,2
312,0,2
315,0,3
317,0,2
319,0,2
321,0,2
323,0,2
325,0,2
328,2,3
330,1,2
332,1,2
334,1,2
336,1,2
338,1,2
340,1,2
342,1,2
344,1,2
346,1,2
347,0,1
349,0,2
351,0,2
353,0,2
355,0,2
358,1,3
360,1,2
362,1,2
364,1,2
366,1,2
368,1,2
370,1,2
372,1,2
374,1,2
376,1,2
378,1,2
380,1,2
382,1,2
384,1,2
386,1,2
388,1,2
390,1,2
392,1,2
394,1,2
398,1,4
401,1,3
403,1,2
405,1,2
407,1,2
