time (ms),latency (ms),consume (ms)
0,16,0
1,8,1
2,8,1
2,7,0
2,6,0
10,11,8
11,10,1
11,8,0
13,9,2
13,7,0
14,7,1
26,18,12
26,14,0
27,13,1
27,8,0
28,8,1
28,7,0
29,8,1
34,11,5
36,6,2
37,6,1
37,6,0
37,5,0
38,5,1
39,4,1
40,1,1
41,0,1
42,0,1
43,0,1
45,0,2
46,0,1
51,1,5
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
59,2,2
62,1,3
63,1,1
64,1,1
65,1,1
65,0,0
66,0,1
68,1,2
69,1,1
72,3,3
74,1,2
75,1,1
76,1,1
77,0,1
78,0,1
79,0,1
81,1,2
82,1,1
84,2,2
86,2,2
91,1,5
92,1,1
93,0,1
94,0,1
96,1,2
98,1,2
98,0,0
99,0,1
100,0,1
101,1,1
102,1,1
103,1,1
103,0,0
105,1,2
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
110,0,0
111,0,1
115,1,4
116,0,1
118,1,2
119,1,1
121,1,2
123,1,2
124,1,1
124,0,0
125,0,1
126,0,1
127,0,1
130,1,3
134,1,4
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,0,1
141,0,1
144,1,3
145,1,1
146,1,1
146,0,0
147,0,1
148,0,1
149,1,1
150,1,1
151,1,1
151,0,0
152,0,1
153,1,1
154,1,1
155,0,1
158,1,3
159,1,1
160,1,1
161,1,1
162,0,1
163,1,1
166,0,3
167,0,1
168,0,1
169,1,1
170,1,1
171,1,1
173,0,2
174,0,1
175,0,1
176,0,1
177,1,1
178,1,1
179,1,1
179,0,0
180,0,1
181,1,1
182,0,1
183,1,1
184,1,1
186,0,2
188,1,2
190,1,2
194,0,4
195,0,1
196,1,1
198,0,2
199,1,1
200,1,1
201,1,1
201,0,0
202,0,1
203,0,1
204,1,1
205,1,1
205,0,0
206,0,1
207,0,1
208,0,1
209,1,1
210,1,1
210,0,0
212,1,2
213,1,1
213,0,0
214,0,1
215,1,1
216,1,1
216,0,0
217,0,1
218,0,1
222,0,4
223,0,1
224,1,1
225,1,1
225,0,0
226,0,1
227,0,1
229,1,2
230,1,1
230,0,0
231,0,1
232,0,1
233,1,1
234,1,1
234,0,0
235,0,1
236,0,1
239,1,3
241,1,2
246,0,5
247,0,1
