time (ms),latency (ms),consume (ms)
0,12,0
1,9,1
2,8,1
2,6,0
2,5,0
2,3,0
3,2,1
5,3,2
8,4,3
10,2,2
12,2,2
13,2,1
14,1,1
16,2,2
17,1,1
19,2,2
22,2,3
24,1,2
28,3,4
29,2,1
31,2,2
33,2,2
35,1,2
37,1,2
40,2,3
42,2,2
44,1,2
47,2,3
49,1,2
51,1,2
54,2,3
55,2,1
57,2,2
58,1,1
60,1,2
62,2,2
63,1,1
65,2,2
68,3,3
68,1,0
70,2,2
71,1,1
73,2,2
75,2,2
76,2,1
78,2,2
79,2,1
80,1,1
82,1,2
84,2,2
85,1,1
87,2,2
89,1,2
91,1,2
94,2,3
96,2,2
98,2,2
100,2,2
101,1,1
103,2,2
104,1,1
106,2,2
108,2,2
109,1,1
111,2,2
112,1,1
114,2,2
115,1,1
117,2,2
118,1,1
120,2,2
121,1,1
123,2,2
124,1,1
126,2,2
127,1,1
129,2,2
130,1,1
132,2,2
134,2,2
135,2,1
137,2,2
138,1,1
140,2,2
142,2,2
143,1,1
144,1,1
146,1,2
148,2,2
149,1,1
151,2,2
152,1,1
153,1,1
155,1,2
157,2,2
159,2,2
160,1,1
162,2,2
163,1,1
165,2,2
166,1,1
168,2,2
169,1,1
171,2,2
172,1,1
174,2,2
175,1,1
177,2,2
179,2,2
180,2,1
181,1,1
183,2,2
184,1,1
186,1,2
188,2,2
189,1,1
191,2,2
192,1,1
193,1,1
195,1,2
197,2,2
198,1,1
200,1,2
202,2,2
204,2,2
206,2,2
207,1,1
209,2,2
210,1,1
212,1,2
213,1,1
215,1,2
217,2,2
218,1,1
220,2,2
221,1,1
223,2,2
224,1,1
226,2,2
227,1,1
229,2,2
230,1,1
232,1,2
233,1,1
235,1,2
237,2,2
238,1,1
240,2,2
241,1,1
243,1,2
244,1,1
246,1,2
247,1,1
249,1,2
251,2,2
252,1,1
254,2,2
255,1,1
257,2,2
258,1,1
260,2,2
261,1,1
263,2,2
264,1,1
266,2,2
267,1,1
269,2,2
270,1,1
272,1,2
273,1,1
275,1,2
277,2,2
278,1,1
280,2,2
281,1,1
283,2,2
284,1,1
286,2,2
287,1,1
289,1,2
290,1,1
292,1,2
293,1,1
295,1,2
297,1,2
299,1,2
301,1,2
303,1,2
305,2,2
306,1,1
308,2,2
310,2,2
312,2,2
313,1,1
315,1,2
318,2,3
319,1,1
321,2,2
322,1,1
324,1,2
325,1,1
328,2,3
329,2,1
331,2,2
332,1,1
333,1,1
335,1,2
336,1,1
338,2,2
339,1,1
340,1,1
342,1,2
343,1,1
345,2,2
346,1,1
347,1,1
349,1,2
364,15,15
364,14,0
364,12,0
364,11,0
364,9,0
364,8,0
364,6,0
364,5,0
365,5,1
365,3,0
365,2,0
366,1,1
368,1,2
369,1,1
371,1,2
372,1,1
374,2,2
375,1,1
376,1,1
379,3,3
381,2,2
382,1,1
384,1,2
385,1,1
387,2,2
389,2,2
390,2,1
392,1,2
394,2,2
395,1,1
396,1,1
398,1,2
400,2,2
402,2,2
404,2,2
405,1,1
407,2,2
408,1,1
411,2,3
412,1,1
414,2,2
415,1,1
417,2,2
418,1,1
420,1,2
421,1,1
423,1,2
425,2,2
426,1,1
428,2,2
429,1,1
431,2,2
432,1,1
434,2,2
435,1,1
437,2,2
438,1,1
439,1,1
441,1,2
443,2,2
444,1,1
445,1,1
447,1,2
448,1,1
450,2,2
451,1,1
453,2,2
454,1,1
456,2,2
457,1,1
458,1,1
460,1,2
461,1,1
463,1,2
464,1,1
466,2,2
467,1,1
468,1,1
470,1,2
471,1,1
473,2,2
474,1,1
476,2,2
477,1,1
478,1,1
480,1,2
481,1,1
483,2,2
484,1,1
485,1,1
487,1,2
488,1,1
489,1,1
491,1,2
492,1,1
494,2,2
495,1,1
496,1,1
498,1,2
499,1,1
501,2,2
502,1,1
504,2,2
506,2,2
507,1,1
508,1,1
511,2,3
512,1,1
514,2,2
515,1,1
516,1,1
518,1,2
519,1,1
520,1,1
522,1,2
523,1,1
525,2,2
526,1,1
528,2,2
529,1,1
531,1,2
533,1,2
535,1,2
537,1,2
539,1,2
541,1,2
542,1,1
544,1,2
545,1,1
546,1,1
548,1,2
549,1,1
551,2,2
552,1,1
553,1,1
555,2,2
556,1,1
557,1,1
559,1,2
560,1,1
562,2,2
563,1,1
564,1,1
566,2,2
567,1,1
568,1,1
570,2,2
571,1,1
573,2,2
574,1,1
575,1,1
577,2,2
578,1,1
580,2,2
581,2,1
582,1,1
584,2,2
585,1,1
587,2,2
588,1,1
590,2,2
591,1,1
593,2,2
594,1,1
595,1,1
597,1,2
613,5,16
613,3,0
613,1,0
614,1,1
616,2,2
617,1,1
619,2,2
620,1,1
621,1,1
623,1,2
624,1,1
626,2,2
627,1,1
629,2,2
630,1,1
632,2,2
633,1,1
634,1,1
636,2,2
637,1,1
639,2,2
640,1,1
641,1,1
643,2,2
644,1,1
645,1,1
647,1,2
648,1,1
649,1,1
651,1,2
652,1,1
653,1,1
655,1,2
656,1,1
657,1,1
659,1,2
660,1,1
662,2,2
663,1,1
664,1,1
666,1,2
667,1,1
669,2,2
670,1,1
671,1,1
673,2,2
674,1,1
675,1,1
677,2,2
678,1,1
679,1,1
680,1,1
682,1,2
683,1,1
684,1,1
686,1,2
687,1,1
688,1,1
690,2,2
691,1,1
693,2,2
694,2,1
695,1,1
696,1,1
698,1,2
699,1,1
700,1,1
702,1,2
703,1,1
704,1,1
706,1,2
707,1,1
708,1,1
710,1,2
711,1,1
713,2,2
714,1,1
715,1,1
717,2,2
718,1,1
720,2,2
721,2,1
722,1,1
723,1,1
725,2,2
726,1,1
727,1,1
729,2,2
730,1,1
731,1,1
733,2,2
734,1,1
735,1,1
737,2,2
738,1,1
739,1,1
741,2,2
742,1,1
743,1,1
745,1,2
746,1,1
747,1,1
749,1,2
751,2,2
752,1,1
753,1,1
755,1,2
756,1,1
758,2,2
760,2,2
760,1,0
762,2,2
763,1,1
764,1,1
766,2,2
767,1,1
768,1,1
770,1,2
771,1,1
772,1,1
774,1,2
775,1,1
776,1,1
778,1,2
779,1,1
781,2,2
782,1,1
784,2,2
785,1,1
787,2,2
788,1,1
790,2,2
791,1,1
792,1,1
794,2,2
796,2,2
797,1,1
798,1,1
800,2,2
801,1,1
802,1,1
803,0,1
805,1,2
806,1,1
808,1,2
809,1,1
810,1,1
812,1,2
813,1,1
814,1,1
816,1,2
817,1,1
818,1,1
820,1,2
821,1,1
822,1,1
824,1,2
825,1,1
827,1,2
828,1,1
833,1,5
834,1,1
836,1,2
837,1,1
838,1,1
840,1,2
841,1,1
842,1,1
844,1,2
845,1,1
846,1,1
848,1,2
849,1,1
850,0,1
852,1,2
853,1,1
855,1,2
856,1,1
857,1,1
859,1,2
860,1,1
862,2,2
863,1,1
864,1,1
865,1,1
867,1,2
868,1,1
869,1,1
873,1,4
875,2,2
876,1,1
877,1,1
878,1,1
879,0,1
881,1,2
882,1,1
884,1,2
885,1,1
886,1,1
887,0,1
889,1,2
890,1,1
891,0,1
893,1,2
894,1,1
895,0,1
897,1,2
898,1,1
899,1,1
901,1,2
902,1,1
903,1,1
905,1,2
906,1,1
907,1,1
909,1,2
910,1,1
911,1,1
913,1,2
914,1,1
915,1,1
917,1,2
918,1,1
919,1,1
921,1,2
922,1,1
923,1,1
925,1,2
926,1,1
927,1,1
929,1,2
930,1,1
932,1,2
933,1,1
934,1,1
935,1,1
937,1,2
938,1,1
939,0,1
941,1,2
945,1,4
947,2,2
948,1,1
949,1,1
951,2,2
952,1,1
953,1,1
955,1,2
957,1,2
959,1,2
961,1,2
963,1,2
965,1,2
967,1,2
969,1,2
