time (ms),latency (ms),consume (ms)
0,23,0
18,30,18
30,31,12
40,20,10
50,18,10
59,18,9
70,19,11
75,14,5
80,9,5
86,9,6
93,11,7
100,11,7
105,9,5
112,10,7
118,9,6
150,36,32
159,38,9
162,34,3
165,31,3
168,25,3
172,21,4
175,19,3
180,15,5
186,14,6
191,10,5
197,10,6
202,10,5
209,11,7
214,9,5
220,10,6
225,9,5
231,10,6
236,9,5
242,10,6
250,12,8
255,11,5
266,15,11
268,10,2
272,9,4
303,35,31
304,30,1
309,28,5
316,28,7
317,24,1
330,31,13
335,30,5
340,8,5
346,8,6
352,9,6
358,9,6
364,10,6
370,10,6
376,9,6
382,10,6
388,10,6
395,11,7
399,9,4
405,9,6
411,10,6
419,12,8
424,11,5
431,12,7
436,10,5
464,32,28
470,33,6
479,36,9
480,30,1
485,26,5
490,26,5
491,20,1
492,16,1
493,12,1
498,11,5
504,11,6
509,10,5
515,10,6
520,9,5
525,9,5
531,10,6
537,10,6
544,11,7
550,11,6
555,10,5
561,11,6
566,10,5
572,10,6
578,10,6
609,35,31
609,30,0
614,30,5
615,26,1
619,24,4
620,20,1
624,19,4
625,15,1
626,11,1
632,11,6
637,10,5
642,8,5
648,9,6
654,9,6
659,9,5
664,8,5
670,9,6
676,9,6
681,9,5
686,8,5
692,9,6
697,9,5
703,9,6
709,9,6
727,22,18
731,20,4
732,16,1
732,11,0
737,9,5
743,9,6
748,8,5
754,9,6
760,9,6
766,9,6
773,11,7
778,10,5
786,11,8
791,10,5
797,9,6
804,10,7
826,26,22
877,70,51
881,64,4
887,56,6
902,64,15
913,65,11
914,60,1
915,56,1
942,77,27
943,72,1
943,65,0
947,64,4
947,58,0
948,50,1
949,44,1
952,42,3
953,37,1
953,32,0
954,27,1
955,22,1
958,20,3
959,16,1
959,10,0
965,10,6
971,10,6
976,10,5
982,10,6
986,7,4
992,8,6
997,8,5
1003,9,6
1009,9,6
1027,22,18
1031,20,4
1031,15,0
1034,13,3
1036,9,2
1041,9,5
1047,10,6
1052,8,5
1058,9,6
1063,8,5
1069,9,6
1074,8,5
1080,9,6
1086,9,6
1101,18,15
1106,17,5
1112,9,6
1119,10,7
1124,8,5
1129,8,5
1135,9,6
1141,9,6
1146,8,5
1152,8,6
1167,18,15
1167,13,0
1168,9,1
1172,8,4
1178,9,6
1183,8,5
1189,9,6
1195,8,6
1200,8,5
1205,8,5
1211,8,6
1216,8,5
1222,8,6
1227,8,5
1232,8,5
1238,8,6
1244,9,6
1249,9,5
1254,8,5
1260,8,6
1266,9,6
1271,8,5
1276,8,5
1282,8,6
1293,14,11
1294,10,1
1298,8,4
1303,8,5
1309,8,6
1316,10,7
1320,8,4
1325,8,5
1330,8,5
1336,8,6
1350,17,14
1356,16,6
1361,8,5
1366,7,5
1372,8,6
1378,8,6
1384,9,6
1388,7,4
1393,7,5
1399,8,6
1404,8,5
1410,8,6
1416,8,6
1422,9,6
1434,15,12
1434,9,0
1439,8,5
1445,9,6
1450,8,5
1456,8,6
1461,8,5
1467,9,6
1472,8,5
1478,9,6
1483,8,5
1488,8,5
1494,8,6
1500,9,6
1505,8,5
1511,8,6
1516,8,5
1522,8,6
1527,8,5
1533,9,6
1538,8,5
1544,8,6
1549,8,5
1556,9,7
1567,15,11
1567,10,0
1571,8,4
1577,9,6
1582,8,5
1588,8,6
1601,16,13
1605,14,4
1610,7,5
1616,8,6
1622,9,6
1626,7,4
1631,7,5
1638,9,7
1644,10,6
1649,9,5
1655,9,6
1660,8,5
1666,9,6
1672,9,6
1678,9,6
1684,9,6
1690,9,6
1697,10,7
1734,42,37
1735,37,1
1740,32,5
1740,27,0
1744,26,4
1745,22,1
1746,17,1
1750,14,4
1751,10,1
1756,10,5
1762,11,6
1768,11,6
1773,9,5
1779,10,6
1784,9,5
1789,8,5
1794,8,5
1799,8,5
1804,8,5
1810,9,6
1815,9,5
1821,10,6
1826,8,5
1832,9,6
1850,22,18
1852,19,2
1865,26,13
1870,25,5
1876,10,6
1882,9,6
1888,10,6
1894,10,6
1900,10,6
1905,9,5
1911,9,6
1919,11,8
1923,9,4
1929,9,6
1936,10,7
1941,9,5
1948,10,7
1952,8,4
1958,9,6
1964,9,6
1970,9,6
1975,8,5
1981,9,6
1987,10,6
2005,21,18
2006,17,1
2010,16,4
2011,11,1
2017,11,6
2022,10,5
2027,9,5
2033,10,6
2038,8,5
2043,8,5
2048,8,5
2053,8,5
2058,8,5
2064,9,6
2074,14,10
2080,15,6
2081,11,1
2086,10,5
2092,10,6
2097,9,5
2103,10,6
2109,10,6
2125,20,16
2130,18,5
2150,23,20
2151,17,1
2155,16,4
2156,10,1
2160,9,4
2165,9,5
2172,11,7
2176,8,4
2182,9,6
2186,8,4
2192,9,6
2196,8,4
2202,9,6
2209,10,7
2215,10,6
2220,9,5
2226,9,6
2231,9,5
2237,10,6
2243,10,6
2248,8,5
2254,9,6
2259,9,5
2264,9,5
2283,23,19
2284,18,1
2285,12,1
2290,11,5
2295,9,5
2300,9,5
2306,10,6
2312,9,6
2317,8,5
2323,9,6
2332,13,9
2398,74,66
2403,72,5
2409,73,6
2410,67,1
2417,69,7
2422,69,5
2431,73,9
2440,75,9
2445,58,5
2446,53,1
2447,48,1
2451,46,4
2452,39,1
2473,53,21
2477,51,4
2478,46,1
2482,41,4
2483,35,1
2487,34,4
2488,30,1
2492,29,4
2493,25,1
2496,23,3
2497,19,1
2498,15,1
2499,11,1
2504,11,5
2514,15,10
2519,15,5
2527,17,8
2533,17,6
2543,20,10
2553,24,10
2558,23,5
2568,28,10
2569,24,1
2580,29,11
2588,32,8
2646,84,58
2655,88,9
2657,85,2
2663,86,6
2663,76,0
2665,73,2
2665,64,0
2667,60,2
2672,60,5
2672,53,0
2680,53,8
2681,49,1
2682,44,1
2688,45,6
2695,16,7
2703,19,8
2710,20,7
2714,19,4
2722,22,8
2726,19,4
2732,20,6
2735,18,3
2743,21,8
2764,33,21
2765,26,1
2772,28,7
2773,18,1
2778,18,5
2784,16,6
2792,16,8
2798,17,6
2804,13,6
2811,15,7
2816,15,5
2823,16,7
2827,15,4
2836,18,9
2842,19,6
2844,15,2
2852,17,8
2857,17,5
2863,17,6
2874,21,11
2880,21,6
2885,20,5
2886,15,1
2909,33,23
2910,28,1
2910,19,0
2917,20,7
2923,16,6
2928,13,5
2936,16,8
2940,13,4
2945,13,5
2955,15,10
2964,19,9
2979,28,15
2984,28,5
2991,11,7
2999,12,8
3004,9,5
3010,10,6
3019,14,9
3027,17,8
3031,15,4
3036,15,5
3042,15,6
3083,50,41
3087,48,4
3123,79,36
3124,75,1
3125,70,1
3128,68,3
3129,63,1
3129,58,0
3130,53,1
3131,47,1
3134,41,3
3135,36,1
3136,32,1
3136,27,0
3138,23,2
3138,18,0
3139,14,1
3139,8,0
3144,8,5
3148,6,4
3154,7,6
3159,7,5
3164,7,5
3170,8,6
3175,7,5
3181,7,6
3186,7,5
3193,8,7
3198,7,5
3204,7,6
3208,6,4
3214,7,6
3219,7,5
3228,11,9
3233,11,5
3239,7,6
3244,7,5
3249,6,5
3255,7,6
3260,7,5
3265,6,5
3271,7,6
3276,7,5
3281,7,5
3286,6,5
3292,7,6
3297,7,5
3302,6,5
3308,7,6
3313,7,5
3318,6,5
3325,8,7
3329,7,4
3334,7,5
3340,8,6
3345,7,5
3351,7,6
3356,7,5
3362,8,6
3367,7,5
3373,8,6
3378,7,5
3384,8,6
3389,7,5
3395,7,6
3400,7,5
3406,7,6
3411,7,5
3417,7,6
3422,7,5
3428,7,6
3432,6,4
3438,7,6
3443,7,5
3449,7,6
3457,10,8
3460,7,3
3470,12,10
3475,12,5
3480,7,5
3485,7,5
3490,6,5
3496,7,6
3500,6,4
3505,6,5
3511,7,6
3516,7,5
3521,7,5
3526,7,5
3532,7,6
3537,7,5
3542,7,5
3547,7,5
3552,6,5
3557,6,5
3563,7,6
3568,7,5
3573,6,5
3582,10,9
3608,31,26
3613,28,5
3614,23,1
3618,20,4
3619,16,1
3620,11,1
3624,10,4
3630,10,6
3634,9,4
3641,11,7
3646,9,5
3651,9,5
3658,11,7
3663,10,5
3668,9,5
3676,12,8
3682,11,6
3687,11,5
3692,9,5
3698,10,6
3703,9,5
3708,9,5
3723,19,15
3728,18,5
3754,29,26
3758,26,4
3759,22,1
3760,17,1
3765,16,5
3765,10,0
3770,10,5
3776,10,6
3781,10,5
3786,9,5
3793,11,7
3797,9,4
3803,9,6
3808,9,5
3813,9,5
3819,9,6
3824,9,5
3830,10,6
3835,10,5
3840,9,5
3846,10,6
3852,11,6
3857,9,5
3862,9,5
3897,39,35
3898,33,1
3902,32,4
3902,26,0
3907,25,5
3907,20,0
3912,20,5
3912,14,0
3917,14,5
3924,16,7
3988,75,64
3989,67,1
3994,66,5
3999,66,5
3999,61,0
4006,62,7
4010,59,4
4017,60,7
4018,56,1
4022,55,4
4027,30,5
4028,22,1
4032,20,4
4033,15,1
4034,11,1
4061,33,27
4065,30,4
4066,26,1
4071,26,5
4076,26,5
4077,21,1
4077,16,0
4082,15,5
4083,11,1
4088,10,5
4093,10,5
4098,10,5
4103,9,5
4108,9,5
4115,11,7
4120,9,5
4126,10,6
4132,9,6
4137,9,5
4143,10,6
4149,9,6
4155,10,6
4160,9,5
4166,9,6
4171,9,5
4195,27,24
4196,23,1
4200,21,4
4201,15,1
4202,11,1
4207,11,5
4212,9,5
4217,9,5
4222,9,5
4228,10,6
4233,9,5
4238,9,5
4251,17,13
4256,17,5
4262,9,6
4267,8,5
4273,9,6
4279,9,6
4285,10,6
4291,9,6
4297,9,6
4303,9,6
4309,10,6
4314,9,5
4349,38,35
4350,33,1
4351,28,1
4355,25,4
4356,21,1
4356,16,0
4361,16,5
4361,10,0
4367,10,6
4373,11,6
4377,9,4
4382,8,5
4387,8,5
4392,8,5
4399,10,7
4405,10,6
4410,9,5
4416,9,6
4422,9,6
4427,9,5
4433,10,6
4439,10,6
4446,10,7
4450,8,4
4473,26,23
4474,22,1
4478,21,4
4479,17,1
4483,14,4
4484,10,1
4490,11,6
4496,10,6
4509,17,13
4515,18,6
4521,9,6
4527,9,6
4533,10,6
4539,10,6
4545,10,6
4551,10,6
4556,9,5
4562,9,6
4566,8,4
4571,8,5
4577,9,6
4583,9,6
4589,9,6
4595,9,6
4618,27,23
4623,26,5
4624,22,1
4628,21,4
4629,17,1
4633,14,4
4634,10,1
4640,11,6
4645,9,5
4651,10,6
4657,10,6
4662,8,5
4668,9,6
4673,9,5
4680,11,7
4685,10,5
4692,11,7
4697,9,5
4702,9,5
4707,9,5
4712,8,5
4718,9,6
4723,9,5
4729,10,6
4752,26,23
4752,21,0
4757,21,5
4759,18,2
4767,20,8
4772,19,5
4778,10,6
4784,10,6
4789,9,5
4795,9,6
4801,9,6
4807,9,6
4813,9,6
4818,8,5
4824,9,6
4830,9,6
4836,9,6
4842,9,6
4847,9,5
4854,10,7
4860,10,6
4865,9,5
4871,9,6
4876,8,5
4882,9,6
4887,8,5
4893,9,6
4899,9,6
4905,9,6
4911,9,6
4917,9,6
4921,8,4
4927,9,6
4934,10,7
4939,9,5
4945,10,6
4951,10,6
4974,27,23
4980,27,6
4985,10,5
4991,11,6
4998,11,7
5003,11,5
5009,11,6
5014,10,5
5019,9,5
5024,9,5
5029,9,5
5054,29,25
5059,29,5
5064,9,5
5071,10,7
5076,10,5
