time (ms),latency (ms),consume (ms)
0,15,0
1,13,1
1,12,0
1,12,0
1,12,0
1,11,0
10,20,9
11,21,1
11,20,0
11,20,0
11,20,0
12,20,1
12,20,0
12,20,0
12,20,0
12,19,0
12,19,0
13,20,1
13,19,0
13,19,0
13,19,0
13,18,0
13,18,0
13,18,0
13,17,0
14,18,1
14,18,0
14,17,0
14,17,0
14,17,0
14,16,0
14,16,0
15,17,1
15,17,0
15,16,0
15,16,0
15,16,0
15,15,0
15,15,0
16,16,1
16,15,0
16,15,0
16,15,0
16,14,0
16,14,0
16,14,0
17,14,1
17,14,0
17,13,0
17,13,0
17,13,0
17,12,0
18,13,1
18,12,0
18,12,0
18,11,0
18,11,0
18,11,0
18,10,0
19,11,1
19,10,0
19,10,0
19,9,0
19,9,0
20,10,1
20,9,0
20,9,0
20,9,0
20,8,0
20,8,0
20,8,0
21,8,1
21,8,0
21,8,0
21,7,0
21,7,0
21,7,0
21,7,0
22,7,1
22,7,0
22,7,0
22,6,0
22,6,0
23,6,1
23,6,0
23,6,0
23,6,0
23,5,0
23,5,0
23,4,0
23,4,0
24,4,1
24,4,0
24,4,0
24,3,0
24,3,0
24,3,0
25,3,1
25,3,0
25,3,0
25,3,0
25,2,0
25,2,0
25,2,0
26,2,1
26,2,0
26,2,0
27,3,1
27,2,0
28,3,1
28,3,0
28,2,0
28,2,0
28,2,0
29,3,1
29,2,0
29,2,0
29,2,0
30,2,1
30,2,0
32,3,2
32,3,0
32,3,0
34,4,2
35,5,1
37,7,2
37,6,0
37,6,0
38,7,1
38,6,0
39,7,1
39,7,0
39,6,0
39,6,0
40,7,1
40,7,0
40,6,0
40,6,0
40,6,0
40,6,0
40,5,0
41,6,1
41,6,0
41,5,0
41,5,0
42,6,1
42,6,0
42,5,0
42,5,0
43,6,1
43,6,0
43,5,0
43,5,0
44,6,1
44,6,0
44,5,0
44,5,0
44,4,0
44,4,0
45,5,1
45,5,0
45,4,0
46,5,1
46,5,0
46,5,0
46,4,0
46,4,0
46,4,0
47,4,1
47,4,0
47,4,0
47,3,0
47,3,0
48,4,1
51,7,3
51,6,0
51,6,0
51,6,0
51,6,0
51,5,0
51,5,0
51,5,0
52,6,1
52,6,0
52,5,0
53,6,1
53,6,0
53,5,0
54,6,1
54,6,0
54,6,0
54,5,0
54,5,0
54,5,0
55,6,1
55,5,0
55,5,0
55,5,0
55,5,0
56,5,1
56,5,0
56,5,0
56,5,0
56,4,0
60,8,4
60,8,0
60,8,0
61,9,1
61,8,0
61,8,0
61,7,0
61,7,0
61,7,0
61,6,0
61,6,0
61,6,0
61,5,0
62,6,1
62,6,0
62,6,0
62,5,0
62,5,0
62,5,0
62,5,0
62,4,0
62,4,0
62,4,0
63,5,1
63,4,0
63,4,0
63,4,0
63,4,0
63,4,0
63,3,0
63,3,0
63,2,0
63,2,0
64,3,1
66,5,2
66,4,0
66,4,0
66,4,0
66,4,0
66,3,0
67,4,1
67,3,0
67,3,0
67,3,0
67,3,0
67,2,0
68,3,1
68,3,0
68,2,0
69,3,1
70,4,1
71,4,1
71,3,0
71,3,0
72,4,1
72,3,0
72,3,0
72,3,0
72,3,0
72,2,0
